LumiCycle: 1B-L1m2 (Raw),,,,,
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:40,0.69444,73.036,86.88
1,07/03/2025,17:00,0.70833,70.055,87.378
2,07/03/2025,17:20,0.72222,69.366,87.846
3,07/03/2025,17:40,0.73611,70.041,88.286
4,07/03/2025,18:00,0.75,74.142,88.678
5,07/03/2025,18:20,0.76389,79.538,89.056
6,07/03/2025,18:40,0.77778,86.074,89.406
7,07/03/2025,19:00,0.79167,91.744,89.763
8,07/03/2025,19:20,0.80556,96.79,90.119
9,07/03/2025,19:40,0.81944,100.722,90.493
10,07/03/2025,20:00,0.83333,103.238,90.897
11,07/03/2025,20:20,0.84722,103.797,91.316
12,07/03/2025,20:40,0.86111,105.194,91.722
13,07/03/2025,21:00,0.875,105.675,92.126
14,07/03/2025,21:20,0.88889,107.018,92.534
15,07/03/2025,21:40,0.90278,107.975,92.948
16,07/03/2025,22:00,0.91667,108.229,93.367
17,07/03/2025,22:20,0.93056,108.937,93.765
18,07/03/2025,22:40,0.94444,108.358,94.178
19,07/03/2025,23:00,0.95833,108.768,94.574
20,07/03/2025,23:20,0.97222,108.239,94.982
21,07/03/2025,23:40,0.98611,109.321,95.373
22,07/04/2025,0:00,1,108.961,95.771
23,07/04/2025,0:20,1.01389,108.993,96.179
24,07/04/2025,0:40,1.02778,109.079,96.573
25,07/04/2025,1:00,1.04167,108.875,96.967
26,07/04/2025,1:20,1.05556,108.707,97.351
27,07/04/2025,1:40,1.06944,107.908,97.735
28,07/04/2025,2:00,1.08333,108.046,98.099
29,07/04/2025,2:20,1.09722,107.229,98.466
30,07/04/2025,2:40,1.11111,106.321,98.846
31,07/04/2025,3:00,1.125,106.187,99.201
32,07/04/2025,3:20,1.13889,105.332,99.59
33,07/04/2025,3:40,1.15278,105.902,99.943
34,07/04/2025,4:00,1.16667,105.221,100.325
35,07/04/2025,4:20,1.18056,105.389,100.674
36,07/04/2025,4:40,1.19444,104.877,101.034
37,07/04/2025,5:00,1.20833,105.126,101.43
38,07/04/2025,5:20,1.22222,104.531,101.855
39,07/04/2025,5:40,1.23611,104.543,102.28
40,07/04/2025,6:00,1.25,104.88,102.636
41,07/04/2025,6:20,1.26389,104.134,102.936
42,07/04/2025,6:40,1.27778,103.652,103.134
43,07/04/2025,7:00,1.29167,103.006,103.259
44,07/04/2025,7:20,1.30556,103.178,103.293
45,07/04/2025,7:40,1.31944,103.782,103.266
