LumiCycle: 1C-SCN (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:30,000.64583,00117.848,00111.239
1,06/26/2025,15:50,000.65972,00119.294,00110.348
2,06/26/2025,16:10,000.67361,00116.601,00109.475
3,06/26/2025,16:30,000.68750,00112.171,00108.588
4,06/26/2025,16:50,000.70139,00106.805,00107.677
5,06/26/2025,17:10,000.71528,00104.022,00106.698
6,06/26/2025,17:30,000.72917,00104.574,00105.647
7,06/26/2025,17:50,000.74306,00107.892,00104.537
8,06/26/2025,18:10,000.75694,00112.676,00103.388
9,06/26/2025,18:30,000.77083,00118.309,00102.211
10,06/26/2025,18:50,000.78472,00123.409,00101.026
11,06/26/2025,19:10,000.79861,00127.820,00099.844
12,06/26/2025,19:30,000.81250,00130.886,00098.675
13,06/26/2025,19:50,000.82639,00132.652,00097.526
14,06/26/2025,20:10,000.84028,00133.753,00096.381
15,06/26/2025,20:30,000.85417,00132.628,00095.272
16,06/26/2025,20:50,000.86806,00131.096,00094.168
17,06/26/2025,21:10,000.88194,00128.350,00093.090
18,06/26/2025,21:30,000.89583,00125.479,00092.018
19,06/26/2025,21:50,000.90972,00122.360,00090.953
20,06/26/2025,22:10,000.92361,00118.151,00089.909
21,06/26/2025,22:30,000.93750,00113.886,00088.879
22,06/26/2025,22:50,000.95139,00110.002,00087.857
23,06/26/2025,23:10,000.96528,00105.715,00086.855
24,06/26/2025,23:30,000.97917,00101.551,00085.868
25,06/26/2025,23:50,000.99306,00097.461,00084.907
26,06/27/2025,00:10,001.00694,00093.358,00083.962
27,06/27/2025,00:30,001.02083,00089.833,00083.031
28,06/27/2025,00:50,001.03472,00086.064,00082.118
29,06/27/2025,01:10,001.04861,00082.069,00081.236
30,06/27/2025,01:30,001.06250,00078.635,00080.364
31,06/27/2025,01:50,001.07639,00074.956,00079.519
32,06/27/2025,02:10,001.09028,00071.479,00078.692
33,06/27/2025,02:30,001.10417,00068.175,00077.883
34,06/27/2025,02:50,001.11806,00065.019,00077.090
35,06/27/2025,03:10,001.13194,00061.294,00076.331
36,06/27/2025,03:30,001.14583,00058.234,00075.584
37,06/27/2025,03:50,001.15972,00055.147,00074.865
38,06/27/2025,04:10,001.17361,00052.334,00074.144
39,06/27/2025,04:30,001.18750,00049.568,00073.479
40,06/27/2025,04:50,001.20139,00046.832,00072.899
41,06/27/2025,05:10,001.21528,00044.582,00072.407
42,06/27/2025,05:30,001.22917,00042.790,00071.967
43,06/27/2025,05:50,001.24306,00041.236,00071.535
44,06/27/2025,06:10,001.25694,00039.884,00071.072
45,06/27/2025,06:30,001.27083,00038.722,00070.546
46,06/27/2025,06:50,001.28472,00037.639,00069.957
47,06/27/2025,07:10,001.29861,00037.154,00069.296
48,06/27/2025,07:30,001.31250,00036.719,00068.591
49,06/27/2025,07:50,001.32639,00036.901,00067.832
50,06/27/2025,08:10,001.34028,00036.494,00067.064
51,06/27/2025,08:30,001.35417,00036.899,00066.275
52,06/27/2025,08:50,001.36806,00036.798,00065.506
53,06/27/2025,09:10,001.38194,00037.503,00064.746
54,06/27/2025,09:30,001.39583,00037.789,00064.018
55,06/27/2025,09:50,001.40972,00038.043,00063.319
56,06/27/2025,10:10,001.42361,00038.508,00062.646
57,06/27/2025,10:30,001.43750,00039.379,00062.013
58,06/27/2025,10:50,001.45139,00040.378,00061.416
59,06/27/2025,11:10,001.46528,00041.462,00060.852
60,06/27/2025,11:30,001.47917,00042.634,00060.318
61,06/27/2025,11:50,001.49306,00044.554,00059.804
62,06/27/2025,12:10,001.50694,00045.701,00059.332
63,06/27/2025,12:30,001.52083,00047.247,00058.877
64,06/27/2025,12:50,001.53472,00048.385,00058.454
65,06/27/2025,13:10,001.54861,00050.335,00058.047
66,06/27/2025,13:30,001.56250,00051.601,00057.680
67,06/27/2025,13:50,001.57639,00053.340,00057.325
68,06/27/2025,14:10,001.59028,00054.862,00057.004
69,06/27/2025,14:30,001.60417,00056.254,00056.705
70,06/27/2025,14:50,001.61806,00057.652,00056.430
71,06/27/2025,15:10,001.63194,00059.409,00056.171
72,06/27/2025,15:30,001.64583,00061.037,00055.945
73,06/27/2025,15:50,001.65972,00062.995,00055.732
74,06/27/2025,16:10,001.67361,00064.544,00055.549
75,06/27/2025,16:30,001.68750,00065.974,00055.383
76,06/27/2025,16:50,001.70139,00067.680,00055.238
77,06/27/2025,17:10,001.71528,00069.097,00055.123
78,06/27/2025,17:30,001.72917,00070.615,00055.025
79,06/27/2025,17:50,001.74306,00071.921,00054.943
80,06/27/2025,18:10,001.75694,00073.196,00054.872
81,06/27/2025,18:30,001.77083,00073.645,00054.824
82,06/27/2025,18:50,001.78472,00074.766,00054.777
83,06/27/2025,19:10,001.79861,00075.329,00054.747
84,06/27/2025,19:30,001.81250,00076.615,00054.710
85,06/27/2025,19:50,001.82639,00076.471,00054.698
86,06/27/2025,20:10,001.84028,00076.922,00054.672
87,06/27/2025,20:30,001.85417,00077.357,00054.653
88,06/27/2025,20:50,001.86806,00077.161,00054.638
89,06/27/2025,21:10,001.88194,00077.065,00054.631
90,06/27/2025,21:30,001.89583,00076.253,00054.623
91,06/27/2025,21:50,001.90972,00075.368,00054.618
92,06/27/2025,22:10,001.92361,00074.388,00054.616
93,06/27/2025,22:30,001.93750,00073.462,00054.618
94,06/27/2025,22:50,001.95139,00071.866,00054.627
95,06/27/2025,23:10,001.96528,00070.491,00054.634
96,06/27/2025,23:30,001.97917,00068.483,00054.640
97,06/27/2025,23:50,001.99306,00066.459,00054.643
98,06/28/2025,00:10,002.00694,00064.563,00054.635
99,06/28/2025,00:30,002.02083,00062.167,00054.635
100,06/28/2025,00:50,002.03472,00060.546,00054.619
101,06/28/2025,01:10,002.04861,00058.719,00054.614
102,06/28/2025,01:30,002.06250,00056.897,00054.602
103,06/28/2025,01:50,002.07639,00054.809,00054.594
104,06/28/2025,02:10,002.09028,00053.334,00054.571
105,06/28/2025,02:30,002.10417,00051.380,00054.546
106,06/28/2025,02:50,002.11806,00049.766,00054.523
107,06/28/2025,03:10,002.13194,00048.096,00054.494
108,06/28/2025,03:30,002.14583,00046.661,00054.461
109,06/28/2025,03:50,002.15972,00044.901,00054.426
110,06/28/2025,04:10,002.17361,00043.484,00054.380
111,06/28/2025,04:30,002.18750,00041.808,00054.334
112,06/28/2025,04:50,002.20139,00040.815,00054.281
113,06/28/2025,05:10,002.21528,00039.981,00054.221
114,06/28/2025,05:30,002.22917,00039.028,00054.169
115,06/28/2025,05:50,002.24306,00038.214,00054.103
116,06/28/2025,06:10,002.25694,00037.417,00054.039
117,06/28/2025,06:30,002.27083,00036.854,00053.967
118,06/28/2025,06:50,002.28472,00036.493,00053.901
119,06/28/2025,07:10,002.29861,00035.996,00053.836
120,06/28/2025,07:30,002.31250,00035.825,00053.765
121,06/28/2025,07:50,002.32639,00035.697,00053.688
122,06/28/2025,08:10,002.34028,00035.485,00053.626
123,06/28/2025,08:30,002.35417,00035.566,00053.557
124,06/28/2025,08:50,002.36806,00035.609,00053.480
125,06/28/2025,09:10,002.38194,00036.172,00053.394
126,06/28/2025,09:30,002.39583,00036.155,00053.316
127,06/28/2025,09:50,002.40972,00036.497,00053.241
128,06/28/2025,10:10,002.42361,00036.920,00053.175
129,06/28/2025,10:30,002.43750,00037.759,00053.112
130,06/28/2025,10:50,002.45139,00038.417,00053.060
131,06/28/2025,11:10,002.46528,00039.486,00053.013
132,06/28/2025,11:30,002.47917,00039.932,00052.981
133,06/28/2025,11:50,002.49306,00040.794,00052.952
134,06/28/2025,12:10,002.50694,00042.119,00052.928
135,06/28/2025,12:30,002.52083,00043.288,00052.910
136,06/28/2025,12:50,002.53472,00044.443,00052.909
137,06/28/2025,13:10,002.54861,00046.196,00052.907
138,06/28/2025,13:30,002.56250,00047.646,00052.915
139,06/28/2025,13:50,002.57639,00048.944,00052.935
140,06/28/2025,14:10,002.59028,00050.258,00052.961
141,06/28/2025,14:30,002.60417,00051.069,00053.001
142,06/28/2025,14:50,002.61806,00053.008,00053.032
143,06/28/2025,15:10,002.63194,00053.910,00053.081
144,06/28/2025,15:30,002.64583,00055.546,00053.127
145,06/28/2025,15:50,002.65972,00056.797,00053.177
146,06/28/2025,16:10,002.67361,00058.247,00053.240
147,06/28/2025,16:30,002.68750,00059.586,00053.307
148,06/28/2025,16:50,002.70139,00061.123,00053.375
149,06/28/2025,17:10,002.71528,00062.575,00053.447
150,06/28/2025,17:30,002.72917,00064.334,00053.509
151,06/28/2025,17:50,002.74306,00065.109,00053.594
152,06/28/2025,18:10,002.75694,00066.471,00053.671
153,06/28/2025,18:30,002.77083,00067.498,00053.756
154,06/28/2025,18:50,002.78472,00068.517,00053.839
155,06/28/2025,19:10,002.79861,00069.577,00053.918
156,06/28/2025,19:30,002.81250,00070.038,00054.001
157,06/28/2025,19:50,002.82639,00070.938,00054.078
158,06/28/2025,20:10,002.84028,00071.775,00054.154
159,06/28/2025,20:30,002.85417,00072.030,00054.243
160,06/28/2025,20:50,002.86806,00071.920,00054.334
161,06/28/2025,21:10,002.88194,00071.501,00054.431
162,06/28/2025,21:30,002.89583,00071.397,00054.508
163,06/28/2025,21:50,002.90972,00071.243,00054.587
164,06/28/2025,22:10,002.92361,00071.002,00054.664
165,06/28/2025,22:30,002.93750,00070.696,00054.748
166,06/28/2025,22:50,002.95139,00070.388,00054.827
167,06/28/2025,23:10,002.96528,00069.522,00054.918
168,06/28/2025,23:30,002.97917,00068.692,00054.997
169,06/28/2025,23:50,002.99306,00067.232,00055.091
170,06/29/2025,00:10,003.00694,00066.057,00055.178
171,06/29/2025,00:30,003.02083,00064.467,00055.262
172,06/29/2025,00:50,003.03472,00063.183,00055.336
173,06/29/2025,01:10,003.04861,00062.164,00055.400
174,06/29/2025,01:30,003.06250,00060.739,00055.462
175,06/29/2025,01:50,003.07639,00059.681,00055.517
176,06/29/2025,02:10,003.09028,00057.996,00055.582
177,06/29/2025,02:30,003.10417,00057.043,00055.632
178,06/29/2025,02:50,003.11806,00055.553,00055.696
179,06/29/2025,03:10,003.13194,00054.180,00055.745
180,06/29/2025,03:30,003.14583,00053.061,00055.788
181,06/29/2025,03:50,003.15972,00051.469,00055.833
182,06/29/2025,04:10,003.17361,00050.890,00055.863
183,06/29/2025,04:30,003.18750,00049.681,00055.901
184,06/29/2025,04:50,003.20139,00048.179,00055.937
185,06/29/2025,05:10,003.21528,00047.474,00055.954
186,06/29/2025,05:30,003.22917,00046.227,00055.981
187,06/29/2025,05:50,003.24306,00045.932,00055.986
188,06/29/2025,06:10,003.25694,00045.100,00056.005
189,06/29/2025,06:30,003.27083,00044.539,00056.012
190,06/29/2025,06:50,003.28472,00043.897,00056.025
191,06/29/2025,07:10,003.29861,00043.221,00056.038
192,06/29/2025,07:30,003.31250,00042.450,00056.049
193,06/29/2025,07:50,003.32639,00042.264,00056.053
194,06/29/2025,08:10,003.34028,00042.020,00056.054
195,06/29/2025,08:30,003.35417,00042.134,00056.049
196,06/29/2025,08:50,003.36806,00042.019,00056.042
197,06/29/2025,09:10,003.38194,00042.134,00056.044
198,06/29/2025,09:30,003.39583,00041.651,00056.066
199,06/29/2025,09:50,003.40972,00041.656,00056.084
200,06/29/2025,10:10,003.42361,00041.788,00056.105
201,06/29/2025,10:30,003.43750,00042.656,00056.110
202,06/29/2025,10:50,003.45139,00043.172,00056.123
203,06/29/2025,11:10,003.46528,00044.129,00056.132
204,06/29/2025,11:30,003.47917,00044.316,00056.158
205,06/29/2025,11:50,003.49306,00045.220,00056.167
206,06/29/2025,12:10,003.50694,00045.913,00056.198
207,06/29/2025,12:30,003.52083,00046.532,00056.231
208,06/29/2025,12:50,003.53472,00047.352,00056.276
209,06/29/2025,13:10,003.54861,00048.049,00056.329
210,06/29/2025,13:30,003.56250,00049.222,00056.376
211,06/29/2025,13:50,003.57639,00050.539,00056.425
212,06/29/2025,14:10,003.59028,00051.933,00056.473
213,06/29/2025,14:30,003.60417,00052.924,00056.535
214,06/29/2025,14:50,003.61806,00054.204,00056.598
215,06/29/2025,15:10,003.63194,00055.119,00056.667
216,06/29/2025,15:30,003.64583,00055.947,00056.746
217,06/29/2025,15:50,003.65972,00057.169,00056.809
218,06/29/2025,16:10,003.67361,00058.355,00056.882
219,06/29/2025,16:30,003.68750,00059.802,00056.944
220,06/29/2025,16:50,003.70139,00060.647,00057.021
221,06/29/2025,17:10,003.71528,00061.633,00057.102
222,06/29/2025,17:30,003.72917,00063.263,00057.175
223,06/29/2025,17:50,003.74306,00064.405,00057.257
224,06/29/2025,18:10,003.75694,00065.636,00057.336
225,06/29/2025,18:30,003.77083,00066.470,00057.417
226,06/29/2025,18:50,003.78472,00067.790,00057.493
227,06/29/2025,19:10,003.79861,00068.731,00057.567
228,06/29/2025,19:30,003.81250,00069.650,00057.644
229,06/29/2025,19:50,003.82639,00070.119,00057.727
230,06/29/2025,20:10,003.84028,00070.732,00057.808
231,06/29/2025,20:30,003.85417,00071.525,00057.884
232,06/29/2025,20:50,003.86806,00071.438,00057.961
233,06/29/2025,21:10,003.88194,00072.153,00058.026
234,06/29/2025,21:30,003.89583,00072.662,00058.090
235,06/29/2025,21:50,003.90972,00072.691,00058.166
236,06/29/2025,22:10,003.92361,00072.844,00058.241
237,06/29/2025,22:30,003.93750,00072.259,00058.322
238,06/29/2025,22:50,003.95139,00072.150,00058.388
239,06/29/2025,23:10,003.96528,00072.021,00058.447
240,06/29/2025,23:30,003.97917,00071.522,00058.497
241,06/29/2025,23:50,003.99306,00070.263,00058.558
242,06/30/2025,00:10,004.00694,00070.176,00058.595
243,06/30/2025,00:30,004.02083,00069.015,00058.643
244,06/30/2025,00:50,004.03472,00068.556,00058.683
245,06/30/2025,01:10,004.04861,00067.702,00058.728
246,06/30/2025,01:30,004.06250,00066.746,00058.771
247,06/30/2025,01:50,004.07639,00065.570,00058.814
248,06/30/2025,02:10,004.09028,00064.506,00058.844
249,06/30/2025,02:30,004.10417,00063.454,00058.870
250,06/30/2025,02:50,004.11806,00062.864,00058.884
251,06/30/2025,03:10,004.13194,00061.405,00058.907
252,06/30/2025,03:30,004.14583,00060.727,00058.921
253,06/30/2025,03:50,004.15972,00058.840,00058.949
254,06/30/2025,04:10,004.17361,00057.876,00058.965
255,06/30/2025,04:30,004.18750,00056.807,00058.973
256,06/30/2025,04:50,004.20139,00056.098,00058.976
257,06/30/2025,05:10,004.21528,00054.937,00058.980
258,06/30/2025,05:30,004.22917,00054.377,00058.971
259,06/30/2025,05:50,004.24306,00053.312,00058.955
260,06/30/2025,06:10,004.25694,00052.851,00058.934
261,06/30/2025,06:30,004.27083,00051.734,00058.917
262,06/30/2025,06:50,004.28472,00051.309,00058.891
263,06/30/2025,07:10,004.29861,00050.223,00058.861
264,06/30/2025,07:30,004.31250,00049.659,00058.826
265,06/30/2025,07:50,004.32639,00048.901,00058.791
266,06/30/2025,08:10,004.34028,00048.685,00058.751
267,06/30/2025,08:30,004.35417,00048.300,00058.712
268,06/30/2025,08:50,004.36806,00047.578,00058.670
269,06/30/2025,09:10,004.38194,00047.443,00058.632
270,06/30/2025,09:30,004.39583,00047.214,00058.592
271,06/30/2025,09:50,004.40972,00047.177,00058.548
272,06/30/2025,10:10,004.42361,00047.202,00058.508
273,06/30/2025,10:30,004.43750,00047.069,00058.466
274,06/30/2025,10:50,004.45139,00047.246,00058.428
275,06/30/2025,11:10,004.46528,00047.306,00058.399
276,06/30/2025,11:30,004.47917,00047.232,00058.366
277,06/30/2025,11:50,004.49306,00047.461,00058.336
278,06/30/2025,12:10,004.50694,00047.795,00058.322
279,06/30/2025,12:30,004.52083,00048.232,00058.300
280,06/30/2025,12:50,004.53472,00048.933,00058.291
281,06/30/2025,13:10,004.54861,00049.718,00058.281
282,06/30/2025,13:30,004.56250,00050.225,00058.285
283,06/30/2025,13:50,004.57639,00051.136,00058.282
284,06/30/2025,14:10,004.59028,00051.628,00058.295
285,06/30/2025,14:30,004.60417,00052.730,00058.309
286,06/30/2025,14:50,004.61806,00053.342,00058.339
287,06/30/2025,15:10,004.63194,00054.397,00058.362
288,06/30/2025,15:30,004.64583,00055.476,00058.399
289,06/30/2025,15:50,004.65972,00056.045,00058.432
290,06/30/2025,16:10,004.67361,00057.399,00058.471
291,06/30/2025,16:30,004.68750,00057.867,00058.517
292,06/30/2025,16:50,004.70139,00059.269,00058.562
293,06/30/2025,17:10,004.71528,00059.796,00058.617
294,06/30/2025,17:30,004.72917,00060.440,00058.672
295,06/30/2025,17:50,004.74306,00061.005,00058.722
296,06/30/2025,18:10,004.75694,00062.461,00058.767
297,06/30/2025,18:30,004.77083,00063.279,00058.822
298,06/30/2025,18:50,004.78472,00064.154,00058.872
299,06/30/2025,19:10,004.79861,00064.555,00058.929
300,06/30/2025,19:30,004.81250,00065.678,00058.980
301,06/30/2025,19:50,004.82639,00066.391,00059.044
302,06/30/2025,20:10,004.84028,00066.986,00059.104
303,06/30/2025,20:30,004.85417,00067.577,00059.158
304,06/30/2025,20:50,004.86806,00067.740,00059.219
305,06/30/2025,21:10,004.88194,00068.581,00059.274
306,06/30/2025,21:30,004.89583,00069.019,00059.334
307,06/30/2025,21:50,004.90972,00069.449,00059.391
308,06/30/2025,22:10,004.92361,00069.859,00059.450
309,06/30/2025,22:30,004.93750,00069.713,00059.512
310,06/30/2025,22:50,004.95139,00069.699,00059.571
311,06/30/2025,23:10,004.96528,00070.073,00059.619
312,06/30/2025,23:30,004.97917,00069.627,00059.681
313,06/30/2025,23:50,004.99306,00069.573,00059.734
314,07/01/2025,00:10,005.00694,00069.579,00059.791
315,07/01/2025,00:30,005.02083,00069.049,00059.847
316,07/01/2025,00:50,005.03472,00069.014,00059.891
317,07/01/2025,01:10,005.04861,00068.664,00059.938
318,07/01/2025,01:30,005.06250,00068.457,00059.973
319,07/01/2025,01:50,005.07639,00067.470,00060.023
320,07/01/2025,02:10,005.09028,00066.962,00060.054
321,07/01/2025,02:30,005.10417,00066.619,00060.085
322,07/01/2025,02:50,005.11806,00066.277,00060.102
323,07/01/2025,03:10,005.13194,00065.570,00060.122
324,07/01/2025,03:30,005.14583,00065.106,00060.127
325,07/01/2025,03:50,005.15972,00063.731,00060.146
326,07/01/2025,04:10,005.17361,00062.956,00060.154
327,07/01/2025,04:30,005.18750,00061.672,00060.157
328,07/01/2025,04:50,005.20139,00061.416,00060.144
329,07/01/2025,05:10,005.21528,00060.594,00060.129
330,07/01/2025,05:30,005.22917,00059.578,00060.116
331,07/01/2025,05:50,005.24306,00058.545,00060.107
332,07/01/2025,06:10,005.25694,00058.017,00060.097
333,07/01/2025,06:30,005.27083,00057.578,00060.070
334,07/01/2025,06:50,005.28472,00056.246,00060.053
335,07/01/2025,07:10,005.29861,00055.775,00060.017
336,07/01/2025,07:30,005.31250,00055.071,00059.989
337,07/01/2025,07:50,005.32639,00054.940,00059.947
338,07/01/2025,08:10,005.34028,00053.845,00059.917
339,07/01/2025,08:30,005.35417,00053.122,00059.880
340,07/01/2025,08:50,005.36806,00052.857,00059.832
341,07/01/2025,09:10,005.38194,00052.428,00059.793
342,07/01/2025,09:30,005.39583,00052.141,00059.749
343,07/01/2025,09:50,005.40972,00051.816,00059.698
344,07/01/2025,10:10,005.42361,00051.778,00059.639
345,07/01/2025,10:30,005.43750,00051.554,00059.584
346,07/01/2025,10:50,005.45139,00051.285,00059.532
347,07/01/2025,11:10,005.46528,00051.066,00059.481
348,07/01/2025,11:30,005.47917,00051.321,00059.425
349,07/01/2025,11:50,005.49306,00051.048,00059.382
350,07/01/2025,12:10,005.50694,00051.515,00059.329
351,07/01/2025,12:30,005.52083,00051.338,00059.284
352,07/01/2025,12:50,005.53472,00051.363,00059.241
353,07/01/2025,13:10,005.54861,00051.946,00059.191
354,07/01/2025,13:30,005.56250,00052.007,00059.156
355,07/01/2025,13:50,005.57639,00052.891,00059.107
356,07/01/2025,14:10,005.59028,00052.814,00059.081
357,07/01/2025,14:30,005.60417,00053.514,00059.043
358,07/01/2025,14:50,005.61806,00053.599,00059.014
359,07/01/2025,15:10,005.63194,00054.085,00058.978
360,07/01/2025,15:30,005.64583,00054.293,00058.946
361,07/01/2025,15:50,005.65972,00055.462,00058.902
362,07/01/2025,16:10,005.67361,00055.895,00058.879
363,07/01/2025,16:30,005.68750,00056.322,00058.863
364,07/01/2025,16:50,005.70139,00056.644,00058.867
365,07/01/2025,17:10,005.71528,00057.371,00058.860
366,07/01/2025,17:30,005.72917,00057.837,00058.861
367,07/01/2025,17:50,005.74306,00058.748,00058.862
368,07/01/2025,18:10,005.75694,00059.821,00058.866
369,07/01/2025,18:30,005.77083,00060.075,00058.886
370,07/01/2025,18:50,005.78472,00060.679,00058.907
371,07/01/2025,19:10,005.79861,00061.090,00058.944
372,07/01/2025,19:30,005.81250,00061.822,00058.976
373,07/01/2025,19:50,005.82639,00062.576,00059.013
374,07/01/2025,20:10,005.84028,00063.139,00059.047
375,07/01/2025,20:30,005.85417,00063.551,00059.092
376,07/01/2025,20:50,005.86806,00063.870,00059.143
377,07/01/2025,21:10,005.88194,00064.534,00059.181
378,07/01/2025,21:30,005.89583,00065.101,00059.220
379,07/01/2025,21:50,005.90972,00065.013,00059.271
380,07/01/2025,22:10,005.92361,00065.204,00059.320
381,07/01/2025,22:30,005.93750,00065.656,00059.369
382,07/01/2025,22:50,005.95139,00065.672,00059.424
383,07/01/2025,23:10,005.96528,00065.813,00059.479
384,07/01/2025,23:30,005.97917,00066.292,00059.530
385,07/01/2025,23:50,005.99306,00066.250,00059.580
386,07/02/2025,00:10,006.00694,00066.265,00059.640
387,07/02/2025,00:30,006.02083,00066.145,00059.689
388,07/02/2025,00:50,006.03472,00066.016,00059.747
389,07/02/2025,01:10,006.04861,00065.974,00059.799
390,07/02/2025,01:30,006.06250,00066.198,00059.845
391,07/02/2025,01:50,006.07639,00065.806,00059.898
392,07/02/2025,02:10,006.09028,00065.515,00059.949
393,07/02/2025,02:30,006.10417,00064.932,00060.009
394,07/02/2025,02:50,006.11806,00064.652,00060.058
395,07/02/2025,03:10,006.13194,00064.173,00060.113
396,07/02/2025,03:30,006.14583,00063.438,00060.166
397,07/02/2025,03:50,006.15972,00063.095,00060.216
398,07/02/2025,04:10,006.17361,00062.515,00060.254
399,07/02/2025,04:30,006.18750,00062.268,00060.290
400,07/02/2025,04:50,006.20139,00062.230,00060.334
401,07/02/2025,05:10,006.21528,00061.633,00060.382
402,07/02/2025,05:30,006.22917,00061.196,00060.422
403,07/02/2025,05:50,006.24306,00060.510,00060.465
404,07/02/2025,06:10,006.25694,00059.920,00060.499
405,07/02/2025,06:30,006.27083,00059.692,00060.518
406,07/02/2025,06:50,006.28472,00059.711,00060.535
407,07/02/2025,07:10,006.29861,00059.323,00060.557
408,07/02/2025,07:30,006.31250,00058.790,00060.584
409,07/02/2025,07:50,006.32639,00058.536,00060.601
410,07/02/2025,08:10,006.34028,00057.934,00060.632
411,07/02/2025,08:30,006.35417,00057.515,00060.657
412,07/02/2025,08:50,006.36806,00057.092,00060.680
413,07/02/2025,09:10,006.38194,00056.232,00060.709
414,07/02/2025,09:30,006.39583,00055.799,00060.727
415,07/02/2025,09:50,006.40972,00055.727,00060.743
416,07/02/2025,10:10,006.42361,00055.577,00060.752
417,07/02/2025,10:30,006.43750,00055.757,00060.751
418,07/02/2025,10:50,006.45139,00055.540,00060.745
419,07/02/2025,11:10,006.46528,00055.328,00060.745
420,07/02/2025,11:30,006.47917,00055.242,00060.748
421,07/02/2025,11:50,006.49306,00054.918,00060.754
422,07/02/2025,12:10,006.50694,00055.319,00060.750
423,07/02/2025,12:30,006.52083,00054.934,00060.755
424,07/02/2025,12:50,006.53472,00055.371,00060.750
425,07/02/2025,13:10,006.54861,00055.080,00060.753
426,07/02/2025,13:30,006.56250,00055.527,00060.749
427,07/02/2025,13:50,006.57639,00055.416,00060.744
428,07/02/2025,14:10,006.59028,00056.277,00060.733
429,07/02/2025,14:30,006.60417,00056.537,00060.724
430,07/02/2025,14:50,006.61806,00056.771,00060.725
431,07/02/2025,15:10,006.63194,00057.065,00060.727
432,07/02/2025,15:30,006.64583,00057.149,00060.743
433,07/02/2025,15:50,006.65972,00057.540,00060.761
434,07/02/2025,16:10,006.67361,00057.659,00060.776
435,07/02/2025,16:30,006.68750,00058.249,00060.790
436,07/02/2025,16:50,006.70139,00059.412,00060.793
437,07/02/2025,17:10,006.71528,00059.491,00060.809
438,07/02/2025,17:30,006.72917,00059.856,00060.821
439,07/02/2025,17:50,006.74306,00060.229,00060.839
440,07/02/2025,18:10,006.75694,00060.590,00060.860
441,07/02/2025,18:30,006.77083,00061.008,00060.883
442,07/02/2025,18:50,006.78472,00061.323,00060.905
443,07/02/2025,19:10,006.79861,00061.839,00060.925
444,07/02/2025,19:30,006.81250,00062.518,00060.942
445,07/02/2025,19:50,006.82639,00062.820,00060.969
446,07/02/2025,20:10,006.84028,00064.165,00060.976
