LumiCycle: 2A-SCNm4m (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/10/2025,15:32,000.64722,00141.059,00124.970
1,07/10/2025,15:52,000.66111,00135.129,00124.219
2,07/10/2025,16:12,000.67500,00128.070,00123.462
3,07/10/2025,16:32,000.68889,00121.084,00122.697
4,07/10/2025,16:52,000.70278,00116.111,00121.894
5,07/10/2025,17:12,000.71667,00115.433,00121.040
6,07/10/2025,17:32,000.73056,00114.014,00120.179
7,07/10/2025,17:52,000.74444,00114.743,00119.288
8,07/10/2025,18:12,000.75833,00116.102,00118.381
9,07/10/2025,18:32,000.77222,00118.171,00117.465
10,07/10/2025,18:52,000.78611,00119.201,00116.567
11,07/10/2025,19:12,000.80000,00120.944,00115.662
12,07/10/2025,19:32,000.81389,00122.502,00114.760
13,07/10/2025,19:52,000.82778,00123.455,00113.882
14,07/10/2025,20:12,000.84167,00123.673,00113.014
15,07/10/2025,20:32,000.85556,00124.036,00112.153
16,07/10/2025,20:52,000.86944,00123.280,00111.309
17,07/10/2025,21:12,000.88333,00122.225,00110.485
18,07/10/2025,21:32,000.89722,00119.683,00109.691
19,07/10/2025,21:52,000.91111,00116.816,00108.900
20,07/10/2025,22:12,000.92500,00113.906,00108.123
21,07/10/2025,22:32,000.93889,00110.839,00107.344
22,07/10/2025,22:52,000.95278,00108.280,00106.581
23,07/10/2025,23:12,000.96667,00105.752,00105.823
24,07/10/2025,23:32,000.98056,00103.364,00105.083
25,07/10/2025,23:52,000.99444,00100.439,00104.354
26,07/11/2025,00:12,001.00833,00097.128,00103.641
27,07/11/2025,00:32,001.02222,00095.486,00102.915
28,07/11/2025,00:52,001.03611,00094.184,00102.201
29,07/11/2025,01:12,001.05000,00092.666,00101.506
30,07/11/2025,01:32,001.06389,00090.590,00100.843
31,07/11/2025,01:52,001.07778,00089.188,00100.190
32,07/11/2025,02:12,001.09167,00086.730,00099.561
33,07/11/2025,02:32,001.10556,00085.724,00098.926
34,07/11/2025,02:52,001.11944,00084.326,00098.301
35,07/11/2025,03:12,001.13333,00083.775,00097.682
36,07/11/2025,03:32,001.14722,00082.687,00097.073
37,07/11/2025,03:52,001.16111,00081.073,00096.480
38,07/11/2025,04:12,001.17500,00079.459,00095.974
39,07/11/2025,04:32,001.18889,00079.008,00095.550
40,07/11/2025,04:52,001.20278,00078.242,00095.239
41,07/11/2025,05:12,001.21667,00078.912,00094.986
42,07/11/2025,05:32,001.23056,00077.683,00094.777
43,07/11/2025,05:52,001.24444,00077.606,00094.562
44,07/11/2025,06:12,001.25833,00077.132,00094.351
45,07/11/2025,06:32,001.27222,00077.139,00094.106
46,07/11/2025,06:52,001.28611,00077.485,00093.821
47,07/11/2025,07:12,001.30000,00077.598,00093.518
48,07/11/2025,07:32,001.31389,00077.708,00093.178
49,07/11/2025,07:52,001.32778,00078.790,00092.794
50,07/11/2025,08:12,001.34167,00078.745,00092.409
51,07/11/2025,08:32,001.35556,00079.442,00091.993
52,07/11/2025,08:52,001.36944,00079.510,00091.560
53,07/11/2025,09:12,001.38333,00080.699,00091.116
54,07/11/2025,09:32,001.39722,00081.383,00090.675
55,07/11/2025,09:52,001.41111,00081.210,00090.269
56,07/11/2025,10:12,001.42500,00082.172,00089.869
57,07/11/2025,10:32,001.43889,00081.931,00089.502
58,07/11/2025,10:52,001.45278,00083.540,00089.131
59,07/11/2025,11:12,001.46667,00083.975,00088.807
60,07/11/2025,11:32,001.48056,00085.421,00088.482
61,07/11/2025,11:52,001.49444,00085.588,00088.200
62,07/11/2025,12:12,001.50833,00086.434,00087.924
63,07/11/2025,12:32,001.52222,00087.178,00087.693
64,07/11/2025,12:52,001.53611,00088.302,00087.450
65,07/11/2025,13:12,001.55000,00089.519,00087.232
66,07/11/2025,13:32,001.56389,00091.249,00087.013
67,07/11/2025,13:52,001.57778,00092.649,00086.831
68,07/11/2025,14:12,001.59167,00093.288,00086.656
69,07/11/2025,14:32,001.60556,00094.338,00086.499
70,07/11/2025,14:52,001.61944,00094.649,00086.362
71,07/11/2025,15:12,001.63333,00095.958,00086.223
72,07/11/2025,15:32,001.64722,00096.141,00086.111
73,07/11/2025,15:52,001.66111,00096.755,00085.995
74,07/11/2025,16:12,001.67500,00097.048,00085.904
75,07/11/2025,16:32,001.68889,00097.094,00085.838
76,07/11/2025,16:52,001.70278,00097.964,00085.764
77,07/11/2025,17:12,001.71667,00098.578,00085.705
78,07/11/2025,17:32,001.73056,00099.156,00085.631
79,07/11/2025,17:52,001.74444,00098.421,00085.595
80,07/11/2025,18:12,001.75833,00099.069,00085.538
81,07/11/2025,18:32,001.77222,00098.482,00085.512
82,07/11/2025,18:52,001.78611,00097.998,00085.487
83,07/11/2025,19:12,001.80000,00097.491,00085.459
84,07/11/2025,19:32,001.81389,00096.563,00085.438
85,07/11/2025,19:52,001.82778,00095.959,00085.418
86,07/11/2025,20:12,001.84167,00095.647,00085.374
87,07/11/2025,20:32,001.85556,00094.477,00085.347
88,07/11/2025,20:52,001.86944,00092.894,00085.319
89,07/11/2025,21:12,001.88333,00092.505,00085.281
90,07/11/2025,21:32,001.89722,00091.135,00085.244
91,07/11/2025,21:52,001.91111,00090.325,00085.190
92,07/11/2025,22:12,001.92500,00088.955,00085.160
93,07/11/2025,22:32,001.93889,00087.260,00085.133
94,07/11/2025,22:52,001.95278,00085.750,00085.115
95,07/11/2025,23:12,001.96667,00085.358,00085.079
96,07/11/2025,23:32,001.98056,00083.802,00085.055
97,07/11/2025,23:52,001.99444,00083.228,00085.000
98,07/12/2025,00:12,002.00833,00081.398,00084.970
99,07/12/2025,00:32,002.02222,00081.250,00084.911
100,07/12/2025,00:52,002.03611,00079.095,00084.873
101,07/12/2025,01:12,002.05000,00079.754,00084.789
102,07/12/2025,01:32,002.06389,00078.582,00084.714
103,07/12/2025,01:52,002.07778,00078.929,00084.608
104,07/12/2025,02:12,002.09167,00077.197,00084.525
105,07/12/2025,02:32,002.10556,00076.513,00084.410
106,07/12/2025,02:52,002.11944,00076.146,00084.292
107,07/12/2025,03:12,002.13333,00075.613,00084.175
