LumiCycle: 2B-SCNm4r (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/10/2025,18:02,000.75139,00101.413,00106.708
1,07/10/2025,18:22,000.76528,00103.910,00106.612
2,07/10/2025,18:42,000.77917,00107.375,00106.499
3,07/10/2025,19:02,000.79306,00110.710,00106.393
4,07/10/2025,19:22,000.80694,00114.133,00106.277
5,07/10/2025,19:42,000.82083,00116.684,00106.180
6,07/10/2025,20:02,000.83472,00119.608,00106.064
7,07/10/2025,20:22,000.84861,00120.793,00105.970
8,07/10/2025,20:42,000.86250,00121.504,00105.873
9,07/10/2025,21:02,000.87639,00123.294,00105.756
10,07/10/2025,21:22,000.89028,00124.382,00105.639
11,07/10/2025,21:42,000.90417,00124.449,00105.531
12,07/10/2025,22:02,000.91806,00124.022,00105.442
13,07/10/2025,22:22,000.93194,00122.659,00105.358
14,07/10/2025,22:42,000.94583,00121.754,00105.272
15,07/10/2025,23:02,000.95972,00121.605,00105.174
16,07/10/2025,23:22,000.97361,00120.501,00105.098
17,07/10/2025,23:42,000.98750,00118.918,00105.033
18,07/11/2025,00:02,001.00139,00116.404,00104.987
19,07/11/2025,00:22,001.01528,00115.748,00104.912
20,07/11/2025,00:42,001.02917,00113.863,00104.855
21,07/11/2025,01:02,001.04306,00113.558,00104.784
22,07/11/2025,01:22,001.05694,00112.019,00104.735
23,07/11/2025,01:42,001.07083,00110.386,00104.711
24,07/11/2025,02:02,001.08472,00109.240,00104.678
25,07/11/2025,02:22,001.09861,00107.600,00104.651
26,07/11/2025,02:42,001.11250,00106.694,00104.613
27,07/11/2025,03:02,001.12639,00105.771,00104.578
28,07/11/2025,03:22,001.14028,00104.523,00104.561
29,07/11/2025,03:42,001.15417,00103.112,00104.546
30,07/11/2025,04:02,001.16806,00102.286,00104.533
31,07/11/2025,04:22,001.18194,00101.693,00104.533
32,07/11/2025,04:42,001.19583,00100.686,00104.544
33,07/11/2025,05:02,001.20972,00098.809,00104.583
34,07/11/2025,05:22,001.22361,00098.380,00104.606
35,07/11/2025,05:42,001.23750,00097.928,00104.631
36,07/11/2025,06:02,001.25139,00097.105,00104.671
37,07/11/2025,06:22,001.26528,00097.001,00104.707
38,07/11/2025,06:42,001.27917,00096.742,00104.730
39,07/11/2025,07:02,001.29306,00097.074,00104.703
40,07/11/2025,07:22,001.30694,00096.499,00104.652
41,07/11/2025,07:42,001.32083,00096.984,00104.540
42,07/11/2025,08:02,001.33472,00095.977,00104.422
43,07/11/2025,08:22,001.34861,00095.837,00104.253
44,07/11/2025,08:42,001.36250,00095.119,00104.073
45,07/11/2025,09:02,001.37639,00094.791,00103.885
46,07/11/2025,09:22,001.39028,00094.095,00103.665
47,07/11/2025,09:42,001.40417,00093.695,00103.435
48,07/11/2025,10:02,001.41806,00094.588,00103.180
49,07/11/2025,10:22,001.43194,00094.041,00102.953
50,07/11/2025,10:42,001.44583,00094.315,00102.728
51,07/11/2025,11:02,001.45972,00094.192,00102.511
52,07/11/2025,11:22,001.47361,00094.804,00102.280
53,07/11/2025,11:42,001.48750,00095.160,00102.062
54,07/11/2025,12:02,001.50139,00095.601,00101.848
55,07/11/2025,12:22,001.51528,00095.345,00101.679
56,07/11/2025,12:42,001.52917,00095.452,00101.510
57,07/11/2025,13:02,001.54306,00095.992,00101.360
58,07/11/2025,13:22,001.55694,00096.328,00101.201
59,07/11/2025,13:42,001.57083,00098.043,00101.044
60,07/11/2025,14:02,001.58472,00097.887,00100.924
61,07/11/2025,14:22,001.59861,00097.834,00100.808
62,07/11/2025,14:42,001.61250,00097.788,00100.693
63,07/11/2025,15:02,001.62639,00097.996,00100.577
64,07/11/2025,15:22,001.64028,00098.886,00100.457
65,07/11/2025,15:42,001.65417,00098.979,00100.358
66,07/11/2025,16:02,001.66806,00099.602,00100.276
67,07/11/2025,16:22,001.68194,00100.821,00100.183
68,07/11/2025,16:42,001.69583,00101.222,00100.100
69,07/11/2025,17:02,001.70972,00102.346,00100.033
70,07/11/2025,17:22,001.72361,00102.632,00099.986
71,07/11/2025,17:42,001.73750,00102.750,00099.956
72,07/11/2025,18:02,001.75139,00103.459,00099.905
73,07/11/2025,18:22,001.76528,00103.899,00099.873
74,07/11/2025,18:42,001.77917,00105.329,00099.828
75,07/11/2025,19:02,001.79306,00105.754,00099.797
76,07/11/2025,19:22,001.80694,00106.475,00099.761
77,07/11/2025,19:42,001.82083,00106.568,00099.739
78,07/11/2025,20:02,001.83472,00107.138,00099.695
79,07/11/2025,20:22,001.84861,00107.363,00099.674
80,07/11/2025,20:42,001.86250,00107.114,00099.647
81,07/11/2025,21:02,001.87639,00107.576,00099.619
82,07/11/2025,21:22,001.89028,00106.762,00099.611
83,07/11/2025,21:42,001.90417,00107.482,00099.597
84,07/11/2025,22:02,001.91806,00106.930,00099.609
85,07/11/2025,22:22,001.93194,00107.145,00099.597
86,07/11/2025,22:42,001.94583,00106.764,00099.599
87,07/11/2025,23:02,001.95972,00105.954,00099.609
88,07/11/2025,23:22,001.97361,00105.592,00099.607
89,07/11/2025,23:42,001.98750,00105.184,00099.610
90,07/12/2025,00:02,002.00139,00103.973,00099.623
91,07/12/2025,00:22,002.01528,00103.984,00099.613
92,07/12/2025,00:42,002.02917,00103.692,00099.613
