LumiCycle: 2C-L3m2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:30,000.68750,00046.292,00047.696
1,07/03/2025,16:50,000.70139,00041.504,00047.762
2,07/03/2025,17:10,000.71528,00036.954,00047.818
3,07/03/2025,17:30,000.72917,00032.552,00047.863
4,07/03/2025,17:50,000.74306,00032.593,00047.844
5,07/03/2025,18:10,000.75694,00034.754,00047.789
6,07/03/2025,18:30,000.77083,00039.399,00047.699
7,07/03/2025,18:50,000.78472,00043.803,00047.608
8,07/03/2025,19:10,000.79861,00048.432,00047.510
9,07/03/2025,19:30,000.81250,00051.209,00047.437
10,07/03/2025,19:50,000.82639,00053.354,00047.388
11,07/03/2025,20:10,000.84028,00054.612,00047.355
12,07/03/2025,20:30,000.85417,00056.114,00047.316
13,07/03/2025,20:50,000.86806,00055.919,00047.291
14,07/03/2025,21:10,000.88194,00055.481,00047.264
15,07/03/2025,21:30,000.89583,00055.397,00047.235
16,07/03/2025,21:50,000.90972,00055.031,00047.203
17,07/03/2025,22:10,000.92361,00055.702,00047.167
18,07/03/2025,22:30,000.93750,00055.201,00047.135
19,07/03/2025,22:50,000.95139,00055.150,00047.086
20,07/03/2025,23:10,000.96528,00054.797,00047.025
21,07/03/2025,23:30,000.97917,00053.411,00046.973
22,07/03/2025,23:50,000.99306,00053.041,00046.909
23,07/04/2025,00:10,001.00694,00052.574,00046.843
24,07/04/2025,00:30,001.02083,00052.419,00046.771
25,07/04/2025,00:50,001.03472,00051.886,00046.692
26,07/04/2025,01:10,001.04861,00051.506,00046.613
27,07/04/2025,01:30,001.06250,00050.851,00046.545
28,07/04/2025,01:50,001.07639,00050.307,00046.480
29,07/04/2025,02:10,001.09028,00049.490,00046.412
30,07/04/2025,02:30,001.10417,00049.720,00046.322
31,07/04/2025,02:50,001.11806,00048.429,00046.240
32,07/04/2025,03:10,001.13194,00048.365,00046.142
33,07/04/2025,03:30,001.14583,00047.264,00046.047
34,07/04/2025,03:50,001.15972,00047.062,00045.943
35,07/04/2025,04:10,001.17361,00046.986,00045.842
36,07/04/2025,04:30,001.18750,00046.328,00045.753
37,07/04/2025,04:50,001.20139,00046.257,00045.668
38,07/04/2025,05:10,001.21528,00045.755,00045.656
39,07/04/2025,05:30,001.22917,00045.118,00045.709
40,07/04/2025,05:50,001.24306,00044.999,00045.815
41,07/04/2025,06:10,001.25694,00044.483,00045.927
42,07/04/2025,06:30,001.27083,00044.440,00045.998
43,07/04/2025,06:50,001.28472,00044.168,00046.022
44,07/04/2025,07:10,001.29861,00043.871,00045.993
45,07/04/2025,07:30,001.31250,00043.781,00045.894
46,07/04/2025,07:50,001.32639,00044.943,00045.750
47,07/04/2025,08:10,001.34028,00045.189,00045.589
48,07/04/2025,08:30,001.35417,00044.954,00045.433
49,07/04/2025,08:50,001.36806,00044.317,00045.269
50,07/04/2025,09:10,001.38194,00043.905,00045.115
51,07/04/2025,09:30,001.39583,00044.085,00044.965
52,07/04/2025,09:50,001.40972,00043.663,00044.833
53,07/04/2025,10:10,001.42361,00044.332,00044.694
54,07/04/2025,10:30,001.43750,00043.552,00044.578
55,07/04/2025,10:50,001.45139,00042.700,00044.477
56,07/04/2025,11:10,001.46528,00041.534,00044.394
57,07/04/2025,11:30,001.47917,00041.135,00044.316
58,07/04/2025,11:50,001.49306,00041.316,00044.253
59,07/04/2025,12:10,001.50694,00041.089,00044.204
60,07/04/2025,12:30,001.52083,00040.965,00044.169
61,07/04/2025,12:50,001.53472,00040.068,00044.157
62,07/04/2025,13:10,001.54861,00040.186,00044.159
63,07/04/2025,13:30,001.56250,00040.774,00044.159
64,07/04/2025,13:50,001.57639,00041.060,00044.184
65,07/04/2025,14:10,001.59028,00040.606,00044.226
66,07/04/2025,14:30,001.60417,00039.997,00044.289
67,07/04/2025,14:50,001.61806,00039.115,00044.351
68,07/04/2025,15:10,001.63194,00039.151,00044.421
69,07/04/2025,15:30,001.64583,00038.362,00044.503
70,07/04/2025,15:50,001.65972,00038.589,00044.597
71,07/04/2025,16:10,001.67361,00038.967,00044.692
72,07/04/2025,16:30,001.68750,00039.250,00044.805
73,07/04/2025,16:50,001.70139,00040.068,00044.914
74,07/04/2025,17:10,001.71528,00040.168,00045.028
75,07/04/2025,17:30,001.72917,00040.082,00045.142
76,07/04/2025,17:50,001.74306,00040.087,00045.258
77,07/04/2025,18:10,001.75694,00040.153,00045.378
78,07/04/2025,18:30,001.77083,00039.848,00045.517
79,07/04/2025,18:50,001.78472,00040.807,00045.647
80,07/04/2025,19:10,001.79861,00041.472,00045.781
81,07/04/2025,19:30,001.81250,00041.193,00045.926
82,07/04/2025,19:50,001.82639,00041.963,00046.041
83,07/04/2025,20:10,001.84028,00042.054,00046.161
84,07/04/2025,20:30,001.85417,00043.103,00046.258
85,07/04/2025,20:50,001.86806,00043.728,00046.364
86,07/04/2025,21:10,001.88194,00044.381,00046.470
87,07/04/2025,21:30,001.89583,00044.891,00046.576
88,07/04/2025,21:50,001.90972,00045.479,00046.669
89,07/04/2025,22:10,001.92361,00045.667,00046.770
90,07/04/2025,22:30,001.93750,00046.537,00046.846
91,07/04/2025,22:50,001.95139,00047.101,00046.935
92,07/04/2025,23:10,001.96528,00047.979,00047.030
93,07/04/2025,23:30,001.97917,00048.843,00047.135
94,07/04/2025,23:50,001.99306,00049.023,00047.250
95,07/05/2025,00:10,002.00694,00049.308,00047.347
96,07/05/2025,00:30,002.02083,00049.907,00047.435
97,07/05/2025,00:50,002.03472,00050.657,00047.511
98,07/05/2025,01:10,002.04861,00052.160,00047.586
99,07/05/2025,01:30,002.06250,00052.065,00047.679
100,07/05/2025,01:50,002.07639,00052.972,00047.747
101,07/05/2025,02:10,002.09028,00052.859,00047.820
102,07/05/2025,02:30,002.10417,00053.454,00047.889
103,07/05/2025,02:50,002.11806,00053.292,00047.973
104,07/05/2025,03:10,002.13194,00053.501,00048.066
105,07/05/2025,03:30,002.14583,00053.427,00048.154
106,07/05/2025,03:50,002.15972,00054.309,00048.227
107,07/05/2025,04:10,002.17361,00054.245,00048.301
108,07/05/2025,04:30,002.18750,00055.455,00048.347
109,07/05/2025,04:50,002.20139,00054.967,00048.415
110,07/05/2025,05:10,002.21528,00054.579,00048.477
111,07/05/2025,05:30,002.22917,00053.863,00048.538
112,07/05/2025,05:50,002.24306,00053.496,00048.595
113,07/05/2025,06:10,002.25694,00053.690,00048.645
114,07/05/2025,06:30,002.27083,00054.197,00048.691
115,07/05/2025,06:50,002.28472,00054.739,00048.737
116,07/05/2025,07:10,002.29861,00054.463,00048.778
117,07/05/2025,07:30,002.31250,00054.021,00048.809
118,07/05/2025,07:50,002.32639,00052.872,00048.864
119,07/05/2025,08:10,002.34028,00053.682,00048.878
120,07/05/2025,08:30,002.35417,00053.236,00048.910
121,07/05/2025,08:50,002.36806,00053.162,00048.925
122,07/05/2025,09:10,002.38194,00052.638,00048.939
123,07/05/2025,09:30,002.39583,00052.049,00048.943
124,07/05/2025,09:50,002.40972,00051.339,00048.952
125,07/05/2025,10:10,002.42361,00051.112,00048.948
126,07/05/2025,10:30,002.43750,00050.681,00048.957
127,07/05/2025,10:50,002.45139,00050.562,00048.950
128,07/05/2025,11:10,002.46528,00050.370,00048.938
129,07/05/2025,11:30,002.47917,00049.955,00048.919
130,07/05/2025,11:50,002.49306,00049.586,00048.892
131,07/05/2025,12:10,002.50694,00048.617,00048.877
132,07/05/2025,12:30,002.52083,00048.024,00048.853
133,07/05/2025,12:50,002.53472,00047.181,00048.836
134,07/05/2025,13:10,002.54861,00047.010,00048.815
135,07/05/2025,13:30,002.56250,00046.774,00048.766
136,07/05/2025,13:50,002.57639,00046.563,00048.721
137,07/05/2025,14:10,002.59028,00046.177,00048.658
138,07/05/2025,14:30,002.60417,00046.180,00048.609
139,07/05/2025,14:50,002.61806,00045.907,00048.560
140,07/05/2025,15:10,002.63194,00046.028,00048.512
141,07/05/2025,15:30,002.64583,00045.378,00048.466
142,07/05/2025,15:50,002.65972,00044.512,00048.436
143,07/05/2025,16:10,002.67361,00043.839,00048.394
144,07/05/2025,16:30,002.68750,00043.491,00048.346
145,07/05/2025,16:50,002.70139,00043.654,00048.277
146,07/05/2025,17:10,002.71528,00044.141,00048.205
147,07/05/2025,17:30,002.72917,00043.840,00048.155
148,07/05/2025,17:50,002.74306,00043.813,00048.113
149,07/05/2025,18:10,002.75694,00043.881,00048.075
150,07/05/2025,18:30,002.77083,00043.989,00048.037
151,07/05/2025,18:50,002.78472,00043.688,00047.995
152,07/05/2025,19:10,002.79861,00043.516,00047.949
153,07/05/2025,19:30,002.81250,00043.278,00047.909
154,07/05/2025,19:50,002.82639,00043.988,00047.861
155,07/05/2025,20:10,002.84028,00043.747,00047.834
156,07/05/2025,20:30,002.85417,00043.945,00047.784
157,07/05/2025,20:50,002.86806,00044.088,00047.737
158,07/05/2025,21:10,002.88194,00044.220,00047.696
159,07/05/2025,21:30,002.89583,00044.057,00047.660
160,07/05/2025,21:50,002.90972,00044.869,00047.619
161,07/05/2025,22:10,002.92361,00044.954,00047.601
162,07/05/2025,22:30,002.93750,00045.901,00047.571
163,07/05/2025,22:50,002.95139,00045.874,00047.558
164,07/05/2025,23:10,002.96528,00046.102,00047.531
165,07/05/2025,23:30,002.97917,00046.126,00047.504
166,07/05/2025,23:50,002.99306,00046.547,00047.473
167,07/06/2025,00:10,003.00694,00046.971,00047.443
168,07/06/2025,00:30,003.02083,00046.995,00047.429
169,07/06/2025,00:50,003.03472,00047.867,00047.403
170,07/06/2025,01:10,003.04861,00048.943,00047.373
171,07/06/2025,01:30,003.06250,00048.402,00047.365
172,07/06/2025,01:50,003.07639,00048.638,00047.342
173,07/06/2025,02:10,003.09028,00048.039,00047.344
174,07/06/2025,02:30,003.10417,00049.329,00047.315
175,07/06/2025,02:50,003.11806,00049.631,00047.298
176,07/06/2025,03:10,003.13194,00049.976,00047.279
177,07/06/2025,03:30,003.14583,00049.572,00047.272
178,07/06/2025,03:50,003.15972,00050.343,00047.253
179,07/06/2025,04:10,003.17361,00050.634,00047.243
180,07/06/2025,04:30,003.18750,00050.458,00047.247
181,07/06/2025,04:50,003.20139,00050.634,00047.247
182,07/06/2025,05:10,003.21528,00050.292,00047.243
183,07/06/2025,05:30,003.22917,00050.662,00047.223
184,07/06/2025,05:50,003.24306,00050.802,00047.202
185,07/06/2025,06:10,003.25694,00050.860,00047.193
186,07/06/2025,06:30,003.27083,00051.072,00047.177
187,07/06/2025,06:50,003.28472,00050.876,00047.171
188,07/06/2025,07:10,003.29861,00051.213,00047.152
189,07/06/2025,07:30,003.31250,00051.326,00047.140
190,07/06/2025,07:50,003.32639,00051.272,00047.148
191,07/06/2025,08:10,003.34028,00050.743,00047.155
192,07/06/2025,08:30,003.35417,00050.284,00047.155
193,07/06/2025,08:50,003.36806,00049.979,00047.144
194,07/06/2025,09:10,003.38194,00050.332,00047.130
195,07/06/2025,09:30,003.39583,00049.881,00047.124
196,07/06/2025,09:50,003.40972,00049.932,00047.116
197,07/06/2025,10:10,003.42361,00050.094,00047.095
198,07/06/2025,10:30,003.43750,00049.942,00047.083
199,07/06/2025,10:50,003.45139,00049.649,00047.062
200,07/06/2025,11:10,003.46528,00048.909,00047.052
201,07/06/2025,11:30,003.47917,00048.450,00047.040
202,07/06/2025,11:50,003.49306,00048.081,00047.029
203,07/06/2025,12:10,003.50694,00047.896,00047.007
204,07/06/2025,12:30,003.52083,00047.587,00046.985
205,07/06/2025,12:50,003.53472,00047.046,00046.971
206,07/06/2025,13:10,003.54861,00046.139,00046.953
207,07/06/2025,13:30,003.56250,00045.858,00046.925
208,07/06/2025,13:50,003.57639,00045.371,00046.904
209,07/06/2025,14:10,003.59028,00046.119,00046.867
210,07/06/2025,14:30,003.60417,00045.369,00046.873
211,07/06/2025,14:50,003.61806,00045.275,00046.842
212,07/06/2025,15:10,003.63194,00044.869,00046.814
213,07/06/2025,15:30,003.64583,00045.108,00046.763
214,07/06/2025,15:50,003.65972,00044.748,00046.723
215,07/06/2025,16:10,003.67361,00044.140,00046.684
216,07/06/2025,16:30,003.68750,00043.900,00046.640
217,07/06/2025,16:50,003.70139,00043.718,00046.604
218,07/06/2025,17:10,003.71528,00043.031,00046.573
219,07/06/2025,17:30,003.72917,00043.043,00046.534
220,07/06/2025,17:50,003.74306,00042.498,00046.498
221,07/06/2025,18:10,003.75694,00043.203,00046.442
222,07/06/2025,18:30,003.77083,00042.963,00046.394
223,07/06/2025,18:50,003.78472,00043.332,00046.334
224,07/06/2025,19:10,003.79861,00042.669,00046.293
225,07/06/2025,19:30,003.81250,00042.770,00046.241
226,07/06/2025,19:50,003.82639,00043.775,00046.181
227,07/06/2025,20:10,003.84028,00043.978,00046.130
228,07/06/2025,20:30,003.85417,00043.298,00046.096
229,07/06/2025,20:50,003.86806,00042.816,00046.070
230,07/06/2025,21:10,003.88194,00043.410,00046.020
231,07/06/2025,21:30,003.89583,00043.337,00045.972
232,07/06/2025,21:50,003.90972,00043.588,00045.927
233,07/06/2025,22:10,003.92361,00043.528,00045.884
234,07/06/2025,22:30,003.93750,00043.917,00045.832
235,07/06/2025,22:50,003.95139,00044.073,00045.777
236,07/06/2025,23:10,003.96528,00044.391,00045.721
237,07/06/2025,23:30,003.97917,00044.819,00045.680
238,07/06/2025,23:50,003.99306,00044.971,00045.640
239,07/07/2025,00:10,004.00694,00044.781,00045.615
240,07/07/2025,00:30,004.02083,00045.096,00045.575
241,07/07/2025,00:50,004.03472,00045.433,00045.544
242,07/07/2025,01:10,004.04861,00045.655,00045.508
243,07/07/2025,01:30,004.06250,00046.632,00045.465
244,07/07/2025,01:50,004.07639,00046.409,00045.432
245,07/07/2025,02:10,004.09028,00046.707,00045.395
246,07/07/2025,02:30,004.10417,00047.759,00045.339
247,07/07/2025,02:50,004.11806,00046.958,00045.325
248,07/07/2025,03:10,004.13194,00047.244,00045.288
249,07/07/2025,03:30,004.14583,00046.511,00045.269
