LumiCycle: 3A-L5m2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:35,000.69097,00050.239,00059.296
1,07/03/2025,16:55,000.70486,00047.639,00059.671
2,07/03/2025,17:15,000.71875,00046.834,00060.013
3,07/03/2025,17:35,000.73264,00046.850,00060.343
4,07/03/2025,17:55,000.74653,00049.254,00060.635
5,07/03/2025,18:15,000.76042,00052.240,00060.915
6,07/03/2025,18:35,000.77431,00055.672,00061.185
7,07/03/2025,18:55,000.78819,00059.158,00061.454
8,07/03/2025,19:15,000.80208,00062.498,00061.727
9,07/03/2025,19:35,000.81597,00065.118,00062.000
10,07/03/2025,19:55,000.82986,00067.218,00062.283
11,07/03/2025,20:15,000.84375,00068.353,00062.574
12,07/03/2025,20:35,000.85764,00070.476,00062.855
13,07/03/2025,20:55,000.87153,00071.415,00063.148
14,07/03/2025,21:15,000.88542,00072.356,00063.439
15,07/03/2025,21:35,000.89931,00072.753,00063.729
16,07/03/2025,21:55,000.91319,00072.877,00064.036
17,07/03/2025,22:15,000.92708,00073.392,00064.335
18,07/03/2025,22:35,000.94097,00073.426,00064.638
19,07/03/2025,22:55,000.95486,00074.175,00064.921
20,07/03/2025,23:15,000.96875,00074.123,00065.219
21,07/03/2025,23:35,000.98264,00074.608,00065.503
22,07/03/2025,23:55,000.99653,00074.736,00065.787
23,07/04/2025,00:15,001.01042,00074.485,00066.071
24,07/04/2025,00:35,001.02431,00074.637,00066.349
25,07/04/2025,00:55,001.03819,00074.557,00066.638
26,07/04/2025,01:15,001.05208,00075.144,00066.911
27,07/04/2025,01:35,001.06597,00074.988,00067.194
28,07/04/2025,01:55,001.07986,00074.794,00067.465
29,07/04/2025,02:15,001.09375,00074.220,00067.749
30,07/04/2025,02:35,001.10764,00074.130,00068.025
31,07/04/2025,02:55,001.12153,00074.230,00068.301
32,07/04/2025,03:15,001.13542,00074.561,00068.570
33,07/04/2025,03:35,001.14931,00074.116,00068.846
34,07/04/2025,03:55,001.16319,00073.761,00069.101
35,07/04/2025,04:15,001.17708,00073.576,00069.367
36,07/04/2025,04:35,001.19097,00073.833,00069.618
37,07/04/2025,04:55,001.20486,00073.399,00069.921
38,07/04/2025,05:15,001.21875,00073.375,00070.227
39,07/04/2025,05:35,001.23264,00073.101,00070.537
40,07/04/2025,05:55,001.24653,00072.779,00070.813
41,07/04/2025,06:15,001.26042,00072.597,00071.046
42,07/04/2025,06:35,001.27431,00072.561,00071.232
43,07/04/2025,06:55,001.28819,00072.673,00071.372
44,07/04/2025,07:15,001.30208,00071.984,00071.479
45,07/04/2025,07:35,001.31597,00072.147,00071.536
46,07/04/2025,07:55,001.32986,00071.763,00071.574
47,07/04/2025,08:15,001.34375,00072.032,00071.590
48,07/04/2025,08:35,001.35764,00071.634,00071.580
49,07/04/2025,08:55,001.37153,00071.580,00071.556
50,07/04/2025,09:15,001.38542,00070.955,00071.529
51,07/04/2025,09:35,001.39931,00071.838,00071.490
52,07/04/2025,09:55,001.41319,00071.671,00071.473
53,07/04/2025,10:15,001.42708,00071.464,00071.451
54,07/04/2025,10:35,001.44097,00070.834,00071.434
55,07/04/2025,10:55,001.45486,00071.027,00071.398
56,07/04/2025,11:15,001.46875,00070.598,00071.387
57,07/04/2025,11:35,001.48264,00070.279,00071.370
58,07/04/2025,11:55,001.49653,00069.855,00071.357
59,07/04/2025,12:15,001.51042,00069.860,00071.342
60,07/04/2025,12:35,001.52431,00070.392,00071.315
61,07/04/2025,12:55,001.53819,00069.923,00071.307
62,07/04/2025,13:15,001.55208,00069.885,00071.287
63,07/04/2025,13:35,001.56597,00069.021,00071.293
64,07/04/2025,13:55,001.57986,00069.536,00071.295
65,07/04/2025,14:15,001.59375,00069.484,00071.307
66,07/04/2025,14:35,001.60764,00069.633,00071.322
67,07/04/2025,14:55,001.62153,00069.429,00071.344
68,07/04/2025,15:15,001.63542,00069.082,00071.365
69,07/04/2025,15:35,001.64931,00067.762,00071.422
70,07/04/2025,15:55,001.66319,00068.680,00071.443
71,07/04/2025,16:15,001.67708,00068.042,00071.486
72,07/04/2025,16:35,001.69097,00068.416,00071.520
73,07/04/2025,16:55,001.70486,00068.210,00071.582
74,07/04/2025,17:15,001.71875,00068.311,00071.651
75,07/04/2025,17:35,001.73264,00068.235,00071.719
76,07/04/2025,17:55,001.74653,00068.406,00071.783
77,07/04/2025,18:15,001.76042,00068.637,00071.841
78,07/04/2025,18:35,001.77431,00069.074,00071.894
79,07/04/2025,18:55,001.78819,00069.289,00071.943
80,07/04/2025,19:15,001.80208,00069.282,00072.012
81,07/04/2025,19:35,001.81597,00069.460,00072.076
82,07/04/2025,19:55,001.82986,00069.775,00072.143
83,07/04/2025,20:15,001.84375,00069.394,00072.219
84,07/04/2025,20:35,001.85764,00069.675,00072.284
85,07/04/2025,20:55,001.87153,00069.822,00072.354
86,07/04/2025,21:15,001.88542,00070.874,00072.403
87,07/04/2025,21:35,001.89931,00071.573,00072.444
88,07/04/2025,21:55,001.91319,00071.641,00072.490
89,07/04/2025,22:15,001.92708,00071.574,00072.546
90,07/04/2025,22:35,001.94097,00071.897,00072.613
91,07/04/2025,22:55,001.95486,00072.887,00072.655
92,07/04/2025,23:15,001.96875,00073.095,00072.703
93,07/04/2025,23:35,001.98264,00073.443,00072.748
94,07/04/2025,23:55,001.99653,00073.432,00072.792
95,07/05/2025,00:15,002.01042,00073.245,00072.842
96,07/05/2025,00:35,002.02431,00073.536,00072.871
97,07/05/2025,00:55,002.03819,00073.699,00072.904
98,07/05/2025,01:15,002.05208,00074.533,00072.921
99,07/05/2025,01:35,002.06597,00075.437,00072.945
100,07/05/2025,01:55,002.07986,00075.051,00072.990
101,07/05/2025,02:15,002.09375,00075.284,00073.021
102,07/05/2025,02:35,002.10764,00075.564,00073.049
103,07/05/2025,02:55,002.12153,00075.741,00073.066
104,07/05/2025,03:15,002.13542,00076.774,00073.078
105,07/05/2025,03:35,002.14931,00076.107,00073.133
106,07/05/2025,03:55,002.16319,00076.006,00073.163
107,07/05/2025,04:15,002.17708,00076.566,00073.191
108,07/05/2025,04:35,002.19097,00077.497,00073.211
109,07/05/2025,04:55,002.20486,00078.321,00073.234
110,07/05/2025,05:15,002.21875,00077.779,00073.270
111,07/05/2025,05:35,002.23264,00077.478,00073.298
112,07/05/2025,05:55,002.24653,00076.847,00073.326
113,07/05/2025,06:15,002.26042,00076.705,00073.344
114,07/05/2025,06:35,002.27431,00076.366,00073.349
115,07/05/2025,06:55,002.28819,00076.776,00073.352
116,07/05/2025,07:15,002.30208,00076.816,00073.348
117,07/05/2025,07:35,002.31597,00076.760,00073.357
118,07/05/2025,07:55,002.32986,00076.999,00073.352
119,07/05/2025,08:15,002.34375,00076.405,00073.366
120,07/05/2025,08:35,002.35764,00076.653,00073.370
121,07/05/2025,08:55,002.37153,00075.468,00073.388
122,07/05/2025,09:15,002.38542,00075.398,00073.375
123,07/05/2025,09:35,002.39931,00074.933,00073.359
124,07/05/2025,09:55,002.41319,00075.355,00073.335
125,07/05/2025,10:15,002.42708,00075.796,00073.314
126,07/05/2025,10:35,002.44097,00074.978,00073.306
127,07/05/2025,10:55,002.45486,00074.152,00073.281
128,07/05/2025,11:15,002.46875,00073.791,00073.259
129,07/05/2025,11:35,002.48264,00072.927,00073.242
130,07/05/2025,11:55,002.49653,00073.148,00073.216
131,07/05/2025,12:15,002.51042,00072.739,00073.206
132,07/05/2025,12:35,002.52431,00072.394,00073.184
133,07/05/2025,12:55,002.53819,00071.929,00073.159
134,07/05/2025,13:15,002.55208,00071.605,00073.126
135,07/05/2025,13:35,002.56597,00072.262,00073.075
136,07/05/2025,13:55,002.57986,00071.885,00073.061
137,07/05/2025,14:15,002.59375,00071.888,00073.029
138,07/05/2025,14:35,002.60764,00070.774,00073.017
139,07/05/2025,14:55,002.62153,00070.979,00072.975
140,07/05/2025,15:15,002.63542,00070.931,00072.941
141,07/05/2025,15:35,002.64931,00070.706,00072.921
142,07/05/2025,15:55,002.66319,00070.546,00072.900
143,07/05/2025,16:15,002.67708,00070.739,00072.866
144,07/05/2025,16:35,002.69097,00070.690,00072.821
145,07/05/2025,16:55,002.70486,00070.261,00072.769
146,07/05/2025,17:15,002.71875,00069.918,00072.723
147,07/05/2025,17:35,002.73264,00069.724,00072.685
148,07/05/2025,17:55,002.74653,00069.732,00072.647
149,07/05/2025,18:15,002.76042,00069.103,00072.629
150,07/05/2025,18:35,002.77431,00069.891,00072.597
151,07/05/2025,18:55,002.78819,00069.030,00072.585
152,07/05/2025,19:15,002.80208,00070.039,00072.543
153,07/05/2025,19:35,002.81597,00069.694,00072.520
154,07/05/2025,19:55,002.82986,00069.770,00072.475
155,07/05/2025,20:15,002.84375,00070.178,00072.447
156,07/05/2025,20:35,002.85764,00069.911,00072.424
157,07/05/2025,20:55,002.87153,00069.865,00072.413
158,07/05/2025,21:15,002.88542,00069.995,00072.396
159,07/05/2025,21:35,002.89931,00070.408,00072.370
160,07/05/2025,21:55,002.91319,00070.522,00072.343
161,07/05/2025,22:15,002.92708,00070.520,00072.314
162,07/05/2025,22:35,002.94097,00070.317,00072.294
163,07/05/2025,22:55,002.95486,00071.207,00072.271
164,07/05/2025,23:15,002.96875,00071.384,00072.258
165,07/05/2025,23:35,002.98264,00071.825,00072.246
166,07/05/2025,23:55,002.99653,00072.164,00072.217
167,07/06/2025,00:15,003.01042,00071.636,00072.213
168,07/06/2025,00:35,003.02431,00071.469,00072.198
169,07/06/2025,00:55,003.03819,00071.932,00072.183
170,07/06/2025,01:15,003.05208,00072.486,00072.166
171,07/06/2025,01:35,003.06597,00073.742,00072.128
172,07/06/2025,01:55,003.07986,00073.008,00072.126
173,07/06/2025,02:15,003.09375,00073.617,00072.108
174,07/06/2025,02:35,003.10764,00073.015,00072.127
175,07/06/2025,02:55,003.12153,00074.341,00072.105
176,07/06/2025,03:15,003.13542,00074.474,00072.108
177,07/06/2025,03:35,003.14931,00074.406,00072.108
178,07/06/2025,03:55,003.16319,00074.384,00072.117
179,07/06/2025,04:15,003.17708,00074.249,00072.127
180,07/06/2025,04:35,003.19097,00074.250,00072.143
181,07/06/2025,04:55,003.20486,00074.251,00072.161
182,07/06/2025,05:15,003.21875,00074.652,00072.168
183,07/06/2025,05:35,003.23264,00074.186,00072.184
184,07/06/2025,05:55,003.24653,00074.808,00072.189
185,07/06/2025,06:15,003.26042,00074.873,00072.210
186,07/06/2025,06:35,003.27431,00075.097,00072.219
187,07/06/2025,06:55,003.28819,00074.895,00072.239
188,07/06/2025,07:15,003.30208,00074.796,00072.240
189,07/06/2025,07:35,003.31597,00073.939,00072.254
190,07/06/2025,07:55,003.32986,00074.819,00072.238
191,07/06/2025,08:15,003.34375,00074.820,00072.237
192,07/06/2025,08:35,003.35764,00074.642,00072.239
193,07/06/2025,08:55,003.37153,00074.298,00072.248
194,07/06/2025,09:15,003.38542,00073.545,00072.256
195,07/06/2025,09:35,003.39931,00073.600,00072.254
196,07/06/2025,09:55,003.41319,00073.730,00072.249
197,07/06/2025,10:15,003.42708,00073.393,00072.249
198,07/06/2025,10:35,003.44097,00073.406,00072.246
199,07/06/2025,10:55,003.45486,00073.086,00072.240
200,07/06/2025,11:15,003.46875,00072.532,00072.233
201,07/06/2025,11:35,003.48264,00071.423,00072.233
202,07/06/2025,11:55,003.49653,00071.951,00072.206
203,07/06/2025,12:15,003.51042,00071.161,00072.212
204,07/06/2025,12:35,003.52431,00071.350,00072.210
205,07/06/2025,12:55,003.53819,00070.990,00072.216
206,07/06/2025,13:15,003.55208,00070.823,00072.214
207,07/06/2025,13:35,003.56597,00071.020,00072.183
208,07/06/2025,13:55,003.57986,00071.293,00072.166
209,07/06/2025,14:15,003.59375,00071.495,00072.140
210,07/06/2025,14:35,003.60764,00070.707,00072.144
211,07/06/2025,14:55,003.62153,00071.318,00072.106
212,07/06/2025,15:15,003.63542,00070.652,00072.092
213,07/06/2025,15:35,003.64931,00071.100,00072.079
214,07/06/2025,15:55,003.66319,00071.347,00072.077
215,07/06/2025,16:15,003.67708,00071.767,00072.070
216,07/06/2025,16:35,003.69097,00071.574,00072.064
217,07/06/2025,16:55,003.70486,00070.777,00072.058
218,07/06/2025,17:15,003.71875,00070.399,00072.042
219,07/06/2025,17:35,003.73264,00070.693,00072.034
220,07/06/2025,17:55,003.74653,00070.637,00072.033
221,07/06/2025,18:15,003.76042,00070.727,00072.028
222,07/06/2025,18:35,003.77431,00070.269,00072.024
223,07/06/2025,18:55,003.78819,00069.991,00072.020
224,07/06/2025,19:15,003.80208,00069.832,00072.007
225,07/06/2025,19:35,003.81597,00069.495,00072.002
226,07/06/2025,19:55,003.82986,00070.110,00071.984
227,07/06/2025,20:15,003.84375,00069.918,00071.980
228,07/06/2025,20:35,003.85764,00070.092,00071.975
229,07/06/2025,20:55,003.87153,00069.848,00071.980
230,07/06/2025,21:15,003.88542,00070.311,00071.989
231,07/06/2025,21:35,003.89931,00070.265,00072.012
232,07/06/2025,21:55,003.91319,00070.241,00072.032
233,07/06/2025,22:15,003.92708,00070.107,00072.043
234,07/06/2025,22:35,003.94097,00070.463,00072.036
235,07/06/2025,22:55,003.95486,00070.306,00072.032
236,07/06/2025,23:15,003.96875,00070.732,00072.027
237,07/06/2025,23:35,003.98264,00070.777,00072.042
238,07/06/2025,23:55,003.99653,00071.307,00072.045
