LumiCycle: 3B-T10m2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:25,000.68403,00097.681,00104.218
1,07/03/2025,16:45,000.69792,00087.678,00104.619
2,07/03/2025,17:05,000.71181,00080.330,00104.969
3,07/03/2025,17:25,000.72569,00074.163,00105.295
4,07/03/2025,17:45,000.73958,00075.862,00105.505
5,07/03/2025,18:05,000.75347,00080.794,00105.663
6,07/03/2025,18:25,000.76736,00087.126,00105.782
7,07/03/2025,18:45,000.78125,00094.426,00105.885
8,07/03/2025,19:05,000.79514,00101.178,00105.987
9,07/03/2025,19:25,000.80903,00107.001,00106.090
10,07/03/2025,19:45,000.82292,00112.175,00106.207
11,07/03/2025,20:05,000.83681,00115.172,00106.360
12,07/03/2025,20:25,000.85069,00117.691,00106.508
13,07/03/2025,20:45,000.86458,00118.481,00106.669
14,07/03/2025,21:05,000.87847,00119.409,00106.818
15,07/03/2025,21:25,000.89236,00119.316,00106.982
16,07/03/2025,21:45,000.90625,00120.329,00107.125
17,07/03/2025,22:05,000.92014,00120.622,00107.267
18,07/03/2025,22:25,000.93403,00120.484,00107.398
19,07/03/2025,22:45,000.94792,00119.644,00107.535
20,07/03/2025,23:05,000.96181,00118.910,00107.665
21,07/03/2025,23:25,000.97569,00119.387,00107.769
22,07/03/2025,23:45,000.98958,00119.830,00107.884
23,07/04/2025,00:05,001.00347,00120.138,00107.996
24,07/04/2025,00:25,001.01736,00119.931,00108.109
25,07/04/2025,00:45,001.03125,00120.114,00108.205
26,07/04/2025,01:05,001.04514,00120.285,00108.286
27,07/04/2025,01:25,001.05903,00119.937,00108.380
28,07/04/2025,01:45,001.07292,00119.497,00108.463
29,07/04/2025,02:05,001.08681,00118.495,00108.564
30,07/04/2025,02:25,001.10069,00117.125,00108.665
31,07/04/2025,02:45,001.11458,00117.009,00108.756
32,07/04/2025,03:05,001.12847,00116.512,00108.837
33,07/04/2025,03:25,001.14236,00117.105,00108.913
34,07/04/2025,03:45,001.15625,00116.861,00108.997
35,07/04/2025,04:05,001.17014,00117.192,00109.077
36,07/04/2025,04:25,001.18403,00116.984,00109.159
37,07/04/2025,04:45,001.19792,00116.521,00109.258
38,07/04/2025,05:05,001.21181,00115.577,00109.505
39,07/04/2025,05:25,001.22569,00114.992,00109.857
40,07/04/2025,05:45,001.23958,00114.442,00110.287
41,07/04/2025,06:05,001.25347,00114.013,00110.698
42,07/04/2025,06:25,001.26736,00112.620,00111.053
43,07/04/2025,06:45,001.28125,00112.387,00111.317
44,07/04/2025,07:05,001.29514,00111.726,00111.503
45,07/04/2025,07:25,001.30903,00110.963,00111.607
46,07/04/2025,07:45,001.32292,00111.286,00111.619
47,07/04/2025,08:05,001.33681,00111.693,00111.559
48,07/04/2025,08:25,001.35069,00110.817,00111.481
49,07/04/2025,08:45,001.36458,00110.105,00111.381
50,07/04/2025,09:05,001.37847,00109.322,00111.286
51,07/04/2025,09:25,001.39236,00109.378,00111.165
52,07/04/2025,09:45,001.40625,00108.972,00111.075
53,07/04/2025,10:05,001.42014,00108.233,00110.989
54,07/04/2025,10:25,001.43403,00106.966,00110.929
55,07/04/2025,10:45,001.44792,00106.739,00110.870
56,07/04/2025,11:05,001.46181,00106.241,00110.834
57,07/04/2025,11:25,001.47569,00105.650,00110.833
58,07/04/2025,11:45,001.48958,00106.464,00110.803
59,07/04/2025,12:05,001.50347,00105.987,00110.809
60,07/04/2025,12:25,001.51736,00105.637,00110.816
61,07/04/2025,12:45,001.53125,00104.806,00110.853
62,07/04/2025,13:05,001.54514,00103.687,00110.912
63,07/04/2025,13:25,001.55903,00104.046,00110.944
64,07/04/2025,13:45,001.57292,00103.281,00111.010
65,07/04/2025,14:05,001.58681,00103.935,00111.064
66,07/04/2025,14:25,001.60069,00103.549,00111.179
67,07/04/2025,14:45,001.61458,00104.103,00111.308
68,07/04/2025,15:05,001.62847,00103.077,00111.480
69,07/04/2025,15:25,001.64236,00103.726,00111.643
70,07/04/2025,15:45,001.65625,00103.491,00111.817
71,07/04/2025,16:05,001.67014,00103.775,00111.999
72,07/04/2025,16:25,001.68403,00103.364,00112.183
73,07/04/2025,16:45,001.69792,00104.330,00112.365
74,07/04/2025,17:05,001.71181,00104.510,00112.572
75,07/04/2025,17:25,001.72569,00105.076,00112.790
76,07/04/2025,17:45,001.73958,00104.568,00113.034
77,07/04/2025,18:05,001.75347,00105.027,00113.282
78,07/04/2025,18:25,001.76736,00105.017,00113.541
79,07/04/2025,18:45,001.78125,00105.861,00113.812
80,07/04/2025,19:05,001.79514,00107.161,00114.075
81,07/04/2025,19:25,001.80903,00107.928,00114.354
82,07/04/2025,19:45,001.82292,00108.185,00114.635
83,07/04/2025,20:05,001.83681,00108.250,00114.928
84,07/04/2025,20:25,001.85069,00108.653,00115.193
85,07/04/2025,20:45,001.86458,00109.836,00115.463
86,07/04/2025,21:05,001.87847,00110.799,00115.730
87,07/04/2025,21:25,001.89236,00110.763,00116.008
88,07/04/2025,21:45,001.90625,00112.478,00116.259
89,07/04/2025,22:05,001.92014,00113.353,00116.522
90,07/04/2025,22:25,001.93403,00115.070,00116.767
91,07/04/2025,22:45,001.94792,00116.006,00117.016
92,07/04/2025,23:05,001.96181,00116.556,00117.275
