LumiCycle: 4C-T5m1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:35,000.69097,00027.415,00030.762
1,07/03/2025,16:55,000.70486,00025.147,00030.909
2,07/03/2025,17:15,000.71875,00023.626,00031.044
3,07/03/2025,17:35,000.73264,00022.588,00031.164
4,07/03/2025,17:55,000.74653,00023.316,00031.265
5,07/03/2025,18:15,000.76042,00025.047,00031.345
6,07/03/2025,18:35,000.77431,00027.176,00031.424
7,07/03/2025,18:55,000.78819,00029.944,00031.487
8,07/03/2025,19:15,000.80208,00032.245,00031.561
9,07/03/2025,19:35,000.81597,00033.959,00031.638
10,07/03/2025,19:55,000.82986,00034.435,00031.729
11,07/03/2025,20:15,000.84375,00035.134,00031.819
12,07/03/2025,20:35,000.85764,00035.325,00031.922
13,07/03/2025,20:55,000.87153,00035.789,00032.026
14,07/03/2025,21:15,000.88542,00036.538,00032.126
15,07/03/2025,21:35,000.89931,00036.690,00032.231
16,07/03/2025,21:55,000.91319,00036.768,00032.332
17,07/03/2025,22:15,000.92708,00036.981,00032.429
18,07/03/2025,22:35,000.94097,00036.746,00032.521
19,07/03/2025,22:55,000.95486,00036.977,00032.602
20,07/03/2025,23:15,000.96875,00036.804,00032.678
21,07/03/2025,23:35,000.98264,00036.781,00032.751
22,07/03/2025,23:55,000.99653,00037.050,00032.812
23,07/04/2025,00:15,001.01042,00036.945,00032.879
24,07/04/2025,00:35,001.02431,00037.097,00032.942
25,07/04/2025,00:55,001.03819,00036.905,00033.009
26,07/04/2025,01:15,001.05208,00037.384,00033.070
27,07/04/2025,01:35,001.06597,00037.377,00033.132
28,07/04/2025,01:55,001.07986,00037.128,00033.193
29,07/04/2025,02:15,001.09375,00037.064,00033.242
30,07/04/2025,02:35,001.10764,00037.275,00033.289
31,07/04/2025,02:55,001.12153,00036.995,00033.333
32,07/04/2025,03:15,001.13542,00036.559,00033.375
33,07/04/2025,03:35,001.14931,00036.332,00033.413
34,07/04/2025,03:55,001.16319,00036.007,00033.456
35,07/04/2025,04:15,001.17708,00035.664,00033.500
36,07/04/2025,04:35,001.19097,00035.447,00033.541
37,07/04/2025,04:55,001.20486,00035.354,00033.608
38,07/04/2025,05:15,001.21875,00034.799,00033.706
39,07/04/2025,05:35,001.23264,00035.165,00033.809
40,07/04/2025,05:55,001.24653,00034.769,00033.923
41,07/04/2025,06:15,001.26042,00035.035,00034.007
42,07/04/2025,06:35,001.27431,00034.646,00034.073
43,07/04/2025,06:55,001.28819,00034.891,00034.091
44,07/04/2025,07:15,001.30208,00034.501,00034.082
45,07/04/2025,07:35,001.31597,00034.243,00034.044
46,07/04/2025,07:55,001.32986,00034.467,00033.996
47,07/04/2025,08:15,001.34375,00034.762,00033.944
48,07/04/2025,08:35,001.35764,00035.217,00033.893
49,07/04/2025,08:55,001.37153,00035.134,00033.848
50,07/04/2025,09:15,001.38542,00034.914,00033.796
51,07/04/2025,09:35,001.39931,00034.551,00033.741
52,07/04/2025,09:55,001.41319,00034.431,00033.685
53,07/04/2025,10:15,001.42708,00033.600,00033.644
54,07/04/2025,10:35,001.44097,00033.316,00033.612
55,07/04/2025,10:55,001.45486,00032.580,00033.578
56,07/04/2025,11:15,001.46875,00032.497,00033.540
57,07/04/2025,11:35,001.48264,00031.955,00033.507
58,07/04/2025,11:55,001.49653,00032.007,00033.467
59,07/04/2025,12:15,001.51042,00031.999,00033.438
60,07/04/2025,12:35,001.52431,00031.893,00033.415
61,07/04/2025,12:55,001.53819,00032.137,00033.398
62,07/04/2025,13:15,001.55208,00031.782,00033.390
63,07/04/2025,13:35,001.56597,00031.421,00033.387
64,07/04/2025,13:55,001.57986,00030.773,00033.403
65,07/04/2025,14:15,001.59375,00030.942,00033.422
66,07/04/2025,14:35,001.60764,00030.238,00033.452
67,07/04/2025,14:55,001.62153,00029.903,00033.491
68,07/04/2025,15:15,001.63542,00029.840,00033.524
69,07/04/2025,15:35,001.64931,00030.087,00033.565
70,07/04/2025,15:55,001.66319,00030.154,00033.617
71,07/04/2025,16:15,001.67708,00030.099,00033.695
72,07/04/2025,16:35,001.69097,00029.739,00033.787
73,07/04/2025,16:55,001.70486,00029.928,00033.877
74,07/04/2025,17:15,001.71875,00030.151,00033.973
75,07/04/2025,17:35,001.73264,00030.902,00034.057
76,07/04/2025,17:55,001.74653,00031.206,00034.158
77,07/04/2025,18:15,001.76042,00031.386,00034.255
78,07/04/2025,18:35,001.77431,00031.445,00034.358
79,07/04/2025,18:55,001.78819,00031.206,00034.468
80,07/04/2025,19:15,001.80208,00031.091,00034.587
81,07/04/2025,19:35,001.81597,00031.254,00034.706
82,07/04/2025,19:55,001.82986,00031.817,00034.819
83,07/04/2025,20:15,001.84375,00032.192,00034.921
84,07/04/2025,20:35,001.85764,00032.590,00035.019
85,07/04/2025,20:55,001.87153,00032.623,00035.124
86,07/04/2025,21:15,001.88542,00032.490,00035.229
87,07/04/2025,21:35,001.89931,00032.729,00035.338
88,07/04/2025,21:55,001.91319,00033.328,00035.441
89,07/04/2025,22:15,001.92708,00034.190,00035.552
90,07/04/2025,22:35,001.94097,00033.875,00035.679
91,07/04/2025,22:55,001.95486,00034.027,00035.805
92,07/04/2025,23:15,001.96875,00033.961,00035.936
93,07/04/2025,23:35,001.98264,00034.282,00036.065
94,07/04/2025,23:55,001.99653,00034.888,00036.183
95,07/05/2025,00:15,002.01042,00035.381,00036.299
96,07/05/2025,00:35,002.02431,00035.960,00036.411
97,07/05/2025,00:55,002.03819,00036.481,00036.499
98,07/05/2025,01:15,002.05208,00036.804,00036.598
99,07/05/2025,01:35,002.06597,00037.608,00036.688
100,07/05/2025,01:55,002.07986,00038.558,00036.781
101,07/05/2025,02:15,002.09375,00038.675,00036.877
102,07/05/2025,02:35,002.10764,00039.364,00036.972
103,07/05/2025,02:55,002.12153,00038.871,00037.083
104,07/05/2025,03:15,002.13542,00039.406,00037.187
105,07/05/2025,03:35,002.14931,00039.713,00037.284
106,07/05/2025,03:55,002.16319,00041.091,00037.367
107,07/05/2025,04:15,002.17708,00041.484,00037.446
108,07/05/2025,04:35,002.19097,00041.845,00037.527
109,07/05/2025,04:55,002.20486,00041.795,00037.607
110,07/05/2025,05:15,002.21875,00041.785,00037.676
111,07/05/2025,05:35,002.23264,00042.127,00037.729
112,07/05/2025,05:55,002.24653,00042.022,00037.779
113,07/05/2025,06:15,002.26042,00041.937,00037.824
114,07/05/2025,06:35,002.27431,00042.297,00037.859
115,07/05/2025,06:55,002.28819,00042.728,00037.894
116,07/05/2025,07:15,002.30208,00042.718,00037.941
117,07/05/2025,07:35,002.31597,00042.984,00037.980
118,07/05/2025,07:55,002.32986,00042.271,00038.018
119,07/05/2025,08:15,002.34375,00042.493,00038.037
120,07/05/2025,08:35,002.35764,00042.499,00038.053
121,07/05/2025,08:55,002.37153,00042.110,00038.068
122,07/05/2025,09:15,002.38542,00042.412,00038.076
123,07/05/2025,09:35,002.39931,00042.271,00038.089
124,07/05/2025,09:55,002.41319,00042.207,00038.093
125,07/05/2025,10:15,002.42708,00041.887,00038.078
126,07/05/2025,10:35,002.44097,00041.577,00038.073
127,07/05/2025,10:55,002.45486,00041.621,00038.058
128,07/05/2025,11:15,002.46875,00041.262,00038.055
129,07/05/2025,11:35,002.48264,00040.880,00038.043
130,07/05/2025,11:55,002.49653,00040.587,00038.024
131,07/05/2025,12:15,002.51042,00040.319,00038.002
132,07/05/2025,12:35,002.52431,00038.872,00037.987
133,07/05/2025,12:55,002.53819,00038.981,00037.946
134,07/05/2025,13:15,002.55208,00038.571,00037.914
135,07/05/2025,13:35,002.56597,00038.203,00037.872
136,07/05/2025,13:55,002.57986,00037.798,00037.817
137,07/05/2025,14:15,002.59375,00037.532,00037.758
138,07/05/2025,14:35,002.60764,00037.192,00037.685
139,07/05/2025,14:55,002.62153,00037.649,00037.616
140,07/05/2025,15:15,002.63542,00037.190,00037.558
141,07/05/2025,15:35,002.64931,00037.353,00037.498
142,07/05/2025,15:55,002.66319,00036.020,00037.436
143,07/05/2025,16:15,002.67708,00035.815,00037.352
144,07/05/2025,16:35,002.69097,00035.423,00037.265
145,07/05/2025,16:55,002.70486,00035.005,00037.190
146,07/05/2025,17:15,002.71875,00034.943,00037.112
147,07/05/2025,17:35,002.73264,00034.566,00037.038
148,07/05/2025,17:55,002.74653,00034.490,00036.964
149,07/05/2025,18:15,002.76042,00034.231,00036.896
150,07/05/2025,18:35,002.77431,00034.135,00036.824
151,07/05/2025,18:55,002.78819,00034.347,00036.741
152,07/05/2025,19:15,002.80208,00034.214,00036.661
153,07/05/2025,19:35,002.81597,00033.774,00036.582
154,07/05/2025,19:55,002.82986,00033.794,00036.501
155,07/05/2025,20:15,002.84375,00033.653,00036.422
156,07/05/2025,20:35,002.85764,00033.309,00036.345
157,07/05/2025,20:55,002.87153,00033.352,00036.276
158,07/05/2025,21:15,002.88542,00033.479,00036.203
159,07/05/2025,21:35,002.89931,00033.544,00036.132
160,07/05/2025,21:55,002.91319,00032.868,00036.074
161,07/05/2025,22:15,002.92708,00033.176,00036.003
162,07/05/2025,22:35,002.94097,00033.047,00035.941
163,07/05/2025,22:55,002.95486,00033.380,00035.876
164,07/05/2025,23:15,002.96875,00033.093,00035.830
165,07/05/2025,23:35,002.98264,00033.205,00035.783
166,07/05/2025,23:55,002.99653,00033.624,00035.729
167,07/06/2025,00:15,003.01042,00033.463,00035.685
168,07/06/2025,00:35,003.02431,00033.734,00035.655
169,07/06/2025,00:55,003.03819,00034.098,00035.615
170,07/06/2025,01:15,003.05208,00034.353,00035.573
171,07/06/2025,01:35,003.06597,00034.271,00035.544
172,07/06/2025,01:55,003.07986,00034.266,00035.518
173,07/06/2025,02:15,003.09375,00033.916,00035.502
174,07/06/2025,02:35,003.10764,00034.482,00035.476
175,07/06/2025,02:55,003.12153,00034.908,00035.442
176,07/06/2025,03:15,003.13542,00035.697,00035.412
177,07/06/2025,03:35,003.14931,00035.436,00035.390
