LumiCycle: 4D-T7m1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:30,000.68750,00048.190,00053.097
1,07/03/2025,16:50,000.70139,00043.979,00053.327
2,07/03/2025,17:10,000.71528,00041.397,00053.523
3,07/03/2025,17:30,000.72917,00039.378,00053.723
4,07/03/2025,17:50,000.74306,00040.797,00053.864
5,07/03/2025,18:10,000.75694,00043.622,00053.991
6,07/03/2025,18:30,000.77083,00047.218,00054.102
7,07/03/2025,18:50,000.78472,00050.212,00054.216
8,07/03/2025,19:10,000.79861,00053.846,00054.318
9,07/03/2025,19:30,000.81250,00056.965,00054.424
10,07/03/2025,19:50,000.82639,00059.269,00054.546
11,07/03/2025,20:10,000.84028,00060.399,00054.682
12,07/03/2025,20:30,000.85417,00061.757,00054.817
13,07/03/2025,20:50,000.86806,00062.143,00054.952
14,07/03/2025,21:10,000.88194,00062.751,00055.083
15,07/03/2025,21:30,000.89583,00063.160,00055.205
16,07/03/2025,21:50,000.90972,00062.192,00055.353
17,07/03/2025,22:10,000.92361,00062.037,00055.484
18,07/03/2025,22:30,000.93750,00062.139,00055.612
19,07/03/2025,22:50,000.95139,00062.592,00055.739
20,07/03/2025,23:10,000.96528,00063.324,00055.862
21,07/03/2025,23:30,000.97917,00062.820,00055.994
22,07/03/2025,23:50,000.99306,00061.932,00056.134
23,07/04/2025,00:10,001.00694,00062.904,00056.241
24,07/04/2025,00:30,001.02083,00062.774,00056.371
25,07/04/2025,00:50,001.03472,00062.520,00056.495
26,07/04/2025,01:10,001.04861,00062.323,00056.612
27,07/04/2025,01:30,001.06250,00062.741,00056.719
28,07/04/2025,01:50,001.07639,00062.423,00056.837
29,07/04/2025,02:10,001.09028,00062.126,00056.950
30,07/04/2025,02:30,001.10417,00061.460,00057.071
31,07/04/2025,02:50,001.11806,00060.908,00057.194
32,07/04/2025,03:10,001.13194,00060.650,00057.308
33,07/04/2025,03:30,001.14583,00061.141,00057.428
34,07/04/2025,03:50,001.15972,00061.460,00057.530
35,07/04/2025,04:10,001.17361,00060.718,00057.661
36,07/04/2025,04:30,001.18750,00060.117,00057.784
37,07/04/2025,04:50,001.20139,00060.479,00057.896
38,07/04/2025,05:10,001.21528,00059.781,00058.080
39,07/04/2025,05:30,001.22917,00060.500,00058.274
40,07/04/2025,05:50,001.24306,00059.785,00058.525
41,07/04/2025,06:10,001.25694,00060.145,00058.745
42,07/04/2025,06:30,001.27083,00059.802,00058.935
43,07/04/2025,06:50,001.28472,00059.375,00059.076
44,07/04/2025,07:10,001.29861,00059.160,00059.175
45,07/04/2025,07:30,001.31250,00058.946,00059.235
46,07/04/2025,07:50,001.32639,00059.292,00059.247
47,07/04/2025,08:10,001.34028,00059.115,00059.240
48,07/04/2025,08:30,001.35417,00059.295,00059.208
49,07/04/2025,08:50,001.36806,00058.238,00059.177
50,07/04/2025,09:10,001.38194,00058.265,00059.127
51,07/04/2025,09:30,001.39583,00057.353,00059.085
52,07/04/2025,09:50,001.40972,00057.935,00059.025
53,07/04/2025,10:10,001.42361,00057.443,00059.004
54,07/04/2025,10:30,001.43750,00057.488,00058.980
55,07/04/2025,10:50,001.45139,00057.772,00058.954
56,07/04/2025,11:10,001.46528,00057.801,00058.934
57,07/04/2025,11:30,001.47917,00057.187,00058.915
58,07/04/2025,11:50,001.49306,00057.401,00058.901
59,07/04/2025,12:10,001.50694,00056.829,00058.914
60,07/04/2025,12:30,001.52083,00057.426,00058.910
61,07/04/2025,12:50,001.53472,00056.845,00058.926
62,07/04/2025,13:10,001.54861,00056.453,00058.952
63,07/04/2025,13:30,001.56250,00056.311,00058.981
64,07/04/2025,13:50,001.57639,00056.374,00059.018
65,07/04/2025,14:10,001.59028,00056.002,00059.066
66,07/04/2025,14:30,001.60417,00056.265,00059.120
67,07/04/2025,14:50,001.61806,00056.513,00059.186
68,07/04/2025,15:10,001.63194,00056.132,00059.272
69,07/04/2025,15:30,001.64583,00057.307,00059.342
70,07/04/2025,15:50,001.65972,00055.872,00059.446
