LumiCycle: 5A-T10m1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:40,000.69444,00042.255,00052.071
1,07/03/2025,17:00,000.70833,00041.178,00052.427
2,07/03/2025,17:20,000.72222,00041.536,00052.765
3,07/03/2025,17:40,000.73611,00043.021,00053.087
4,07/03/2025,18:00,000.75000,00046.549,00053.373
5,07/03/2025,18:20,000.76389,00049.807,00053.664
6,07/03/2025,18:40,000.77778,00053.526,00053.936
7,07/03/2025,19:00,000.79167,00056.216,00054.215
8,07/03/2025,19:20,000.80556,00058.864,00054.498
9,07/03/2025,19:40,000.81944,00060.671,00054.800
10,07/03/2025,20:00,000.83333,00062.073,00055.114
11,07/03/2025,20:20,000.84722,00063.364,00055.422
12,07/03/2025,20:40,000.86111,00063.779,00055.746
13,07/03/2025,21:00,000.87500,00065.297,00056.053
14,07/03/2025,21:20,000.88889,00065.233,00056.372
15,07/03/2025,21:40,000.90278,00066.043,00056.684
16,07/03/2025,22:00,000.91667,00065.852,00057.000
17,07/03/2025,22:20,000.93056,00065.988,00057.313
18,07/03/2025,22:40,000.94444,00065.828,00057.626
19,07/03/2025,23:00,000.95833,00066.062,00057.938
20,07/03/2025,23:20,000.97222,00066.617,00058.238
21,07/03/2025,23:40,000.98611,00066.927,00058.541
22,07/04/2025,00:00,001.00000,00066.825,00058.837
23,07/04/2025,00:20,001.01389,00067.274,00059.136
24,07/04/2025,00:40,001.02778,00066.884,00059.445
25,07/04/2025,01:00,001.04167,00067.175,00059.740
26,07/04/2025,01:20,001.05556,00066.898,00060.040
27,07/04/2025,01:40,001.06944,00066.778,00060.341
28,07/04/2025,02:00,001.08333,00066.463,00060.647
29,07/04/2025,02:20,001.09722,00066.084,00060.954
30,07/04/2025,02:40,001.11111,00065.688,00061.261
31,07/04/2025,03:00,001.12500,00066.679,00061.549
32,07/04/2025,03:20,001.13889,00066.458,00061.861
33,07/04/2025,03:40,001.15278,00066.320,00062.169
34,07/04/2025,04:00,001.16667,00065.845,00062.479
35,07/04/2025,04:20,001.18056,00066.235,00062.771
36,07/04/2025,04:40,001.19444,00066.096,00063.071
37,07/04/2025,05:00,001.20833,00066.283,00063.380
38,07/04/2025,05:20,001.22222,00066.299,00063.688
39,07/04/2025,05:40,001.23611,00065.774,00063.982
40,07/04/2025,06:00,001.25000,00065.901,00064.217
41,07/04/2025,06:20,001.26389,00064.990,00064.425
42,07/04/2025,06:40,001.27778,00064.502,00064.578
43,07/04/2025,07:00,001.29167,00064.731,00064.688
44,07/04/2025,07:20,001.30556,00065.162,00064.754
45,07/04/2025,07:40,001.31944,00065.616,00064.795
46,07/04/2025,08:00,001.33333,00065.116,00064.824
47,07/04/2025,08:20,001.34722,00065.364,00064.819
48,07/04/2025,08:40,001.36111,00065.257,00064.814
49,07/04/2025,09:00,001.37500,00064.520,00064.798
50,07/04/2025,09:20,001.38889,00064.945,00064.775
51,07/04/2025,09:40,001.40278,00064.139,00064.764
52,07/04/2025,10:00,001.41667,00064.286,00064.745
53,07/04/2025,10:20,001.43056,00064.056,00064.723
54,07/04/2025,10:40,001.44444,00064.315,00064.687
55,07/04/2025,11:00,001.45833,00063.830,00064.656
56,07/04/2025,11:20,001.47222,00063.749,00064.620
57,07/04/2025,11:40,001.48611,00062.878,00064.589
58,07/04/2025,12:00,001.50000,00063.611,00064.553
59,07/04/2025,12:20,001.51389,00063.535,00064.515
60,07/04/2025,12:40,001.52778,00063.172,00064.489
61,07/04/2025,13:00,001.54167,00062.983,00064.456
62,07/04/2025,13:20,001.55556,00063.184,00064.424
63,07/04/2025,13:40,001.56944,00063.412,00064.403
64,07/04/2025,14:00,001.58333,00063.365,00064.399
65,07/04/2025,14:20,001.59722,00063.348,00064.388
66,07/04/2025,14:40,001.61111,00063.410,00064.388
67,07/04/2025,15:00,001.62500,00063.850,00064.368
68,07/04/2025,15:20,001.63889,00063.661,00064.368
69,07/04/2025,15:40,001.65278,00063.471,00064.375
70,07/04/2025,16:00,001.66667,00063.129,00064.400
71,07/04/2025,16:20,001.68056,00063.092,00064.416
72,07/04/2025,16:40,001.69444,00062.959,00064.435
73,07/04/2025,17:00,001.70833,00063.146,00064.446
74,07/04/2025,17:20,001.72222,00063.046,00064.467
75,07/04/2025,17:40,001.73611,00063.182,00064.501
76,07/04/2025,18:00,001.75000,00063.436,00064.528
77,07/04/2025,18:20,001.76389,00063.713,00064.575
78,07/04/2025,18:40,001.77778,00064.162,00064.618
79,07/04/2025,19:00,001.79167,00063.935,00064.682
80,07/04/2025,19:20,001.80556,00064.008,00064.737
81,07/04/2025,19:40,001.81944,00063.548,00064.787
82,07/04/2025,20:00,001.83333,00063.272,00064.841
83,07/04/2025,20:20,001.84722,00063.375,00064.885
84,07/04/2025,20:40,001.86111,00063.380,00064.930
85,07/04/2025,21:00,001.87500,00064.048,00064.979
86,07/04/2025,21:20,001.88889,00064.522,00065.026
87,07/04/2025,21:40,001.90278,00064.648,00065.104
88,07/04/2025,22:00,001.91667,00064.198,00065.184
89,07/04/2025,22:20,001.93056,00063.585,00065.278
90,07/04/2025,22:40,001.94444,00063.410,00065.351
91,07/04/2025,23:00,001.95833,00064.009,00065.421
92,07/04/2025,23:20,001.97222,00063.898,00065.496
93,07/04/2025,23:40,001.98611,00065.055,00065.562
94,07/05/2025,00:00,002.00000,00064.500,00065.649
95,07/05/2025,00:20,002.01389,00064.713,00065.725
96,07/05/2025,00:40,002.02778,00064.670,00065.823
97,07/05/2025,01:00,002.04167,00064.892,00065.918
98,07/05/2025,01:20,002.05556,00065.501,00065.999
99,07/05/2025,01:40,002.06944,00066.159,00066.067
100,07/05/2025,02:00,002.08333,00065.300,00066.159
101,07/05/2025,02:20,002.09722,00065.744,00066.232
102,07/05/2025,02:40,002.11111,00065.677,00066.305
103,07/05/2025,03:00,002.12500,00066.274,00066.368
104,07/05/2025,03:20,002.13889,00066.622,00066.429
105,07/05/2025,03:40,002.15278,00067.308,00066.490
106,07/05/2025,04:00,002.16667,00067.275,00066.561
107,07/05/2025,04:20,002.18056,00067.294,00066.632
108,07/05/2025,04:40,002.19444,00067.232,00066.705
109,07/05/2025,05:00,002.20833,00067.675,00066.775
110,07/05/2025,05:20,002.22222,00068.327,00066.842
111,07/05/2025,05:40,002.23611,00068.015,00066.916
112,07/05/2025,06:00,002.25000,00068.559,00066.963
113,07/05/2025,06:20,002.26389,00067.932,00067.019
114,07/05/2025,06:40,002.27778,00069.019,00067.036
115,07/05/2025,07:00,002.29167,00069.074,00067.074
116,07/05/2025,07:20,002.30556,00068.661,00067.119
117,07/05/2025,07:40,002.31944,00068.654,00067.160
118,07/05/2025,08:00,002.33333,00068.481,00067.202
119,07/05/2025,08:20,002.34722,00068.443,00067.240
120,07/05/2025,08:40,002.36111,00068.586,00067.272
121,07/05/2025,09:00,002.37500,00068.762,00067.305
122,07/05/2025,09:20,002.38889,00069.698,00067.323
123,07/05/2025,09:40,002.40278,00069.469,00067.352
124,07/05/2025,10:00,002.41667,00070.006,00067.378
125,07/05/2025,10:20,002.43056,00069.230,00067.424
126,07/05/2025,10:40,002.44444,00069.322,00067.468
127,07/05/2025,11:00,002.45833,00068.936,00067.499
128,07/05/2025,11:20,002.47222,00068.658,00067.546
129,07/05/2025,11:40,002.48611,00069.145,00067.550
130,07/05/2025,12:00,002.50000,00069.025,00067.585
131,07/05/2025,12:20,002.51389,00069.975,00067.586
132,07/05/2025,12:40,002.52778,00069.884,00067.606
133,07/05/2025,13:00,002.54167,00069.441,00067.627
134,07/05/2025,13:20,002.55556,00068.867,00067.647
135,07/05/2025,13:40,002.56944,00068.928,00067.650
136,07/05/2025,14:00,002.58333,00068.910,00067.667
137,07/05/2025,14:20,002.59722,00068.475,00067.678
138,07/05/2025,14:40,002.61111,00068.797,00067.677
139,07/05/2025,15:00,002.62500,00068.342,00067.679
140,07/05/2025,15:20,002.63889,00068.424,00067.671
141,07/05/2025,15:40,002.65278,00068.027,00067.659
142,07/05/2025,16:00,002.66667,00068.102,00067.638
143,07/05/2025,16:20,002.68056,00068.005,00067.621
144,07/05/2025,16:40,002.69444,00068.453,00067.596
145,07/05/2025,17:00,002.70833,00068.402,00067.574
146,07/05/2025,17:20,002.72222,00068.084,00067.546
147,07/05/2025,17:40,002.73611,00067.223,00067.532
148,07/05/2025,18:00,002.75000,00067.061,00067.506
149,07/05/2025,18:20,002.76389,00066.413,00067.494
150,07/05/2025,18:40,002.77778,00066.615,00067.459
151,07/05/2025,19:00,002.79167,00066.769,00067.428
152,07/05/2025,19:20,002.80556,00066.405,00067.422
153,07/05/2025,19:40,002.81944,00066.063,00067.413
154,07/05/2025,20:00,002.83333,00065.964,00067.408
155,07/05/2025,20:20,002.84722,00065.788,00067.396
156,07/05/2025,20:40,002.86111,00066.541,00067.366
157,07/05/2025,21:00,002.87500,00066.715,00067.349
158,07/05/2025,21:20,002.88889,00066.421,00067.330
159,07/05/2025,21:40,002.90278,00066.577,00067.307
160,07/05/2025,22:00,002.91667,00066.036,00067.290
161,07/05/2025,22:20,002.93056,00066.558,00067.260
162,07/05/2025,22:40,002.94444,00065.798,00067.238
163,07/05/2025,23:00,002.95833,00066.890,00067.201
164,07/05/2025,23:20,002.97222,00065.839,00067.195
165,07/05/2025,23:40,002.98611,00066.878,00067.150
166,07/06/2025,00:00,003.00000,00065.668,00067.143
167,07/06/2025,00:20,003.01389,00066.030,00067.098
168,07/06/2025,00:40,003.02778,00065.899,00067.058
169,07/06/2025,01:00,003.04167,00066.307,00067.032
170,07/06/2025,01:20,003.05556,00066.433,00067.010
171,07/06/2025,01:40,003.06944,00066.469,00066.999
