LumiCycle: 5C-SCNm5 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/10/2025,17:57,000.74792,00086.654,00081.366
1,07/10/2025,18:17,000.76181,00089.706,00080.713
2,07/10/2025,18:37,000.77569,00093.766,00080.051
3,07/10/2025,18:57,000.78958,00098.900,00079.368
4,07/10/2025,19:17,000.80347,00102.840,00078.705
5,07/10/2025,19:37,000.81736,00106.342,00078.044
6,07/10/2025,19:57,000.83125,00108.192,00077.404
7,07/10/2025,20:17,000.84514,00108.795,00076.785
8,07/10/2025,20:37,000.85903,00108.618,00076.175
9,07/10/2025,20:57,000.87292,00107.477,00075.590
10,07/10/2025,21:17,000.88681,00105.515,00075.026
11,07/10/2025,21:37,000.90069,00102.421,00074.483
12,07/10/2025,21:57,000.91458,00098.550,00073.959
13,07/10/2025,22:17,000.92847,00093.794,00073.456
14,07/10/2025,22:37,000.94236,00089.328,00072.969
15,07/10/2025,22:57,000.95625,00085.070,00072.485
16,07/10/2025,23:17,000.97014,00081.708,00072.002
17,07/10/2025,23:37,000.98403,00079.072,00071.515
18,07/10/2025,23:57,000.99792,00076.473,00071.044
19,07/11/2025,00:17,001.01181,00073.213,00070.595
20,07/11/2025,00:37,001.02569,00070.592,00070.152
21,07/11/2025,00:57,001.03958,00067.946,00069.718
22,07/11/2025,01:17,001.05347,00065.303,00069.287
23,07/11/2025,01:37,001.06736,00063.078,00068.873
24,07/11/2025,01:57,001.08125,00060.811,00068.466
25,07/11/2025,02:17,001.09514,00058.797,00068.072
26,07/11/2025,02:37,001.10903,00057.284,00067.685
27,07/11/2025,02:57,001.12292,00055.033,00067.311
28,07/11/2025,03:17,001.13681,00053.497,00066.941
29,07/11/2025,03:37,001.15069,00051.387,00066.601
30,07/11/2025,03:57,001.16458,00049.779,00066.273
31,07/11/2025,04:17,001.17847,00048.857,00065.947
32,07/11/2025,04:37,001.19236,00047.550,00065.637
33,07/11/2025,04:57,001.20625,00046.283,00065.332
34,07/11/2025,05:17,001.22014,00044.807,00065.042
35,07/11/2025,05:37,001.23403,00044.438,00064.744
36,07/11/2025,05:57,001.24792,00043.575,00064.458
37,07/11/2025,06:17,001.26181,00042.716,00064.167
38,07/11/2025,06:37,001.27569,00043.030,00063.811
39,07/11/2025,06:57,001.28958,00042.621,00063.414
40,07/11/2025,07:17,001.30347,00042.836,00062.935
41,07/11/2025,07:37,001.31736,00042.566,00062.414
42,07/11/2025,07:57,001.33125,00042.420,00061.830
43,07/11/2025,08:17,001.34514,00042.740,00061.198
44,07/11/2025,08:37,001.35903,00042.562,00060.564
45,07/11/2025,08:57,001.37292,00043.339,00059.904
46,07/11/2025,09:17,001.38681,00044.101,00059.254
47,07/11/2025,09:37,001.40069,00044.457,00058.627
48,07/11/2025,09:57,001.41458,00045.038,00058.023
49,07/11/2025,10:17,001.42847,00045.732,00057.463
50,07/11/2025,10:37,001.44236,00047.082,00056.946
51,07/11/2025,10:57,001.45625,00047.548,00056.490
52,07/11/2025,11:17,001.47014,00048.510,00056.066
53,07/11/2025,11:37,001.48403,00048.968,00055.675
54,07/11/2025,11:57,001.49792,00050.157,00055.298
55,07/11/2025,12:17,001.51181,00051.060,00054.948
56,07/11/2025,12:37,001.52569,00052.106,00054.633
57,07/11/2025,12:57,001.53958,00052.773,00054.334
58,07/11/2025,13:17,001.55347,00053.009,00054.065
59,07/11/2025,13:37,001.56736,00054.616,00053.795
60,07/11/2025,13:57,001.58125,00055.112,00053.561
61,07/11/2025,14:17,001.59514,00056.235,00053.332
62,07/11/2025,14:37,001.60903,00057.250,00053.122
63,07/11/2025,14:57,001.62292,00057.475,00052.926
64,07/11/2025,15:17,001.63681,00058.492,00052.747
65,07/11/2025,15:37,001.65069,00060.087,00052.572
66,07/11/2025,15:57,001.66458,00061.442,00052.424
67,07/11/2025,16:17,001.67847,00062.248,00052.300
68,07/11/2025,16:37,001.69236,00063.050,00052.180
69,07/11/2025,16:57,001.70625,00063.378,00052.077
70,07/11/2025,17:17,001.72014,00064.284,00051.979
71,07/11/2025,17:37,001.73403,00064.895,00051.890
72,07/11/2025,17:57,001.74792,00065.133,00051.808
73,07/11/2025,18:17,001.76181,00064.857,00051.753
74,07/11/2025,18:37,001.77569,00064.406,00051.712
75,07/11/2025,18:57,001.78958,00064.778,00051.664
76,07/11/2025,19:17,001.80347,00064.651,00051.624
77,07/11/2025,19:37,001.81736,00065.039,00051.568
78,07/11/2025,19:57,001.83125,00064.133,00051.540
79,07/11/2025,20:17,001.84514,00063.037,00051.513
80,07/11/2025,20:37,001.85903,00062.979,00051.475
81,07/11/2025,20:57,001.87292,00061.822,00051.457
82,07/11/2025,21:17,001.88681,00061.454,00051.431
83,07/11/2025,21:37,001.90069,00060.699,00051.410
84,07/11/2025,21:57,001.91458,00059.576,00051.389
85,07/11/2025,22:17,001.92847,00058.908,00051.366
86,07/11/2025,22:37,001.94236,00057.931,00051.338
87,07/11/2025,22:57,001.95625,00056.955,00051.305
88,07/11/2025,23:17,001.97014,00055.521,00051.279
89,07/11/2025,23:37,001.98403,00053.973,00051.250
90,07/11/2025,23:57,001.99792,00053.160,00051.210
91,07/12/2025,00:17,002.01181,00052.155,00051.172
92,07/12/2025,00:37,002.02569,00051.593,00051.131
93,07/12/2025,00:57,002.03958,00049.709,00051.108
94,07/12/2025,01:17,002.05347,00048.809,00051.079
95,07/12/2025,01:37,002.06736,00047.455,00051.059
96,07/12/2025,01:57,002.08125,00046.731,00051.024
97,07/12/2025,02:17,002.09514,00045.438,00051.004
98,07/12/2025,02:37,002.10903,00044.685,00050.972
99,07/12/2025,02:57,002.12292,00043.424,00050.938
100,07/12/2025,03:17,002.13681,00043.142,00050.900
