LumiCycle: 5C-T12 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:20,000.63889,00055.545,00050.676
1,06/26/2025,15:40,000.65278,00047.607,00050.681
2,06/26/2025,16:00,000.66667,00040.815,00050.665
3,06/26/2025,16:20,000.68056,00034.241,00050.649
4,06/26/2025,16:40,000.69444,00032.851,00050.561
5,06/26/2025,17:00,000.70833,00033.349,00050.453
6,06/26/2025,17:20,000.72222,00035.271,00050.313
7,06/26/2025,17:40,000.73611,00037.489,00050.165
8,06/26/2025,18:00,000.75000,00039.833,00050.009
9,06/26/2025,18:20,000.76389,00041.741,00049.864
10,06/26/2025,18:40,000.77778,00043.449,00049.719
11,06/26/2025,19:00,000.79167,00044.641,00049.577
12,06/26/2025,19:20,000.80556,00046.027,00049.429
13,06/26/2025,19:40,000.81944,00046.227,00049.294
14,06/26/2025,20:00,000.83333,00047.143,00049.147
15,06/26/2025,20:20,000.84722,00047.202,00049.009
16,06/26/2025,20:40,000.86111,00047.612,00048.860
17,06/26/2025,21:00,000.87500,00048.392,00048.703
18,06/26/2025,21:20,000.88889,00048.890,00048.548
19,06/26/2025,21:40,000.90278,00049.371,00048.389
20,06/26/2025,22:00,000.91667,00049.403,00048.225
21,06/26/2025,22:20,000.93056,00049.285,00048.056
22,06/26/2025,22:40,000.94444,00049.347,00047.879
23,06/26/2025,23:00,000.95833,00049.902,00047.686
24,06/26/2025,23:20,000.97222,00049.821,00047.496
25,06/26/2025,23:40,000.98611,00050.225,00047.290
26,06/27/2025,00:00,001.00000,00050.049,00047.089
27,06/27/2025,00:20,001.01389,00049.964,00046.884
28,06/27/2025,00:40,001.02778,00049.368,00046.682
29,06/27/2025,01:00,001.04167,00049.595,00046.465
30,06/27/2025,01:20,001.05556,00049.549,00046.250
31,06/27/2025,01:40,001.06944,00049.501,00046.024
32,06/27/2025,02:00,001.08333,00049.420,00045.793
33,06/27/2025,02:20,001.09722,00048.998,00045.558
34,06/27/2025,02:40,001.11111,00048.544,00045.321
35,06/27/2025,03:00,001.12500,00048.140,00045.076
36,06/27/2025,03:20,001.13889,00047.985,00044.824
37,06/27/2025,03:40,001.15278,00047.607,00044.688
38,06/27/2025,04:00,001.16667,00047.867,00044.643
39,06/27/2025,04:20,001.18056,00047.969,00044.696
40,06/27/2025,04:40,001.19444,00048.508,00044.756
41,06/27/2025,05:00,001.20833,00047.609,00044.826
42,06/27/2025,05:20,001.22222,00047.444,00044.857
43,06/27/2025,05:40,001.23611,00046.955,00044.861
44,06/27/2025,06:00,001.25000,00047.335,00044.822
45,06/27/2025,06:20,001.26389,00047.057,00044.762
46,06/27/2025,06:40,001.27778,00046.802,00044.680
47,06/27/2025,07:00,001.29167,00046.610,00044.579
48,06/27/2025,07:20,001.30556,00046.257,00044.463
49,06/27/2025,07:40,001.31944,00046.197,00044.348
50,06/27/2025,08:00,001.33333,00045.903,00044.226
51,06/27/2025,08:20,001.34722,00045.559,00044.102
52,06/27/2025,08:40,001.36111,00045.317,00043.983
53,06/27/2025,09:00,001.37500,00045.218,00043.853
54,06/27/2025,09:20,001.38889,00044.856,00043.732
55,06/27/2025,09:40,001.40278,00044.111,00043.614
56,06/27/2025,10:00,001.41667,00043.626,00043.501
57,06/27/2025,10:20,001.43056,00043.176,00043.399
58,06/27/2025,10:40,001.44444,00042.640,00043.308
