LumiCycle: 5D-T10 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:35,000.64931,00060.306,00065.082
1,06/26/2025,15:55,000.66319,00056.433,00065.350
2,06/26/2025,16:15,000.67708,00053.414,00065.614
3,06/26/2025,16:35,000.69097,00051.419,00065.864
4,06/26/2025,16:55,000.70486,00052.356,00066.076
5,06/26/2025,17:15,000.71875,00054.863,00066.265
6,06/26/2025,17:35,000.73264,00058.255,00066.431
7,06/26/2025,17:55,000.74653,00061.716,00066.598
8,06/26/2025,18:15,000.76042,00063.900,00066.771
9,06/26/2025,18:35,000.77431,00066.169,00066.947
10,06/26/2025,18:55,000.78819,00067.551,00067.128
11,06/26/2025,19:15,000.80208,00069.351,00067.300
12,06/26/2025,19:35,000.81597,00070.084,00067.482
13,06/26/2025,19:55,000.82986,00071.234,00067.652
14,06/26/2025,20:15,000.84375,00071.375,00067.830
15,06/26/2025,20:35,000.85764,00072.770,00067.982
16,06/26/2025,20:55,000.87153,00073.192,00068.145
17,06/26/2025,21:15,000.88542,00073.370,00068.303
18,06/26/2025,21:35,000.89931,00073.443,00068.456
19,06/26/2025,21:55,000.91319,00073.359,00068.599
20,06/26/2025,22:15,000.92708,00073.329,00068.728
21,06/26/2025,22:35,000.94097,00074.219,00068.834
22,06/26/2025,22:55,000.95486,00073.756,00068.950
23,06/26/2025,23:15,000.96875,00074.727,00069.043
24,06/26/2025,23:35,000.98264,00074.393,00069.140
25,06/26/2025,23:55,000.99653,00074.667,00069.222
26,06/27/2025,00:15,001.01042,00075.158,00069.288
27,06/27/2025,00:35,001.02431,00075.567,00069.353
28,06/27/2025,00:55,001.03819,00076.078,00069.411
29,06/27/2025,01:15,001.05208,00076.086,00069.470
30,06/27/2025,01:35,001.06597,00075.966,00069.517
31,06/27/2025,01:55,001.07986,00076.088,00069.556
32,06/27/2025,02:15,001.09375,00076.337,00069.584
33,06/27/2025,02:35,001.10764,00076.119,00069.619
34,06/27/2025,02:55,001.12153,00076.237,00069.639
35,06/27/2025,03:15,001.13542,00075.998,00069.672
36,06/27/2025,03:35,001.14931,00075.919,00069.695
37,06/27/2025,03:55,001.16319,00075.721,00069.721
38,06/27/2025,04:15,001.17708,00076.268,00069.788
39,06/27/2025,04:35,001.19097,00076.341,00069.910
40,06/27/2025,04:55,001.20486,00076.528,00070.059
41,06/27/2025,05:15,001.21875,00076.398,00070.209
42,06/27/2025,05:35,001.23264,00075.619,00070.331
43,06/27/2025,05:55,001.24653,00075.811,00070.392
44,06/27/2025,06:15,001.26042,00074.979,00070.423
45,06/27/2025,06:35,001.27431,00075.217,00070.413
46,06/27/2025,06:55,001.28819,00074.735,00070.389
47,06/27/2025,07:15,001.30208,00074.499,00070.349
48,06/27/2025,07:35,001.31597,00074.133,00070.292
49,06/27/2025,07:55,001.32986,00073.682,00070.236
50,06/27/2025,08:15,001.34375,00073.238,00070.173
51,06/27/2025,08:35,001.35764,00072.647,00070.114
52,06/27/2025,08:55,001.37153,00072.456,00070.036
53,06/27/2025,09:15,001.38542,00071.873,00069.966
54,06/27/2025,09:35,001.39931,00071.413,00069.907
55,06/27/2025,09:55,001.41319,00070.484,00069.867
56,06/27/2025,10:15,001.42708,00069.596,00069.847
57,06/27/2025,10:35,001.44097,00068.822,00069.827
58,06/27/2025,10:55,001.45486,00068.176,00069.803
59,06/27/2025,11:15,001.46875,00067.967,00069.780
60,06/27/2025,11:35,001.48264,00066.975,00069.774
61,06/27/2025,11:55,001.49653,00066.524,00069.780
62,06/27/2025,12:15,001.51042,00065.552,00069.796
63,06/27/2025,12:35,001.52431,00065.383,00069.812
64,06/27/2025,12:55,001.53819,00064.959,00069.830
65,06/27/2025,13:15,001.55208,00064.593,00069.857
66,06/27/2025,13:35,001.56597,00063.562,00069.908
67,06/27/2025,13:55,001.57986,00063.243,00069.959
68,06/27/2025,14:15,001.59375,00062.553,00070.020
69,06/27/2025,14:35,001.60764,00062.608,00070.077
70,06/27/2025,14:55,001.62153,00061.877,00070.159
71,06/27/2025,15:15,001.63542,00062.435,00070.223
72,06/27/2025,15:35,001.64931,00061.869,00070.312
73,06/27/2025,15:55,001.66319,00062.017,00070.397
74,06/27/2025,16:15,001.67708,00061.800,00070.499
75,06/27/2025,16:35,001.69097,00062.221,00070.589
76,06/27/2025,16:55,001.70486,00062.361,00070.696
77,06/27/2025,17:15,001.71875,00063.058,00070.802
78,06/27/2025,17:35,001.73264,00062.875,00070.924
79,06/27/2025,17:55,001.74653,00062.828,00071.063
80,06/27/2025,18:15,001.76042,00063.094,00071.193
81,06/27/2025,18:35,001.77431,00063.454,00071.328
