LumiCycle: 6A-T7 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:25,000.64236,00061.112,00063.437
1,06/26/2025,15:45,000.65625,00057.869,00063.595
2,06/26/2025,16:05,000.67014,00055.289,00063.749
3,06/26/2025,16:25,000.68403,00053.145,00063.891
4,06/26/2025,16:45,000.69792,00054.010,00063.993
5,06/26/2025,17:05,000.71181,00055.396,00064.086
6,06/26/2025,17:25,000.72569,00057.110,00064.175
7,06/26/2025,17:45,000.73958,00059.129,00064.257
8,06/26/2025,18:05,000.75347,00061.146,00064.330
9,06/26/2025,18:25,000.76736,00063.100,00064.407
10,06/26/2025,18:45,000.78125,00064.479,00064.485
11,06/26/2025,19:05,000.79514,00065.561,00064.569
12,06/26/2025,19:25,000.80903,00066.097,00064.659
13,06/26/2025,19:45,000.82292,00066.700,00064.745
14,06/26/2025,20:05,000.83681,00066.649,00064.835
15,06/26/2025,20:25,000.85069,00067.370,00064.908
16,06/26/2025,20:45,000.86458,00067.721,00064.980
17,06/26/2025,21:05,000.87847,00067.873,00065.049
18,06/26/2025,21:25,000.89236,00068.729,00065.105
19,06/26/2025,21:45,000.90625,00068.737,00065.164
20,06/26/2025,22:05,000.92014,00069.193,00065.217
21,06/26/2025,22:25,000.93403,00069.118,00065.275
22,06/26/2025,22:45,000.94792,00069.212,00065.330
23,06/26/2025,23:05,000.96181,00069.439,00065.380
24,06/26/2025,23:25,000.97569,00069.373,00065.433
25,06/26/2025,23:45,000.98958,00069.788,00065.479
26,06/27/2025,00:05,001.00347,00069.395,00065.531
27,06/27/2025,00:25,001.01736,00070.025,00065.570
28,06/27/2025,00:45,001.03125,00069.400,00065.622
29,06/27/2025,01:05,001.04514,00069.402,00065.669
30,06/27/2025,01:25,001.05903,00069.444,00065.710
31,06/27/2025,01:45,001.07292,00069.401,00065.745
32,06/27/2025,02:05,001.08681,00070.089,00065.767
33,06/27/2025,02:25,001.10069,00069.564,00065.809
34,06/27/2025,02:45,001.11458,00069.848,00065.843
35,06/27/2025,03:05,001.12847,00069.367,00065.887
36,06/27/2025,03:25,001.14236,00069.240,00065.925
37,06/27/2025,03:45,001.15625,00069.263,00065.961
38,06/27/2025,04:05,001.17014,00069.618,00066.039
39,06/27/2025,04:25,001.18403,00069.190,00066.162
40,06/27/2025,04:45,001.19792,00069.356,00066.309
41,06/27/2025,05:05,001.21181,00069.185,00066.446
42,06/27/2025,05:25,001.22569,00069.217,00066.569
43,06/27/2025,05:45,001.23958,00069.015,00066.671
44,06/27/2025,06:05,001.25347,00068.412,00066.749
45,06/27/2025,06:25,001.26736,00068.613,00066.792
46,06/27/2025,06:45,001.28125,00068.105,00066.818
47,06/27/2025,07:05,001.29514,00068.197,00066.826
48,06/27/2025,07:25,001.30903,00068.184,00066.822
49,06/27/2025,07:45,001.32292,00067.915,00066.819
50,06/27/2025,08:05,001.33681,00067.516,00066.816
51,06/27/2025,08:25,001.35069,00067.077,00066.817
52,06/27/2025,08:45,001.36458,00066.648,00066.812
53,06/27/2025,09:05,001.37847,00066.225,00066.795
54,06/27/2025,09:25,001.39236,00065.979,00066.785
55,06/27/2025,09:45,001.40625,00065.432,00066.771
56,06/27/2025,10:05,001.42014,00065.345,00066.768
57,06/27/2025,10:25,001.43403,00065.211,00066.759
58,06/27/2025,10:45,001.44792,00065.158,00066.756
59,06/27/2025,11:05,001.46181,00064.928,00066.755
60,06/27/2025,11:25,001.47569,00064.889,00066.751
61,06/27/2025,11:45,001.48958,00064.821,00066.749
62,06/27/2025,12:05,001.50347,00064.452,00066.751
63,06/27/2025,12:25,001.51736,00064.556,00066.754
64,06/27/2025,12:45,001.53125,00064.290,00066.763
65,06/27/2025,13:05,001.54514,00064.492,00066.774
66,06/27/2025,13:25,001.55903,00064.048,00066.810
67,06/27/2025,13:45,001.57292,00063.628,00066.848
68,06/27/2025,14:05,001.58681,00063.387,00066.889
69,06/27/2025,14:25,001.60069,00063.590,00066.914
70,06/27/2025,14:45,001.61458,00063.868,00066.944
71,06/27/2025,15:05,001.62847,00063.818,00066.977
72,06/27/2025,15:25,001.64236,00063.710,00067.021
73,06/27/2025,15:45,001.65625,00063.724,00067.065
74,06/27/2025,16:05,001.67014,00063.862,00067.112
75,06/27/2025,16:25,001.68403,00063.714,00067.163
76,06/27/2025,16:45,001.69792,00063.850,00067.220
77,06/27/2025,17:05,001.71181,00063.726,00067.275
78,06/27/2025,17:25,001.72569,00064.272,00067.329
79,06/27/2025,17:45,001.73958,00064.276,00067.387
80,06/27/2025,18:05,001.75347,00064.141,00067.452
81,06/27/2025,18:25,001.76736,00064.438,00067.510
82,06/27/2025,18:45,001.78125,00064.422,00067.568
83,06/27/2025,19:05,001.79514,00065.168,00067.623
84,06/27/2025,19:25,001.80903,00065.279,00067.687
85,06/27/2025,19:45,001.82292,00065.608,00067.746
