LumiCycle: 6B-T5 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:35,000.64931,00071.357,00079.135
1,06/26/2025,15:55,000.66319,00069.680,00079.431
2,06/26/2025,16:15,000.67708,00069.287,00079.715
3,06/26/2025,16:35,000.69097,00070.095,00079.976
4,06/26/2025,16:55,000.70486,00072.482,00080.225
5,06/26/2025,17:15,000.71875,00075.432,00080.460
6,06/26/2025,17:35,000.73264,00078.211,00080.699
7,06/26/2025,17:55,000.74653,00081.066,00080.935
8,06/26/2025,18:15,000.76042,00083.146,00081.178
9,06/26/2025,18:35,000.77431,00084.561,00081.433
10,06/26/2025,18:55,000.78819,00086.366,00081.682
11,06/26/2025,19:15,000.80208,00087.472,00081.943
12,06/26/2025,19:35,000.81597,00088.474,00082.192
13,06/26/2025,19:55,000.82986,00089.104,00082.448
14,06/26/2025,20:15,000.84375,00089.434,00082.700
15,06/26/2025,20:35,000.85764,00090.058,00082.945
16,06/26/2025,20:55,000.87153,00090.547,00083.192
17,06/26/2025,21:15,000.88542,00090.639,00083.443
18,06/26/2025,21:35,000.89931,00091.181,00083.680
19,06/26/2025,21:55,000.91319,00090.958,00083.921
20,06/26/2025,22:15,000.92708,00091.006,00084.156
21,06/26/2025,22:35,000.94097,00091.151,00084.392
22,06/26/2025,22:55,000.95486,00091.139,00084.630
23,06/26/2025,23:15,000.96875,00090.956,00084.871
24,06/26/2025,23:35,000.98264,00090.914,00085.107
25,06/26/2025,23:55,000.99653,00091.063,00085.337
26,06/27/2025,00:15,001.01042,00091.267,00085.568
27,06/27/2025,00:35,001.02431,00091.801,00085.793
28,06/27/2025,00:55,001.03819,00091.461,00086.019
29,06/27/2025,01:15,001.05208,00091.534,00086.248
30,06/27/2025,01:35,001.06597,00091.249,00086.475
31,06/27/2025,01:55,001.07986,00091.535,00086.707
32,06/27/2025,02:15,001.09375,00091.272,00086.936
33,06/27/2025,02:35,001.10764,00091.298,00087.176
34,06/27/2025,02:55,001.12153,00091.013,00087.413
35,06/27/2025,03:15,001.13542,00091.050,00087.642
36,06/27/2025,03:35,001.14931,00090.970,00087.863
37,06/27/2025,03:55,001.16319,00090.954,00088.086
38,06/27/2025,04:15,001.17708,00091.433,00088.327
39,06/27/2025,04:35,001.19097,00090.952,00088.601
40,06/27/2025,04:55,001.20486,00091.640,00088.838
41,06/27/2025,05:15,001.21875,00091.263,00089.070
42,06/27/2025,05:35,001.23264,00091.362,00089.250
43,06/27/2025,05:55,001.24653,00091.161,00089.399
44,06/27/2025,06:15,001.26042,00090.981,00089.507
45,06/27/2025,06:35,001.27431,00091.100,00089.582
46,06/27/2025,06:55,001.28819,00091.113,00089.642
47,06/27/2025,07:15,001.30208,00091.205,00089.671
48,06/27/2025,07:35,001.31597,00090.328,00089.701
49,06/27/2025,07:55,001.32986,00090.435,00089.704
50,06/27/2025,08:15,001.34375,00089.833,00089.718
51,06/27/2025,08:35,001.35764,00089.615,00089.734
52,06/27/2025,08:55,001.37153,00089.648,00089.736
53,06/27/2025,09:15,001.38542,00089.469,00089.739
54,06/27/2025,09:35,001.39931,00088.974,00089.742
55,06/27/2025,09:55,001.41319,00088.501,00089.738
56,06/27/2025,10:15,001.42708,00088.340,00089.739
57,06/27/2025,10:35,001.44097,00088.493,00089.736
58,06/27/2025,10:55,001.45486,00088.431,00089.740
59,06/27/2025,11:15,001.46875,00088.543,00089.747
60,06/27/2025,11:35,001.48264,00088.317,00089.762
61,06/27/2025,11:55,001.49653,00088.091,00089.779
62,06/27/2025,12:15,001.51042,00088.191,00089.792
63,06/27/2025,12:35,001.52431,00088.086,00089.814
64,06/27/2025,12:55,001.53819,00087.246,00089.843
65,06/27/2025,13:15,001.55208,00087.937,00089.861
66,06/27/2025,13:35,001.56597,00087.401,00089.896
67,06/27/2025,13:55,001.57986,00088.387,00089.920
68,06/27/2025,14:15,001.59375,00087.590,00089.969
69,06/27/2025,14:35,001.60764,00088.614,00090.006
70,06/27/2025,14:55,001.62153,00088.201,00090.065
71,06/27/2025,15:15,001.63542,00087.864,00090.120
72,06/27/2025,15:35,001.64931,00087.148,00090.189
73,06/27/2025,15:55,001.66319,00087.422,00090.240
74,06/27/2025,16:15,001.67708,00087.505,00090.300
75,06/27/2025,16:35,001.69097,00088.553,00090.328
76,06/27/2025,16:55,001.70486,00087.860,00090.394
77,06/27/2025,17:15,001.71875,00088.758,00090.432
78,06/27/2025,17:35,001.73264,00088.490,00090.493
79,06/27/2025,17:55,001.74653,00088.753,00090.550
80,06/27/2025,18:15,001.76042,00088.651,00090.613
81,06/27/2025,18:35,001.77431,00088.668,00090.688
82,06/27/2025,18:55,001.78819,00088.914,00090.765
83,06/27/2025,19:15,001.80208,00088.560,00090.845
84,06/27/2025,19:35,001.81597,00088.706,00090.921
85,06/27/2025,19:55,001.82986,00088.813,00091.010
86,06/27/2025,20:15,001.84375,00089.500,00091.085
87,06/27/2025,20:35,001.85764,00090.368,00091.175
88,06/27/2025,20:55,001.87153,00090.297,00091.272
89,06/27/2025,21:15,001.88542,00090.551,00091.367
90,06/27/2025,21:35,001.89931,00090.354,00091.464
91,06/27/2025,21:55,001.91319,00090.391,00091.566
92,06/27/2025,22:15,001.92708,00090.919,00091.663
93,06/27/2025,22:35,001.94097,00090.941,00091.771
94,06/27/2025,22:55,001.95486,00091.348,00091.868
95,06/27/2025,23:15,001.96875,00091.778,00091.960
96,06/27/2025,23:35,001.98264,00091.799,00092.056
97,06/27/2025,23:55,001.99653,00091.942,00092.152
98,06/28/2025,00:15,002.01042,00092.090,00092.250
99,06/28/2025,00:35,002.02431,00092.757,00092.345
100,06/28/2025,00:55,002.03819,00093.031,00092.438
101,06/28/2025,01:15,002.05208,00093.422,00092.543
102,06/28/2025,01:35,002.06597,00093.512,00092.629
103,06/28/2025,01:55,002.07986,00093.987,00092.719
104,06/28/2025,02:15,002.09375,00094.265,00092.795
105,06/28/2025,02:35,002.10764,00094.982,00092.878
106,06/28/2025,02:55,002.12153,00095.118,00092.945
107,06/28/2025,03:15,002.13542,00094.653,00093.026
108,06/28/2025,03:35,002.14931,00095.247,00093.100
109,06/28/2025,03:55,002.16319,00094.954,00093.188
110,06/28/2025,04:15,002.17708,00095.323,00093.262
111,06/28/2025,04:35,002.19097,00094.540,00093.340
112,06/28/2025,04:55,002.20486,00095.028,00093.381
113,06/28/2025,05:15,002.21875,00095.231,00093.439
114,06/28/2025,05:35,002.23264,00095.431,00093.475
115,06/28/2025,05:55,002.24653,00095.683,00093.527
116,06/28/2025,06:15,002.26042,00095.586,00093.567
117,06/28/2025,06:35,002.27431,00096.449,00093.607
118,06/28/2025,06:55,002.28819,00096.892,00093.639
119,06/28/2025,07:15,002.30208,00096.513,00093.680
120,06/28/2025,07:35,002.31597,00096.771,00093.700
121,06/28/2025,07:55,002.32986,00096.897,00093.731
122,06/28/2025,08:15,002.34375,00096.528,00093.762
123,06/28/2025,08:35,002.35764,00097.129,00093.778
124,06/28/2025,08:55,002.37153,00096.520,00093.798
125,06/28/2025,09:15,002.38542,00096.739,00093.812
126,06/28/2025,09:35,002.39931,00096.311,00093.836
127,06/28/2025,09:55,002.41319,00096.336,00093.858
128,06/28/2025,10:15,002.42708,00096.025,00093.887
129,06/28/2025,10:35,002.44097,00096.092,00093.897
130,06/28/2025,10:55,002.45486,00095.909,00093.907
131,06/28/2025,11:15,002.46875,00095.484,00093.914
132,06/28/2025,11:35,002.48264,00095.461,00093.917
133,06/28/2025,11:55,002.49653,00095.420,00093.917
134,06/28/2025,12:15,002.51042,00095.282,00093.920
135,06/28/2025,12:35,002.52431,00095.675,00093.913
136,06/28/2025,12:55,002.53819,00095.096,00093.909
137,06/28/2025,13:15,002.55208,00095.177,00093.895
138,06/28/2025,13:35,002.56597,00094.199,00093.896
139,06/28/2025,13:55,002.57986,00094.349,00093.877
140,06/28/2025,14:15,002.59375,00094.187,00093.863
141,06/28/2025,14:35,002.60764,00094.233,00093.836
142,06/28/2025,14:55,002.62153,00093.559,00093.817
143,06/28/2025,15:15,002.63542,00093.582,00093.786
144,06/28/2025,15:35,002.64931,00093.793,00093.767
145,06/28/2025,15:55,002.66319,00093.218,00093.756
146,06/28/2025,16:15,002.67708,00093.117,00093.743
147,06/28/2025,16:35,002.69097,00092.320,00093.733
148,06/28/2025,16:55,002.70486,00092.028,00093.725
149,06/28/2025,17:15,002.71875,00092.226,00093.707
150,06/28/2025,17:35,002.73264,00091.535,00093.702
151,06/28/2025,17:55,002.74653,00092.465,00093.680
152,06/28/2025,18:15,002.76042,00091.553,00093.679
153,06/28/2025,18:35,002.77431,00092.364,00093.659
154,06/28/2025,18:55,002.78819,00091.415,00093.646
155,06/28/2025,19:15,002.80208,00091.541,00093.615
156,06/28/2025,19:35,002.81597,00090.199,00093.608
157,06/28/2025,19:55,002.82986,00091.129,00093.566
