LumiCycle: 6C-SCNmm1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:40,000.69444,00200.195,00171.647
1,07/03/2025,17:00,000.70833,00184.338,00170.102
2,07/03/2025,17:20,000.72222,00166.304,00168.525
3,07/03/2025,17:40,000.73611,00146.165,00166.922
4,07/03/2025,18:00,000.75000,00134.825,00165.136
5,07/03/2025,18:20,000.76389,00128.672,00163.231
6,07/03/2025,18:40,000.77778,00129.432,00161.177
7,07/03/2025,19:00,000.79167,00135.787,00159.004
8,07/03/2025,19:20,000.80556,00142.865,00156.792
9,07/03/2025,19:40,000.81944,00152.866,00154.522
10,07/03/2025,20:00,000.83333,00160.382,00152.275
11,07/03/2025,20:20,000.84722,00168.214,00150.016
12,07/03/2025,20:40,000.86111,00173.445,00147.780
13,07/03/2025,21:00,000.87500,00176.021,00145.581
14,07/03/2025,21:20,000.88889,00178.025,00143.384
15,07/03/2025,21:40,000.90278,00177.941,00141.220
16,07/03/2025,22:00,000.91667,00177.913,00139.057
17,07/03/2025,22:20,000.93056,00175.342,00136.944
18,07/03/2025,22:40,000.94444,00172.416,00134.835
19,07/03/2025,23:00,000.95833,00168.102,00132.767
20,07/03/2025,23:20,000.97222,00163.634,00130.711
21,07/03/2025,23:40,000.98611,00158.423,00128.687
22,07/04/2025,00:00,001.00000,00153.172,00126.686
23,07/04/2025,00:20,001.01389,00148.646,00124.697
24,07/04/2025,00:40,001.02778,00142.531,00122.760
25,07/04/2025,01:00,001.04167,00138.037,00120.817
26,07/04/2025,01:20,001.05556,00131.301,00118.934
27,07/04/2025,01:40,001.06944,00125.939,00117.059
28,07/04/2025,02:00,001.08333,00119.994,00115.240
29,07/04/2025,02:20,001.09722,00113.414,00113.461
30,07/04/2025,02:40,001.11111,00107.410,00111.716
31,07/04/2025,03:00,001.12500,00101.597,00110.010
32,07/04/2025,03:20,001.13889,00096.777,00108.321
33,07/04/2025,03:40,001.15278,00091.158,00106.693
34,07/04/2025,04:00,001.16667,00086.448,00105.101
35,07/04/2025,04:20,001.18056,00080.901,00103.550
36,07/04/2025,04:40,001.19444,00076.173,00102.037
37,07/04/2025,05:00,001.20833,00071.781,00100.777
38,07/04/2025,05:20,001.22222,00067.873,00099.819
39,07/04/2025,05:40,001.23611,00063.845,00099.196
40,07/04/2025,06:00,001.25000,00060.645,00098.772
41,07/04/2025,06:20,001.26389,00057.220,00098.466
42,07/04/2025,06:40,001.27778,00054.434,00098.177
43,07/04/2025,07:00,001.29167,00052.428,00097.826
44,07/04/2025,07:20,001.30556,00051.317,00097.387
45,07/04/2025,07:40,001.31944,00050.377,00096.812
46,07/04/2025,08:00,001.33333,00049.949,00096.117
47,07/04/2025,08:20,001.34722,00048.876,00095.337
48,07/04/2025,08:40,001.36111,00048.844,00094.464
49,07/04/2025,09:00,001.37500,00048.411,00093.558
50,07/04/2025,09:20,001.38889,00048.631,00092.613
51,07/04/2025,09:40,001.40278,00048.721,00091.657
52,07/04/2025,10:00,001.41667,00049.735,00090.673
53,07/04/2025,10:20,001.43056,00049.616,00089.722
54,07/04/2025,10:40,001.44444,00051.132,00088.781
55,07/04/2025,11:00,001.45833,00051.802,00087.873
56,07/04/2025,11:20,001.47222,00053.325,00086.986
57,07/04/2025,11:40,001.48611,00054.866,00086.131
58,07/04/2025,12:00,001.50000,00056.450,00085.315
59,07/04/2025,12:20,001.51389,00058.494,00084.522
60,07/04/2025,12:40,001.52778,00059.717,00083.776
61,07/04/2025,13:00,001.54167,00061.645,00083.047
62,07/04/2025,13:20,001.55556,00063.582,00082.365
63,07/04/2025,13:40,001.56944,00066.908,00081.691
64,07/04/2025,14:00,001.58333,00069.046,00081.066
65,07/04/2025,14:20,001.59722,00072.041,00080.475
66,07/04/2025,14:40,001.61111,00074.964,00079.918
67,07/04/2025,15:00,001.62500,00077.158,00079.404
68,07/04/2025,15:20,001.63889,00080.652,00078.897
69,07/04/2025,15:40,001.65278,00084.002,00078.436
70,07/04/2025,16:00,001.66667,00086.135,00078.026
71,07/04/2025,16:20,001.68056,00089.559,00077.651
72,07/04/2025,16:40,001.69444,00091.704,00077.323
73,07/04/2025,17:00,001.70833,00095.315,00077.009
74,07/04/2025,17:20,001.72222,00098.561,00076.730
75,07/04/2025,17:40,001.73611,00101.920,00076.484
76,07/04/2025,18:00,001.75000,00103.880,00076.291
77,07/04/2025,18:20,001.76389,00106.365,00076.122
78,07/04/2025,18:40,001.77778,00109.199,00075.978
79,07/04/2025,19:00,001.79167,00111.048,00075.862
80,07/04/2025,19:20,001.80556,00111.686,00075.769
81,07/04/2025,19:40,001.81944,00111.319,00075.684
82,07/04/2025,20:00,001.83333,00112.488,00075.583
83,07/04/2025,20:20,001.84722,00112.359,00075.511
84,07/04/2025,20:40,001.86111,00112.123,00075.454
85,07/04/2025,21:00,001.87500,00112.123,00075.405
86,07/04/2025,21:20,001.88889,00111.114,00075.366
87,07/04/2025,21:40,001.90278,00110.069,00075.328
88,07/04/2025,22:00,001.91667,00108.650,00075.289
89,07/04/2025,22:20,001.93056,00108.015,00075.260
90,07/04/2025,22:40,001.94444,00105.233,00075.259
91,07/04/2025,23:00,001.95833,00103.091,00075.245
92,07/04/2025,23:20,001.97222,00100.075,00075.232
93,07/04/2025,23:40,001.98611,00097.625,00075.202
94,07/05/2025,00:00,002.00000,00095.228,00075.164
95,07/05/2025,00:20,002.01389,00091.548,00075.147
96,07/05/2025,00:40,002.02778,00088.932,00075.115
97,07/05/2025,01:00,002.04167,00085.470,00075.090
98,07/05/2025,01:20,002.05556,00082.094,00075.059
99,07/05/2025,01:40,002.06944,00078.403,00075.006
100,07/05/2025,02:00,002.08333,00075.029,00074.935
101,07/05/2025,02:20,002.09722,00071.349,00074.845
102,07/05/2025,02:40,002.11111,00067.807,00074.745
103,07/05/2025,03:00,002.12500,00064.735,00074.631
104,07/05/2025,03:20,002.13889,00062.261,00074.501
105,07/05/2025,03:40,002.15278,00059.896,00074.351
106,07/05/2025,04:00,002.16667,00058.087,00074.195
107,07/05/2025,04:20,002.18056,00055.304,00074.031
108,07/05/2025,04:40,002.19444,00053.442,00073.858
109,07/05/2025,05:00,002.20833,00051.601,00073.667
110,07/05/2025,05:20,002.22222,00049.938,00073.454
111,07/05/2025,05:40,002.23611,00049.124,00073.203
112,07/05/2025,06:00,002.25000,00047.859,00072.952
113,07/05/2025,06:20,002.26389,00047.196,00072.678
114,07/05/2025,06:40,002.27778,00046.136,00072.395
115,07/05/2025,07:00,002.29167,00045.461,00072.097
116,07/05/2025,07:20,002.30556,00044.090,00071.816
117,07/05/2025,07:40,002.31944,00044.000,00071.533
118,07/05/2025,08:00,002.33333,00043.718,00071.245
119,07/05/2025,08:20,002.34722,00044.648,00070.947
120,07/05/2025,08:40,002.36111,00044.987,00070.673
121,07/05/2025,09:00,002.37500,00044.857,00070.406
122,07/05/2025,09:20,002.38889,00045.038,00070.163
123,07/05/2025,09:40,002.40278,00045.596,00069.929
124,07/05/2025,10:00,002.41667,00046.909,00069.702
125,07/05/2025,10:20,002.43056,00048.278,00069.465
126,07/05/2025,10:40,002.44444,00048.683,00069.270
