LumiCycle: 6D-SCNcm1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:35,000.69097,00181.519,00162.337
1,07/03/2025,16:55,000.70486,00172.988,00161.046
2,07/03/2025,17:15,000.71875,00161.348,00159.757
3,07/03/2025,17:35,000.73264,00148.069,00158.450
4,07/03/2025,17:55,000.74653,00139.732,00157.035
5,07/03/2025,18:15,000.76042,00136.404,00155.507
6,07/03/2025,18:35,000.77431,00137.317,00153.902
7,07/03/2025,18:55,000.78819,00141.255,00152.237
8,07/03/2025,19:15,000.80208,00146.326,00150.541
9,07/03/2025,19:35,000.81597,00153.523,00148.810
10,07/03/2025,19:55,000.82986,00160.991,00147.071
11,07/03/2025,20:15,000.84375,00168.828,00145.326
12,07/03/2025,20:35,000.85764,00175.025,00143.600
13,07/03/2025,20:55,000.87153,00180.807,00141.884
14,07/03/2025,21:15,000.88542,00183.665,00140.213
15,07/03/2025,21:35,000.89931,00183.711,00138.599
16,07/03/2025,21:55,000.91319,00181.819,00137.013
17,07/03/2025,22:15,000.92708,00178.529,00135.472
18,07/03/2025,22:35,000.94097,00175.146,00133.936
19,07/03/2025,22:55,000.95486,00170.483,00132.447
20,07/03/2025,23:15,000.96875,00165.110,00130.989
21,07/03/2025,23:35,000.98264,00158.619,00129.580
22,07/03/2025,23:55,000.99653,00151.322,00128.214
23,07/04/2025,00:15,001.01042,00142.732,00126.896
24,07/04/2025,00:35,001.02431,00135.813,00125.586
25,07/04/2025,00:55,001.03819,00129.033,00124.309
26,07/04/2025,01:15,001.05208,00122.815,00123.048
27,07/04/2025,01:35,001.06597,00118.760,00121.800
28,07/04/2025,01:55,001.07986,00114.869,00120.581
29,07/04/2025,02:15,001.09375,00110.534,00119.414
30,07/04/2025,02:35,001.10764,00105.131,00118.304
31,07/04/2025,02:55,001.12153,00100.033,00117.228
32,07/04/2025,03:15,001.13542,00095.359,00116.187
33,07/04/2025,03:35,001.14931,00091.472,00115.168
34,07/04/2025,03:55,001.16319,00087.753,00114.197
35,07/04/2025,04:15,001.17708,00085.095,00113.247
36,07/04/2025,04:35,001.19097,00082.624,00112.327
37,07/04/2025,04:55,001.20486,00079.626,00111.572
38,07/04/2025,05:15,001.21875,00076.799,00111.013
39,07/04/2025,05:35,001.23264,00074.101,00110.668
40,07/04/2025,05:55,001.24653,00071.253,00110.475
41,07/04/2025,06:15,001.26042,00070.095,00110.334
42,07/04/2025,06:35,001.27431,00068.878,00110.192
43,07/04/2025,06:55,001.28819,00067.866,00110.005
44,07/04/2025,07:15,001.30208,00067.516,00109.736
45,07/04/2025,07:35,001.31597,00067.275,00109.371
46,07/04/2025,07:55,001.32986,00067.228,00108.888
47,07/04/2025,08:15,001.34375,00066.852,00108.300
48,07/04/2025,08:35,001.35764,00067.212,00107.591
49,07/04/2025,08:55,001.37153,00067.391,00106.784
50,07/04/2025,09:15,001.38542,00068.616,00105.898
51,07/04/2025,09:35,001.39931,00068.593,00105.004
52,07/04/2025,09:55,001.41319,00070.356,00104.079
53,07/04/2025,10:15,001.42708,00070.597,00103.192
54,07/04/2025,10:35,001.44097,00072.637,00102.290
55,07/04/2025,10:55,001.45486,00074.132,00101.429
56,07/04/2025,11:15,001.46875,00076.350,00100.592
57,07/04/2025,11:35,001.48264,00078.624,00099.800
58,07/04/2025,11:55,001.49653,00080.678,00099.078
59,07/04/2025,12:15,001.51042,00082.897,00098.442
60,07/04/2025,12:35,001.52431,00085.347,00097.850
61,07/04/2025,12:55,001.53819,00087.031,00097.319
62,07/04/2025,13:15,001.55208,00090.093,00096.807
63,07/04/2025,13:35,001.56597,00092.328,00096.345
64,07/04/2025,13:55,001.57986,00095.478,00095.888
65,07/04/2025,14:15,001.59375,00098.403,00095.462
66,07/04/2025,14:35,001.60764,00101.099,00095.062
67,07/04/2025,14:55,001.62153,00103.962,00094.704
68,07/04/2025,15:15,001.63542,00106.340,00094.386
69,07/04/2025,15:35,001.64931,00109.773,00094.100
70,07/04/2025,15:55,001.66319,00112.399,00093.855
71,07/04/2025,16:15,001.67708,00114.629,00093.641
72,07/04/2025,16:35,001.69097,00117.190,00093.436
73,07/04/2025,16:55,001.70486,00119.336,00093.265
74,07/04/2025,17:15,001.71875,00121.269,00093.123
75,07/04/2025,17:35,001.73264,00123.367,00093.000
76,07/04/2025,17:55,001.74653,00125.322,00092.910
77,07/04/2025,18:15,001.76042,00126.211,00092.844
78,07/04/2025,18:35,001.77431,00127.109,00092.794
79,07/04/2025,18:55,001.78819,00127.186,00092.779
80,07/04/2025,19:15,001.80208,00127.736,00092.750
81,07/04/2025,19:35,001.81597,00127.112,00092.748
82,07/04/2025,19:55,001.82986,00127.315,00092.731
83,07/04/2025,20:15,001.84375,00125.757,00092.753
84,07/04/2025,20:35,001.85764,00124.507,00092.765
85,07/04/2025,20:55,001.87153,00122.842,00092.783
86,07/04/2025,21:15,001.88542,00121.084,00092.788
87,07/04/2025,21:35,001.89931,00118.844,00092.814
88,07/04/2025,21:55,001.91319,00116.659,00092.835
89,07/04/2025,22:15,001.92708,00114.073,00092.879
90,07/04/2025,22:35,001.94097,00111.696,00092.920
91,07/04/2025,22:55,001.95486,00108.742,00092.955
