LumiCycle: 7A-SCNmm2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:25,000.68403,00104.550,00103.107
1,07/03/2025,16:45,000.69792,00109.643,00102.686
2,07/03/2025,17:05,000.71181,00106.892,00102.358
3,07/03/2025,17:25,000.72569,00103.345,00102.026
4,07/03/2025,17:45,000.73958,00095.963,00101.729
5,07/03/2025,18:05,000.75347,00093.053,00101.357
6,07/03/2025,18:25,000.76736,00092.021,00100.949
7,07/03/2025,18:45,000.78125,00093.850,00100.491
8,07/03/2025,19:05,000.79514,00096.582,00100.012
9,07/03/2025,19:25,000.80903,00101.345,00099.495
10,07/03/2025,19:45,000.82292,00104.922,00098.976
11,07/03/2025,20:05,000.83681,00109.560,00098.441
12,07/03/2025,20:25,000.85069,00112.211,00097.932
13,07/03/2025,20:45,000.86458,00114.667,00097.429
14,07/03/2025,21:05,000.87847,00115.248,00096.954
15,07/03/2025,21:25,000.89236,00115.111,00096.483
16,07/03/2025,21:45,000.90625,00116.981,00095.992
17,07/03/2025,22:05,000.92014,00116.313,00095.539
18,07/03/2025,22:25,000.93403,00115.487,00095.100
19,07/03/2025,22:45,000.94792,00114.257,00094.662
20,07/03/2025,23:05,000.96181,00112.039,00094.240
21,07/03/2025,23:25,000.97569,00110.142,00093.835
22,07/03/2025,23:45,000.98958,00108.178,00093.439
23,07/04/2025,00:05,001.00347,00105.913,00093.055
24,07/04/2025,00:25,001.01736,00104.360,00092.670
25,07/04/2025,00:45,001.03125,00101.929,00092.299
26,07/04/2025,01:05,001.04514,00098.828,00091.959
27,07/04/2025,01:25,001.05903,00096.822,00091.606
28,07/04/2025,01:45,001.07292,00095.407,00091.268
29,07/04/2025,02:05,001.08681,00094.395,00090.925
30,07/04/2025,02:25,001.10069,00092.523,00090.611
31,07/04/2025,02:45,001.11458,00089.959,00090.319
32,07/04/2025,03:05,001.12847,00087.675,00090.025
33,07/04/2025,03:25,001.14236,00086.046,00089.729
34,07/04/2025,03:45,001.15625,00084.119,00089.454
35,07/04/2025,04:05,001.17014,00083.134,00089.182
36,07/04/2025,04:25,001.18403,00080.959,00088.932
37,07/04/2025,04:45,001.19792,00079.349,00088.695
38,07/04/2025,05:05,001.21181,00078.163,00088.394
39,07/04/2025,05:25,001.22569,00077.139,00088.149
40,07/04/2025,05:45,001.23958,00075.794,00087.964
41,07/04/2025,06:05,001.25347,00074.796,00087.886
42,07/04/2025,06:25,001.26736,00074.183,00087.850
43,07/04/2025,06:45,001.28125,00073.359,00087.833
44,07/04/2025,07:05,001.29514,00072.830,00087.800
45,07/04/2025,07:25,001.30903,00072.087,00087.729
46,07/04/2025,07:45,001.32292,00070.747,00087.610
47,07/04/2025,08:05,001.33681,00070.670,00087.423
48,07/04/2025,08:25,001.35069,00070.543,00087.176
49,07/04/2025,08:45,001.36458,00070.846,00086.888
50,07/04/2025,09:05,001.37847,00070.904,00086.575
51,07/04/2025,09:25,001.39236,00070.515,00086.253
52,07/04/2025,09:45,001.40625,00071.013,00085.923
53,07/04/2025,10:05,001.42014,00071.330,00085.565
54,07/04/2025,10:25,001.43403,00072.070,00085.214
55,07/04/2025,10:45,001.44792,00071.792,00084.879
56,07/04/2025,11:05,001.46181,00071.955,00084.540
57,07/04/2025,11:25,001.47569,00073.518,00084.209
58,07/04/2025,11:45,001.48958,00074.053,00083.889
59,07/04/2025,12:05,001.50347,00074.640,00083.590
60,07/04/2025,12:25,001.51736,00075.244,00083.314
61,07/04/2025,12:45,001.53125,00075.413,00083.054
62,07/04/2025,13:05,001.54514,00076.967,00082.795
63,07/04/2025,13:25,001.55903,00077.145,00082.583
64,07/04/2025,13:45,001.57292,00078.792,00082.352
65,07/04/2025,14:05,001.58681,00078.871,00082.158
66,07/04/2025,14:25,001.60069,00080.065,00081.945
67,07/04/2025,14:45,001.61458,00080.932,00081.757
68,07/04/2025,15:05,001.62847,00081.128,00081.603
69,07/04/2025,15:25,001.64236,00081.635,00081.464
70,07/04/2025,15:45,001.65625,00082.810,00081.330
71,07/04/2025,16:05,001.67014,00083.966,00081.209
72,07/04/2025,16:25,001.68403,00084.399,00081.098
73,07/04/2025,16:45,001.69792,00085.851,00080.996
74,07/04/2025,17:05,001.71181,00086.763,00080.914
75,07/04/2025,17:25,001.72569,00088.211,00080.845
76,07/04/2025,17:45,001.73958,00088.741,00080.784
77,07/04/2025,18:05,001.75347,00089.350,00080.739
78,07/04/2025,18:25,001.76736,00089.846,00080.694
79,07/04/2025,18:45,001.78125,00089.927,00080.670
80,07/04/2025,19:05,001.79514,00090.933,00080.640
81,07/04/2025,19:25,001.80903,00090.783,00080.631
82,07/04/2025,19:45,001.82292,00091.382,00080.610
83,07/04/2025,20:05,001.83681,00091.394,00080.616
84,07/04/2025,20:25,001.85069,00091.690,00080.621
85,07/04/2025,20:45,001.86458,00091.720,00080.643
86,07/04/2025,21:05,001.87847,00092.204,00080.651
87,07/04/2025,21:25,001.89236,00091.695,00080.685
88,07/04/2025,21:45,001.90625,00091.813,00080.700
89,07/04/2025,22:05,001.92014,00091.565,00080.728
90,07/04/2025,22:25,001.93403,00091.741,00080.739
91,07/04/2025,22:45,001.94792,00091.096,00080.763
