LumiCycle: 7B-SCNcm2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:35,000.69097,00166.098,00156.496
1,07/03/2025,16:55,000.70486,00160.059,00155.782
2,07/03/2025,17:15,000.71875,00151.916,00155.068
3,07/03/2025,17:35,000.73264,00143.139,00154.347
4,07/03/2025,17:55,000.74653,00138.578,00153.544
5,07/03/2025,18:15,000.76042,00136.730,00152.702
6,07/03/2025,18:35,000.77431,00136.259,00151.820
7,07/03/2025,18:55,000.78819,00139.158,00150.882
8,07/03/2025,19:15,000.80208,00142.524,00149.926
9,07/03/2025,19:35,000.81597,00148.166,00148.929
10,07/03/2025,19:55,000.82986,00154.385,00147.911
11,07/03/2025,20:15,000.84375,00161.021,00146.882
12,07/03/2025,20:35,000.85764,00166.424,00145.879
13,07/03/2025,20:55,000.87153,00169.889,00144.910
14,07/03/2025,21:15,000.88542,00172.343,00143.967
15,07/03/2025,21:35,000.89931,00172.040,00143.061
16,07/03/2025,21:55,000.91319,00173.173,00142.141
17,07/03/2025,22:15,000.92708,00171.714,00141.272
18,07/03/2025,22:35,000.94097,00169.790,00140.415
19,07/03/2025,22:55,000.95486,00166.015,00139.605
20,07/03/2025,23:15,000.96875,00162.014,00138.812
21,07/03/2025,23:35,000.98264,00157.622,00138.055
22,07/03/2025,23:55,000.99653,00154.548,00137.310
23,07/04/2025,00:15,001.01042,00150.866,00136.603
24,07/04/2025,00:35,001.02431,00146.925,00135.904
25,07/04/2025,00:55,001.03819,00142.912,00135.232
26,07/04/2025,01:15,001.05208,00139.146,00134.568
27,07/04/2025,01:35,001.06597,00135.656,00133.946
28,07/04/2025,01:55,001.07986,00131.762,00133.355
29,07/04/2025,02:15,001.09375,00129.096,00132.777
30,07/04/2025,02:35,001.10764,00126.649,00132.219
31,07/04/2025,02:55,001.12153,00124.145,00131.701
32,07/04/2025,03:15,001.13542,00121.524,00131.223
33,07/04/2025,03:35,001.14931,00117.901,00130.787
34,07/04/2025,03:55,001.16319,00114.756,00130.384
35,07/04/2025,04:15,001.17708,00112.488,00129.986
36,07/04/2025,04:35,001.19097,00110.081,00129.606
