LumiCycle: 7C-L1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:25,000.64236,00044.680,00040.336
1,06/26/2025,15:45,000.65625,00039.234,00040.271
2,06/26/2025,16:05,000.67014,00034.587,00040.191
3,06/26/2025,16:25,000.68403,00030.475,00040.108
4,06/26/2025,16:45,000.69792,00029.472,00039.978
5,06/26/2025,17:05,000.71181,00029.987,00039.822
6,06/26/2025,17:25,000.72569,00031.665,00039.650
7,06/26/2025,17:45,000.73958,00033.509,00039.477
8,06/26/2025,18:05,000.75347,00035.183,00039.303
9,06/26/2025,18:25,000.76736,00036.442,00039.136
10,06/26/2025,18:45,000.78125,00037.410,00038.969
11,06/26/2025,19:05,000.79514,00037.627,00038.812
12,06/26/2025,19:25,000.80903,00038.348,00038.645
13,06/26/2025,19:45,000.82292,00038.393,00038.486
14,06/26/2025,20:05,000.83681,00038.020,00038.328
15,06/26/2025,20:25,000.85069,00038.070,00038.168
16,06/26/2025,20:45,000.86458,00038.064,00038.009
17,06/26/2025,21:05,000.87847,00038.302,00037.841
18,06/26/2025,21:25,000.89236,00038.319,00037.674
19,06/26/2025,21:45,000.90625,00038.007,00037.504
20,06/26/2025,22:05,000.92014,00037.938,00037.327
21,06/26/2025,22:25,000.93403,00037.313,00037.157
22,06/26/2025,22:45,000.94792,00037.003,00036.981
23,06/26/2025,23:05,000.96181,00037.010,00036.795
24,06/26/2025,23:25,000.97569,00036.769,00036.611
25,06/26/2025,23:45,000.98958,00036.827,00036.415
26,06/27/2025,00:05,001.00347,00036.266,00036.233
27,06/27/2025,00:25,001.01736,00036.543,00036.035
28,06/27/2025,00:45,001.03125,00036.085,00035.849
29,06/27/2025,01:05,001.04514,00036.237,00035.654
30,06/27/2025,01:25,001.05903,00035.959,00035.462
31,06/27/2025,01:45,001.07292,00035.756,00035.264
32,06/27/2025,02:05,001.08681,00035.701,00035.064
33,06/27/2025,02:25,001.10069,00035.400,00034.872
34,06/27/2025,02:45,001.11458,00034.928,00034.684
35,06/27/2025,03:05,001.12847,00034.411,00034.496
36,06/27/2025,03:25,001.14236,00034.473,00034.299
37,06/27/2025,03:45,001.15625,00034.526,00034.100
38,06/27/2025,04:05,001.17014,00034.299,00033.983
39,06/27/2025,04:25,001.18403,00034.550,00033.924
40,06/27/2025,04:45,001.19792,00034.317,00033.932
41,06/27/2025,05:05,001.21181,00033.987,00033.962
42,06/27/2025,05:25,001.22569,00033.974,00033.973
43,06/27/2025,05:45,001.23958,00034.083,00033.964
44,06/27/2025,06:05,001.25347,00033.854,00033.936
45,06/27/2025,06:25,001.26736,00033.862,00033.888
46,06/27/2025,06:45,001.28125,00033.661,00033.835
47,06/27/2025,07:05,001.29514,00033.603,00033.765
48,06/27/2025,07:25,001.30903,00033.341,00033.697
49,06/27/2025,07:45,001.32292,00033.302,00033.618
50,06/27/2025,08:05,001.33681,00032.942,00033.545
51,06/27/2025,08:25,001.35069,00033.192,00033.477
52,06/27/2025,08:45,001.36458,00033.178,00033.412
53,06/27/2025,09:05,001.37847,00032.835,00033.356
54,06/27/2025,09:25,001.39236,00032.689,00033.297
55,06/27/2025,09:45,001.40625,00032.150,00033.253
56,06/27/2025,10:05,001.42014,00031.877,00033.218
57,06/27/2025,10:25,001.43403,00031.796,00033.185
58,06/27/2025,10:45,001.44792,00031.682,00033.160
59,06/27/2025,11:05,001.46181,00031.335,00033.146
60,06/27/2025,11:25,001.47569,00031.127,00033.135
61,06/27/2025,11:45,001.48958,00030.633,00033.134
62,06/27/2025,12:05,001.50347,00031.010,00033.123
63,06/27/2025,12:25,001.51736,00030.716,00033.133
64,06/27/2025,12:45,001.53125,00030.854,00033.137
65,06/27/2025,13:05,001.54514,00030.754,00033.149
66,06/27/2025,13:25,001.55903,00030.577,00033.164
67,06/27/2025,13:45,001.57292,00030.235,00033.187
68,06/27/2025,14:05,001.58681,00030.238,00033.208
69,06/27/2025,14:25,001.60069,00030.543,00033.226
70,06/27/2025,14:45,001.61458,00030.670,00033.255
71,06/27/2025,15:05,001.62847,00030.632,00033.293
72,06/27/2025,15:25,001.64236,00030.588,00033.343
73,06/27/2025,15:45,001.65625,00030.411,00033.392
74,06/27/2025,16:05,001.67014,00030.533,00033.432
75,06/27/2025,16:25,001.68403,00030.643,00033.482
76,06/27/2025,16:45,001.69792,00030.782,00033.527
77,06/27/2025,17:05,001.71181,00031.328,00033.571
78,06/27/2025,17:25,001.72569,00030.758,00033.624
79,06/27/2025,17:45,001.73958,00031.105,00033.664
80,06/27/2025,18:05,001.75347,00031.302,00033.701
81,06/27/2025,18:25,001.76736,00031.715,00033.740
82,06/27/2025,18:45,001.78125,00032.410,00033.771
83,06/27/2025,19:05,001.79514,00032.294,00033.812
84,06/27/2025,19:25,001.80903,00032.488,00033.850
85,06/27/2025,19:45,001.82292,00032.628,00033.896
86,06/27/2025,20:05,001.83681,00032.808,00033.933
87,06/27/2025,20:25,001.85069,00033.375,00033.972
88,06/27/2025,20:45,001.86458,00033.367,00034.011
89,06/27/2025,21:05,001.87847,00033.677,00034.048
90,06/27/2025,21:25,001.89236,00033.915,00034.082
91,06/27/2025,21:45,001.90625,00034.590,00034.108
92,06/27/2025,22:05,001.92014,00035.202,00034.140
93,06/27/2025,22:25,001.93403,00035.523,00034.175
94,06/27/2025,22:45,001.94792,00035.385,00034.218
95,06/27/2025,23:05,001.96181,00035.615,00034.251
96,06/27/2025,23:25,001.97569,00036.029,00034.288
97,06/27/2025,23:45,001.98958,00036.220,00034.331
98,06/28/2025,00:05,002.00347,00036.385,00034.376
99,06/28/2025,00:25,002.01736,00036.675,00034.414
100,06/28/2025,00:45,002.03125,00036.972,00034.454
101,06/28/2025,01:05,002.04514,00036.868,00034.495
102,06/28/2025,01:25,002.05903,00037.131,00034.535
103,06/28/2025,01:45,002.07292,00037.263,00034.575
104,06/28/2025,02:05,002.08681,00037.316,00034.620
105,06/28/2025,02:25,002.10069,00037.308,00034.660
106,06/28/2025,02:45,002.11458,00037.581,00034.692
107,06/28/2025,03:05,002.12847,00037.607,00034.724
108,06/28/2025,03:25,002.14236,00037.986,00034.752
109,06/28/2025,03:45,002.15625,00037.817,00034.789
110,06/28/2025,04:05,002.17014,00037.527,00034.832
111,06/28/2025,04:25,002.18403,00037.991,00034.857
112,06/28/2025,04:45,002.19792,00037.997,00034.889
113,06/28/2025,05:05,002.21181,00037.962,00034.912
114,06/28/2025,05:25,002.22569,00037.253,00034.944
115,06/28/2025,05:45,002.23958,00037.200,00034.977
116,06/28/2025,06:05,002.25347,00036.988,00035.012
117,06/28/2025,06:25,002.26736,00037.052,00035.040
118,06/28/2025,06:45,002.28125,00036.764,00035.065
119,06/28/2025,07:05,002.29514,00036.495,00035.085
120,06/28/2025,07:25,002.30903,00036.535,00035.100
121,06/28/2025,07:45,002.32292,00036.812,00035.109
122,06/28/2025,08:05,002.33681,00036.172,00035.127
123,06/28/2025,08:25,002.35069,00036.299,00035.128
124,06/28/2025,08:45,002.36458,00036.013,00035.127
125,06/28/2025,09:05,002.37847,00036.150,00035.127
126,06/28/2025,09:25,002.39236,00035.515,00035.134
127,06/28/2025,09:45,002.40625,00035.217,00035.138
128,06/28/2025,10:05,002.42014,00035.093,00035.130
129,06/28/2025,10:25,002.43403,00034.725,00035.119
130,06/28/2025,10:45,002.44792,00034.720,00035.098
131,06/28/2025,11:05,002.46181,00034.322,00035.084
132,06/28/2025,11:25,002.47569,00034.345,00035.065
133,06/28/2025,11:45,002.48958,00034.472,00035.045
134,06/28/2025,12:05,002.50347,00034.007,00035.030
135,06/28/2025,12:25,002.51736,00034.070,00035.002
136,06/28/2025,12:45,002.53125,00033.839,00034.974
137,06/28/2025,13:05,002.54514,00033.746,00034.944
138,06/28/2025,13:25,002.55903,00033.887,00034.913
139,06/28/2025,13:45,002.57292,00033.571,00034.886
140,06/28/2025,14:05,002.58681,00033.545,00034.851
141,06/28/2025,14:25,002.60069,00033.077,00034.822
142,06/28/2025,14:45,002.61458,00033.151,00034.786
143,06/28/2025,15:05,002.62847,00033.019,00034.749
144,06/28/2025,15:25,002.64236,00033.008,00034.707
145,06/28/2025,15:45,002.65625,00033.099,00034.655
146,06/28/2025,16:05,002.67014,00033.177,00034.606
147,06/28/2025,16:25,002.68403,00032.839,00034.565
148,06/28/2025,16:45,002.69792,00032.932,00034.515
149,06/28/2025,17:05,002.71181,00032.392,00034.474
150,06/28/2025,17:25,002.72569,00032.921,00034.419
151,06/28/2025,17:45,002.73958,00033.068,00034.376
152,06/28/2025,18:05,002.75347,00033.412,00034.325
153,06/28/2025,18:25,002.76736,00033.398,00034.278
154,06/28/2025,18:45,002.78125,00033.222,00034.235
155,06/28/2025,19:05,002.79514,00033.616,00034.187
156,06/28/2025,19:25,002.80903,00033.378,00034.149
157,06/28/2025,19:45,002.82292,00033.439,00034.110
158,06/28/2025,20:05,002.83681,00033.256,00034.067
159,06/28/2025,20:25,002.85069,00033.034,00034.032
160,06/28/2025,20:45,002.86458,00033.010,00033.987
161,06/28/2025,21:05,002.87847,00033.476,00033.931
162,06/28/2025,21:25,002.89236,00033.559,00033.881
163,06/28/2025,21:45,002.90625,00033.903,00033.833
164,06/28/2025,22:05,002.92014,00033.894,00033.789
165,06/28/2025,22:25,002.93403,00034.077,00033.742
166,06/28/2025,22:45,002.94792,00033.979,00033.706
167,06/28/2025,23:05,002.96181,00033.968,00033.671
168,06/28/2025,23:25,002.97569,00034.254,00033.636
169,06/28/2025,23:45,002.98958,00034.728,00033.595
170,06/29/2025,00:05,003.00347,00034.726,00033.556
171,06/29/2025,00:25,003.01736,00034.433,00033.526
172,06/29/2025,00:45,003.03125,00034.380,00033.492
173,06/29/2025,01:05,003.04514,00034.699,00033.451
174,06/29/2025,01:25,003.05903,00034.813,00033.417
175,06/29/2025,01:45,003.07292,00034.894,00033.383
176,06/29/2025,02:05,003.08681,00034.707,00033.358
177,06/29/2025,02:25,003.10069,00034.774,00033.329
178,06/29/2025,02:45,003.11458,00034.763,00033.305
179,06/29/2025,03:05,003.12847,00034.773,00033.276
180,06/29/2025,03:25,003.14236,00034.603,00033.251
181,06/29/2025,03:45,003.15625,00034.341,00033.227
182,06/29/2025,04:05,003.17014,00034.371,00033.201
183,06/29/2025,04:25,003.18403,00034.233,00033.180
184,06/29/2025,04:45,003.19792,00034.433,00033.160
185,06/29/2025,05:05,003.21181,00034.493,00033.143
186,06/29/2025,05:25,003.22569,00034.597,00033.126
187,06/29/2025,05:45,003.23958,00034.296,00033.112
188,06/29/2025,06:05,003.25347,00033.875,00033.092
189,06/29/2025,06:25,003.26736,00033.582,00033.067
190,06/29/2025,06:45,003.28125,00033.727,00033.035
191,06/29/2025,07:05,003.29514,00033.752,00033.007
192,06/29/2025,07:25,003.30903,00033.510,00032.979
193,06/29/2025,07:45,003.32292,00033.762,00032.948
194,06/29/2025,08:05,003.33681,00033.570,00032.926
195,06/29/2025,08:25,003.35069,00033.416,00032.909
196,06/29/2025,08:45,003.36458,00033.010,00032.901
197,06/29/2025,09:05,003.37847,00032.491,00032.895
198,06/29/2025,09:25,003.39236,00032.626,00032.875
199,06/29/2025,09:45,003.40625,00032.377,00032.859
200,06/29/2025,10:05,003.42014,00032.053,00032.840
201,06/29/2025,10:25,003.43403,00031.891,00032.820
202,06/29/2025,10:45,003.44792,00032.052,00032.795
203,06/29/2025,11:05,003.46181,00032.155,00032.771
204,06/29/2025,11:25,003.47569,00032.112,00032.750
205,06/29/2025,11:45,003.48958,00031.877,00032.728
206,06/29/2025,12:05,003.50347,00031.644,00032.700
207,06/29/2025,12:25,003.51736,00031.565,00032.669
208,06/29/2025,12:45,003.53125,00031.525,00032.645
209,06/29/2025,13:05,003.54514,00031.248,00032.622
210,06/29/2025,13:25,003.55903,00031.397,00032.592
211,06/29/2025,13:45,003.57292,00031.543,00032.558
212,06/29/2025,14:05,003.58681,00031.528,00032.528
213,06/29/2025,14:25,003.60069,00031.558,00032.499
214,06/29/2025,14:45,003.61458,00031.318,00032.474
215,06/29/2025,15:05,003.62847,00031.122,00032.450
216,06/29/2025,15:25,003.64236,00031.003,00032.417
217,06/29/2025,15:45,003.65625,00031.046,00032.387
218,06/29/2025,16:05,003.67014,00031.235,00032.355
219,06/29/2025,16:25,003.68403,00031.535,00032.322
220,06/29/2025,16:45,003.69792,00031.576,00032.296
221,06/29/2025,17:05,003.71181,00031.769,00032.264
222,06/29/2025,17:25,003.72569,00031.320,00032.238
223,06/29/2025,17:45,003.73958,00031.626,00032.198
224,06/29/2025,18:05,003.75347,00031.162,00032.175
225,06/29/2025,18:25,003.76736,00031.342,00032.151
226,06/29/2025,18:45,003.78125,00031.208,00032.136
227,06/29/2025,19:05,003.79514,00031.243,00032.117
228,06/29/2025,19:25,003.80903,00031.355,00032.091
229,06/29/2025,19:45,003.82292,00031.383,00032.068
230,06/29/2025,20:05,003.83681,00031.713,00032.033
231,06/29/2025,20:25,003.85069,00031.845,00032.003
232,06/29/2025,20:45,003.86458,00032.070,00031.974
233,06/29/2025,21:05,003.87847,00032.078,00031.952
234,06/29/2025,21:25,003.89236,00032.166,00031.939
235,06/29/2025,21:45,003.90625,00032.139,00031.926
236,06/29/2025,22:05,003.92014,00032.220,00031.912
237,06/29/2025,22:25,003.93403,00032.268,00031.897
238,06/29/2025,22:45,003.94792,00032.446,00031.882
239,06/29/2025,23:05,003.96181,00032.380,00031.867
240,06/29/2025,23:25,003.97569,00032.402,00031.850
241,06/29/2025,23:45,003.98958,00032.452,00031.826
242,06/30/2025,00:05,004.00347,00032.438,00031.807
243,06/30/2025,00:25,004.01736,00032.388,00031.791
244,06/30/2025,00:45,004.03125,00032.678,00031.775
245,06/30/2025,01:05,004.04514,00032.495,00031.768
246,06/30/2025,01:25,004.05903,00032.674,00031.759
247,06/30/2025,01:45,004.07292,00032.489,00031.754
248,06/30/2025,02:05,004.08681,00032.701,00031.743
249,06/30/2025,02:25,004.10069,00032.688,00031.737
250,06/30/2025,02:45,004.11458,00032.747,00031.728
251,06/30/2025,03:05,004.12847,00032.793,00031.726
252,06/30/2025,03:25,004.14236,00032.321,00031.734
253,06/30/2025,03:45,004.15625,00032.487,00031.737
254,06/30/2025,04:05,004.17014,00032.231,00031.742
255,06/30/2025,04:25,004.18403,00032.264,00031.741
256,06/30/2025,04:45,004.19792,00032.414,00031.736
257,06/30/2025,05:05,004.21181,00032.312,00031.733
258,06/30/2025,05:25,004.22569,00032.158,00031.730
259,06/30/2025,05:45,004.23958,00032.042,00031.734
260,06/30/2025,06:05,004.25347,00032.158,00031.729
261,06/30/2025,06:25,004.26736,00032.370,00031.730
262,06/30/2025,06:45,004.28125,00032.332,00031.728
263,06/30/2025,07:05,004.29514,00032.392,00031.732
264,06/30/2025,07:25,004.30903,00031.968,00031.745
265,06/30/2025,07:45,004.32292,00031.877,00031.755
266,06/30/2025,08:05,004.33681,00031.634,00031.763
267,06/30/2025,08:25,004.35069,00031.512,00031.765
268,06/30/2025,08:45,004.36458,00031.539,00031.769
269,06/30/2025,09:05,004.37847,00031.476,00031.772
270,06/30/2025,09:25,004.39236,00031.609,00031.772
271,06/30/2025,09:45,004.40625,00031.698,00031.770
272,06/30/2025,10:05,004.42014,00031.448,00031.776
273,06/30/2025,10:25,004.43403,00030.966,00031.783
274,06/30/2025,10:45,004.44792,00031.009,00031.783
275,06/30/2025,11:05,004.46181,00030.934,00031.779
276,06/30/2025,11:25,004.47569,00030.901,00031.775
277,06/30/2025,11:45,004.48958,00030.500,00031.775
278,06/30/2025,12:05,004.50347,00030.460,00031.769
279,06/30/2025,12:25,004.51736,00030.425,00031.766
280,06/30/2025,12:45,004.53125,00030.708,00031.762
281,06/30/2025,13:05,004.54514,00030.862,00031.753
282,06/30/2025,13:25,004.55903,00030.751,00031.756
283,06/30/2025,13:45,004.57292,00030.888,00031.750
284,06/30/2025,14:05,004.58681,00030.952,00031.752
285,06/30/2025,14:25,004.60069,00031.049,00031.752
286,06/30/2025,14:45,004.61458,00030.993,00031.750
287,06/30/2025,15:05,004.62847,00031.216,00031.743
288,06/30/2025,15:25,004.64236,00031.219,00031.738
289,06/30/2025,15:45,004.65625,00031.426,00031.736
290,06/30/2025,16:05,004.67014,00031.155,00031.738
291,06/30/2025,16:25,004.68403,00031.170,00031.738
292,06/30/2025,16:45,004.69792,00031.290,00031.736
293,06/30/2025,17:05,004.71181,00031.277,00031.734
294,06/30/2025,17:25,004.72569,00031.396,00031.729
295,06/30/2025,17:45,004.73958,00031.535,00031.729
296,06/30/2025,18:05,004.75347,00031.385,00031.735
297,06/30/2025,18:25,004.76736,00031.391,00031.735
298,06/30/2025,18:45,004.78125,00031.163,00031.734
299,06/30/2025,19:05,004.79514,00031.597,00031.721
