LumiCycle: 7D-L2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:20,000.63889,00074.077,00069.186
1,06/26/2025,15:40,000.65278,00064.496,00069.185
2,06/26/2025,16:00,000.66667,00056.396,00069.156
3,06/26/2025,16:20,000.68056,00049.824,00069.102
4,06/26/2025,16:40,000.69444,00048.422,00068.968
5,06/26/2025,17:00,000.70833,00049.978,00068.792
6,06/26/2025,17:20,000.72222,00052.288,00068.603
7,06/26/2025,17:40,000.73611,00055.672,00068.403
8,06/26/2025,18:00,000.75000,00058.851,00068.201
9,06/26/2025,18:20,000.76389,00061.506,00068.003
10,06/26/2025,18:40,000.77778,00063.730,00067.798
11,06/26/2025,19:00,000.79167,00065.629,00067.596
12,06/26/2025,19:20,000.80556,00066.681,00067.397
13,06/26/2025,19:40,000.81944,00067.295,00067.202
14,06/26/2025,20:00,000.83333,00068.005,00067.006
15,06/26/2025,20:20,000.84722,00068.525,00066.809
16,06/26/2025,20:40,000.86111,00068.206,00066.622
17,06/26/2025,21:00,000.87500,00068.775,00066.414
18,06/26/2025,21:20,000.88889,00069.143,00066.210
19,06/26/2025,21:40,000.90278,00069.386,00066.002
20,06/26/2025,22:00,000.91667,00069.842,00065.789
21,06/26/2025,22:20,000.93056,00069.285,00065.577
22,06/26/2025,22:40,000.94444,00068.299,00065.366
23,06/26/2025,23:00,000.95833,00068.521,00065.129
24,06/26/2025,23:20,000.97222,00067.954,00064.904
25,06/26/2025,23:40,000.98611,00068.313,00064.659
26,06/27/2025,00:00,001.00000,00067.113,00064.435
27,06/27/2025,00:20,001.01389,00067.370,00064.184
28,06/27/2025,00:40,001.02778,00067.074,00063.940
29,06/27/2025,01:00,001.04167,00067.250,00063.689
30,06/27/2025,01:20,001.05556,00066.883,00063.448
31,06/27/2025,01:40,001.06944,00066.450,00063.205
32,06/27/2025,02:00,001.08333,00066.171,00062.964
33,06/27/2025,02:20,001.09722,00066.047,00062.718
34,06/27/2025,02:40,001.11111,00065.810,00062.467
35,06/27/2025,03:00,001.12500,00065.122,00062.221
36,06/27/2025,03:20,001.13889,00064.453,00061.978
37,06/27/2025,03:40,001.15278,00063.971,00061.873
38,06/27/2025,04:00,001.16667,00063.689,00061.883
39,06/27/2025,04:20,001.18056,00063.325,00061.996
40,06/27/2025,04:40,001.19444,00063.308,00062.119
41,06/27/2025,05:00,001.20833,00063.127,00062.229
42,06/27/2025,05:20,001.22222,00063.473,00062.301
43,06/27/2025,05:40,001.23611,00063.147,00062.339
44,06/27/2025,06:00,001.25000,00062.808,00062.334
45,06/27/2025,06:20,001.26389,00062.016,00062.304
46,06/27/2025,06:40,001.27778,00061.795,00062.242
47,06/27/2025,07:00,001.29167,00061.213,00062.161
48,06/27/2025,07:20,001.30556,00061.004,00062.067
49,06/27/2025,07:40,001.31944,00061.117,00061.974
50,06/27/2025,08:00,001.33333,00060.811,00061.887
51,06/27/2025,08:20,001.34722,00060.626,00061.801
52,06/27/2025,08:40,001.36111,00060.091,00061.727
53,06/27/2025,09:00,001.37500,00060.152,00061.651
54,06/27/2025,09:20,001.38889,00059.779,00061.582
55,06/27/2025,09:40,001.40278,00059.623,00061.514
56,06/27/2025,10:00,001.41667,00058.696,00061.463
57,06/27/2025,10:20,001.43056,00058.308,00061.422
58,06/27/2025,10:40,001.44444,00057.733,00061.412
59,06/27/2025,11:00,001.45833,00057.726,00061.400
60,06/27/2025,11:20,001.47222,00057.280,00061.410
61,06/27/2025,11:40,001.48611,00057.222,00061.419
62,06/27/2025,12:00,001.50000,00056.738,00061.459
63,06/27/2025,12:20,001.51389,00056.738,00061.497
64,06/27/2025,12:40,001.52778,00056.696,00061.547
65,06/27/2025,13:00,001.54167,00056.811,00061.602
66,06/27/2025,13:20,001.55556,00056.639,00061.680
67,06/27/2025,13:40,001.56944,00056.913,00061.771
68,06/27/2025,14:00,001.58333,00056.717,00061.877
69,06/27/2025,14:20,001.59722,00056.285,00061.995
70,06/27/2025,14:40,001.61111,00056.188,00062.117
71,06/27/2025,15:00,001.62500,00056.393,00062.251
72,06/27/2025,15:20,001.63889,00056.662,00062.397
73,06/27/2025,15:40,001.65278,00056.806,00062.563
74,06/27/2025,16:00,001.66667,00057.345,00062.725
75,06/27/2025,16:20,001.68056,00057.012,00062.913
76,06/27/2025,16:40,001.69444,00057.493,00063.095
77,06/27/2025,17:00,001.70833,00057.711,00063.284
78,06/27/2025,17:20,001.72222,00058.030,00063.472
79,06/27/2025,17:40,001.73611,00058.123,00063.670
80,06/27/2025,18:00,001.75000,00058.589,00063.873
81,06/27/2025,18:20,001.76389,00059.208,00064.082
82,06/27/2025,18:40,001.77778,00059.385,00064.296
83,06/27/2025,19:00,001.79167,00059.874,00064.516
84,06/27/2025,19:20,001.80556,00060.911,00064.729
85,06/27/2025,19:40,001.81944,00061.579,00064.952
86,06/27/2025,20:00,001.83333,00062.311,00065.177
87,06/27/2025,20:20,001.84722,00062.543,00065.409
88,06/27/2025,20:40,001.86111,00063.522,00065.627
89,06/27/2025,21:00,001.87500,00063.890,00065.852
90,06/27/2025,21:20,001.88889,00064.462,00066.066
91,06/27/2025,21:40,001.90278,00065.399,00066.279
92,06/27/2025,22:00,001.91667,00065.980,00066.498
93,06/27/2025,22:20,001.93056,00067.074,00066.720
94,06/27/2025,22:40,001.94444,00067.636,00066.950
95,06/27/2025,23:00,001.95833,00068.230,00067.174
96,06/27/2025,23:20,001.97222,00068.856,00067.402
97,06/27/2025,23:40,001.98611,00069.466,00067.621
98,06/28/2025,00:00,002.00000,00069.991,00067.851
99,06/28/2025,00:20,002.01389,00070.565,00068.066
100,06/28/2025,00:40,002.02778,00071.183,00068.278
101,06/28/2025,01:00,002.04167,00072.180,00068.474
102,06/28/2025,01:20,002.05556,00073.136,00068.661
103,06/28/2025,01:40,002.06944,00073.362,00068.852
104,06/28/2025,02:00,002.08333,00073.878,00069.040
105,06/28/2025,02:20,002.09722,00074.260,00069.228
106,06/28/2025,02:40,002.11111,00074.700,00069.412
107,06/28/2025,03:00,002.12500,00074.973,00069.590
108,06/28/2025,03:20,002.13889,00075.733,00069.756
109,06/28/2025,03:40,002.15278,00075.540,00069.930
110,06/28/2025,04:00,002.16667,00076.136,00070.082
111,06/28/2025,04:20,002.18056,00076.530,00070.235
112,06/28/2025,04:40,002.19444,00076.616,00070.385
113,06/28/2025,05:00,002.20833,00076.937,00070.524
114,06/28/2025,05:20,002.22222,00077.055,00070.658
115,06/28/2025,05:40,002.23611,00077.536,00070.782
116,06/28/2025,06:00,002.25000,00077.268,00070.906
117,06/28/2025,06:20,002.26389,00076.931,00071.022
118,06/28/2025,06:40,002.27778,00077.122,00071.126
119,06/28/2025,07:00,002.29167,00076.955,00071.236
120,06/28/2025,07:20,002.30556,00077.383,00071.330
121,06/28/2025,07:40,002.31944,00077.286,00071.417
122,06/28/2025,08:00,002.33333,00077.058,00071.498
123,06/28/2025,08:20,002.34722,00076.385,00071.577
124,06/28/2025,08:40,002.36111,00076.276,00071.634
125,06/28/2025,09:00,002.37500,00075.333,00071.704
126,06/28/2025,09:20,002.38889,00075.448,00071.757
127,06/28/2025,09:40,002.40278,00074.627,00071.809
128,06/28/2025,10:00,002.41667,00074.905,00071.846
129,06/28/2025,10:20,002.43056,00074.385,00071.875
130,06/28/2025,10:40,002.44444,00073.995,00071.903
131,06/28/2025,11:00,002.45833,00073.897,00071.916
132,06/28/2025,11:20,002.47222,00073.126,00071.937
133,06/28/2025,11:40,002.48611,00073.392,00071.939
134,06/28/2025,12:00,002.50000,00072.369,00071.953
135,06/28/2025,12:20,002.51389,00072.178,00071.950
136,06/28/2025,12:40,002.52778,00071.531,00071.955
137,06/28/2025,13:00,002.54167,00070.671,00071.952
138,06/28/2025,13:20,002.55556,00070.523,00071.925
139,06/28/2025,13:40,002.56944,00070.358,00071.893
140,06/28/2025,14:00,002.58333,00069.848,00071.861
141,06/28/2025,14:20,002.59722,00069.495,00071.832
142,06/28/2025,14:40,002.61111,00069.128,00071.804
143,06/28/2025,15:00,002.62500,00069.002,00071.772
144,06/28/2025,15:20,002.63889,00068.844,00071.735
145,06/28/2025,15:40,002.65278,00068.556,00071.696
146,06/28/2025,16:00,002.66667,00068.152,00071.653
147,06/28/2025,16:20,002.68056,00068.065,00071.601
148,06/28/2025,16:40,002.69444,00067.717,00071.559
149,06/28/2025,17:00,002.70833,00067.526,00071.509
150,06/28/2025,17:20,002.72222,00067.341,00071.458
151,06/28/2025,17:40,002.73611,00066.947,00071.405
152,06/28/2025,18:00,002.75000,00066.990,00071.350
153,06/28/2025,18:20,002.76389,00066.920,00071.298
154,06/28/2025,18:40,002.77778,00067.370,00071.232
155,06/28/2025,19:00,002.79167,00067.941,00071.165
156,06/28/2025,19:20,002.80556,00067.541,00071.100
157,06/28/2025,19:40,002.81944,00067.799,00071.020
158,06/28/2025,20:00,002.83333,00067.346,00070.952
159,06/28/2025,20:20,002.84722,00067.404,00070.887
160,06/28/2025,20:40,002.86111,00067.861,00070.809
161,06/28/2025,21:00,002.87500,00068.273,00070.747
162,06/28/2025,21:20,002.88889,00068.244,00070.681
163,06/28/2025,21:40,002.90278,00068.818,00070.611
164,06/28/2025,22:00,002.91667,00068.609,00070.544
165,06/28/2025,22:20,002.93056,00069.193,00070.472
166,06/28/2025,22:40,002.94444,00069.070,00070.411
167,06/28/2025,23:00,002.95833,00069.540,00070.339
168,06/28/2025,23:20,002.97222,00069.877,00070.279
169,06/28/2025,23:40,002.98611,00069.939,00070.222
170,06/29/2025,00:00,003.00000,00070.185,00070.167
171,06/29/2025,00:20,003.01389,00070.890,00070.105
172,06/29/2025,00:40,003.02778,00071.061,00070.053
173,06/29/2025,01:00,003.04167,00071.098,00070.011
174,06/29/2025,01:20,003.05556,00071.012,00069.964
175,06/29/2025,01:40,003.06944,00071.076,00069.916
176,06/29/2025,02:00,003.08333,00071.894,00069.855
177,06/29/2025,02:20,003.09722,00072.380,00069.806
178,06/29/2025,02:40,003.11111,00072.609,00069.762
179,06/29/2025,03:00,003.12500,00072.987,00069.715
180,06/29/2025,03:20,003.13889,00072.494,00069.680
181,06/29/2025,03:40,003.15278,00072.733,00069.639
182,06/29/2025,04:00,003.16667,00072.817,00069.600
183,06/29/2025,04:20,003.18056,00073.315,00069.558
184,06/29/2025,04:40,003.19444,00073.285,00069.524
185,06/29/2025,05:00,003.20833,00073.255,00069.493
186,06/29/2025,05:20,003.22222,00073.452,00069.446
187,06/29/2025,05:40,003.23611,00073.469,00069.408
188,06/29/2025,06:00,003.25000,00073.213,00069.377
189,06/29/2025,06:20,003.26389,00072.971,00069.364
190,06/29/2025,06:40,003.27778,00072.822,00069.336
191,06/29/2025,07:00,003.29167,00072.445,00069.303
192,06/29/2025,07:20,003.30556,00071.910,00069.282
193,06/29/2025,07:40,003.31944,00071.848,00069.249
194,06/29/2025,08:00,003.33333,00071.903,00069.222
195,06/29/2025,08:20,003.34722,00071.254,00069.198
196,06/29/2025,08:40,003.36111,00071.460,00069.160
197,06/29/2025,09:00,003.37500,00070.734,00069.134
198,06/29/2025,09:20,003.38889,00070.310,00069.108
199,06/29/2025,09:40,003.40278,00070.054,00069.069
200,06/29/2025,10:00,003.41667,00069.884,00069.030
201,06/29/2025,10:20,003.43056,00069.605,00068.992
202,06/29/2025,10:40,003.44444,00069.346,00068.959
203,06/29/2025,11:00,003.45833,00069.275,00068.924
204,06/29/2025,11:20,003.47222,00069.418,00068.883
205,06/29/2025,11:40,003.48611,00068.766,00068.859
206,06/29/2025,12:00,003.50000,00068.587,00068.823
207,06/29/2025,12:20,003.51389,00068.053,00068.782
208,06/29/2025,12:40,003.52778,00067.789,00068.738
209,06/29/2025,13:00,003.54167,00067.122,00068.703
210,06/29/2025,13:20,003.55556,00067.029,00068.661
211,06/29/2025,13:40,003.56944,00066.404,00068.624
212,06/29/2025,14:00,003.58333,00066.550,00068.572
213,06/29/2025,14:20,003.59722,00066.306,00068.532
214,06/29/2025,14:40,003.61111,00066.066,00068.488
215,06/29/2025,15:00,003.62500,00065.896,00068.430
216,06/29/2025,15:20,003.63889,00065.953,00068.377
217,06/29/2025,15:40,003.65278,00065.531,00068.326
218,06/29/2025,16:00,003.66667,00065.585,00068.267
219,06/29/2025,16:20,003.68056,00065.322,00068.206
220,06/29/2025,16:40,003.69444,00065.313,00068.144
221,06/29/2025,17:00,003.70833,00064.271,00068.093
222,06/29/2025,17:20,003.72222,00064.299,00068.031
223,06/29/2025,17:40,003.73611,00064.534,00067.954
224,06/29/2025,18:00,003.75000,00065.766,00067.875
225,06/29/2025,18:20,003.76389,00065.311,00067.816
226,06/29/2025,18:40,003.77778,00065.259,00067.757
227,06/29/2025,19:00,003.79167,00065.470,00067.693
228,06/29/2025,19:20,003.80556,00065.432,00067.632
229,06/29/2025,19:40,003.81944,00065.538,00067.572
230,06/29/2025,20:00,003.83333,00065.058,00067.518
231,06/29/2025,20:20,003.84722,00065.404,00067.460
232,06/29/2025,20:40,003.86111,00065.777,00067.399
233,06/29/2025,21:00,003.87500,00065.967,00067.350
234,06/29/2025,21:20,003.88889,00065.872,00067.310
235,06/29/2025,21:40,003.90278,00065.660,00067.264
236,06/29/2025,22:00,003.91667,00066.245,00067.209
237,06/29/2025,22:20,003.93056,00066.490,00067.156
238,06/29/2025,22:40,003.94444,00067.021,00067.110
239,06/29/2025,23:00,003.95833,00067.207,00067.065
240,06/29/2025,23:20,003.97222,00067.547,00067.016
241,06/29/2025,23:40,003.98611,00067.543,00066.971
242,06/30/2025,00:00,004.00000,00067.434,00066.927
243,06/30/2025,00:20,004.01389,00067.724,00066.890
244,06/30/2025,00:40,004.02778,00068.033,00066.852
245,06/30/2025,01:00,004.04167,00067.942,00066.825
246,06/30/2025,01:20,004.05556,00067.840,00066.793
247,06/30/2025,01:40,004.06944,00068.454,00066.758
248,06/30/2025,02:00,004.08333,00069.306,00066.716
249,06/30/2025,02:20,004.09722,00069.321,00066.692
250,06/30/2025,02:40,004.11111,00068.722,00066.682
251,06/30/2025,03:00,004.12500,00068.812,00066.662
252,06/30/2025,03:20,004.13889,00068.755,00066.642
253,06/30/2025,03:40,004.15278,00068.764,00066.625
254,06/30/2025,04:00,004.16667,00068.755,00066.602
255,06/30/2025,04:20,004.18056,00068.931,00066.585
256,06/30/2025,04:40,004.19444,00068.676,00066.574
257,06/30/2025,05:00,004.20833,00069.151,00066.573
258,06/30/2025,05:20,004.22222,00068.275,00066.588
259,06/30/2025,05:40,004.23611,00068.920,00066.579
260,06/30/2025,06:00,004.25000,00068.368,00066.562
261,06/30/2025,06:20,004.26389,00068.671,00066.542
262,06/30/2025,06:40,004.27778,00068.163,00066.539
263,06/30/2025,07:00,004.29167,00067.593,00066.533
264,06/30/2025,07:20,004.30556,00067.747,00066.514
265,06/30/2025,07:40,004.31944,00067.707,00066.495
266,06/30/2025,08:00,004.33333,00067.531,00066.488
267,06/30/2025,08:20,004.34722,00067.523,00066.473
268,06/30/2025,08:40,004.36111,00067.506,00066.458
269,06/30/2025,09:00,004.37500,00067.418,00066.440
270,06/30/2025,09:20,004.38889,00066.647,00066.440
271,06/30/2025,09:40,004.40278,00066.582,00066.432
272,06/30/2025,10:00,004.41667,00066.162,00066.424
273,06/30/2025,10:20,004.43056,00066.633,00066.401
274,06/30/2025,10:40,004.44444,00066.299,00066.382
275,06/30/2025,11:00,004.45833,00066.370,00066.355
276,06/30/2025,11:20,004.47222,00065.572,00066.331
277,06/30/2025,11:40,004.48611,00065.454,00066.298
278,06/30/2025,12:00,004.50000,00065.722,00066.265
279,06/30/2025,12:20,004.51389,00065.414,00066.240
280,06/30/2025,12:40,004.52778,00065.136,00066.210
281,06/30/2025,13:00,004.54167,00064.730,00066.184
282,06/30/2025,13:20,004.55556,00064.548,00066.163
283,06/30/2025,13:40,004.56944,00064.463,00066.126
284,06/30/2025,14:00,004.58333,00064.665,00066.071
285,06/30/2025,14:20,004.59722,00064.724,00066.017
286,06/30/2025,14:40,004.61111,00064.595,00065.977
287,06/30/2025,15:00,004.62500,00064.518,00065.937
288,06/30/2025,15:20,004.63889,00064.316,00065.901
289,06/30/2025,15:40,004.65278,00064.008,00065.864
290,06/30/2025,16:00,004.66667,00064.306,00065.814
291,06/30/2025,16:20,004.68056,00064.259,00065.769
292,06/30/2025,16:40,004.69444,00064.685,00065.721
293,06/30/2025,17:00,004.70833,00064.473,00065.673
294,06/30/2025,17:20,004.72222,00064.586,00065.625
295,06/30/2025,17:40,004.73611,00063.991,00065.585
296,06/30/2025,18:00,004.75000,00064.253,00065.535
297,06/30/2025,18:20,004.76389,00064.529,00065.485
298,06/30/2025,18:40,004.77778,00064.442,00065.445
299,06/30/2025,19:00,004.79167,00064.251,00065.416
300,06/30/2025,19:20,004.80556,00064.169,00065.386
301,06/30/2025,19:40,004.81944,00064.405,00065.340
302,06/30/2025,20:00,004.83333,00064.348,00065.308
303,06/30/2025,20:20,004.84722,00064.745,00065.264
304,06/30/2025,20:40,004.86111,00064.610,00065.227
305,06/30/2025,21:00,004.87500,00065.078,00065.176
306,06/30/2025,21:20,004.88889,00065.045,00065.146
307,06/30/2025,21:40,004.90278,00065.233,00065.106
308,06/30/2025,22:00,004.91667,00065.378,00065.081
309,06/30/2025,22:20,004.93056,00065.370,00065.048
310,06/30/2025,22:40,004.94444,00065.364,00065.019
311,06/30/2025,23:00,004.95833,00065.087,00064.988
312,06/30/2025,23:20,004.97222,00065.078,00064.965
313,06/30/2025,23:40,004.98611,00065.442,00064.934
