LumiCycle: 8A-L3 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:30,000.64583,00070.521,00077.215
1,06/26/2025,15:50,000.65972,00065.760,00077.421
2,06/26/2025,16:10,000.67361,00062.283,00077.603
3,06/26/2025,16:30,000.68750,00059.813,00077.774
4,06/26/2025,16:50,000.70139,00061.679,00077.875
5,06/26/2025,17:10,000.71528,00065.765,00077.940
6,06/26/2025,17:30,000.72917,00071.633,00077.982
7,06/26/2025,17:50,000.74306,00077.904,00078.012
8,06/26/2025,18:10,000.75694,00083.577,00078.055
9,06/26/2025,18:30,000.77083,00088.509,00078.098
10,06/26/2025,18:50,000.78472,00092.258,00078.155
11,06/26/2025,19:10,000.79861,00094.459,00078.229
12,06/26/2025,19:30,000.81250,00095.981,00078.303
13,06/26/2025,19:50,000.82639,00095.541,00078.409
14,06/26/2025,20:10,000.84028,00095.167,00078.508
15,06/26/2025,20:30,000.85417,00095.048,00078.601
16,06/26/2025,20:50,000.86806,00093.836,00078.701
17,06/26/2025,21:10,000.88194,00093.205,00078.788
18,06/26/2025,21:30,000.89583,00091.806,00078.879
19,06/26/2025,21:50,000.90972,00091.546,00078.957
20,06/26/2025,22:10,000.92361,00090.660,00079.032
21,06/26/2025,22:30,000.93750,00089.613,00079.110
22,06/26/2025,22:50,000.95139,00088.209,00079.194
23,06/26/2025,23:10,000.96528,00087.434,00079.271
24,06/26/2025,23:30,000.97917,00087.105,00079.337
25,06/26/2025,23:50,000.99306,00086.555,00079.399
26,06/27/2025,00:10,001.00694,00085.964,00079.454
27,06/27/2025,00:30,001.02083,00085.233,00079.509
28,06/27/2025,00:50,001.03472,00084.827,00079.565
29,06/27/2025,01:10,001.04861,00084.223,00079.621
30,06/27/2025,01:30,001.06250,00083.584,00079.681
31,06/27/2025,01:50,001.07639,00083.217,00079.736
32,06/27/2025,02:10,001.09028,00082.068,00079.798
33,06/27/2025,02:30,001.10417,00082.279,00079.841
34,06/27/2025,02:50,001.11806,00081.702,00079.896
35,06/27/2025,03:10,001.13194,00081.345,00079.961
36,06/27/2025,03:30,001.14583,00080.934,00080.026
37,06/27/2025,03:50,001.15972,00080.575,00080.095
38,06/27/2025,04:10,001.17361,00080.183,00080.222
39,06/27/2025,04:30,001.18750,00080.373,00080.405
40,06/27/2025,04:50,001.20139,00079.600,00080.645
41,06/27/2025,05:10,001.21528,00079.306,00080.861
42,06/27/2025,05:30,001.22917,00079.424,00081.012
43,06/27/2025,05:50,001.24306,00078.942,00081.094
44,06/27/2025,06:10,001.25694,00079.308,00081.092
45,06/27/2025,06:30,001.27083,00078.570,00081.033
46,06/27/2025,06:50,001.28472,00078.353,00080.904
47,06/27/2025,07:10,001.29861,00078.005,00080.735
48,06/27/2025,07:30,001.31250,00077.420,00080.548
49,06/27/2025,07:50,001.32639,00077.701,00080.334
50,06/27/2025,08:10,001.34028,00077.292,00080.164
51,06/27/2025,08:30,001.35417,00077.114,00080.006
52,06/27/2025,08:50,001.36806,00076.454,00079.871
53,06/27/2025,09:10,001.38194,00076.211,00079.755
54,06/27/2025,09:30,001.39583,00075.647,00079.663
55,06/27/2025,09:50,001.40972,00075.855,00079.592
56,06/27/2025,10:10,001.42361,00075.043,00079.557
57,06/27/2025,10:30,001.43750,00075.113,00079.529
58,06/27/2025,10:50,001.45139,00075.156,00079.530
59,06/27/2025,11:10,001.46528,00075.302,00079.553
60,06/27/2025,11:30,001.47917,00074.951,00079.622
61,06/27/2025,11:50,001.49306,00074.408,00079.699
62,06/27/2025,12:10,001.50694,00073.861,00079.800
63,06/27/2025,12:30,001.52083,00073.769,00079.905
64,06/27/2025,12:50,001.53472,00074.131,00080.022
65,06/27/2025,13:10,001.54861,00073.960,00080.153
66,06/27/2025,13:30,001.56250,00074.210,00080.299
67,06/27/2025,13:50,001.57639,00074.141,00080.465
68,06/27/2025,14:10,001.59028,00073.811,00080.653
69,06/27/2025,14:30,001.60417,00073.856,00080.862
70,06/27/2025,14:50,001.61806,00073.895,00081.075
71,06/27/2025,15:10,001.63194,00074.823,00081.284
72,06/27/2025,15:30,001.64583,00074.799,00081.520
73,06/27/2025,15:50,001.65972,00075.137,00081.754
74,06/27/2025,16:10,001.67361,00074.537,00082.008
75,06/27/2025,16:30,001.68750,00075.589,00082.244
76,06/27/2025,16:50,001.70139,00076.359,00082.489
77,06/27/2025,17:10,001.71528,00076.938,00082.746
78,06/27/2025,17:30,001.72917,00076.762,00083.025
79,06/27/2025,17:50,001.74306,00077.002,00083.296
80,06/27/2025,18:10,001.75694,00078.188,00083.556
81,06/27/2025,18:30,001.77083,00078.575,00083.824
82,06/27/2025,18:50,001.78472,00079.026,00084.096
83,06/27/2025,19:10,001.79861,00079.707,00084.363
84,06/27/2025,19:30,001.81250,00080.375,00084.639
85,06/27/2025,19:50,001.82639,00080.917,00084.922
86,06/27/2025,20:10,001.84028,00082.855,00085.185
87,06/27/2025,20:30,001.85417,00083.592,00085.463
88,06/27/2025,20:50,001.86806,00084.721,00085.731
89,06/27/2025,21:10,001.88194,00085.240,00086.004
90,06/27/2025,21:30,001.89583,00085.978,00086.270
91,06/27/2025,21:50,001.90972,00086.886,00086.537
92,06/27/2025,22:10,001.92361,00088.265,00086.793
93,06/27/2025,22:30,001.93750,00088.666,00087.065
94,06/27/2025,22:50,001.95139,00089.731,00087.316
95,06/27/2025,23:10,001.96528,00090.028,00087.576
96,06/27/2025,23:30,001.97917,00092.082,00087.799
97,06/27/2025,23:50,001.99306,00092.110,00088.049
98,06/28/2025,00:10,002.00694,00093.235,00088.284
99,06/28/2025,00:30,002.02083,00093.446,00088.530
100,06/28/2025,00:50,002.03472,00094.049,00088.758
101,06/28/2025,01:10,002.04861,00094.054,00088.988
102,06/28/2025,01:30,002.06250,00095.001,00089.203
103,06/28/2025,01:50,002.07639,00095.472,00089.421
104,06/28/2025,02:10,002.09028,00096.380,00089.627
105,06/28/2025,02:30,002.10417,00097.227,00089.830
106,06/28/2025,02:50,002.11806,00097.629,00090.030
107,06/28/2025,03:10,002.13194,00097.704,00090.235
108,06/28/2025,03:30,002.14583,00098.246,00090.424
109,06/28/2025,03:50,002.15972,00098.130,00090.618
110,06/28/2025,04:10,002.17361,00098.295,00090.790
111,06/28/2025,04:30,002.18750,00098.225,00090.967
112,06/28/2025,04:50,002.20139,00098.808,00091.116
113,06/28/2025,05:10,002.21528,00098.676,00091.268
114,06/28/2025,05:30,002.22917,00099.168,00091.399
115,06/28/2025,05:50,002.24306,00099.176,00091.544
116,06/28/2025,06:10,002.25694,00098.889,00091.684
117,06/28/2025,06:30,002.27083,00098.958,00091.803
118,06/28/2025,06:50,002.28472,00098.600,00091.925
119,06/28/2025,07:10,002.29861,00098.291,00092.044
120,06/28/2025,07:30,002.31250,00098.538,00092.147
121,06/28/2025,07:50,002.32639,00098.325,00092.243
122,06/28/2025,08:10,002.34028,00098.577,00092.335
123,06/28/2025,08:30,002.35417,00098.030,00092.412
124,06/28/2025,08:50,002.36806,00097.552,00092.483
125,06/28/2025,09:10,002.38194,00096.636,00092.538
126,06/28/2025,09:30,002.39583,00096.099,00092.588
127,06/28/2025,09:50,002.40972,00095.782,00092.624
128,06/28/2025,10:10,002.42361,00095.683,00092.651
129,06/28/2025,10:30,002.43750,00094.981,00092.669
130,06/28/2025,10:50,002.45139,00094.311,00092.690
131,06/28/2025,11:10,002.46528,00094.156,00092.697
132,06/28/2025,11:30,002.47917,00093.378,00092.716
133,06/28/2025,11:50,002.49306,00092.966,00092.702
134,06/28/2025,12:10,002.50694,00092.468,00092.696
135,06/28/2025,12:30,002.52083,00091.790,00092.672
136,06/28/2025,12:50,002.53472,00090.767,00092.650
137,06/28/2025,13:10,002.54861,00090.744,00092.601
138,06/28/2025,13:30,002.56250,00090.390,00092.568
139,06/28/2025,13:50,002.57639,00090.353,00092.518
140,06/28/2025,14:10,002.59028,00089.872,00092.478
141,06/28/2025,14:30,002.60417,00089.290,00092.427
142,06/28/2025,14:50,002.61806,00088.638,00092.370
143,06/28/2025,15:10,002.63194,00088.749,00092.297
144,06/28/2025,15:30,002.64583,00088.944,00092.218
145,06/28/2025,15:50,002.65972,00088.647,00092.149
146,06/28/2025,16:10,002.67361,00087.698,00092.079
147,06/28/2025,16:30,002.68750,00087.235,00091.999
148,06/28/2025,16:50,002.70139,00086.886,00091.910
149,06/28/2025,17:10,002.71528,00087.175,00091.806
150,06/28/2025,17:30,002.72917,00086.898,00091.713
151,06/28/2025,17:50,002.74306,00087.216,00091.608
152,06/28/2025,18:10,002.75694,00086.788,00091.508
153,06/28/2025,18:30,002.77083,00086.815,00091.405
154,06/28/2025,18:50,002.78472,00086.990,00091.291
155,06/28/2025,19:10,002.79861,00087.306,00091.174
156,06/28/2025,19:30,002.81250,00087.325,00091.063
157,06/28/2025,19:50,002.82639,00087.107,00090.944
158,06/28/2025,20:10,002.84028,00087.800,00090.806
159,06/28/2025,20:30,002.85417,00087.844,00090.668
160,06/28/2025,20:50,002.86806,00088.182,00090.521
161,06/28/2025,21:10,002.88194,00087.828,00090.396
162,06/28/2025,21:30,002.89583,00088.253,00090.259
163,06/28/2025,21:50,002.90972,00088.257,00090.137
164,06/28/2025,22:10,002.92361,00088.725,00090.004
165,06/28/2025,22:30,002.93750,00088.888,00089.882
166,06/28/2025,22:50,002.95139,00089.497,00089.762
167,06/28/2025,23:10,002.96528,00090.102,00089.655
168,06/28/2025,23:30,002.97917,00090.598,00089.550
169,06/28/2025,23:50,002.99306,00090.693,00089.451
170,06/29/2025,00:10,003.00694,00091.169,00089.336
171,06/29/2025,00:30,003.02083,00090.788,00089.237
172,06/29/2025,00:50,003.03472,00090.853,00089.132
173,06/29/2025,01:10,003.04861,00090.526,00089.048
174,06/29/2025,01:30,003.06250,00091.294,00088.931
175,06/29/2025,01:50,003.07639,00091.347,00088.827
176,06/29/2025,02:10,003.09028,00092.123,00088.710
177,06/29/2025,02:30,003.10417,00092.156,00088.610
178,06/29/2025,02:50,003.11806,00092.474,00088.507
179,06/29/2025,03:10,003.13194,00092.449,00088.424
180,06/29/2025,03:30,003.14583,00092.235,00088.345
181,06/29/2025,03:50,003.15972,00092.941,00088.257
182,06/29/2025,04:10,003.17361,00092.204,00088.184
183,06/29/2025,04:30,003.18750,00092.073,00088.119
184,06/29/2025,04:50,003.20139,00091.463,00088.059
185,06/29/2025,05:10,003.21528,00091.605,00087.998
186,06/29/2025,05:30,003.22917,00091.666,00087.923
187,06/29/2025,05:50,003.24306,00091.966,00087.850
188,06/29/2025,06:10,003.25694,00091.510,00087.789
189,06/29/2025,06:30,003.27083,00091.526,00087.729
190,06/29/2025,06:50,003.28472,00090.908,00087.683
191,06/29/2025,07:10,003.29861,00090.505,00087.635
192,06/29/2025,07:30,003.31250,00090.326,00087.579
193,06/29/2025,07:50,003.32639,00089.734,00087.539
194,06/29/2025,08:10,003.34028,00089.057,00087.495
195,06/29/2025,08:30,003.35417,00088.702,00087.447
196,06/29/2025,08:50,003.36806,00087.781,00087.402
197,06/29/2025,09:10,003.38194,00088.233,00087.340
198,06/29/2025,09:30,003.39583,00087.155,00087.307
199,06/29/2025,09:50,003.40972,00087.330,00087.253
200,06/29/2025,10:10,003.42361,00086.674,00087.212
201,06/29/2025,10:30,003.43750,00087.070,00087.155
202,06/29/2025,10:50,003.45139,00086.928,00087.104
203,06/29/2025,11:10,003.46528,00087.237,00087.045
204,06/29/2025,11:30,003.47917,00087.107,00086.987
205,06/29/2025,11:50,003.49306,00086.340,00086.934
206,06/29/2025,12:10,003.50694,00085.139,00086.887
207,06/29/2025,12:30,003.52083,00084.967,00086.826
208,06/29/2025,12:50,003.53472,00084.325,00086.778
209,06/29/2025,13:10,003.54861,00084.329,00086.721
210,06/29/2025,13:30,003.56250,00083.115,00086.681
211,06/29/2025,13:50,003.57639,00082.955,00086.625
212,06/29/2025,14:10,003.59028,00082.690,00086.564
213,06/29/2025,14:30,003.60417,00082.731,00086.489
214,06/29/2025,14:50,003.61806,00082.217,00086.422
215,06/29/2025,15:10,003.63194,00082.576,00086.331
216,06/29/2025,15:30,003.64583,00082.910,00086.248
217,06/29/2025,15:50,003.65972,00083.295,00086.169
218,06/29/2025,16:10,003.67361,00082.669,00086.099
219,06/29/2025,16:30,003.68750,00082.859,00086.029
220,06/29/2025,16:50,003.70139,00082.304,00085.970
221,06/29/2025,17:10,003.71528,00082.642,00085.904
222,06/29/2025,17:30,003.72917,00081.803,00085.847
223,06/29/2025,17:50,003.74306,00081.980,00085.777
224,06/29/2025,18:10,003.75694,00082.335,00085.696
225,06/29/2025,18:30,003.77083,00082.541,00085.622
