LumiCycle: 8B-L2m1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:37,000.69236,00069.251,00082.810
1,07/03/2025,16:57,000.70625,00067.248,00083.335
2,07/03/2025,17:17,000.72014,00066.668,00083.838
3,07/03/2025,17:37,000.73403,00066.830,00084.340
4,07/03/2025,17:57,000.74792,00070.237,00084.790
5,07/03/2025,18:17,000.76181,00074.617,00085.229
6,07/03/2025,18:37,000.77569,00079.664,00085.638
7,07/03/2025,18:57,000.78958,00084.536,00086.056
8,07/03/2025,19:17,000.80347,00088.006,00086.474
9,07/03/2025,19:37,000.81736,00091.829,00086.885
10,07/03/2025,19:57,000.83125,00094.329,00087.327
11,07/03/2025,20:17,000.84514,00097.539,00087.772
12,07/03/2025,20:37,000.85903,00099.280,00088.231
13,07/03/2025,20:57,000.87292,00100.014,00088.697
14,07/03/2025,21:17,000.88681,00100.997,00089.141
15,07/03/2025,21:37,000.90069,00101.929,00089.577
16,07/03/2025,21:57,000.91458,00103.230,00090.005
17,07/03/2025,22:17,000.92847,00103.627,00090.445
18,07/03/2025,22:37,000.94236,00104.629,00090.880
19,07/03/2025,22:57,000.95625,00104.641,00091.332
20,07/03/2025,23:17,000.97014,00106.256,00091.761
21,07/03/2025,23:37,000.98403,00104.832,00092.238
22,07/03/2025,23:57,000.99792,00105.070,00092.684
23,07/04/2025,00:17,001.01181,00103.966,00093.145
24,07/04/2025,00:37,001.02569,00105.058,00093.574
25,07/04/2025,00:57,001.03958,00104.314,00094.021
26,07/04/2025,01:17,001.05347,00104.670,00094.452
27,07/04/2025,01:37,001.06736,00104.667,00094.875
28,07/04/2025,01:57,001.08125,00105.095,00095.281
29,07/04/2025,02:17,001.09514,00104.703,00095.697
30,07/04/2025,02:37,001.10903,00104.450,00096.097
31,07/04/2025,02:57,001.12292,00104.363,00096.500
32,07/04/2025,03:17,001.13681,00104.174,00096.903
33,07/04/2025,03:37,001.15069,00103.821,00097.310
34,07/04/2025,03:57,001.16458,00103.879,00097.707
35,07/04/2025,04:17,001.17847,00103.756,00098.107
36,07/04/2025,04:37,001.19236,00103.982,00098.510
37,07/04/2025,04:57,001.20625,00103.868,00098.945
38,07/04/2025,05:17,001.22014,00104.533,00099.375
39,07/04/2025,05:37,001.23403,00104.215,00099.809
40,07/04/2025,05:57,001.24792,00104.299,00100.193
41,07/04/2025,06:17,001.26181,00102.994,00100.549
42,07/04/2025,06:37,001.27569,00103.377,00100.813
43,07/04/2025,06:57,001.28958,00101.924,00101.032
44,07/04/2025,07:17,001.30347,00101.890,00101.180
45,07/04/2025,07:37,001.31736,00102.651,00101.263
46,07/04/2025,07:57,001.33125,00103.628,00101.309
47,07/04/2025,08:17,001.34514,00103.163,00101.333
48,07/04/2025,08:37,001.35903,00102.583,00101.332
49,07/04/2025,08:57,001.37292,00101.298,00101.339
50,07/04/2025,09:17,001.38681,00100.741,00101.332
51,07/04/2025,09:37,001.40069,00100.494,00101.308
52,07/04/2025,09:57,001.41458,00100.441,00101.258
53,07/04/2025,10:17,001.42847,00100.722,00101.211
54,07/04/2025,10:37,001.44236,00100.909,00101.156
55,07/04/2025,10:57,001.45625,00100.895,00101.106
56,07/04/2025,11:17,001.47014,00101.210,00101.032
57,07/04/2025,11:37,001.48403,00100.687,00101.005
58,07/04/2025,11:57,001.49792,00100.441,00100.965
59,07/04/2025,12:17,001.51181,00100.375,00100.938
60,07/04/2025,12:37,001.52569,00099.768,00100.908
