LumiCycle: 8B-L4 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,06/26/2025,15:20,000.63889,00074.611,00077.815
1,06/26/2025,15:40,000.65278,00070.021,00078.020
2,06/26/2025,16:00,000.66667,00067.680,00078.195
3,06/26/2025,16:20,000.68056,00066.407,00078.352
4,06/26/2025,16:40,000.69444,00068.025,00078.475
5,06/26/2025,17:00,000.70833,00070.429,00078.590
6,06/26/2025,17:20,000.72222,00072.911,00078.708
7,06/26/2025,17:40,000.73611,00075.521,00078.824
8,06/26/2025,18:00,000.75000,00077.739,00078.951
9,06/26/2025,18:20,000.76389,00079.250,00079.086
10,06/26/2025,18:40,000.77778,00080.281,00079.221
11,06/26/2025,19:00,000.79167,00080.902,00079.366
12,06/26/2025,19:20,000.80556,00081.808,00079.511
13,06/26/2025,19:40,000.81944,00082.647,00079.658
14,06/26/2025,20:00,000.83333,00083.687,00079.793
15,06/26/2025,20:20,000.84722,00084.029,00079.941
16,06/26/2025,20:40,000.86111,00084.503,00080.079
17,06/26/2025,21:00,000.87500,00084.351,00080.226
18,06/26/2025,21:20,000.88889,00084.401,00080.363
19,06/26/2025,21:40,000.90278,00084.599,00080.497
20,06/26/2025,22:00,000.91667,00084.028,00080.633
21,06/26/2025,22:20,000.93056,00084.695,00080.746
22,06/26/2025,22:40,000.94444,00084.590,00080.873
23,06/26/2025,23:00,000.95833,00085.109,00080.986
24,06/26/2025,23:20,000.97222,00084.514,00081.114
25,06/26/2025,23:40,000.98611,00084.906,00081.226
26,06/27/2025,00:00,001.00000,00084.318,00081.352
27,06/27/2025,00:20,001.01389,00084.725,00081.473
28,06/27/2025,00:40,001.02778,00084.509,00081.601
29,06/27/2025,01:00,001.04167,00084.810,00081.722
30,06/27/2025,01:20,001.05556,00084.847,00081.844
31,06/27/2025,01:40,001.06944,00085.085,00081.964
32,06/27/2025,02:00,001.08333,00085.161,00082.089
33,06/27/2025,02:20,001.09722,00085.224,00082.209
34,06/27/2025,02:40,001.11111,00085.099,00082.330
35,06/27/2025,03:00,001.12500,00084.894,00082.460
36,06/27/2025,03:20,001.13889,00084.366,00082.594
37,06/27/2025,03:40,001.15278,00084.493,00082.785
38,06/27/2025,04:00,001.16667,00084.348,00083.010
39,06/27/2025,04:20,001.18056,00084.799,00083.244
40,06/27/2025,04:40,001.19444,00085.068,00083.457
41,06/27/2025,05:00,001.20833,00085.406,00083.635
42,06/27/2025,05:20,001.22222,00085.323,00083.787
43,06/27/2025,05:40,001.23611,00085.686,00083.899
44,06/27/2025,06:00,001.25000,00085.572,00083.983
45,06/27/2025,06:20,001.26389,00085.128,00084.060
46,06/27/2025,06:40,001.27778,00085.379,00084.113
47,06/27/2025,07:00,001.29167,00085.617,00084.158
48,06/27/2025,07:20,001.30556,00085.781,00084.186
49,06/27/2025,07:40,001.31944,00085.113,00084.208
50,06/27/2025,08:00,001.33333,00085.280,00084.209
51,06/27/2025,08:20,001.34722,00084.732,00084.213
52,06/27/2025,08:40,001.36111,00084.746,00084.205
53,06/27/2025,09:00,001.37500,00084.273,00084.212
54,06/27/2025,09:20,001.38889,00084.181,00084.213
55,06/27/2025,09:40,001.40278,00083.581,00084.223
56,06/27/2025,10:00,001.41667,00083.211,00084.237
57,06/27/2025,10:20,001.43056,00083.374,00084.236
58,06/27/2025,10:40,001.44444,00083.048,00084.240
59,06/27/2025,11:00,001.45833,00082.929,00084.231
60,06/27/2025,11:20,001.47222,00082.859,00084.233
61,06/27/2025,11:40,001.48611,00082.838,00084.219
62,06/27/2025,12:00,001.50000,00083.523,00084.207
63,06/27/2025,12:20,001.51389,00083.354,00084.200
64,06/27/2025,12:40,001.52778,00083.389,00084.195
65,06/27/2025,13:00,001.54167,00083.179,00084.186
66,06/27/2025,13:20,001.55556,00083.260,00084.174
67,06/27/2025,13:40,001.56944,00083.385,00084.155
68,06/27/2025,14:00,001.58333,00083.108,00084.144
69,06/27/2025,14:20,001.59722,00082.934,00084.128
70,06/27/2025,14:40,001.61111,00083.542,00084.101
71,06/27/2025,15:00,001.62500,00083.446,00084.101
72,06/27/2025,15:20,001.63889,00083.537,00084.107
73,06/27/2025,15:40,001.65278,00083.264,00084.123
74,06/27/2025,16:00,001.66667,00083.208,00084.131
75,06/27/2025,16:20,001.68056,00083.224,00084.135
76,06/27/2025,16:40,001.69444,00083.210,00084.133
77,06/27/2025,17:00,001.70833,00083.486,00084.123
78,06/27/2025,17:20,001.72222,00083.711,00084.118
79,06/27/2025,17:40,001.73611,00083.551,00084.113
80,06/27/2025,18:00,001.75000,00084.192,00084.100
81,06/27/2025,18:20,001.76389,00084.217,00084.102
82,06/27/2025,18:40,001.77778,00084.293,00084.098
83,06/27/2025,19:00,001.79167,00083.904,00084.096
84,06/27/2025,19:20,001.80556,00083.553,00084.094
85,06/27/2025,19:40,001.81944,00083.888,00084.099
86,06/27/2025,20:00,001.83333,00083.780,00084.112
87,06/27/2025,20:20,001.84722,00083.937,00084.130
88,06/27/2025,20:40,001.86111,00084.373,00084.142
89,06/27/2025,21:00,001.87500,00084.390,00084.167
90,06/27/2025,21:20,001.88889,00084.717,00084.190
91,06/27/2025,21:40,001.90278,00084.608,00084.224
92,06/27/2025,22:00,001.91667,00084.784,00084.263
93,06/27/2025,22:20,001.93056,00084.582,00084.301
94,06/27/2025,22:40,001.94444,00084.328,00084.351
95,06/27/2025,23:00,001.95833,00084.596,00084.391
96,06/27/2025,23:20,001.97222,00083.929,00084.450
97,06/27/2025,23:40,001.98611,00084.137,00084.506
98,06/28/2025,00:00,002.00000,00084.084,00084.552
99,06/28/2025,00:20,002.01389,00084.158,00084.596
100,06/28/2025,00:40,002.02778,00084.008,00084.645
101,06/28/2025,01:00,002.04167,00084.068,00084.684
102,06/28/2025,01:20,002.05556,00083.903,00084.732
103,06/28/2025,01:40,002.06944,00084.126,00084.768
104,06/28/2025,02:00,002.08333,00083.890,00084.822
105,06/28/2025,02:20,002.09722,00083.817,00084.881
106,06/28/2025,02:40,002.11111,00084.834,00084.909
107,06/28/2025,03:00,002.12500,00084.886,00084.950
108,06/28/2025,03:20,002.13889,00085.330,00084.983
109,06/28/2025,03:40,002.15278,00084.820,00085.031
110,06/28/2025,04:00,002.16667,00085.080,00085.073
111,06/28/2025,04:20,002.18056,00084.973,00085.121
112,06/28/2025,04:40,002.19444,00084.967,00085.175
113,06/28/2025,05:00,002.20833,00085.193,00085.215
114,06/28/2025,05:20,002.22222,00085.189,00085.254
115,06/28/2025,05:40,002.23611,00085.305,00085.290
116,06/28/2025,06:00,002.25000,00085.303,00085.318
117,06/28/2025,06:20,002.26389,00085.109,00085.349
118,06/28/2025,06:40,002.27778,00085.104,00085.370
119,06/28/2025,07:00,002.29167,00085.290,00085.400
120,06/28/2025,07:20,002.30556,00085.840,00085.428
121,06/28/2025,07:40,002.31944,00086.030,00085.457
122,06/28/2025,08:00,002.33333,00086.168,00085.480
123,06/28/2025,08:20,002.34722,00086.053,00085.505
124,06/28/2025,08:40,002.36111,00086.001,00085.526
125,06/28/2025,09:00,002.37500,00086.143,00085.546
126,06/28/2025,09:20,002.38889,00085.854,00085.567
127,06/28/2025,09:40,002.40278,00086.087,00085.578
128,06/28/2025,10:00,002.41667,00085.842,00085.593
129,06/28/2025,10:20,002.43056,00086.273,00085.595
130,06/28/2025,10:40,002.44444,00086.054,00085.616
131,06/28/2025,11:00,002.45833,00086.322,00085.632
132,06/28/2025,11:20,002.47222,00086.963,00085.652
133,06/28/2025,11:40,002.48611,00086.652,00085.683
134,06/28/2025,12:00,002.50000,00086.535,00085.707
135,06/28/2025,12:20,002.51389,00086.629,00085.720
136,06/28/2025,12:40,002.52778,00085.986,00085.743
137,06/28/2025,13:00,002.54167,00086.455,00085.747
138,06/28/2025,13:20,002.55556,00086.142,00085.775
139,06/28/2025,13:40,002.56944,00086.677,00085.787
140,06/28/2025,14:00,002.58333,00086.991,00085.802
141,06/28/2025,14:20,002.59722,00086.489,00085.835
142,06/28/2025,14:40,002.61111,00086.365,00085.844
143,06/28/2025,15:00,002.62500,00086.302,00085.858
144,06/28/2025,15:20,002.63889,00086.136,00085.861
145,06/28/2025,15:40,002.65278,00086.342,00085.869
146,06/28/2025,16:00,002.66667,00086.526,00085.880
147,06/28/2025,16:20,002.68056,00086.987,00085.883
148,06/28/2025,16:40,002.69444,00086.517,00085.908
149,06/28/2025,17:00,002.70833,00086.392,00085.916
150,06/28/2025,17:20,002.72222,00086.233,00085.930
151,06/28/2025,17:40,002.73611,00086.138,00085.936
152,06/28/2025,18:00,002.75000,00086.204,00085.949
153,06/28/2025,18:20,002.76389,00085.753,00085.977
154,06/28/2025,18:40,002.77778,00086.176,00085.994
155,06/28/2025,19:00,002.79167,00086.039,00086.013
156,06/28/2025,19:20,002.80556,00086.135,00086.017
157,06/28/2025,19:40,002.81944,00085.541,00086.025
158,06/28/2025,20:00,002.83333,00085.553,00086.026
159,06/28/2025,20:20,002.84722,00085.774,00086.028
160,06/28/2025,20:40,002.86111,00085.936,00086.031
161,06/28/2025,21:00,002.87500,00085.908,00086.039
162,06/28/2025,21:20,002.88889,00085.647,00086.049
163,06/28/2025,21:40,002.90278,00085.541,00086.048
164,06/28/2025,22:00,002.91667,00085.193,00086.054
165,06/28/2025,22:20,002.93056,00085.530,00086.047
166,06/28/2025,22:40,002.94444,00086.035,00086.046
167,06/28/2025,23:00,002.95833,00085.948,00086.053
168,06/28/2025,23:20,002.97222,00085.978,00086.051
169,06/28/2025,23:40,002.98611,00085.642,00086.058
170,06/29/2025,00:00,003.00000,00085.153,00086.059
171,06/29/2025,00:20,003.01389,00084.979,00086.047
172,06/29/2025,00:40,003.02778,00084.844,00086.047
173,06/29/2025,01:00,003.04167,00085.564,00086.032
174,06/29/2025,01:20,003.05556,00085.477,00086.038
175,06/29/2025,01:40,003.06944,00085.253,00086.042
176,06/29/2025,02:00,003.08333,00085.616,00086.029
177,06/29/2025,02:20,003.09722,00085.354,00086.033
178,06/29/2025,02:40,003.11111,00085.767,00086.025
179,06/29/2025,03:00,003.12500,00085.426,00086.029
180,06/29/2025,03:20,003.13889,00085.590,00086.030
181,06/29/2025,03:40,003.15278,00086.047,00086.026
182,06/29/2025,04:00,003.16667,00085.614,00086.030
183,06/29/2025,04:20,003.18056,00086.262,00086.004
184,06/29/2025,04:40,003.19444,00085.604,00086.012
185,06/29/2025,05:00,003.20833,00086.002,00086.012
186,06/29/2025,05:20,003.22222,00085.609,00086.028
187,06/29/2025,05:40,003.23611,00086.278,00086.029
188,06/29/2025,06:00,003.25000,00086.620,00086.034
189,06/29/2025,06:20,003.26389,00086.748,00086.048
190,06/29/2025,06:40,003.27778,00086.469,00086.053
191,06/29/2025,07:00,003.29167,00086.245,00086.055
192,06/29/2025,07:20,003.30556,00086.015,00086.059
193,06/29/2025,07:40,003.31944,00086.190,00086.069
194,06/29/2025,08:00,003.33333,00086.441,00086.079
195,06/29/2025,08:20,003.34722,00086.370,00086.089
196,06/29/2025,08:40,003.36111,00086.661,00086.094
197,06/29/2025,09:00,003.37500,00086.309,00086.109
198,06/29/2025,09:20,003.38889,00085.926,00086.127
199,06/29/2025,09:40,003.40278,00085.902,00086.128
200,06/29/2025,10:00,003.41667,00086.126,00086.132
201,06/29/2025,10:20,003.43056,00086.509,00086.129
202,06/29/2025,10:40,003.44444,00086.693,00086.126
203,06/29/2025,11:00,003.45833,00086.863,00086.130
204,06/29/2025,11:20,003.47222,00086.817,00086.129
205,06/29/2025,11:40,003.48611,00086.067,00086.151
206,06/29/2025,12:00,003.50000,00085.618,00086.170
207,06/29/2025,12:20,003.51389,00085.900,00086.181
208,06/29/2025,12:40,003.52778,00086.136,00086.202
209,06/29/2025,13:00,003.54167,00086.416,00086.208
210,06/29/2025,13:20,003.55556,00086.786,00086.217
211,06/29/2025,13:40,003.56944,00086.395,00086.243
212,06/29/2025,14:00,003.58333,00086.528,00086.261
213,06/29/2025,14:20,003.59722,00086.241,00086.289
214,06/29/2025,14:40,003.61111,00086.225,00086.308
215,06/29/2025,15:00,003.62500,00086.359,00086.328
216,06/29/2025,15:20,003.63889,00086.533,00086.340
217,06/29/2025,15:40,003.65278,00086.358,00086.362
218,06/29/2025,16:00,003.66667,00085.853,00086.386
219,06/29/2025,16:20,003.68056,00086.377,00086.384
220,06/29/2025,16:40,003.69444,00086.774,00086.397
221,06/29/2025,17:00,003.70833,00086.983,00086.412
222,06/29/2025,17:20,003.72222,00086.875,00086.433
223,06/29/2025,17:40,003.73611,00086.922,00086.444
224,06/29/2025,18:00,003.75000,00086.854,00086.457
225,06/29/2025,18:20,003.76389,00086.241,00086.473
226,06/29/2025,18:40,003.77778,00085.976,00086.488
227,06/29/2025,19:00,003.79167,00086.182,00086.500
228,06/29/2025,19:20,003.80556,00086.393,00086.520
229,06/29/2025,19:40,003.81944,00086.496,00086.539
230,06/29/2025,20:00,003.83333,00086.399,00086.551
231,06/29/2025,20:20,003.84722,00086.578,00086.566
232,06/29/2025,20:40,003.86111,00086.617,00086.577
233,06/29/2025,21:00,003.87500,00086.509,00086.593
234,06/29/2025,21:20,003.88889,00085.631,00086.619
235,06/29/2025,21:40,003.90278,00085.665,00086.637
236,06/29/2025,22:00,003.91667,00085.728,00086.650
237,06/29/2025,22:20,003.93056,00085.980,00086.654
238,06/29/2025,22:40,003.94444,00086.434,00086.654
239,06/29/2025,23:00,003.95833,00085.837,00086.662
240,06/29/2025,23:20,003.97222,00086.451,00086.650
241,06/29/2025,23:40,003.98611,00086.017,00086.666
242,06/30/2025,00:00,004.00000,00086.046,00086.685
243,06/30/2025,00:20,004.01389,00086.516,00086.688
244,06/30/2025,00:40,004.02778,00086.244,00086.701
245,06/30/2025,01:00,004.04167,00086.511,00086.696
246,06/30/2025,01:20,004.05556,00086.680,00086.688
247,06/30/2025,01:40,004.06944,00086.984,00086.681
248,06/30/2025,02:00,004.08333,00087.086,00086.672
249,06/30/2025,02:20,004.09722,00087.021,00086.668
250,06/30/2025,02:40,004.11111,00086.955,00086.663
251,06/30/2025,03:00,004.12500,00086.653,00086.666
252,06/30/2025,03:20,004.13889,00087.376,00086.650
253,06/30/2025,03:40,004.15278,00086.838,00086.667
254,06/30/2025,04:00,004.16667,00086.641,00086.686
255,06/30/2025,04:20,004.18056,00086.912,00086.688
256,06/30/2025,04:40,004.19444,00087.258,00086.683
257,06/30/2025,05:00,004.20833,00086.974,00086.684
258,06/30/2025,05:20,004.22222,00087.104,00086.669
259,06/30/2025,05:40,004.23611,00087.422,00086.657
260,06/30/2025,06:00,004.25000,00087.247,00086.647
261,06/30/2025,06:20,004.26389,00087.288,00086.648
