LumiCycle: 8D-L4-1m1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/03/2025,16:40,000.69444,00082.336,00090.614
1,07/03/2025,17:00,000.70833,00076.786,00090.894
2,07/03/2025,17:20,000.72222,00071.554,00091.167
3,07/03/2025,17:40,000.73611,00067.627,00091.398
4,07/03/2025,18:00,000.75000,00068.713,00091.540
5,07/03/2025,18:20,000.76389,00073.909,00091.619
6,07/03/2025,18:40,000.77778,00081.214,00091.670
7,07/03/2025,19:00,000.79167,00087.929,00091.719
8,07/03/2025,19:20,000.80556,00094.523,00091.755
9,07/03/2025,19:40,000.81944,00100.202,00091.789
10,07/03/2025,20:00,000.83333,00104.273,00091.841
11,07/03/2025,20:20,000.84722,00107.071,00091.919
12,07/03/2025,20:40,000.86111,00108.584,00092.015
13,07/03/2025,21:00,000.87500,00110.224,00092.088
14,07/03/2025,21:20,000.88889,00109.984,00092.192
15,07/03/2025,21:40,000.90278,00110.671,00092.273
16,07/03/2025,22:00,000.91667,00110.498,00092.356
17,07/03/2025,22:20,000.93056,00110.147,00092.439
18,07/03/2025,22:40,000.94444,00109.872,00092.509
19,07/03/2025,23:00,000.95833,00108.683,00092.602
20,07/03/2025,23:20,000.97222,00107.540,00092.693
21,07/03/2025,23:40,000.98611,00107.625,00092.761
22,07/04/2025,00:00,001.00000,00106.634,00092.835
23,07/04/2025,00:20,001.01389,00106.569,00092.886
24,07/04/2025,00:40,001.02778,00105.987,00092.947
25,07/04/2025,01:00,001.04167,00105.380,00093.009
26,07/04/2025,01:20,001.05556,00104.753,00093.078
27,07/04/2025,01:40,001.06944,00103.756,00093.145
28,07/04/2025,02:00,001.08333,00102.529,00093.203
29,07/04/2025,02:20,001.09722,00101.491,00093.260
30,07/04/2025,02:40,001.11111,00100.230,00093.320
31,07/04/2025,03:00,001.12500,00100.211,00093.375
32,07/04/2025,03:20,001.13889,00100.098,00093.422
33,07/04/2025,03:40,001.15278,00099.579,00093.487
34,07/04/2025,04:00,001.16667,00098.295,00093.574
35,07/04/2025,04:20,001.18056,00098.089,00093.644
36,07/04/2025,04:40,001.19444,00096.374,00093.750
37,07/04/2025,05:00,001.20833,00096.203,00093.912
38,07/04/2025,05:20,001.22222,00094.637,00094.173
39,07/04/2025,05:40,001.23611,00093.349,00094.482
40,07/04/2025,06:00,001.25000,00093.015,00094.771
41,07/04/2025,06:20,001.26389,00093.232,00094.976
42,07/04/2025,06:40,001.27778,00092.458,00095.107
43,07/04/2025,07:00,001.29167,00091.482,00095.164
44,07/04/2025,07:20,001.30556,00090.358,00095.135
45,07/04/2025,07:40,001.31944,00090.108,00095.020
46,07/04/2025,08:00,001.33333,00090.552,00094.838
47,07/04/2025,08:20,001.34722,00090.552,00094.617
48,07/04/2025,08:40,001.36111,00089.100,00094.417
49,07/04/2025,09:00,001.37500,00089.378,00094.188
50,07/04/2025,09:20,001.38889,00088.720,00093.989
51,07/04/2025,09:40,001.40278,00087.970,00093.801
52,07/04/2025,10:00,001.41667,00087.761,00093.621
53,07/04/2025,10:20,001.43056,00087.006,00093.466
54,07/04/2025,10:40,001.44444,00087.609,00093.309
55,07/04/2025,11:00,001.45833,00087.549,00093.194
56,07/04/2025,11:20,001.47222,00087.223,00093.111
57,07/04/2025,11:40,001.48611,00086.546,00093.033
58,07/04/2025,12:00,001.50000,00085.820,00092.991
59,07/04/2025,12:20,001.51389,00086.038,00092.948
60,07/04/2025,12:40,001.52778,00086.036,00092.947
61,07/04/2025,13:00,001.54167,00086.526,00092.952
62,07/04/2025,13:20,001.55556,00086.024,00092.994
63,07/04/2025,13:40,001.56944,00085.228,00093.064
64,07/04/2025,14:00,001.58333,00085.240,00093.153
65,07/04/2025,14:20,001.59722,00085.258,00093.269
66,07/04/2025,14:40,001.61111,00086.214,00093.388
67,07/04/2025,15:00,001.62500,00085.468,00093.525
68,07/04/2025,15:20,001.63889,00086.380,00093.641
69,07/04/2025,15:40,001.65278,00087.131,00093.774
70,07/04/2025,16:00,001.66667,00087.043,00093.952
71,07/04/2025,16:20,001.68056,00088.060,00094.116
72,07/04/2025,16:40,001.69444,00087.932,00094.319
73,07/04/2025,17:00,001.70833,00088.278,00094.517
74,07/04/2025,17:20,001.72222,00087.959,00094.745
75,07/04/2025,17:40,001.73611,00088.585,00094.983
76,07/04/2025,18:00,001.75000,00088.502,00095.223
77,07/04/2025,18:20,001.76389,00089.636,00095.447
78,07/04/2025,18:40,001.77778,00090.907,00095.672
79,07/04/2025,19:00,001.79167,00091.371,00095.918
80,07/04/2025,19:20,001.80556,00091.940,00096.163
81,07/04/2025,19:40,001.81944,00091.946,00096.408
82,07/04/2025,20:00,001.83333,00091.634,00096.647
83,07/04/2025,20:20,001.84722,00093.097,00096.854
84,07/04/2025,20:40,001.86111,00094.449,00097.091
85,07/04/2025,21:00,001.87500,00095.456,00097.321
86,07/04/2025,21:20,001.88889,00096.707,00097.544
87,07/04/2025,21:40,001.90278,00097.745,00097.772
88,07/04/2025,22:00,001.91667,00098.503,00097.998
89,07/04/2025,22:20,001.93056,00099.500,00098.218
90,07/04/2025,22:40,001.94444,00100.597,00098.411
91,07/04/2025,23:00,001.95833,00101.359,00098.601
92,07/04/2025,23:20,001.97222,00101.490,00098.787
93,07/04/2025,23:40,001.98611,00102.996,00098.961
94,07/05/2025,00:00,002.00000,00103.733,00099.145
95,07/05/2025,00:20,002.01389,00105.974,00099.290
96,07/05/2025,00:40,002.02778,00106.175,00099.454
97,07/05/2025,01:00,002.04167,00107.196,00099.590
98,07/05/2025,01:20,002.05556,00107.835,00099.728
99,07/05/2025,01:40,002.06944,00108.834,00099.878
100,07/05/2025,02:00,002.08333,00109.593,00100.015
101,07/05/2025,02:20,002.09722,00109.497,00100.162
102,07/05/2025,02:40,002.11111,00109.098,00100.286
103,07/05/2025,03:00,002.12500,00109.112,00100.419
104,07/05/2025,03:20,002.13889,00109.635,00100.527
105,07/05/2025,03:40,002.15278,00110.648,00100.611
106,07/05/2025,04:00,002.16667,00110.610,00100.703
107,07/05/2025,04:20,002.18056,00110.479,00100.780
108,07/05/2025,04:40,002.19444,00110.354,00100.865
109,07/05/2025,05:00,002.20833,00110.339,00100.954
110,07/05/2025,05:20,002.22222,00110.605,00101.045
111,07/05/2025,05:40,002.23611,00109.696,00101.139
112,07/05/2025,06:00,002.25000,00110.089,00101.213
113,07/05/2025,06:20,002.26389,00109.475,00101.274
114,07/05/2025,06:40,002.27778,00109.157,00101.323
115,07/05/2025,07:00,002.29167,00108.051,00101.374
116,07/05/2025,07:20,002.30556,00107.298,00101.405
117,07/05/2025,07:40,002.31944,00106.962,00101.431
118,07/05/2025,08:00,002.33333,00106.514,00101.463
119,07/05/2025,08:20,002.34722,00107.066,00101.463
120,07/05/2025,08:40,002.36111,00106.467,00101.477
121,07/05/2025,09:00,002.37500,00105.554,00101.493
122,07/05/2025,09:20,002.38889,00105.000,00101.480
123,07/05/2025,09:40,002.40278,00104.317,00101.461
124,07/05/2025,10:00,002.41667,00103.395,00101.451
125,07/05/2025,10:20,002.43056,00102.251,00101.437
126,07/05/2025,10:40,002.44444,00101.559,00101.413
127,07/05/2025,11:00,002.45833,00100.386,00101.383
128,07/05/2025,11:20,002.47222,00100.239,00101.333
129,07/05/2025,11:40,002.48611,00099.434,00101.279
130,07/05/2025,12:00,002.50000,00098.410,00101.217
131,07/05/2025,12:20,002.51389,00097.750,00101.132
132,07/05/2025,12:40,002.52778,00097.076,00101.049
133,07/05/2025,13:00,002.54167,00096.334,00100.962
134,07/05/2025,13:20,002.55556,00096.702,00100.859
135,07/05/2025,13:40,002.56944,00095.607,00100.760
136,07/05/2025,14:00,002.58333,00095.439,00100.635
137,07/05/2025,14:20,002.59722,00094.529,00100.525
138,07/05/2025,14:40,002.61111,00094.765,00100.411
139,07/05/2025,15:00,002.62500,00094.473,00100.315
140,07/05/2025,15:20,002.63889,00093.978,00100.217
141,07/05/2025,15:40,002.65278,00093.491,00100.114
142,07/05/2025,16:00,002.66667,00093.315,00100.001
143,07/05/2025,16:20,002.68056,00093.771,00099.879
144,07/05/2025,16:40,002.69444,00094.444,00099.754
145,07/05/2025,17:00,002.70833,00094.595,00099.635
146,07/05/2025,17:20,002.72222,00094.283,00099.519
147,07/05/2025,17:40,002.73611,00094.106,00099.411
148,07/05/2025,18:00,002.75000,00093.289,00099.309
149,07/05/2025,18:20,002.76389,00094.006,00099.191
150,07/05/2025,18:40,002.77778,00093.814,00099.084
151,07/05/2025,19:00,002.79167,00093.339,00098.994
152,07/05/2025,19:20,002.80556,00093.445,00098.907
153,07/05/2025,19:40,002.81944,00093.453,00098.823
154,07/05/2025,20:00,002.83333,00093.632,00098.744
155,07/05/2025,20:20,002.84722,00094.847,00098.623
156,07/05/2025,20:40,002.86111,00095.662,00098.505
157,07/05/2025,21:00,002.87500,00095.232,00098.408
158,07/05/2025,21:20,002.88889,00095.729,00098.302
159,07/05/2025,21:40,002.90278,00096.861,00098.198
160,07/05/2025,22:00,002.91667,00097.422,00098.108
161,07/05/2025,22:20,002.93056,00098.211,00098.026
162,07/05/2025,22:40,002.94444,00098.086,00097.963
163,07/05/2025,23:00,002.95833,00097.854,00097.905
164,07/05/2025,23:20,002.97222,00098.370,00097.822
165,07/05/2025,23:40,002.98611,00098.396,00097.740
166,07/06/2025,00:00,003.00000,00099.370,00097.662
167,07/06/2025,00:20,003.01389,00099.642,00097.604
168,07/06/2025,00:40,003.02778,00100.365,00097.552
169,07/06/2025,01:00,003.04167,00101.030,00097.498
170,07/06/2025,01:20,003.05556,00100.822,00097.431
171,07/06/2025,01:40,003.06944,00100.635,00097.376
172,07/06/2025,02:00,003.08333,00100.875,00097.308
173,07/06/2025,02:20,003.09722,00101.361,00097.250
174,07/06/2025,02:40,003.11111,00102.096,00097.170
175,07/06/2025,03:00,003.12500,00102.324,00097.111
176,07/06/2025,03:20,003.13889,00102.916,00097.040
177,07/06/2025,03:40,003.15278,00102.529,00096.983
178,07/06/2025,04:00,003.16667,00102.435,00096.920
179,07/06/2025,04:20,003.18056,00102.242,00096.854
180,07/06/2025,04:40,003.19444,00102.205,00096.776
181,07/06/2025,05:00,003.20833,00102.129,00096.695
182,07/06/2025,05:20,003.22222,00101.967,00096.613
183,07/06/2025,05:40,003.23611,00102.150,00096.526
184,07/06/2025,06:00,003.25000,00101.907,00096.465
185,07/06/2025,06:20,003.26389,00101.477,00096.389
186,07/06/2025,06:40,003.27778,00101.304,00096.325
187,07/06/2025,07:00,003.29167,00101.270,00096.274
188,07/06/2025,07:20,003.30556,00101.147,00096.213
189,07/06/2025,07:40,003.31944,00101.151,00096.157
190,07/06/2025,08:00,003.33333,00099.803,00096.105
191,07/06/2025,08:20,003.34722,00099.030,00096.032
192,07/06/2025,08:40,003.36111,00098.294,00095.944
193,07/06/2025,09:00,003.37500,00098.121,00095.861
194,07/06/2025,09:20,003.38889,00098.114,00095.774
195,07/06/2025,09:40,003.40278,00097.716,00095.683
196,07/06/2025,10:00,003.41667,00097.237,00095.587
197,07/06/2025,10:20,003.43056,00097.040,00095.485
198,07/06/2025,10:40,003.44444,00096.134,00095.402
199,07/06/2025,11:00,003.45833,00094.937,00095.335
200,07/06/2025,11:20,003.47222,00093.730,00095.265
201,07/06/2025,11:40,003.48611,00093.892,00095.185
202,07/06/2025,12:00,003.50000,00093.982,00095.094
203,07/06/2025,12:20,003.51389,00094.149,00094.998
204,07/06/2025,12:40,003.52778,00093.187,00094.913
205,07/06/2025,13:00,003.54167,00091.835,00094.826
206,07/06/2025,13:20,003.55556,00091.577,00094.737
207,07/06/2025,13:40,003.56944,00090.887,00094.645
208,07/06/2025,14:00,003.58333,00090.982,00094.546
209,07/06/2025,14:20,003.59722,00089.867,00094.452
210,07/06/2025,14:40,003.61111,00090.606,00094.323
211,07/06/2025,15:00,003.62500,00089.624,00094.212
212,07/06/2025,15:20,003.63889,00089.109,00094.101
213,07/06/2025,15:40,003.65278,00088.776,00094.007
214,07/06/2025,16:00,003.66667,00088.954,00093.915
215,07/06/2025,16:20,003.68056,00088.975,00093.829
216,07/06/2025,16:40,003.69444,00088.819,00093.735
217,07/06/2025,17:00,003.70833,00088.428,00093.646
218,07/06/2025,17:20,003.72222,00088.158,00093.566
219,07/06/2025,17:40,003.73611,00088.758,00093.463
220,07/06/2025,18:00,003.75000,00088.300,00093.386
221,07/06/2025,18:20,003.76389,00089.165,00093.286
222,07/06/2025,18:40,003.77778,00089.710,00093.192
223,07/06/2025,19:00,003.79167,00089.085,00093.114
224,07/06/2025,19:20,003.80556,00089.502,00093.013
225,07/06/2025,19:40,003.81944,00088.637,00092.924
226,07/06/2025,20:00,003.83333,00088.997,00092.832
227,07/06/2025,20:20,003.84722,00088.750,00092.757
228,07/06/2025,20:40,003.86111,00089.252,00092.672
229,07/06/2025,21:00,003.87500,00089.642,00092.587
230,07/06/2025,21:20,003.88889,00090.111,00092.495
231,07/06/2025,21:40,003.90278,00090.172,00092.411
232,07/06/2025,22:00,003.91667,00090.909,00092.324
233,07/06/2025,22:20,003.93056,00091.321,00092.242
234,07/06/2025,22:40,003.94444,00091.968,00092.163
235,07/06/2025,23:00,003.95833,00092.323,00092.096
236,07/06/2025,23:20,003.97222,00092.927,00092.021
237,07/06/2025,23:40,003.98611,00093.100,00091.949
238,07/07/2025,00:00,004.00000,00093.109,00091.867
239,07/07/2025,00:20,004.01389,00093.417,00091.777
240,07/07/2025,00:40,004.02778,00093.616,00091.701
241,07/07/2025,01:00,004.04167,00094.341,00091.632
242,07/07/2025,01:20,004.05556,00093.487,00091.584
243,07/07/2025,01:40,004.06944,00094.023,00091.532
244,07/07/2025,02:00,004.08333,00093.640,00091.474
245,07/07/2025,02:20,004.09722,00093.808,00091.425
246,07/07/2025,02:40,004.11111,00093.623,00091.361
247,07/07/2025,03:00,004.12500,00094.590,00091.299
248,07/07/2025,03:20,004.13889,00095.643,00091.252
249,07/07/2025,03:40,004.15278,00096.172,00091.223
250,07/07/2025,04:00,004.16667,00096.261,00091.203
251,07/07/2025,04:20,004.18056,00095.410,00091.190
252,07/07/2025,04:40,004.19444,00095.556,00091.158
253,07/07/2025,05:00,004.20833,00096.077,00091.131
254,07/07/2025,05:20,004.22222,00095.539,00091.113
255,07/07/2025,05:40,004.23611,00096.070,00091.080
256,07/07/2025,06:00,004.25000,00095.371,00091.066
257,07/07/2025,06:20,004.26389,00095.233,00091.028
258,07/07/2025,06:40,004.27778,00095.185,00090.980
259,07/07/2025,07:00,004.29167,00094.519,00090.955
260,07/07/2025,07:20,004.30556,00094.042,00090.921
261,07/07/2025,07:40,004.31944,00093.719,00090.911
262,07/07/2025,08:00,004.33333,00093.543,00090.905
263,07/07/2025,08:20,004.34722,00092.812,00090.913
264,07/07/2025,08:40,004.36111,00092.545,00090.906
265,07/07/2025,09:00,004.37500,00092.154,00090.892
266,07/07/2025,09:20,004.38889,00091.932,00090.872
267,07/07/2025,09:40,004.40278,00091.868,00090.860
268,07/07/2025,10:00,004.41667,00091.750,00090.846
269,07/07/2025,10:20,004.43056,00091.190,00090.842
270,07/07/2025,10:40,004.44444,00090.624,00090.833
271,07/07/2025,11:00,004.45833,00089.117,00090.827
272,07/07/2025,11:20,004.47222,00088.980,00090.794
273,07/07/2025,11:40,004.48611,00088.248,00090.781
274,07/07/2025,12:00,004.50000,00088.182,00090.761
275,07/07/2025,12:20,004.51389,00088.080,00090.755
276,07/07/2025,12:40,004.52778,00087.687,00090.746
277,07/07/2025,13:00,004.54167,00087.376,00090.738
278,07/07/2025,13:20,004.55556,00087.794,00090.730
279,07/07/2025,13:40,004.56944,00086.575,00090.740
280,07/07/2025,14:00,004.58333,00086.571,00090.744
281,07/07/2025,14:20,004.59722,00085.973,00090.758
282,07/07/2025,14:40,004.61111,00086.224,00090.760
283,07/07/2025,15:00,004.62500,00086.861,00090.740
284,07/07/2025,15:20,004.63889,00087.249,00090.708
285,07/07/2025,15:40,004.65278,00087.644,00090.668
286,07/07/2025,16:00,004.66667,00087.221,00090.633
287,07/07/2025,16:20,004.68056,00086.735,00090.611
288,07/07/2025,16:40,004.69444,00087.105,00090.576
289,07/07/2025,17:00,004.70833,00086.316,00090.549
290,07/07/2025,17:20,004.72222,00087.014,00090.514
291,07/07/2025,17:40,004.73611,00086.623,00090.491
292,07/07/2025,18:00,004.75000,00086.369,00090.475
293,07/07/2025,18:20,004.76389,00086.247,00090.459
294,07/07/2025,18:40,004.77778,00086.675,00090.435
295,07/07/2025,19:00,004.79167,00086.636,00090.421
296,07/07/2025,19:20,004.80556,00087.633,00090.396
297,07/07/2025,19:40,004.81944,00088.422,00090.372
298,07/07/2025,20:00,004.83333,00088.598,00090.360
299,07/07/2025,20:20,004.84722,00088.471,00090.355
300,07/07/2025,20:40,004.86111,00088.273,00090.345
301,07/07/2025,21:00,004.87500,00088.458,00090.337
302,07/07/2025,21:20,004.88889,00089.263,00090.317
303,07/07/2025,21:40,004.90278,00089.825,00090.310
304,07/07/2025,22:00,004.91667,00090.475,00090.310
305,07/07/2025,22:20,004.93056,00090.821,00090.322
306,07/07/2025,22:40,004.94444,00090.364,00090.348
307,07/07/2025,23:00,004.95833,00090.456,00090.383
308,07/07/2025,23:20,004.97222,00091.469,00090.398
309,07/07/2025,23:40,004.98611,00091.662,00090.430
310,07/08/2025,00:00,005.00000,00092.918,00090.434
311,07/08/2025,00:20,005.01389,00092.538,00090.459
312,07/08/2025,00:40,005.02778,00093.472,00090.475
313,07/08/2025,01:00,005.04167,00093.349,00090.507
314,07/08/2025,01:20,005.05556,00093.528,00090.526
315,07/08/2025,01:40,005.06944,00093.946,00090.557
316,07/08/2025,02:00,005.08333,00094.161,00090.589
317,07/08/2025,02:20,005.09722,00094.031,00090.633
318,07/08/2025,02:40,005.11111,00093.801,00090.674
319,07/08/2025,03:00,005.12500,00093.779,00090.704
320,07/08/2025,03:20,005.13889,00093.763,00090.722
321,07/08/2025,03:40,005.15278,00093.391,00090.743
322,07/08/2025,04:00,005.16667,00093.386,00090.766
323,07/08/2025,04:20,005.18056,00093.474,00090.787
324,07/08/2025,04:40,005.19444,00093.429,00090.806
325,07/08/2025,05:00,005.20833,00093.780,00090.836
326,07/08/2025,05:20,005.22222,00094.102,00090.866
327,07/08/2025,05:40,005.23611,00093.938,00090.914
328,07/08/2025,06:00,005.25000,00094.049,00090.959
329,07/08/2025,06:20,005.26389,00093.878,00091.014
330,07/08/2025,06:40,005.27778,00093.497,00091.057
331,07/08/2025,07:00,005.29167,00093.326,00091.106
332,07/08/2025,07:20,005.30556,00092.820,00091.149
333,07/08/2025,07:40,005.31944,00092.905,00091.176
334,07/08/2025,08:00,005.33333,00092.290,00091.208
335,07/08/2025,08:20,005.34722,00091.681,00091.231
336,07/08/2025,08:40,005.36111,00091.736,00091.260
337,07/08/2025,09:00,005.37500,00091.345,00091.291
338,07/08/2025,09:20,005.38889,00091.964,00091.309
339,07/08/2025,09:40,005.40278,00092.360,00091.317
340,07/08/2025,10:00,005.41667,00092.381,00091.312
341,07/08/2025,10:20,005.43056,00091.990,00091.317
342,07/08/2025,10:40,005.44444,00091.651,00091.339
343,07/08/2025,11:00,005.45833,00091.049,00091.367
344,07/08/2025,11:20,005.47222,00090.701,00091.382
345,07/08/2025,11:40,005.48611,00089.744,00091.402
346,07/08/2025,12:00,005.50000,00089.454,00091.394
347,07/08/2025,12:20,005.51389,00089.724,00091.400
348,07/08/2025,12:40,005.52778,00089.504,00091.392
349,07/08/2025,13:00,005.54167,00089.310,00091.380
350,07/08/2025,13:20,005.55556,00089.142,00091.362
351,07/08/2025,13:40,005.56944,00089.015,00091.336
352,07/08/2025,14:00,005.58333,00088.925,00091.314
353,07/08/2025,14:20,005.59722,00088.878,00091.290
354,07/08/2025,14:40,005.61111,00088.917,00091.260
355,07/08/2025,15:00,005.62500,00088.522,00091.229
356,07/08/2025,15:20,005.63889,00088.719,00091.201
357,07/08/2025,15:40,005.65278,00088.863,00091.183
358,07/08/2025,16:00,005.66667,00088.246,00091.185
359,07/08/2025,16:20,005.68056,00088.387,00091.181
360,07/08/2025,16:40,005.69444,00088.756,00091.171
361,07/08/2025,17:00,005.70833,00089.496,00091.150
362,07/08/2025,17:20,005.72222,00089.778,00091.135
363,07/08/2025,17:40,005.73611,00089.625,00091.138
364,07/08/2025,18:00,005.75000,00089.941,00091.121
365,07/08/2025,18:20,005.76389,00089.306,00091.118
366,07/08/2025,18:40,005.77778,00089.861,00091.092
367,07/08/2025,19:00,005.79167,00090.166,00091.079
368,07/08/2025,19:20,005.80556,00090.431,00091.075
369,07/08/2025,19:40,005.81944,00090.177,00091.080
370,07/08/2025,20:00,005.83333,00089.508,00091.118
371,07/08/2025,20:20,005.84722,00090.333,00091.150
372,07/08/2025,20:40,005.86111,00090.233,00091.196
373,07/08/2025,21:00,005.87500,00091.179,00091.224
374,07/08/2025,21:20,005.88889,00090.726,00091.261
375,07/08/2025,21:40,005.90278,00090.153,00091.292
376,07/08/2025,22:00,005.91667,00090.777,00091.303
377,07/08/2025,22:20,005.93056,00091.596,00091.327
378,07/08/2025,22:40,005.94444,00091.792,00091.363
379,07/08/2025,23:00,005.95833,00092.167,00091.413
380,07/08/2025,23:20,005.97222,00092.117,00091.470
381,07/08/2025,23:40,005.98611,00092.084,00091.537
382,07/09/2025,00:00,006.00000,00093.233,00091.588
383,07/09/2025,00:20,006.01389,00092.644,00091.672
384,07/09/2025,00:40,006.02778,00092.331,00091.768
385,07/09/2025,01:00,006.04167,00092.102,00091.869
386,07/09/2025,01:20,006.05556,00092.028,00091.955
387,07/09/2025,01:40,006.06944,00092.490,00092.037
388,07/09/2025,02:00,006.08333,00092.329,00092.128
389,07/09/2025,02:20,006.09722,00091.729,00092.224
390,07/09/2025,02:40,006.11111,00091.200,00092.317
391,07/09/2025,03:00,006.12500,00092.026,00092.403
392,07/09/2025,03:20,006.13889,00092.311,00092.473
393,07/09/2025,03:40,006.15278,00092.857,00092.546
394,07/09/2025,04:00,006.16667,00093.377,00092.640
395,07/09/2025,04:20,006.18056,00093.067,00092.748
396,07/09/2025,04:40,006.19444,00093.062,00092.847
397,07/09/2025,05:00,006.20833,00093.308,00092.932
398,07/09/2025,05:20,006.22222,00094.042,00093.007
399,07/09/2025,05:40,006.23611,00093.123,00093.102
400,07/09/2025,06:00,006.25000,00093.087,00093.179
401,07/09/2025,06:20,006.26389,00092.232,00093.289
402,07/09/2025,06:40,006.27778,00092.723,00093.377
403,07/09/2025,07:00,006.29167,00092.760,00093.471
404,07/09/2025,07:20,006.30556,00093.039,00093.560
405,07/09/2025,07:40,006.31944,00094.245,00093.641
406,07/09/2025,08:00,006.33333,00094.755,00093.754
407,07/09/2025,08:20,006.34722,00094.856,00093.852
408,07/09/2025,08:40,006.36111,00094.234,00093.973
409,07/09/2025,09:00,006.37500,00094.131,00094.062
410,07/09/2025,09:20,006.38889,00093.984,00094.175
411,07/09/2025,09:40,006.40278,00093.728,00094.294
412,07/09/2025,10:00,006.41667,00094.526,00094.397
413,07/09/2025,10:20,006.43056,00094.370,00094.503
414,07/09/2025,10:40,006.44444,00094.863,00094.588
415,07/09/2025,11:00,006.45833,00094.646,00094.681
416,07/09/2025,11:20,006.47222,00094.428,00094.784
417,07/09/2025,11:40,006.48611,00094.199,00094.891
418,07/09/2025,12:00,006.50000,00094.961,00094.969
419,07/09/2025,12:20,006.51389,00095.944,00095.049
420,07/09/2025,12:40,006.52778,00096.162,00095.149
421,07/09/2025,13:00,006.54167,00095.049,00095.257
422,07/09/2025,13:20,006.55556,00095.260,00095.337
423,07/09/2025,13:40,006.56944,00095.099,00095.412
424,07/09/2025,14:00,006.58333,00095.045,00095.496
425,07/09/2025,14:20,006.59722,00094.850,00095.586
426,07/09/2025,14:40,006.61111,00095.379,00095.683
427,07/09/2025,15:00,006.62500,00093.925,00095.800
428,07/09/2025,15:20,006.63889,00094.507,00095.887
429,07/09/2025,15:40,006.65278,00095.320,00095.960
430,07/09/2025,16:00,006.66667,00095.682,00096.034
431,07/09/2025,16:20,006.68056,00095.663,00096.117
432,07/09/2025,16:40,006.69444,00095.679,00096.204
433,07/09/2025,17:00,006.70833,00095.760,00096.276
434,07/09/2025,17:20,006.72222,00095.393,00096.340
435,07/09/2025,17:40,006.73611,00095.240,00096.413
436,07/09/2025,18:00,006.75000,00096.186,00096.479
437,07/09/2025,18:20,006.76389,00096.525,00096.568
438,07/09/2025,18:40,006.77778,00096.778,00096.645
439,07/09/2025,19:00,006.79167,00096.927,00096.725
440,07/09/2025,19:20,006.80556,00097.063,00096.814
441,07/09/2025,19:40,006.81944,00097.941,00096.867
442,07/09/2025,20:00,006.83333,00097.290,00096.934
443,07/09/2025,20:20,006.84722,00098.055,00096.965
444,07/09/2025,20:40,006.86111,00097.338,00097.038
445,07/09/2025,21:00,006.87500,00098.465,00097.088
446,07/09/2025,21:20,006.88889,00098.207,00097.158
447,07/09/2025,21:40,006.90278,00098.832,00097.214
448,07/09/2025,22:00,006.91667,00098.820,00097.267
449,07/09/2025,22:20,006.93056,00098.251,00097.321
450,07/09/2025,22:40,006.94444,00098.462,00097.360
451,07/09/2025,23:00,006.95833,00099.095,00097.387
452,07/09/2025,23:20,006.97222,00099.372,00097.429
453,07/09/2025,23:40,006.98611,00099.414,00097.480
454,07/10/2025,00:00,007.00000,00099.282,00097.517
455,07/10/2025,00:20,007.01389,00099.507,00097.535
456,07/10/2025,00:40,007.02778,00098.579,00097.562
457,07/10/2025,01:00,007.04167,00097.814,00097.606
458,07/10/2025,01:20,007.05556,00097.558,00097.646
459,07/10/2025,01:40,007.06944,00098.174,00097.679
460,07/10/2025,02:00,007.08333,00097.821,00097.729
461,07/10/2025,02:20,007.09722,00098.561,00097.759
462,07/10/2025,02:40,007.11111,00098.727,00097.791
463,07/10/2025,03:00,007.12500,00099.016,00098.028
464,07/10/2025,03:20,007.13889,00098.787,00098.314
465,07/10/2025,03:40,007.15278,00098.903,00098.677
466,07/10/2025,04:00,007.16667,00098.868,00099.089
467,07/10/2025,04:20,007.18056,00099.173,00099.635
468,07/10/2025,04:40,007.19444,00098.432,00100.334
469,07/10/2025,05:00,007.20833,00098.095,00101.129
470,07/10/2025,05:20,007.22222,00098.097,00101.969
471,07/10/2025,05:40,007.23611,00098.654,00102.798
472,07/10/2025,06:00,007.25000,00098.829,00103.607
473,07/10/2025,06:20,007.26389,00098.330,00104.384
474,07/10/2025,06:40,007.27778,00098.522,00105.102
475,07/10/2025,07:00,007.29167,00099.405,00105.765
476,07/10/2025,07:20,007.30556,00098.832,00106.416
477,07/10/2025,07:40,007.31944,00098.777,00107.027
478,07/10/2025,08:00,007.33333,00097.844,00107.639
479,07/10/2025,08:20,007.34722,00098.574,00108.211
480,07/10/2025,08:40,007.36111,00098.771,00108.788
481,07/10/2025,09:00,007.37500,00098.621,00109.353
482,07/10/2025,09:20,007.38889,00098.276,00109.933
483,07/10/2025,09:40,007.40278,00098.247,00110.494
