LumiCycle: 6A-SCNrM1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/28/2025,15:41,000.65347,00172.790,00172.605
1,07/28/2025,16:02,000.66806,00160.143,00171.957
2,07/28/2025,16:22,000.68194,00148.422,00171.243
3,07/28/2025,16:42,000.69583,00136.628,00170.480
4,07/28/2025,17:02,000.70972,00132.149,00169.565
5,07/28/2025,17:22,000.72361,00133.736,00168.518
6,07/28/2025,17:42,000.73750,00138.952,00167.382
7,07/28/2025,18:02,000.75139,00150.443,00166.115
8,07/28/2025,18:22,000.76528,00163.591,00164.805
9,07/28/2025,18:42,000.77917,00179.785,00163.437
10,07/28/2025,19:02,000.79306,00195.697,00162.066
11,07/28/2025,19:22,000.80694,00208.033,00160.738
12,07/28/2025,19:42,000.82083,00217.419,00159.440
13,07/28/2025,20:02,000.83472,00224.753,00158.173
14,07/28/2025,20:22,000.84861,00227.881,00156.959
15,07/28/2025,20:42,000.86250,00228.683,00155.794
16,07/28/2025,21:02,000.87639,00226.423,00154.681
17,07/28/2025,21:22,000.89028,00222.495,00153.607
18,07/28/2025,21:42,000.90417,00215.917,00152.576
19,07/28/2025,22:02,000.91806,00209.105,00151.574
20,07/28/2025,22:22,000.93194,00200.984,00150.600
21,07/28/2025,22:42,000.94583,00193.315,00149.651
22,07/28/2025,23:02,000.95972,00185.362,00148.718
23,07/28/2025,23:20,000.97222,00176.774,00147.828
24,07/28/2025,23:22,000.97361,00173.189,00146.895
25,07/28/2025,23:42,000.98750,00167.225,00146.026
26,07/29/2025,00:02,001.00139,00160.931,00145.195
27,07/29/2025,00:22,001.01528,00154.167,00144.401
28,07/29/2025,00:42,001.02917,00147.795,00143.635
29,07/29/2025,01:02,001.04306,00142.578,00142.877
30,07/29/2025,01:22,001.05694,00137.919,00142.138
31,07/29/2025,01:42,001.07083,00132.168,00141.457
32,07/29/2025,02:02,001.08472,00127.040,00140.804
33,07/29/2025,02:22,001.09861,00123.567,00140.179
34,07/29/2025,02:42,001.11250,00119.028,00139.608
35,07/29/2025,03:02,001.12639,00116.079,00139.056
36,07/29/2025,03:22,001.14028,00112.516,00138.744
37,07/29/2025,03:42,001.15417,00109.082,00138.649
38,07/29/2025,04:02,001.16806,00106.126,00138.763
39,07/29/2025,04:22,001.18194,00103.142,00138.980
40,07/29/2025,04:42,001.19583,00100.779,00139.217
41,07/29/2025,05:02,001.20972,00098.128,00139.420
42,07/29/2025,05:22,001.22361,00096.875,00139.486
43,07/29/2025,05:42,001.23750,00095.973,00139.367
44,07/29/2025,06:02,001.25139,00095.423,00139.031
45,07/29/2025,06:22,001.26528,00094.807,00138.473
46,07/29/2025,06:42,001.27917,00093.935,00137.746
47,07/29/2025,07:02,001.29306,00093.998,00136.864
48,07/29/2025,07:22,001.30694,00093.379,00135.897
49,07/29/2025,07:42,001.32083,00094.356,00134.885
50,07/29/2025,08:02,001.33472,00094.824,00133.862
51,07/29/2025,08:22,001.34861,00095.805,00132.864
52,07/29/2025,08:42,001.36250,00096.164,00131.912
53,07/29/2025,09:02,001.37639,00097.827,00131.035
54,07/29/2025,09:22,001.39028,00098.415,00130.247
55,07/29/2025,09:42,001.40417,00100.576,00129.524
56,07/29/2025,10:02,001.41806,00101.434,00128.894
57,07/29/2025,10:22,001.43194,00103.631,00128.315
58,07/29/2025,10:42,001.44583,00105.821,00127.839
59,07/29/2025,11:02,001.45972,00107.712,00127.375
60,07/29/2025,11:22,001.47361,00109.993,00126.948
61,07/29/2025,11:42,001.48750,00112.032,00126.566
62,07/29/2025,12:02,001.50139,00114.316,00126.229
63,07/29/2025,12:22,001.51528,00116.024,00125.938
64,07/29/2025,12:42,001.52917,00117.900,00125.680
65,07/29/2025,13:02,001.54306,00120.718,00125.420
66,07/29/2025,13:22,001.55694,00123.238,00125.233
67,07/29/2025,13:42,001.57083,00126.855,00125.058
68,07/29/2025,14:02,001.58472,00129.431,00124.908
69,07/29/2025,14:22,001.59861,00132.263,00124.757
70,07/29/2025,14:42,001.61250,00135.401,00124.611
71,07/29/2025,15:02,001.62639,00138.504,00124.469
72,07/29/2025,15:22,001.64028,00141.446,00124.359
73,07/29/2025,15:42,001.65417,00143.883,00124.260
74,07/29/2025,16:02,001.66806,00147.493,00124.153
75,07/29/2025,16:22,001.68194,00150.147,00124.067
76,07/29/2025,16:42,001.69583,00153.633,00124.003
77,07/29/2025,17:02,001.70972,00154.614,00123.978
78,07/29/2025,17:22,001.72361,00156.376,00123.939
79,07/29/2025,17:42,001.73750,00157.126,00123.915
80,07/29/2025,18:02,001.75139,00157.729,00123.889
81,07/29/2025,18:22,001.76528,00157.509,00123.896
82,07/29/2025,18:42,001.77917,00158.369,00123.875
83,07/29/2025,19:02,001.79306,00160.042,00123.842
84,07/29/2025,19:22,001.80694,00159.637,00123.824
85,07/29/2025,19:42,001.82083,00159.523,00123.796
86,07/29/2025,20:02,001.83472,00158.080,00123.785
87,07/29/2025,20:22,001.84861,00157.999,00123.760
88,07/29/2025,20:42,001.86250,00156.051,00123.742
89,07/29/2025,21:02,001.87639,00154.017,00123.724
90,07/29/2025,21:22,001.89028,00151.298,00123.703
91,07/29/2025,21:42,001.90417,00148.250,00123.685
92,07/29/2025,22:02,001.91806,00146.550,00123.635
93,07/29/2025,22:22,001.93194,00143.516,00123.589
94,07/29/2025,22:42,001.94583,00140.490,00123.533
95,07/29/2025,23:02,001.95972,00136.970,00123.462
96,07/29/2025,23:22,001.97361,00133.558,00123.364
97,07/29/2025,23:42,001.98750,00129.742,00123.259
98,07/30/2025,00:02,002.00139,00126.910,00123.145
99,07/30/2025,00:22,002.01528,00123.005,00123.040
100,07/30/2025,00:42,002.02917,00122.007,00122.880
101,07/30/2025,01:02,002.04306,00118.786,00122.739
102,07/30/2025,01:22,002.05694,00115.880,00122.571
103,07/30/2025,01:42,002.07083,00111.592,00122.421
104,07/30/2025,02:02,002.08472,00109.317,00122.229
105,07/30/2025,02:22,002.09861,00105.957,00122.042
106,07/30/2025,02:42,002.11250,00104.571,00121.800
107,07/30/2025,03:02,002.12639,00101.819,00121.576
108,07/30/2025,03:22,002.14028,00099.495,00121.360
109,07/30/2025,03:42,002.15417,00097.548,00121.096
110,07/30/2025,04:02,002.16806,00097.306,00120.800
111,07/30/2025,04:22,002.18194,00096.148,00120.492
112,07/30/2025,04:42,002.19583,00095.046,00120.203
113,07/30/2025,05:02,002.20972,00094.553,00119.922
114,07/30/2025,05:22,002.22361,00093.616,00119.659
115,07/30/2025,05:42,002.23750,00094.192,00119.398
116,07/30/2025,06:02,002.25139,00093.426,00119.177
117,07/30/2025,06:22,002.26528,00092.868,00118.964
118,07/30/2025,06:42,002.27917,00092.701,00118.726
119,07/30/2025,07:02,002.29306,00092.827,00118.484
120,07/30/2025,07:22,002.30694,00093.564,00118.250
121,07/30/2025,07:42,002.32083,00094.401,00118.029
122,07/30/2025,08:02,002.33472,00094.633,00117.812
123,07/30/2025,08:22,002.34861,00095.217,00117.602
124,07/30/2025,08:42,002.36250,00096.421,00117.408
125,07/30/2025,09:02,002.37639,00097.133,00117.248
126,07/30/2025,09:22,002.39028,00098.564,00117.107
127,07/30/2025,09:42,002.40417,00099.633,00116.982
128,07/30/2025,10:02,002.41806,00100.856,00116.887
129,07/30/2025,10:22,002.43194,00101.659,00116.814
130,07/30/2025,10:42,002.44583,00101.952,00116.775
