LumiCycle: 6B-SCNrM2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/28/2025,15:52,000.66111,00204.911,00223.119
1,07/28/2025,16:12,000.67500,00196.979,00222.748
2,07/28/2025,16:32,000.68889,00187.912,00222.298
3,07/28/2025,16:52,000.70278,00179.946,00221.765
4,07/28/2025,17:12,000.71667,00177.480,00221.087
5,07/28/2025,17:32,000.73056,00181.537,00220.256
6,07/28/2025,17:52,000.74444,00192.761,00219.269
7,07/28/2025,18:12,000.75833,00206.519,00218.190
8,07/28/2025,18:32,000.77222,00222.329,00217.048
9,07/28/2025,18:52,000.78611,00238.307,00215.875
10,07/28/2025,19:12,000.80000,00255.358,00214.656
11,07/28/2025,19:32,000.81389,00270.703,00213.458
12,07/28/2025,19:52,000.82778,00283.713,00212.283
13,07/28/2025,20:12,000.84167,00292.565,00211.172
14,07/28/2025,20:32,000.85556,00298.911,00210.084
15,07/28/2025,20:52,000.86944,00303.048,00209.046
16,07/28/2025,21:12,000.88333,00305.574,00208.054
17,07/28/2025,21:32,000.89722,00305.550,00207.116
18,07/28/2025,21:52,000.91111,00302.153,00206.236
19,07/28/2025,22:12,000.92500,00296.333,00205.410
20,07/28/2025,22:32,000.93889,00291.432,00204.597
21,07/28/2025,22:52,000.95278,00285.657,00203.851
22,07/28/2025,23:12,000.96667,00279.109,00203.148
23,07/28/2025,23:32,000.98056,00270.216,00202.529
24,07/28/2025,23:52,000.99444,00261.764,00201.939
25,07/29/2025,00:12,001.00833,00253.786,00201.390
26,07/29/2025,00:32,001.02222,00247.017,00200.856
27,07/29/2025,00:52,001.03611,00239.055,00200.388
28,07/29/2025,01:12,001.05000,00231.359,00199.956
29,07/29/2025,01:32,001.06389,00221.449,00199.589
30,07/29/2025,01:52,001.07778,00213.448,00199.242
31,07/29/2025,02:12,001.09167,00205.057,00198.953
32,07/29/2025,02:32,001.10556,00197.173,00198.695
33,07/29/2025,02:52,001.11944,00190.877,00198.473
34,07/29/2025,03:12,001.13333,00183.611,00198.308
35,07/29/2025,03:32,001.14722,00177.763,00198.177
36,07/29/2025,03:52,001.16111,00171.013,00198.116
37,07/29/2025,04:12,001.17500,00164.341,00198.207
38,07/29/2025,04:32,001.18889,00159.631,00198.457
39,07/29/2025,04:52,001.20278,00154.957,00198.850
40,07/29/2025,05:12,001.21667,00150.828,00199.320
41,07/29/2025,05:32,001.23056,00147.059,00199.762
42,07/29/2025,05:52,001.24444,00143.086,00200.096
43,07/29/2025,06:12,001.25833,00140.845,00200.247
44,07/29/2025,06:32,001.27222,00138.772,00200.197
45,07/29/2025,06:52,001.28611,00136.610,00199.934
46,07/29/2025,07:12,001.30000,00136.402,00199.425
47,07/29/2025,07:32,001.31389,00135.629,00198.709
48,07/29/2025,07:52,001.32778,00136.053,00197.794
49,07/29/2025,08:12,001.34167,00135.103,00196.768
50,07/29/2025,08:32,001.35556,00136.387,00195.620
51,07/29/2025,08:52,001.36944,00137.988,00194.394
52,07/29/2025,09:12,001.38333,00139.227,00193.102
53,07/29/2025,09:32,001.39722,00139.869,00191.788
54,07/29/2025,09:52,001.41111,00141.301,00190.458
55,07/29/2025,10:12,001.42500,00143.117,00189.169
56,07/29/2025,10:32,001.43889,00146.881,00187.875
57,07/29/2025,10:52,001.45278,00149.159,00186.635
58,07/29/2025,11:12,001.46667,00152.671,00185.410
59,07/29/2025,11:32,001.48056,00155.189,00184.266
60,07/29/2025,11:52,001.49444,00158.480,00183.161
61,07/29/2025,12:12,001.50833,00160.794,00182.115
62,07/29/2025,12:32,001.52222,00164.165,00181.092
63,07/29/2025,12:52,001.53611,00166.964,00180.144
64,07/29/2025,13:12,001.55000,00169.353,00179.240
65,07/29/2025,13:32,001.56389,00172.577,00178.421
66,07/29/2025,13:52,001.57778,00176.312,00177.639
67,07/29/2025,14:12,001.59167,00178.990,00176.943
68,07/29/2025,14:32,001.60556,00183.077,00176.293
69,07/29/2025,14:52,001.61944,00186.051,00175.689
70,07/29/2025,15:12,001.63333,00189.926,00175.142
71,07/29/2025,15:32,001.64722,00193.890,00174.628
72,07/29/2025,15:52,001.66111,00196.653,00174.206
73,07/29/2025,16:12,001.67500,00200.722,00173.809
74,07/29/2025,16:32,001.68889,00202.760,00173.473
75,07/29/2025,16:52,001.70278,00206.243,00173.145
76,07/29/2025,17:12,001.71667,00208.745,00172.874
77,07/29/2025,17:32,001.73056,00212.119,00172.620
78,07/29/2025,17:52,001.74444,00214.884,00172.424
79,07/29/2025,18:12,001.75833,00216.745,00172.248
80,07/29/2025,18:32,001.77222,00217.759,00172.108
81,07/29/2025,18:52,001.78611,00219.514,00171.974
82,07/29/2025,19:12,001.80000,00219.777,00171.860
83,07/29/2025,19:32,001.81389,00220.127,00171.755
84,07/29/2025,19:52,001.82778,00219.781,00171.660
85,07/29/2025,20:12,001.84167,00219.858,00171.563
86,07/29/2025,20:32,001.85556,00218.781,00171.479
87,07/29/2025,20:52,001.86944,00216.373,00171.405
88,07/29/2025,21:12,001.88333,00214.202,00171.318
89,07/29/2025,21:32,001.89722,00210.516,00171.259
90,07/29/2025,21:52,001.91111,00207.909,00171.174
91,07/29/2025,22:12,001.92500,00204.615,00171.089
92,07/29/2025,22:32,001.93889,00201.177,00170.948
93,07/29/2025,22:52,001.95278,00196.850,00170.806
94,07/29/2025,23:12,001.96667,00192.664,00170.634
95,07/29/2025,23:32,001.98056,00187.670,00170.461
96,07/29/2025,23:52,001.99444,00182.902,00170.258
97,07/30/2025,00:12,002.00833,00178.794,00170.044
98,07/30/2025,00:32,002.02222,00175.501,00169.796
99,07/30/2025,00:52,002.03611,00170.421,00169.568
100,07/30/2025,01:12,002.05000,00167.366,00169.310
101,07/30/2025,01:32,002.06389,00162.418,00169.065
102,07/30/2025,01:52,002.07778,00159.044,00168.783
103,07/30/2025,02:12,002.09167,00155.723,00168.501
104,07/30/2025,02:32,002.10556,00151.620,00168.207
105,07/30/2025,02:52,002.11944,00149.156,00167.865
106,07/30/2025,03:12,002.13333,00145.742,00167.531
107,07/30/2025,03:32,002.14722,00144.248,00167.142
108,07/30/2025,03:52,002.16111,00140.625,00166.800
109,07/30/2025,04:12,002.17500,00138.149,00166.411
110,07/30/2025,04:32,002.18889,00135.487,00166.020
111,07/30/2025,04:52,002.20278,00134.385,00165.593
112,07/30/2025,05:12,002.21667,00132.642,00165.153
113,07/30/2025,05:32,002.23056,00132.078,00164.693
114,07/30/2025,05:52,002.24444,00130.427,00164.234
115,07/30/2025,06:12,002.25833,00129.974,00163.756
116,07/30/2025,06:32,002.27222,00128.980,00163.297
117,07/30/2025,06:52,002.28611,00128.664,00162.815
118,07/30/2025,07:12,002.30000,00128.685,00162.340
119,07/30/2025,07:32,002.31389,00129.008,00161.847
120,07/30/2025,07:52,002.32778,00128.389,00161.383
121,07/30/2025,08:12,002.34167,00129.481,00160.894
122,07/30/2025,08:32,002.35556,00130.391,00160.414
123,07/30/2025,08:52,002.36944,00130.947,00159.971
124,07/30/2025,09:12,002.38333,00132.077,00159.516
125,07/30/2025,09:32,002.39722,00132.742,00159.113
126,07/30/2025,09:52,002.41111,00133.835,00158.718
127,07/30/2025,10:12,002.42500,00133.601,00158.380
128,07/30/2025,10:32,002.43889,00134.880,00158.035
129,07/30/2025,10:52,002.45278,00136.441,00157.731
130,07/30/2025,11:12,002.46667,00138.097,00157.447
131,07/30/2025,11:32,002.48056,00139.499,00157.205
132,07/30/2025,11:52,002.49444,00141.685,00156.997
133,07/30/2025,12:12,002.50833,00143.524,00156.796
134,07/30/2025,12:32,002.52222,00145.922,00156.597
135,07/30/2025,12:52,002.53611,00148.227,00156.452
136,07/30/2025,13:12,002.55000,00150.522,00156.324
137,07/30/2025,13:32,002.56389,00153.138,00156.231
138,07/30/2025,13:52,002.57778,00155.954,00156.154
139,07/30/2025,14:12,002.59167,00158.388,00156.087
140,07/30/2025,14:32,002.60556,00159.667,00156.068
141,07/30/2025,14:52,002.61944,00163.149,00156.014
142,07/30/2025,15:12,002.63333,00165.171,00156.004
143,07/30/2025,15:32,002.64722,00169.037,00155.974
144,07/30/2025,15:52,002.66111,00171.067,00155.986
145,07/30/2025,16:12,002.67500,00172.739,00156.021
146,07/30/2025,16:32,002.68889,00175.208,00156.071
147,07/30/2025,16:52,002.70278,00176.225,00156.137
148,07/30/2025,17:12,002.71667,00179.345,00156.178
149,07/30/2025,17:32,002.73056,00181.118,00156.229
150,07/30/2025,17:52,002.74444,00182.838,00156.283
151,07/30/2025,18:12,002.75833,00184.617,00156.338
152,07/30/2025,18:32,002.77222,00185.469,00156.410
153,07/30/2025,18:52,002.78611,00186.519,00156.479
154,07/30/2025,19:12,002.80000,00185.948,00156.576
155,07/30/2025,19:32,002.81389,00186.675,00156.655
156,07/30/2025,19:52,002.82778,00186.720,00156.744
157,07/30/2025,20:12,002.84167,00186.065,00156.839
158,07/30/2025,20:32,002.85556,00185.936,00156.913
159,07/30/2025,20:52,002.86944,00183.507,00157.032
160,07/30/2025,21:12,002.88333,00182.948,00157.131
161,07/30/2025,21:32,002.89722,00181.364,00157.254
162,07/30/2025,21:52,002.91111,00180.718,00157.363
163,07/30/2025,22:12,002.92500,00178.323,00157.507
164,07/30/2025,22:32,002.93889,00177.126,00157.644
165,07/30/2025,22:52,002.95278,00174.415,00157.794
166,07/30/2025,23:12,002.96667,00172.156,00157.956
167,07/30/2025,23:32,002.98056,00170.495,00158.115
168,07/30/2025,23:52,002.99444,00166.565,00158.309
169,07/31/2025,00:12,003.00833,00163.999,00158.483
170,07/31/2025,00:32,003.02222,00162.597,00158.644
171,07/31/2025,00:52,003.03611,00160.674,00158.807
172,07/31/2025,01:12,003.05000,00158.519,00158.970
173,07/31/2025,01:32,003.06389,00156.493,00159.110
174,07/31/2025,01:52,003.07778,00153.458,00159.262
175,07/31/2025,02:12,003.09167,00151.542,00159.409
176,07/31/2025,02:32,003.10556,00148.872,00159.584
177,07/31/2025,02:52,003.11944,00147.097,00159.751
178,07/31/2025,03:12,003.13333,00146.010,00159.917
179,07/31/2025,03:32,003.14722,00143.455,00160.075
180,07/31/2025,03:52,003.16111,00142.297,00160.213
181,07/31/2025,04:12,003.17500,00141.479,00160.347
182,07/31/2025,04:32,003.18889,00139.999,00160.511
183,07/31/2025,04:52,003.20278,00138.597,00160.705
184,07/31/2025,05:12,003.21667,00137.454,00160.882
185,07/31/2025,05:32,003.23056,00135.954,00161.063
186,07/31/2025,05:52,003.24444,00135.560,00161.218
187,07/31/2025,06:12,003.25833,00134.905,00161.367
188,07/31/2025,06:32,003.27222,00134.508,00161.528
189,07/31/2025,06:52,003.28611,00134.889,00161.704
190,07/31/2025,07:12,003.30000,00135.306,00161.901
191,07/31/2025,07:32,003.31389,00134.665,00162.123
192,07/31/2025,07:52,003.32778,00135.443,00162.325
193,07/31/2025,08:12,003.34167,00135.455,00162.581
194,07/31/2025,08:32,003.35556,00136.844,00162.816
195,07/31/2025,08:52,003.36944,00138.482,00163.090
196,07/31/2025,09:12,003.38333,00139.767,00163.375
197,07/31/2025,09:32,003.39722,00140.793,00163.678
198,07/31/2025,09:52,003.41111,00141.318,00163.980
199,07/31/2025,10:12,003.42500,00143.251,00164.287
200,07/31/2025,10:32,003.43889,00144.233,00164.620
201,07/31/2025,10:52,003.45278,00147.159,00164.972
202,07/31/2025,11:12,003.46667,00148.948,00165.353
203,07/31/2025,11:32,003.48056,00151.341,00165.746
204,07/31/2025,11:52,003.49444,00153.185,00166.155
205,07/31/2025,12:12,003.50833,00155.763,00166.573
206,07/31/2025,12:32,003.52222,00157.706,00167.009
207,07/31/2025,12:52,003.53611,00159.800,00167.460
208,07/31/2025,13:12,003.55000,00160.909,00167.921
209,07/31/2025,13:32,003.56389,00163.537,00168.359
210,07/31/2025,13:52,003.57778,00166.794,00168.811
211,07/31/2025,14:12,003.59167,00169.237,00169.283
212,07/31/2025,14:32,003.60556,00173.029,00169.753
213,07/31/2025,14:52,003.61944,00175.758,00170.230
214,07/31/2025,15:12,003.63333,00177.483,00170.699
215,07/31/2025,15:32,003.64722,00179.584,00171.184
216,07/31/2025,15:52,003.66111,00181.348,00171.670
217,07/31/2025,16:12,003.67500,00185.150,00172.125
218,07/31/2025,16:32,003.68889,00188.455,00172.579
219,07/31/2025,16:52,003.70278,00190.596,00173.064
220,07/31/2025,17:12,003.71667,00192.274,00173.538
221,07/31/2025,17:32,003.73056,00193.260,00174.012
222,07/31/2025,17:52,003.74444,00194.392,00174.473
223,07/31/2025,18:12,003.75833,00196.385,00174.923
224,07/31/2025,18:32,003.77222,00199.218,00175.351
225,07/31/2025,18:52,003.78611,00200.157,00175.766
226,07/31/2025,19:12,003.80000,00201.571,00176.162
227,07/31/2025,19:32,003.81389,00201.614,00176.567
228,07/31/2025,19:52,003.82778,00204.013,00176.923
229,07/31/2025,20:12,003.84167,00203.791,00177.317
230,07/31/2025,20:32,003.85556,00204.332,00177.673
231,07/31/2025,20:52,003.86944,00204.183,00178.023
232,07/31/2025,21:12,003.88333,00203.569,00178.345
233,07/31/2025,21:32,003.89722,00202.360,00178.674
234,07/31/2025,21:52,003.91111,00201.776,00178.989
235,07/31/2025,22:12,003.92500,00201.444,00179.282
236,07/31/2025,22:32,003.93889,00201.980,00179.542
237,07/31/2025,22:52,003.95278,00200.597,00179.809
238,07/31/2025,23:12,003.96667,00200.362,00180.038
239,07/31/2025,23:32,003.98056,00197.087,00180.299
240,07/31/2025,23:52,003.99444,00195.805,00180.518
241,08/01/2025,00:12,004.00833,00195.072,00180.721
242,08/01/2025,00:32,004.02222,00194.317,00180.920
243,08/01/2025,00:52,004.03611,00191.945,00181.136
244,08/01/2025,01:12,004.05000,00189.777,00181.355
245,08/01/2025,01:32,004.06389,00188.311,00181.527
246,08/01/2025,01:52,004.07778,00187.075,00181.673
247,08/01/2025,02:12,004.09167,00185.543,00181.810
248,08/01/2025,02:32,004.10556,00183.185,00181.933
249,08/01/2025,02:52,004.11944,00180.564,00182.054
250,08/01/2025,03:12,004.13333,00179.527,00182.144
251,08/01/2025,03:32,004.14722,00178.103,00182.238
252,08/01/2025,03:52,004.16111,00177.073,00182.315
253,08/01/2025,04:12,004.17500,00175.153,00182.371
254,08/01/2025,04:32,004.18889,00174.632,00182.374
255,08/01/2025,04:52,004.20278,00172.318,00182.381
256,08/01/2025,05:12,004.21667,00170.147,00182.406
257,08/01/2025,05:32,004.23056,00168.986,00182.425
258,08/01/2025,05:52,004.24444,00168.357,00182.447
259,08/01/2025,06:12,004.25833,00167.296,00182.471
260,08/01/2025,06:32,004.27222,00164.887,00182.495
261,08/01/2025,06:52,004.28611,00164.424,00182.490
262,08/01/2025,07:12,004.30000,00163.066,00182.502
263,08/01/2025,07:32,004.31389,00162.788,00182.486
264,08/01/2025,07:52,004.32778,00162.822,00182.461
265,08/01/2025,08:12,004.34167,00162.251,00182.452
266,08/01/2025,08:32,004.35556,00162.836,00182.430
267,08/01/2025,08:52,004.36944,00161.729,00182.448
268,08/01/2025,09:12,004.38333,00162.606,00182.444
269,08/01/2025,09:32,004.39722,00162.817,00182.453
270,08/01/2025,09:52,004.41111,00163.369,00182.481
271,08/01/2025,10:12,004.42500,00162.991,00182.527
272,08/01/2025,10:32,004.43889,00164.439,00182.533
273,08/01/2025,10:52,004.45278,00164.805,00182.554
274,08/01/2025,11:12,004.46667,00166.295,00182.567
275,08/01/2025,11:32,004.48056,00167.231,00182.658
276,08/01/2025,11:52,004.49444,00169.282,00182.738
277,08/01/2025,12:12,004.50833,00170.853,00182.841
278,08/01/2025,12:32,004.52222,00172.557,00182.928
279,08/01/2025,12:52,004.53611,00174.050,00183.047
280,08/01/2025,13:12,004.55000,00174.132,00183.203
281,08/01/2025,13:32,004.56389,00175.741,00183.337
282,08/01/2025,13:52,004.57778,00177.334,00183.479
283,08/01/2025,14:12,004.59167,00179.271,00183.612
284,08/01/2025,14:32,004.60556,00181.578,00183.766
285,08/01/2025,14:52,004.61944,00182.786,00183.939
286,08/01/2025,15:12,004.63333,00184.729,00184.097
287,08/01/2025,15:32,004.64722,00185.683,00184.278
288,08/01/2025,15:52,004.66111,00187.180,00184.428
289,08/01/2025,16:12,004.67500,00188.139,00184.607
290,08/01/2025,16:32,004.68889,00188.774,00184.781
291,08/01/2025,16:52,004.70278,00191.837,00184.939
292,08/01/2025,17:12,004.71667,00193.434,00185.128
293,08/01/2025,17:32,004.73056,00195.301,00185.295
294,08/01/2025,17:52,004.74444,00197.010,00185.464
295,08/01/2025,18:12,004.75833,00198.493,00185.620
296,08/01/2025,18:32,004.77222,00199.344,00185.823
297,08/01/2025,18:52,004.78611,00201.035,00186.009
298,08/01/2025,19:12,004.80000,00200.232,00186.229
299,08/01/2025,19:32,004.81389,00202.295,00186.403
300,08/01/2025,19:52,004.82778,00202.585,00186.601
301,08/01/2025,20:12,004.84167,00203.395,00186.779
302,08/01/2025,20:32,004.85556,00204.310,00186.945
303,08/01/2025,20:52,004.86944,00204.210,00187.128
304,08/01/2025,21:12,004.88333,00203.172,00187.308
305,08/01/2025,21:32,004.89722,00204.268,00187.445
306,08/01/2025,21:52,004.91111,00204.319,00187.600
307,08/01/2025,22:12,004.92500,00203.835,00187.771
308,08/01/2025,22:32,004.93889,00202.440,00187.906
309,08/01/2025,22:52,004.95278,00202.788,00188.023
310,08/01/2025,23:12,004.96667,00204.361,00188.116
311,08/01/2025,23:32,004.98056,00203.438,00188.249
312,08/01/2025,23:52,004.99444,00203.889,00188.334
313,08/02/2025,00:12,005.00833,00202.110,00188.441
314,08/02/2025,00:32,005.02222,00201.777,00188.529
315,08/02/2025,00:52,005.03611,00200.756,00188.619
316,08/02/2025,01:12,005.05000,00199.295,00188.735
317,08/02/2025,01:32,005.06389,00198.606,00188.812
318,08/02/2025,01:52,005.07778,00196.775,00188.896
319,08/02/2025,02:12,005.09167,00196.255,00188.936
320,08/02/2025,02:32,005.10556,00193.898,00188.984
321,08/02/2025,02:52,005.11944,00192.573,00189.005
322,08/02/2025,03:12,005.13333,00191.669,00189.013
323,08/02/2025,03:32,005.14722,00189.080,00189.024
324,08/02/2025,03:52,005.16111,00188.662,00189.003
325,08/02/2025,04:12,005.17500,00187.470,00188.988
326,08/02/2025,04:32,005.18889,00186.405,00188.971
327,08/02/2025,04:52,005.20278,00184.994,00188.919
328,08/02/2025,05:12,005.21667,00182.539,00188.877
329,08/02/2025,05:32,005.23056,00181.889,00188.779
330,08/02/2025,05:52,005.24444,00179.699,00188.700
331,08/02/2025,06:12,005.25833,00179.969,00188.575
332,08/02/2025,06:32,005.27222,00179.086,00188.456
333,08/02/2025,06:52,005.28611,00177.722,00188.322
334,08/02/2025,07:12,005.30000,00176.971,00188.201
335,08/02/2025,07:32,005.31389,00176.980,00188.050
336,08/02/2025,07:52,005.32778,00175.569,00187.925
337,08/02/2025,08:12,005.34167,00175.344,00187.784
338,08/02/2025,08:32,005.35556,00174.418,00187.648
339,08/02/2025,08:52,005.36944,00174.157,00187.494
340,08/02/2025,09:12,005.38333,00173.526,00187.353
341,08/02/2025,09:32,005.39722,00174.267,00187.177
342,08/02/2025,09:52,005.41111,00174.508,00187.013
343,08/02/2025,10:12,005.42500,00172.482,00186.874
344,08/02/2025,10:32,005.43889,00173.354,00186.719
345,08/02/2025,10:52,005.45278,00174.392,00186.540
346,08/02/2025,11:12,005.46667,00175.603,00186.332
347,08/02/2025,11:32,005.48056,00175.689,00186.154
348,08/02/2025,11:52,005.49444,00176.551,00185.962
349,08/02/2025,12:12,005.50833,00178.381,00185.751
350,08/02/2025,12:32,005.52222,00179.343,00185.560
351,08/02/2025,12:52,005.53611,00180.772,00185.367
352,08/02/2025,13:12,005.55000,00180.435,00185.230
353,08/02/2025,13:32,005.56389,00181.380,00185.061
354,08/02/2025,13:52,005.57778,00181.540,00184.921
355,08/02/2025,14:12,005.59167,00182.594,00184.768
356,08/02/2025,14:32,005.60556,00182.926,00184.638
357,08/02/2025,14:52,005.61944,00184.394,00184.491
358,08/02/2025,15:12,005.63333,00183.846,00184.390
359,08/02/2025,15:32,005.64722,00185.290,00184.261
360,08/02/2025,15:52,005.66111,00185.913,00184.162
361,08/02/2025,16:12,005.67500,00186.500,00184.054
362,08/02/2025,16:32,005.68889,00186.844,00183.955
363,08/02/2025,16:52,005.70278,00187.995,00183.858
364,08/02/2025,17:12,005.71667,00187.831,00183.795
365,08/02/2025,17:32,005.73056,00189.273,00183.712
366,08/02/2025,17:52,005.74444,00189.991,00183.649
367,08/02/2025,18:12,005.75833,00190.108,00183.562
368,08/02/2025,18:32,005.77222,00190.297,00183.480
369,08/02/2025,18:52,005.78611,00191.019,00183.404
370,08/02/2025,19:12,005.80000,00191.724,00183.334
371,08/02/2025,19:32,005.81389,00192.425,00183.249
372,08/02/2025,19:52,005.82778,00193.304,00183.176
373,08/02/2025,20:12,005.84167,00193.858,00183.096
374,08/02/2025,20:32,005.85556,00193.188,00183.031
375,08/02/2025,20:52,005.86944,00192.693,00182.955
376,08/02/2025,21:12,005.88333,00192.651,00182.882
377,08/02/2025,21:32,005.89722,00193.112,00182.782
378,08/02/2025,21:52,005.91111,00192.054,00182.713
379,08/02/2025,22:12,005.92500,00192.472,00182.638
380,08/02/2025,22:32,005.93889,00191.279,00182.569
381,08/02/2025,22:52,005.95278,00191.062,00182.482
382,08/02/2025,23:12,005.96667,00191.014,00182.371
383,08/02/2025,23:32,005.98056,00191.337,00182.266
384,08/02/2025,23:52,005.99444,00189.166,00182.192
385,08/03/2025,00:12,006.00833,00189.402,00182.054
386,08/03/2025,00:32,006.02222,00188.682,00181.927
387,08/03/2025,00:52,006.03611,00189.357,00181.768
388,08/03/2025,01:12,006.05000,00187.728,00181.665
389,08/03/2025,01:32,006.06389,00187.096,00181.534
390,08/03/2025,01:52,006.07778,00186.620,00181.409
391,08/03/2025,02:12,006.09167,00185.147,00181.258
392,08/03/2025,02:32,006.10556,00183.747,00181.120
393,08/03/2025,02:52,006.11944,00184.001,00180.934
394,08/03/2025,03:12,006.13333,00181.530,00180.805
395,08/03/2025,03:32,006.14722,00182.349,00180.598
396,08/03/2025,03:52,006.16111,00180.525,00180.417
397,08/03/2025,04:12,006.17500,00179.800,00180.215
398,08/03/2025,04:32,006.18889,00179.363,00179.995
399,08/03/2025,04:52,006.20278,00177.954,00179.774
400,08/03/2025,05:12,006.21667,00177.483,00179.552
401,08/03/2025,05:32,006.23056,00176.046,00179.330
402,08/03/2025,05:52,006.24444,00173.998,00179.113
403,08/03/2025,06:12,006.25833,00173.527,00178.881
404,08/03/2025,06:32,006.27222,00173.101,00178.641
405,08/03/2025,06:52,006.28611,00172.780,00178.406
406,08/03/2025,07:12,006.30000,00171.734,00178.178
407,08/03/2025,07:32,006.31389,00171.349,00177.923
408,08/03/2025,07:52,006.32778,00170.291,00177.655
409,08/03/2025,08:12,006.34167,00169.210,00177.391
410,08/03/2025,08:32,006.35556,00168.358,00177.127
411,08/03/2025,08:52,006.36944,00168.320,00176.863
412,08/03/2025,09:12,006.38333,00167.759,00176.603
413,08/03/2025,09:32,006.39722,00168.588,00176.316
414,08/03/2025,09:52,006.41111,00167.674,00176.077
415,08/03/2025,10:12,006.42500,00167.307,00175.814
416,08/03/2025,10:32,006.43889,00168.140,00175.550
417,08/03/2025,10:52,006.45278,00167.740,00175.279
418,08/03/2025,11:12,006.46667,00168.674,00175.001
419,08/03/2025,11:32,006.48056,00169.210,00174.716
420,08/03/2025,11:52,006.49444,00168.964,00174.484
421,08/03/2025,12:12,006.50833,00169.705,00174.231
422,08/03/2025,12:32,006.52222,00170.336,00173.989
423,08/03/2025,12:52,006.53611,00171.624,00173.727
424,08/03/2025,13:12,006.55000,00171.563,00173.497
425,08/03/2025,13:32,006.56389,00172.314,00173.260
426,08/03/2025,13:52,006.57778,00170.573,00173.050
427,08/03/2025,14:12,006.59167,00171.868,00172.831
428,08/03/2025,14:32,006.60556,00171.589,00172.635
429,08/03/2025,14:52,006.61944,00172.368,00172.431
430,08/03/2025,15:12,006.63333,00171.605,00172.260
431,08/03/2025,15:32,006.64722,00171.445,00172.075
432,08/03/2025,15:52,006.66111,00171.601,00171.902
433,08/03/2025,16:12,006.67500,00170.980,00171.735
434,08/03/2025,16:32,006.68889,00171.143,00171.556
435,08/03/2025,16:52,006.70278,00171.855,00171.399
436,08/03/2025,17:12,006.71667,00172.248,00171.241
437,08/03/2025,17:32,006.73056,00172.770,00171.105
438,08/03/2025,17:52,006.74444,00173.382,00170.975
439,08/03/2025,18:12,006.75833,00173.095,00170.871
440,08/03/2025,18:32,006.77222,00174.212,00170.750
441,08/03/2025,18:52,006.78611,00174.734,00170.648
442,08/03/2025,19:12,006.80000,00174.169,00170.564
443,08/03/2025,19:32,006.81389,00173.498,00170.487
444,08/03/2025,19:52,006.82778,00174.306,00170.415
