LumiCycle: 7A-SCNcM1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/28/2025,15:42,000.65417,00107.998,00092.459
1,07/28/2025,15:45,000.65625,00103.474,00092.409
2,07/28/2025,16:05,000.67014,00094.414,00092.369
3,07/28/2025,16:25,000.68403,00086.264,00092.325
4,07/28/2025,16:45,000.69792,00081.499,00092.273
5,07/28/2025,17:05,000.71181,00081.354,00092.210
6,07/28/2025,17:25,000.72569,00081.949,00092.145
7,07/28/2025,17:45,000.73958,00083.359,00092.078
8,07/28/2025,18:05,000.75347,00083.835,00092.014
9,07/28/2025,18:25,000.76736,00085.799,00091.946
10,07/28/2025,18:45,000.78125,00087.583,00091.880
11,07/28/2025,19:05,000.79514,00090.358,00091.810
12,07/28/2025,19:25,000.80903,00091.813,00091.743
13,07/28/2025,19:45,000.82292,00094.411,00091.670
14,07/28/2025,20:05,000.83681,00094.938,00091.601
15,07/28/2025,20:25,000.85069,00096.642,00091.530
16,07/28/2025,20:45,000.86458,00097.365,00091.459
17,07/28/2025,21:05,000.87847,00098.046,00091.389
18,07/28/2025,21:25,000.89236,00097.588,00091.320
19,07/28/2025,21:45,000.90625,00095.876,00091.254
20,07/28/2025,22:05,000.92014,00095.313,00091.185
21,07/28/2025,22:25,000.93403,00094.630,00091.118
22,07/28/2025,22:45,000.94792,00093.434,00091.050
23,07/28/2025,23:05,000.96181,00091.896,00090.984
24,07/28/2025,23:25,000.97569,00090.807,00090.915
25,07/28/2025,23:45,000.98958,00089.651,00090.845
26,07/29/2025,00:05,001.00347,00088.130,00090.776
27,07/29/2025,00:25,001.01736,00086.587,00090.706
28,07/29/2025,00:45,001.03125,00085.249,00090.637
29,07/29/2025,01:05,001.04514,00083.065,00090.567
30,07/29/2025,01:25,001.05903,00082.069,00090.495
31,07/29/2025,01:45,001.07292,00080.268,00090.422
32,07/29/2025,02:05,001.08681,00079.814,00090.347
33,07/29/2025,02:25,001.10069,00078.579,00090.274
34,07/29/2025,02:45,001.11458,00077.530,00090.201
35,07/29/2025,03:05,001.12847,00076.784,00090.128
36,07/29/2025,03:25,001.14236,00075.632,00090.057
37,07/29/2025,03:45,001.15625,00074.130,00089.984
38,07/29/2025,04:05,001.17014,00073.205,00089.913
39,07/29/2025,04:25,001.18403,00072.343,00089.842
40,07/29/2025,04:45,001.19792,00071.805,00089.770
41,07/29/2025,05:05,001.21181,00071.267,00089.699
42,07/29/2025,05:25,001.22569,00070.758,00089.627
43,07/29/2025,05:45,001.23958,00070.898,00089.553
44,07/29/2025,06:05,001.25347,00070.269,00089.481
45,07/29/2025,06:25,001.26736,00069.986,00089.410
46,07/29/2025,06:45,001.28125,00069.652,00089.341
47,07/29/2025,07:05,001.29514,00070.635,00089.270
48,07/29/2025,07:25,001.30903,00071.427,00089.200
49,07/29/2025,07:45,001.32292,00071.324,00089.132
50,07/29/2025,08:05,001.33681,00070.359,00089.067
51,07/29/2025,08:25,001.35069,00069.815,00089.001
52,07/29/2025,08:45,001.36458,00070.170,00088.934
53,07/29/2025,09:05,001.37847,00070.105,00088.867
54,07/29/2025,09:25,001.39236,00070.178,00088.801
55,07/29/2025,09:45,001.40625,00070.113,00088.737
56,07/29/2025,10:05,001.42014,00070.942,00088.673
57,07/29/2025,10:25,001.43403,00070.759,00088.611
58,07/29/2025,10:45,001.44792,00070.861,00088.548
59,07/29/2025,11:05,001.46181,00070.786,00088.486
60,07/29/2025,11:25,001.47569,00070.981,00088.424
61,07/29/2025,11:45,001.48958,00071.182,00088.362
62,07/29/2025,12:05,001.50347,00070.750,00088.301
63,07/29/2025,12:25,001.51736,00071.639,00088.237
64,07/29/2025,12:45,001.53125,00071.918,00088.177
65,07/29/2025,13:05,001.54514,00072.619,00088.116
66,07/29/2025,13:25,001.55903,00073.380,00088.053
67,07/29/2025,13:45,001.57292,00074.180,00087.993
68,07/29/2025,14:05,001.58681,00074.216,00087.933
69,07/29/2025,14:25,001.60069,00074.820,00087.872
70,07/29/2025,14:45,001.61458,00075.445,00087.810
71,07/29/2025,15:05,001.62847,00076.339,00087.750
72,07/29/2025,15:25,001.64236,00076.709,00087.690
73,07/29/2025,15:45,001.65625,00077.501,00087.628
74,07/29/2025,16:05,001.67014,00077.535,00087.566
75,07/29/2025,16:25,001.68403,00078.700,00087.501
76,07/29/2025,16:45,001.69792,00079.859,00087.437
77,07/29/2025,17:05,001.71181,00079.864,00087.376
78,07/29/2025,17:25,001.72569,00080.756,00087.312
79,07/29/2025,17:45,001.73958,00080.247,00087.249
80,07/29/2025,18:05,001.75347,00081.104,00087.183
81,07/29/2025,18:25,001.76736,00080.739,00087.119
82,07/29/2025,18:45,001.78125,00081.102,00087.054
83,07/29/2025,19:05,001.79514,00081.002,00086.991
84,07/29/2025,19:25,001.80903,00081.582,00086.924
85,07/29/2025,19:45,001.82292,00081.758,00086.859
86,07/29/2025,20:05,001.83681,00081.538,00086.793
87,07/29/2025,20:25,001.85069,00082.117,00086.725
88,07/29/2025,20:45,001.86458,00082.130,00086.658
89,07/29/2025,21:05,001.87847,00082.034,00086.591
90,07/29/2025,21:25,001.89236,00081.457,00086.524
91,07/29/2025,21:45,001.90625,00081.678,00086.455
92,07/29/2025,22:05,001.92014,00081.268,00086.388
93,07/29/2025,22:25,001.93403,00081.192,00086.319
94,07/29/2025,22:45,001.94792,00079.787,00086.252
95,07/29/2025,23:05,001.96181,00079.292,00086.183
96,07/29/2025,23:25,001.97569,00078.939,00086.112
97,07/29/2025,23:45,001.98958,00079.143,00086.040
98,07/30/2025,00:05,002.00347,00078.743,00085.969
99,07/30/2025,00:25,002.01736,00078.716,00085.897
100,07/30/2025,00:45,002.03125,00077.253,00085.828
101,07/30/2025,01:05,002.04514,00077.092,00085.755
102,07/30/2025,01:25,002.05903,00075.969,00085.685
103,07/30/2025,01:45,002.07292,00075.845,00085.612
104,07/30/2025,02:05,002.08681,00075.225,00085.540
105,07/30/2025,02:25,002.10069,00074.464,00085.467
106,07/30/2025,02:45,002.11458,00074.100,00085.394
107,07/30/2025,03:05,002.12847,00074.663,00085.320
108,07/30/2025,03:25,002.14236,00073.959,00085.248
109,07/30/2025,03:45,002.15625,00073.061,00085.176
110,07/30/2025,04:05,002.17014,00072.880,00085.103
111,07/30/2025,04:25,002.18403,00072.465,00085.032
112,07/30/2025,04:45,002.19792,00071.825,00084.962
113,07/30/2025,05:05,002.21181,00071.225,00084.893
114,07/30/2025,05:25,002.22569,00071.300,00084.822
115,07/30/2025,05:45,002.23958,00070.911,00084.753
116,07/30/2025,06:05,002.25347,00071.018,00084.682
117,07/30/2025,06:25,002.26736,00070.765,00084.613
118,07/30/2025,06:45,002.28125,00070.258,00084.544
119,07/30/2025,07:05,002.29514,00070.328,00084.476
120,07/30/2025,07:25,002.30903,00070.222,00084.407
121,07/30/2025,07:45,002.32292,00071.178,00084.336
122,07/30/2025,08:05,002.33681,00070.702,00084.269
123,07/30/2025,08:25,002.35069,00070.737,00084.202
124,07/30/2025,08:45,002.36458,00069.999,00084.138
125,07/30/2025,09:05,002.37847,00071.106,00084.070
126,07/30/2025,09:25,002.39236,00070.925,00084.004
127,07/30/2025,09:45,002.40625,00070.741,00083.939
128,07/30/2025,10:05,002.42014,00069.961,00083.874
129,07/30/2025,10:25,002.43403,00070.563,00083.808
130,07/30/2025,10:45,002.44792,00070.455,00083.744
131,07/30/2025,11:05,002.46181,00071.880,00083.678
132,07/30/2025,11:25,002.47569,00071.573,00083.614
133,07/30/2025,11:45,002.48958,00071.559,00083.552
134,07/30/2025,12:05,002.50347,00071.275,00083.491
135,07/30/2025,12:25,002.51736,00071.576,00083.426
136,07/30/2025,12:45,002.53125,00072.042,00083.360
137,07/30/2025,13:05,002.54514,00072.562,00083.295
138,07/30/2025,13:25,002.55903,00072.425,00083.230
139,07/30/2025,13:45,002.57292,00073.734,00083.165
140,07/30/2025,14:05,002.58681,00073.951,00083.102
141,07/30/2025,14:25,002.60069,00074.622,00083.039
142,07/30/2025,14:45,002.61458,00074.551,00082.977
143,07/30/2025,15:05,002.62847,00075.101,00082.913
144,07/30/2025,15:25,002.64236,00074.943,00082.851
145,07/30/2025,15:45,002.65625,00075.779,00082.788
146,07/30/2025,16:05,002.67014,00076.496,00082.724
147,07/30/2025,16:25,002.68403,00076.763,00082.661
148,07/30/2025,16:45,002.69792,00077.965,00082.596
149,07/30/2025,17:05,002.71181,00078.346,00082.531
150,07/30/2025,17:25,002.72569,00078.451,00082.468
151,07/30/2025,17:45,002.73958,00078.266,00082.405
152,07/30/2025,18:05,002.75347,00077.657,00082.342
153,07/30/2025,18:25,002.76736,00078.819,00082.275
154,07/30/2025,18:45,002.78125,00079.224,00082.211
155,07/30/2025,19:05,002.79514,00079.598,00082.145
156,07/30/2025,19:25,002.80903,00079.316,00082.082
157,07/30/2025,19:45,002.82292,00079.870,00082.015
158,07/30/2025,20:05,002.83681,00080.488,00081.948
159,07/30/2025,20:25,002.85069,00079.568,00081.886
160,07/30/2025,20:45,002.86458,00079.418,00081.822
161,07/30/2025,21:05,002.87847,00079.255,00081.757
162,07/30/2025,21:25,002.89236,00079.435,00081.692
163,07/30/2025,21:45,002.90625,00078.785,00081.627
164,07/30/2025,22:05,002.92014,00078.636,00081.561
165,07/30/2025,22:25,002.93403,00078.858,00081.492
166,07/30/2025,22:45,002.94792,00078.214,00081.425
167,07/30/2025,23:05,002.96181,00078.930,00081.355
168,07/30/2025,23:25,002.97569,00077.776,00081.289
169,07/30/2025,23:45,002.98958,00078.314,00081.220
170,07/31/2025,00:05,003.00347,00078.233,00081.151
171,07/31/2025,00:25,003.01736,00078.058,00081.083
172,07/31/2025,00:45,003.03125,00077.548,00081.016
173,07/31/2025,01:05,003.04514,00077.378,00080.948
174,07/31/2025,01:25,003.05903,00076.471,00080.881
175,07/31/2025,01:45,003.07292,00075.537,00080.814
176,07/31/2025,02:05,003.08681,00074.921,00080.747
177,07/31/2025,02:25,003.10069,00074.573,00080.679
178,07/31/2025,02:45,003.11458,00074.821,00080.611
179,07/31/2025,03:05,003.12847,00074.544,00080.543
180,07/31/2025,03:25,003.14236,00074.294,00080.475
181,07/31/2025,03:45,003.15625,00073.700,00080.407
182,07/31/2025,04:05,003.17014,00073.210,00080.339
183,07/31/2025,04:25,003.18403,00073.319,00080.269
184,07/31/2025,04:45,003.19792,00073.298,00080.200
185,07/31/2025,05:05,003.21181,00072.366,00080.134
186,07/31/2025,05:25,003.22569,00072.349,00080.066
187,07/31/2025,05:45,003.23958,00071.559,00080.001
188,07/31/2025,06:05,003.25347,00072.258,00079.932
189,07/31/2025,06:25,003.26736,00071.710,00079.866
190,07/31/2025,06:45,003.28125,00071.354,00079.799
191,07/31/2025,07:05,003.29514,00069.985,00079.734
192,07/31/2025,07:25,003.30903,00070.549,00079.667
193,07/31/2025,07:45,003.32292,00070.578,00079.601
194,07/31/2025,08:05,003.33681,00070.701,00079.536
195,07/31/2025,08:25,003.35069,00071.126,00079.470
196,07/31/2025,08:45,003.36458,00070.722,00079.405
197,07/31/2025,09:05,003.37847,00070.338,00079.342
198,07/31/2025,09:25,003.39236,00069.976,00079.279
199,07/31/2025,09:45,003.40625,00070.365,00079.215
200,07/31/2025,10:05,003.42014,00070.301,00079.151
201,07/31/2025,10:25,003.43403,00070.544,00079.087
202,07/31/2025,10:45,003.44792,00070.227,00079.022
203,07/31/2025,11:05,003.46181,00070.379,00078.958
204,07/31/2025,11:25,003.47569,00070.396,00078.895
205,07/31/2025,11:45,003.48958,00070.505,00078.831
206,07/31/2025,12:05,003.50347,00070.964,00078.766
207,07/31/2025,12:25,003.51736,00070.882,00078.703
208,07/31/2025,12:45,003.53125,00072.105,00078.637
209,07/31/2025,13:05,003.54514,00072.630,00078.574
210,07/31/2025,13:25,003.55903,00073.584,00078.508
211,07/31/2025,13:45,003.57292,00073.841,00078.446
212,07/31/2025,14:05,003.58681,00073.663,00078.383
213,07/31/2025,14:25,003.60069,00073.359,00078.320
214,07/31/2025,14:45,003.61458,00073.973,00078.254
215,07/31/2025,15:05,003.62847,00074.629,00078.187
216,07/31/2025,15:25,003.64236,00074.622,00078.125
217,07/31/2025,15:45,003.65625,00075.292,00078.060
218,07/31/2025,16:05,003.67014,00075.202,00077.996
219,07/31/2025,16:25,003.68403,00075.366,00077.932
220,07/31/2025,16:45,003.69792,00075.622,00077.866
221,07/31/2025,17:05,003.71181,00076.229,00077.801
222,07/31/2025,17:25,003.72569,00076.600,00077.735
223,07/31/2025,17:45,003.73958,00077.755,00077.668
224,07/31/2025,18:05,003.75347,00077.759,00077.602
225,07/31/2025,18:25,003.76736,00078.429,00077.535
226,07/31/2025,18:45,003.78125,00077.686,00077.470
227,07/31/2025,19:05,003.79514,00078.645,00077.403
228,07/31/2025,19:25,003.80903,00079.030,00077.335
229,07/31/2025,19:45,003.82292,00079.661,00077.267
230,07/31/2025,20:05,003.83681,00079.647,00077.201
231,07/31/2025,20:25,003.85069,00079.347,00077.136
232,07/31/2025,20:45,003.86458,00079.539,00077.070
233,07/31/2025,21:05,003.87847,00079.316,00077.004
234,07/31/2025,21:25,003.89236,00079.005,00076.939
235,07/31/2025,21:45,003.90625,00079.221,00076.872
236,07/31/2025,22:05,003.92014,00079.752,00076.805
237,07/31/2025,22:25,003.93403,00079.768,00076.738
238,07/31/2025,22:45,003.94792,00080.777,00076.668
239,07/31/2025,23:05,003.96181,00079.479,00076.602
240,07/31/2025,23:25,003.97569,00080.408,00076.531
241,07/31/2025,23:45,003.98958,00079.410,00076.464
242,08/01/2025,00:05,004.00347,00079.747,00076.403
243,08/01/2025,00:25,004.01736,00078.844,00076.364
244,08/01/2025,00:45,004.03125,00078.060,00076.341
245,08/01/2025,01:05,004.04514,00077.494,00076.330
246,08/01/2025,01:25,004.05903,00077.747,00076.316
247,08/01/2025,01:45,004.07292,00077.169,00076.301
248,08/01/2025,02:05,004.08681,00077.754,00076.280
249,08/01/2025,02:25,004.10069,00077.440,00076.260
250,08/01/2025,02:45,004.11458,00078.103,00076.236
251,08/01/2025,03:05,004.12847,00077.039,00076.211
252,08/01/2025,03:25,004.14236,00077.186,00076.180
253,08/01/2025,03:45,004.15625,00075.548,00076.149
254,08/01/2025,04:05,004.17014,00075.580,00076.108
255,08/01/2025,04:25,004.18403,00075.319,00076.067
256,08/01/2025,04:45,004.19792,00075.008,00076.023
257,08/01/2025,05:05,004.21181,00074.885,00075.977
