LumiCycle: 7B-SCNcM2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,07/28/2025,15:55,000.66319,00155.191,00152.128
1,07/28/2025,16:15,000.67708,00150.168,00151.607
2,07/28/2025,16:35,000.69097,00145.357,00151.058
3,07/28/2025,16:55,000.70486,00141.418,00150.476
4,07/28/2025,17:15,000.71875,00140.140,00149.819
5,07/28/2025,17:35,000.73264,00140.121,00149.141
6,07/28/2025,17:55,000.74653,00143.177,00148.399
7,07/28/2025,18:15,000.76042,00147.166,00147.642
8,07/28/2025,18:35,000.77431,00152.135,00146.848
9,07/28/2025,18:55,000.78819,00158.183,00146.041
10,07/28/2025,19:15,000.80208,00162.965,00145.265
11,07/28/2025,19:35,000.81597,00168.104,00144.484
12,07/28/2025,19:55,000.82986,00172.202,00143.736
13,07/28/2025,20:15,000.84375,00175.410,00142.981
14,07/28/2025,20:35,000.85764,00176.864,00142.258
15,07/28/2025,20:55,000.87153,00177.517,00141.549
16,07/28/2025,21:15,000.88542,00175.769,00140.884
17,07/28/2025,21:35,000.89931,00172.841,00140.252
18,07/28/2025,21:55,000.91319,00169.600,00139.631
19,07/28/2025,22:15,000.92708,00167.275,00139.012
20,07/28/2025,22:35,000.94097,00164.408,00138.393
21,07/28/2025,22:55,000.95486,00160.487,00137.803
22,07/28/2025,23:15,000.96875,00156.282,00137.224
23,07/28/2025,23:35,000.98264,00152.060,00136.661
24,07/28/2025,23:55,000.99653,00147.756,00136.125
25,07/29/2025,00:15,001.01042,00143.573,00135.625
26,07/29/2025,00:35,001.02431,00139.419,00135.149
27,07/29/2025,00:55,001.03819,00135.913,00134.680
28,07/29/2025,01:15,001.05208,00133.099,00134.215
29,07/29/2025,01:35,001.06597,00129.628,00133.798
30,07/29/2025,01:55,001.07986,00126.420,00133.400
31,07/29/2025,02:15,001.09375,00123.875,00133.028
32,07/29/2025,02:35,001.10764,00120.475,00132.680
33,07/29/2025,02:55,001.12153,00117.405,00132.358
34,07/29/2025,03:15,001.13542,00115.738,00132.023
35,07/29/2025,03:35,001.14931,00114.330,00131.716
36,07/29/2025,03:55,001.16319,00113.740,00131.414
37,07/29/2025,04:15,001.17708,00111.933,00131.216
38,07/29/2025,04:35,001.19097,00110.480,00131.104
39,07/29/2025,04:55,001.20486,00107.923,00131.081
40,07/29/2025,05:15,001.21875,00107.721,00131.051
41,07/29/2025,05:35,001.23264,00106.284,00131.056
42,07/29/2025,05:55,001.24653,00106.248,00131.011
43,07/29/2025,06:15,001.26042,00104.556,00130.952
44,07/29/2025,06:35,001.27431,00104.748,00130.799
45,07/29/2025,06:55,001.28819,00105.623,00130.550
46,07/29/2025,07:15,001.30208,00105.678,00130.233
47,07/29/2025,07:35,001.31597,00106.916,00129.814
48,07/29/2025,07:55,001.32986,00105.541,00129.359
49,07/29/2025,08:15,001.34375,00106.060,00128.825
50,07/29/2025,08:35,001.35764,00106.226,00128.258
51,07/29/2025,08:55,001.37153,00106.911,00127.663
52,07/29/2025,09:15,001.38542,00107.978,00127.062
53,07/29/2025,09:35,001.39931,00108.494,00126.504
54,07/29/2025,09:55,001.41319,00109.517,00125.951
55,07/29/2025,10:15,001.42708,00109.002,00125.437
56,07/29/2025,10:35,001.44097,00109.995,00124.904
57,07/29/2025,10:55,001.45486,00110.448,00124.421
58,07/29/2025,11:15,001.46875,00111.523,00123.956
59,07/29/2025,11:35,001.48264,00113.404,00123.521
60,07/29/2025,11:55,001.49653,00116.034,00123.109
61,07/29/2025,12:15,001.51042,00117.673,00122.756
62,07/29/2025,12:35,001.52431,00118.841,00122.451
63,07/29/2025,12:55,001.53819,00119.835,00122.181
64,07/29/2025,13:15,001.55208,00122.519,00121.908
65,07/29/2025,13:35,001.56597,00124.122,00121.683
66,07/29/2025,13:55,001.57986,00126.668,00121.456
67,07/29/2025,14:15,001.59375,00127.378,00121.282
68,07/29/2025,14:35,001.60764,00129.589,00121.110
69,07/29/2025,14:55,001.62153,00130.106,00121.007
70,07/29/2025,15:15,001.63542,00132.293,00120.887
71,07/29/2025,15:35,001.64931,00133.433,00120.782
72,07/29/2025,15:55,001.66319,00134.540,00120.669
73,07/29/2025,16:15,001.67708,00135.998,00120.561
74,07/29/2025,16:35,001.69097,00137.289,00120.482
75,07/29/2025,16:55,001.70486,00137.824,00120.442
76,07/29/2025,17:15,001.71875,00139.078,00120.390
77,07/29/2025,17:35,001.73264,00139.955,00120.353
78,07/29/2025,17:55,001.74653,00141.363,00120.300
79,07/29/2025,18:15,001.76042,00141.624,00120.292
