LumiCycle: 1A-1FSCN (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:10,000.71528,00102.334,00095.165
1,08/11/2025,17:30,000.72917,00097.421,00094.838
2,08/11/2025,17:50,000.74306,00092.079,00094.501
3,08/11/2025,18:10,000.75694,00087.651,00094.150
4,08/11/2025,18:30,000.77083,00084.618,00093.770
5,08/11/2025,18:50,000.78472,00084.806,00093.352
6,08/11/2025,19:10,000.79861,00086.066,00092.911
7,08/11/2025,19:30,000.81250,00088.604,00092.443
8,08/11/2025,19:50,000.82639,00090.115,00091.990
9,08/11/2025,20:10,000.84028,00092.180,00091.520
10,08/11/2025,20:30,000.85417,00093.397,00091.074
11,08/11/2025,20:50,000.86806,00095.372,00090.605
12,08/11/2025,21:10,000.88194,00096.213,00090.157
13,08/11/2025,21:30,000.89583,00096.864,00089.698
14,08/11/2025,21:50,000.90972,00097.671,00089.234
15,08/11/2025,22:10,000.92361,00098.110,00088.784
16,08/11/2025,22:30,000.93750,00097.411,00088.362
17,08/11/2025,22:50,000.95139,00095.720,00087.958
18,08/11/2025,23:10,000.96528,00094.841,00087.543
19,08/11/2025,23:30,000.97917,00093.716,00087.128
20,08/11/2025,23:50,000.99306,00092.692,00086.709
21,08/12/2025,00:10,001.00694,00091.136,00086.301
22,08/12/2025,00:30,001.02083,00089.382,00085.909
23,08/12/2025,00:50,001.03472,00088.205,00085.518
24,08/12/2025,01:10,001.04861,00087.579,00085.133
25,08/12/2025,01:30,001.06250,00086.249,00084.757
26,08/12/2025,01:50,001.07639,00085.976,00084.368
27,08/12/2025,02:10,001.09028,00083.346,00084.020
28,08/12/2025,02:30,001.10417,00082.002,00083.659
29,08/12/2025,02:50,001.11806,00080.600,00083.304
30,08/12/2025,03:10,001.13194,00079.321,00082.949
31,08/12/2025,03:30,001.14583,00078.816,00082.595
32,08/12/2025,03:50,001.15972,00077.314,00082.269
33,08/12/2025,04:10,001.17361,00076.765,00081.938
34,08/12/2025,04:30,001.18750,00075.976,00081.622
35,08/12/2025,04:50,001.20139,00074.981,00081.315
36,08/12/2025,05:10,001.21528,00074.626,00081.010
37,08/12/2025,05:30,001.22917,00073.879,00080.722
38,08/12/2025,05:50,001.24306,00072.755,00080.516
39,08/12/2025,06:10,001.25694,00072.663,00080.374
40,08/12/2025,06:30,001.27083,00071.918,00080.294
41,08/12/2025,06:50,001.28472,00072.419,00080.251
42,08/12/2025,07:10,001.29861,00071.849,00080.217
43,08/12/2025,07:30,001.31250,00071.144,00080.174
44,08/12/2025,07:50,001.32639,00071.227,00080.081
45,08/12/2025,08:10,001.34028,00070.568,00079.982
46,08/12/2025,08:30,001.35417,00071.421,00079.825
47,08/12/2025,08:50,001.36806,00070.591,00079.684
48,08/12/2025,09:10,001.38194,00070.931,00079.490
49,08/12/2025,09:30,001.39583,00069.937,00079.313
50,08/12/2025,09:50,001.40972,00069.739,00079.114
51,08/12/2025,10:10,001.42361,00070.354,00078.895
52,08/12/2025,10:30,001.43750,00071.271,00078.654
53,08/12/2025,10:50,001.45139,00071.527,00078.429
54,08/12/2025,11:10,001.46528,00071.569,00078.224
55,08/12/2025,11:30,001.47917,00071.358,00078.024
56,08/12/2025,11:50,001.49306,00071.086,00077.838
57,08/12/2025,12:10,001.50694,00071.399,00077.642
58,08/12/2025,12:30,001.52083,00072.357,00077.447
59,08/12/2025,12:50,001.53472,00073.066,00077.276
60,08/12/2025,13:10,001.54861,00073.979,00077.116
61,08/12/2025,13:30,001.56250,00073.928,00076.971
62,08/12/2025,13:50,001.57639,00074.038,00076.839
63,08/12/2025,14:10,001.59028,00074.633,00076.694
64,08/12/2025,14:30,001.60417,00074.993,00076.581
65,08/12/2025,14:50,001.61806,00075.381,00076.470
66,08/12/2025,15:10,001.63194,00075.489,00076.380
67,08/12/2025,15:30,001.64583,00076.331,00076.287
68,08/12/2025,15:50,001.65972,00077.358,00076.191
69,08/12/2025,16:10,001.67361,00077.960,00076.111
70,08/12/2025,16:30,001.68750,00078.813,00076.030
71,08/12/2025,16:50,001.70139,00079.235,00075.961
72,08/12/2025,17:10,001.71528,00080.027,00075.898
73,08/12/2025,17:30,001.72917,00080.823,00075.832
74,08/12/2025,17:50,001.74306,00081.519,00075.780
75,08/12/2025,18:10,001.75694,00081.735,00075.748
76,08/12/2025,18:30,001.77083,00081.118,00075.736
77,08/12/2025,18:50,001.78472,00082.022,00075.704
78,08/12/2025,19:10,001.79861,00081.802,00075.689
79,08/12/2025,19:30,001.81250,00082.247,00075.653
80,08/12/2025,19:50,001.82639,00082.032,00075.645
81,08/12/2025,20:10,001.84028,00082.291,00075.621
82,08/12/2025,20:30,001.85417,00081.756,00075.618
83,08/12/2025,20:50,001.86806,00082.451,00075.582
84,08/12/2025,21:10,001.88194,00081.712,00075.584
85,08/12/2025,21:30,001.89583,00082.446,00075.561
86,08/12/2025,21:50,001.90972,00082.332,00075.558
87,08/12/2025,22:10,001.92361,00082.541,00075.557
88,08/12/2025,22:30,001.93750,00081.705,00075.564
89,08/12/2025,22:50,001.95139,00081.465,00075.552
90,08/12/2025,23:10,001.96528,00081.005,00075.545
91,08/12/2025,23:30,001.97917,00080.246,00075.536
92,08/12/2025,23:50,001.99306,00079.991,00075.525
93,08/13/2025,00:10,002.00694,00078.942,00075.535
94,08/13/2025,00:30,002.02083,00078.022,00075.551
95,08/13/2025,00:50,002.03472,00077.762,00075.547
96,08/13/2025,01:10,002.04861,00077.627,00075.542
97,08/13/2025,01:30,002.06250,00077.061,00075.526
98,08/13/2025,01:50,002.07639,00076.912,00075.525
99,08/13/2025,02:10,002.09028,00076.066,00075.524
100,08/13/2025,02:30,002.10417,00075.606,00075.527
101,08/13/2025,02:50,002.11806,00074.410,00075.529
102,08/13/2025,03:10,002.13194,00074.215,00075.530
103,08/13/2025,03:30,002.14583,00073.446,00075.536
104,08/13/2025,03:50,002.15972,00072.917,00075.527
105,08/13/2025,04:10,002.17361,00072.191,00075.509
106,08/13/2025,04:30,002.18750,00071.753,00075.477
107,08/13/2025,04:50,002.20139,00071.491,00075.451
108,08/13/2025,05:10,002.21528,00071.210,00075.430
109,08/13/2025,05:30,002.22917,00070.674,00075.408
110,08/13/2025,05:50,002.24306,00070.801,00075.367
111,08/13/2025,06:10,002.25694,00070.715,00075.316
112,08/13/2025,06:30,002.27083,00071.150,00075.266
113,08/13/2025,06:50,002.28472,00070.532,00075.241
114,08/13/2025,07:10,002.29861,00071.123,00075.194
115,08/13/2025,07:30,002.31250,00069.697,00075.188
116,08/13/2025,07:50,002.32639,00070.347,00075.143
117,08/13/2025,08:10,002.34028,00069.781,00075.124
118,08/13/2025,08:30,002.35417,00069.798,00075.096
119,08/13/2025,08:50,002.36806,00069.535,00075.090
120,08/13/2025,09:10,002.38194,00069.948,00075.061
121,08/13/2025,09:30,002.39583,00070.047,00075.044
122,08/13/2025,09:50,002.40972,00069.605,00075.023
123,08/13/2025,10:10,002.42361,00069.885,00074.984
124,08/13/2025,10:30,002.43750,00070.010,00074.942
125,08/13/2025,10:50,002.45139,00070.167,00074.910
126,08/13/2025,11:10,002.46528,00070.542,00074.877
127,08/13/2025,11:30,002.47917,00070.168,00074.863
128,08/13/2025,11:50,002.49306,00070.319,00074.850
129,08/13/2025,12:10,002.50694,00070.783,00074.829
130,08/13/2025,12:30,002.52083,00071.625,00074.815
131,08/13/2025,12:50,002.53472,00071.771,00074.810
132,08/13/2025,13:10,002.54861,00072.627,00074.799
133,08/13/2025,13:30,002.56250,00072.266,00074.798
134,08/13/2025,13:50,002.57639,00073.651,00074.779
135,08/13/2025,14:10,002.59028,00073.159,00074.784
136,08/13/2025,14:30,002.60417,00074.380,00074.785
137,08/13/2025,14:50,002.61806,00073.966,00074.812
138,08/13/2025,15:10,002.63194,00075.197,00074.829
139,08/13/2025,15:30,002.64583,00075.163,00074.856
140,08/13/2025,15:50,002.65972,00075.186,00074.887
141,08/13/2025,16:10,002.67361,00075.335,00074.920
142,08/13/2025,16:30,002.68750,00075.192,00074.960
143,08/13/2025,16:50,002.70139,00076.692,00074.970
144,08/13/2025,17:10,002.71528,00077.416,00074.990
145,08/13/2025,17:30,002.72917,00077.908,00075.015
146,08/13/2025,17:50,002.74306,00077.996,00075.047
147,08/13/2025,18:10,002.75694,00077.752,00075.078
148,08/13/2025,18:30,002.77083,00078.589,00075.094
149,08/13/2025,18:50,002.78472,00078.736,00075.115
150,08/13/2025,19:10,002.79861,00079.215,00075.132
151,08/13/2025,19:30,002.81250,00079.911,00075.138
152,08/13/2025,19:50,002.82639,00079.660,00075.176
153,08/13/2025,20:10,002.84028,00080.138,00075.195
154,08/13/2025,20:30,002.85417,00080.241,00075.227
155,08/13/2025,20:50,002.86806,00081.098,00075.244
156,08/13/2025,21:10,002.88194,00080.794,00075.274
157,08/13/2025,21:30,002.89583,00080.579,00075.294
158,08/13/2025,21:50,002.90972,00080.507,00075.305
159,08/13/2025,22:10,002.92361,00079.807,00075.327
160,08/13/2025,22:30,002.93750,00079.586,00075.339
161,08/13/2025,22:50,002.95139,00079.577,00075.356
162,08/13/2025,23:10,002.96528,00079.467,00075.371
163,08/13/2025,23:30,002.97917,00079.660,00075.388
164,08/13/2025,23:50,002.99306,00079.391,00075.419
165,08/14/2025,00:10,003.00694,00078.946,00075.451
166,08/14/2025,00:30,003.02083,00078.792,00075.474
167,08/14/2025,00:50,003.03472,00077.812,00075.501
168,08/14/2025,01:10,003.04861,00077.831,00075.514
169,08/14/2025,01:30,003.06250,00077.200,00075.517
170,08/14/2025,01:50,003.07639,00077.086,00075.527
171,08/14/2025,02:10,003.09028,00076.778,00075.528
172,08/14/2025,02:30,003.10417,00077.320,00075.534
173,08/14/2025,02:50,003.11806,00077.171,00075.535
174,08/14/2025,03:10,003.13194,00076.866,00075.551
175,08/14/2025,03:30,003.14583,00076.143,00075.560
176,08/14/2025,03:50,003.15972,00075.712,00075.565
177,08/14/2025,04:10,003.17361,00075.431,00075.577
178,08/14/2025,04:30,003.18750,00074.929,00075.588
179,08/14/2025,04:50,003.20139,00073.985,00075.614
180,08/14/2025,05:10,003.21528,00073.629,00075.613
181,08/14/2025,05:30,003.22917,00073.463,00075.609
182,08/14/2025,05:50,003.24306,00073.100,00075.618
183,08/14/2025,06:10,003.25694,00072.775,00075.630
184,08/14/2025,06:30,003.27083,00072.716,00075.645
185,08/14/2025,06:50,003.28472,00072.777,00075.652
186,08/14/2025,07:10,003.29861,00072.275,00075.675
187,08/14/2025,07:30,003.31250,00072.261,00075.691
188,08/14/2025,07:50,003.32639,00072.159,00075.707
189,08/14/2025,08:10,003.34028,00072.197,00075.723
190,08/14/2025,08:30,003.35417,00072.166,00075.737
191,08/14/2025,08:50,003.36806,00071.931,00075.749
192,08/14/2025,09:10,003.38194,00071.384,00075.756
193,08/14/2025,09:30,003.39583,00071.144,00075.751
194,08/14/2025,09:50,003.40972,00070.769,00075.760
195,08/14/2025,10:10,003.42361,00070.485,00075.762
196,08/14/2025,10:30,003.43750,00070.568,00075.778
197,08/14/2025,10:50,003.45139,00071.189,00075.785
198,08/14/2025,11:10,003.46528,00071.156,00075.815
