LumiCycle: 1B-2MSCN (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:00,000.70833,00125.218,00114.830
1,08/11/2025,17:20,000.72222,00114.125,00114.600
2,08/11/2025,17:40,000.73611,00106.183,00114.330
3,08/11/2025,18:00,000.75000,00097.999,00114.061
4,08/11/2025,18:20,000.76389,00096.289,00113.700
5,08/11/2025,18:40,000.77778,00096.217,00113.306
6,08/11/2025,19:00,000.79167,00097.118,00112.901
7,08/11/2025,19:20,000.80556,00098.816,00112.479
8,08/11/2025,19:40,000.81944,00101.240,00112.057
9,08/11/2025,20:00,000.83333,00104.234,00111.616
10,08/11/2025,20:20,000.84722,00106.485,00111.192
11,08/11/2025,20:40,000.86111,00108.692,00110.759
12,08/11/2025,21:00,000.87500,00110.341,00110.333
13,08/11/2025,21:20,000.88889,00110.720,00109.918
14,08/11/2025,21:40,000.90278,00111.790,00109.502
15,08/11/2025,22:00,000.91667,00111.845,00109.093
16,08/11/2025,22:20,000.93056,00112.252,00108.682
17,08/11/2025,22:40,000.94444,00111.831,00108.284
18,08/11/2025,23:00,000.95833,00111.979,00107.875
19,08/11/2025,23:20,000.97222,00110.810,00107.481
20,08/11/2025,23:40,000.98611,00109.604,00107.079
21,08/12/2025,00:00,001.00000,00108.152,00106.689
22,08/12/2025,00:20,001.01389,00106.638,00106.309
23,08/12/2025,00:40,001.02778,00105.350,00105.927
24,08/12/2025,01:00,001.04167,00104.903,00105.544
25,08/12/2025,01:20,001.05556,00104.009,00105.174
26,08/12/2025,01:40,001.06944,00103.592,00104.784
27,08/12/2025,02:00,001.08333,00102.580,00104.416
28,08/12/2025,02:20,001.09722,00101.436,00104.044
29,08/12/2025,02:40,001.11111,00101.378,00103.669
30,08/12/2025,03:00,001.12500,00100.108,00103.308
31,08/12/2025,03:20,001.13889,00100.011,00102.930
32,08/12/2025,03:40,001.15278,00099.481,00102.551
33,08/12/2025,04:00,001.16667,00099.201,00102.172
34,08/12/2025,04:20,001.18056,00098.339,00101.834
35,08/12/2025,04:40,001.19444,00098.356,00101.478
36,08/12/2025,05:00,001.20833,00097.791,00101.141
37,08/12/2025,05:20,001.22222,00097.598,00100.792
38,08/12/2025,05:40,001.23611,00097.851,00100.604
39,08/12/2025,06:00,001.25000,00097.635,00100.536
40,08/12/2025,06:20,001.26389,00097.519,00100.591
41,08/12/2025,06:40,001.27778,00096.807,00100.676
42,08/12/2025,07:00,001.29167,00096.946,00100.754
43,08/12/2025,07:20,001.30556,00096.529,00100.817
44,08/12/2025,07:40,001.31944,00097.261,00100.840
45,08/12/2025,08:00,001.33333,00096.448,00100.855
46,08/12/2025,08:20,001.34722,00096.918,00100.808
47,08/12/2025,08:40,001.36111,00096.281,00100.754
48,08/12/2025,09:00,001.37500,00096.151,00100.660
49,08/12/2025,09:20,001.38889,00095.762,00100.550
50,08/12/2025,09:40,001.40278,00096.347,00100.406
51,08/12/2025,10:00,001.41667,00095.773,00100.262
52,08/12/2025,10:20,001.43056,00096.041,00100.105
53,08/12/2025,10:40,001.44444,00096.166,00099.945
54,08/12/2025,11:00,001.45833,00095.920,00099.795
55,08/12/2025,11:20,001.47222,00095.698,00099.640
56,08/12/2025,11:40,001.48611,00095.066,00099.493
57,08/12/2025,12:00,001.50000,00095.631,00099.342
58,08/12/2025,12:20,001.51389,00096.337,00099.204
59,08/12/2025,12:40,001.52778,00096.456,00099.090
60,08/12/2025,13:00,001.54167,00097.164,00098.991
61,08/12/2025,13:20,001.55556,00097.747,00098.898
62,08/12/2025,13:40,001.56944,00096.721,00098.836
63,08/12/2025,14:00,001.58333,00097.661,00098.747
64,08/12/2025,14:20,001.59722,00097.325,00098.675
65,08/12/2025,14:40,001.61111,00098.166,00098.600
66,08/12/2025,15:00,001.62500,00097.946,00098.546
67,08/12/2025,15:20,001.63889,00097.914,00098.503
68,08/12/2025,15:40,001.65278,00097.414,00098.466
69,08/12/2025,16:00,001.66667,00097.601,00098.423
70,08/12/2025,16:20,001.68056,00100.024,00098.352
71,08/12/2025,16:40,001.69444,00099.624,00098.328
72,08/12/2025,17:00,001.70833,00100.395,00098.283
73,08/12/2025,17:20,001.72222,00099.866,00098.258
74,08/12/2025,17:40,001.73611,00100.846,00098.211
75,08/12/2025,18:00,001.75000,00101.067,00098.177
76,08/12/2025,18:20,001.76389,00101.871,00098.130
77,08/12/2025,18:40,001.77778,00101.692,00098.103
78,08/12/2025,19:00,001.79167,00101.934,00098.078
79,08/12/2025,19:20,001.80556,00101.263,00098.054
80,08/12/2025,19:40,001.81944,00101.228,00098.032
81,08/12/2025,20:00,001.83333,00101.470,00098.001
82,08/12/2025,20:20,001.84722,00101.360,00097.991
83,08/12/2025,20:40,001.86111,00101.927,00097.962
84,08/12/2025,21:00,001.87500,00101.797,00097.953
85,08/12/2025,21:20,001.88889,00102.031,00097.950
86,08/12/2025,21:40,001.90278,00100.934,00097.967
87,08/12/2025,22:00,001.91667,00100.896,00097.959
88,08/12/2025,22:20,001.93056,00100.742,00097.955
89,08/12/2025,22:40,001.94444,00100.866,00097.954
90,08/12/2025,23:00,001.95833,00100.840,00097.961
91,08/12/2025,23:20,001.97222,00100.562,00097.974
92,08/12/2025,23:40,001.98611,00099.579,00097.999
93,08/13/2025,00:00,002.00000,00099.302,00098.034
94,08/13/2025,00:20,002.01389,00098.904,00098.061
95,08/13/2025,00:40,002.02778,00098.617,00098.083
96,08/13/2025,01:00,002.04167,00098.896,00098.098
97,08/13/2025,01:20,002.05556,00098.801,00098.108
98,08/13/2025,01:40,002.06944,00098.517,00098.115
99,08/13/2025,02:00,002.08333,00098.083,00098.152
100,08/13/2025,02:20,002.09722,00097.065,00098.201
101,08/13/2025,02:40,002.11111,00096.888,00098.244
102,08/13/2025,03:00,002.12500,00097.318,00098.281
103,08/13/2025,03:20,002.13889,00096.918,00098.327
104,08/13/2025,03:40,002.15278,00096.878,00098.367
105,08/13/2025,04:00,002.16667,00096.598,00098.420
106,08/13/2025,04:20,002.18056,00096.468,00098.481
107,08/13/2025,04:40,002.19444,00096.199,00098.510
108,08/13/2025,05:00,002.20833,00095.889,00098.543
109,08/13/2025,05:20,002.22222,00095.498,00098.566
110,08/13/2025,05:40,002.23611,00095.179,00098.607
111,08/13/2025,06:00,002.25000,00095.631,00098.630
112,08/13/2025,06:20,002.26389,00095.042,00098.666
113,08/13/2025,06:40,002.27778,00095.370,00098.682
114,08/13/2025,07:00,002.29167,00095.286,00098.711
115,08/13/2025,07:20,002.30556,00094.544,00098.736
116,08/13/2025,07:40,002.31944,00094.887,00098.764
117,08/13/2025,08:00,002.33333,00095.310,00098.795
118,08/13/2025,08:20,002.34722,00095.607,00098.824
119,08/13/2025,08:40,002.36111,00095.363,00098.861
120,08/13/2025,09:00,002.37500,00095.527,00098.870
121,08/13/2025,09:20,002.38889,00096.145,00098.860
122,08/13/2025,09:40,002.40278,00095.934,00098.872
123,08/13/2025,10:00,002.41667,00095.704,00098.908
124,08/13/2025,10:20,002.43056,00095.371,00098.943
125,08/13/2025,10:40,002.44444,00096.096,00098.957
126,08/13/2025,11:00,002.45833,00096.629,00098.965
127,08/13/2025,11:20,002.47222,00096.558,00098.982
128,08/13/2025,11:40,002.48611,00096.543,00099.003
129,08/13/2025,12:00,002.50000,00097.278,00099.030
130,08/13/2025,12:20,002.51389,00097.174,00099.063
131,08/13/2025,12:40,002.52778,00097.617,00099.090
132,08/13/2025,13:00,002.54167,00097.818,00099.113
133,08/13/2025,13:20,002.55556,00097.835,00099.128
134,08/13/2025,13:40,002.56944,00097.960,00099.149
135,08/13/2025,14:00,002.58333,00098.965,00099.169
136,08/13/2025,14:20,002.59722,00100.148,00099.189
137,08/13/2025,14:40,002.61111,00100.232,00099.228
138,08/13/2025,15:00,002.62500,00101.283,00099.255
139,08/13/2025,15:20,002.63889,00100.866,00099.293
140,08/13/2025,15:40,002.65278,00100.764,00099.335
141,08/13/2025,16:00,002.66667,00100.911,00099.360
142,08/13/2025,16:20,002.68056,00101.868,00099.374
143,08/13/2025,16:40,002.69444,00101.812,00099.401
144,08/13/2025,17:00,002.70833,00101.714,00099.439
145,08/13/2025,17:20,002.72222,00101.688,00099.474
146,08/13/2025,17:40,002.73611,00102.450,00099.498
147,08/13/2025,18:00,002.75000,00102.948,00099.535
148,08/13/2025,18:20,002.76389,00103.083,00099.560
149,08/13/2025,18:40,002.77778,00103.357,00099.584
150,08/13/2025,19:00,002.79167,00103.697,00099.597
151,08/13/2025,19:20,002.80556,00102.984,00099.629
152,08/13/2025,19:40,002.81944,00103.631,00099.664
