LumiCycle: 1C-3FSCN (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:07,000.71319,00260.295,00211.570
1,08/11/2025,17:27,000.72708,00245.411,00209.195
2,08/11/2025,17:47,000.74097,00224.849,00206.872
3,08/11/2025,18:07,000.75486,00202.907,00204.519
4,08/11/2025,18:27,000.76875,00186.157,00202.072
5,08/11/2025,18:47,000.78264,00175.892,00199.518
6,08/11/2025,19:07,000.79653,00173.889,00196.826
7,08/11/2025,19:27,000.81042,00174.606,00194.087
8,08/11/2025,19:47,000.82431,00180.512,00191.260
9,08/11/2025,20:07,000.83819,00187.149,00188.425
10,08/11/2025,20:27,000.85208,00194.078,00185.595
11,08/11/2025,20:47,000.86597,00199.522,00182.787
12,08/11/2025,21:07,000.87986,00205.342,00179.999
13,08/11/2025,21:27,000.89375,00208.114,00177.263
14,08/11/2025,21:47,000.90764,00210.581,00174.552
15,08/11/2025,22:07,000.92153,00208.956,00171.927
16,08/11/2025,22:27,000.93542,00206.560,00169.336
17,08/11/2025,22:47,000.94931,00201.778,00166.807
18,08/11/2025,23:07,000.96319,00195.811,00164.333
19,08/11/2025,23:27,000.97708,00188.672,00161.917
20,08/11/2025,23:47,000.99097,00180.629,00159.564
21,08/12/2025,00:07,001.00486,00173.212,00157.243
22,08/12/2025,00:27,001.01875,00164.982,00154.974
23,08/12/2025,00:47,001.03264,00155.571,00152.750
24,08/12/2025,01:07,001.04653,00146.871,00150.558
25,08/12/2025,01:27,001.06042,00139.333,00148.396
26,08/12/2025,01:47,001.07431,00132.189,00146.284
27,08/12/2025,02:07,001.08819,00125.827,00144.206
28,08/12/2025,02:27,001.10208,00119.260,00142.194
29,08/12/2025,02:47,001.11597,00113.329,00140.216
30,08/12/2025,03:07,001.12986,00107.658,00138.276
31,08/12/2025,03:27,001.14375,00101.482,00136.379
32,08/12/2025,03:47,001.15764,00096.347,00134.523
33,08/12/2025,04:07,001.17153,00090.610,00132.746
34,08/12/2025,04:27,001.18542,00085.544,00131.006
35,08/12/2025,04:47,001.19931,00081.325,00129.293
36,08/12/2025,05:07,001.21319,00077.453,00127.608
37,08/12/2025,05:27,001.22708,00074.388,00125.959
38,08/12/2025,05:47,001.24097,00072.496,00124.523
39,08/12/2025,06:07,001.25486,00068.919,00123.425
40,08/12/2025,06:27,001.26875,00067.401,00122.616
41,08/12/2025,06:47,001.28264,00066.105,00122.059
42,08/12/2025,07:07,001.29653,00064.462,00121.659
43,08/12/2025,07:27,001.31042,00063.859,00121.274
44,08/12/2025,07:47,001.32431,00062.622,00120.887
45,08/12/2025,08:07,001.33819,00062.842,00120.394
46,08/12/2025,08:27,001.35208,00063.424,00119.783
47,08/12/2025,08:47,001.36597,00063.613,00119.067
48,08/12/2025,09:07,001.37986,00065.346,00118.224
49,08/12/2025,09:27,001.39375,00066.056,00117.291
50,08/12/2025,09:47,001.40764,00067.577,00116.272
51,08/12/2025,10:07,001.42153,00069.701,00115.165
52,08/12/2025,10:27,001.43542,00071.343,00114.034
53,08/12/2025,10:47,001.44931,00073.445,00112.896
54,08/12/2025,11:07,001.46319,00076.156,00111.757
55,08/12/2025,11:27,001.47708,00079.230,00110.641
56,08/12/2025,11:47,001.49097,00082.845,00109.549
57,08/12/2025,12:07,001.50486,00085.750,00108.529
58,08/12/2025,12:27,001.51875,00088.724,00107.566
59,08/12/2025,12:47,001.53264,00090.704,00106.683
60,08/12/2025,13:07,001.54653,00093.798,00105.855
61,08/12/2025,13:27,001.56042,00097.097,00105.095
62,08/12/2025,13:47,001.57431,00101.048,00104.367
63,08/12/2025,14:07,001.58819,00104.323,00103.697
64,08/12/2025,14:27,001.60208,00108.857,00103.053
65,08/12/2025,14:47,001.61597,00111.965,00102.486
66,08/12/2025,15:07,001.62986,00114.951,00101.951
67,08/12/2025,15:27,001.64375,00117.566,00101.462
68,08/12/2025,15:47,001.65764,00121.531,00101.005
69,08/12/2025,16:07,001.67153,00126.594,00100.559
70,08/12/2025,16:27,001.68542,00129.943,00100.189
71,08/12/2025,16:47,001.69931,00132.768,00099.866
72,08/12/2025,17:07,001.71319,00135.068,00099.602
73,08/12/2025,17:27,001.72708,00138.490,00099.364
74,08/12/2025,17:47,001.74097,00140.137,00099.176
75,08/12/2025,18:07,001.75486,00142.215,00098.990
76,08/12/2025,18:27,001.76875,00143.169,00098.863
77,08/12/2025,18:47,001.78264,00144.734,00098.730
78,08/12/2025,19:07,001.79653,00145.488,00098.618
79,08/12/2025,19:27,001.81042,00145.527,00098.526
80,08/12/2025,19:47,001.82431,00145.536,00098.450
81,08/12/2025,20:07,001.83819,00145.214,00098.409
82,08/12/2025,20:27,001.85208,00143.743,00098.395
83,08/12/2025,20:47,001.86597,00142.729,00098.374
84,08/12/2025,21:07,001.87986,00140.540,00098.387
85,08/12/2025,21:27,001.89375,00138.912,00098.379
86,08/12/2025,21:47,001.90764,00136.240,00098.404
87,08/12/2025,22:07,001.92153,00133.003,00098.428
88,08/12/2025,22:27,001.93542,00129.162,00098.459
89,08/12/2025,22:47,001.94931,00126.740,00098.472
90,08/12/2025,23:07,001.96319,00122.474,00098.515
91,08/12/2025,23:27,001.97708,00118.541,00098.552
92,08/12/2025,23:47,001.99097,00113.678,00098.593
93,08/13/2025,00:07,002.00486,00110.081,00098.597
94,08/13/2025,00:27,002.01875,00106.860,00098.594
95,08/13/2025,00:47,002.03264,00103.322,00098.589
96,08/13/2025,01:07,002.04653,00099.081,00098.609
97,08/13/2025,01:27,002.06042,00095.427,00098.615
98,08/13/2025,01:47,002.07431,00090.901,00098.627
99,08/13/2025,02:07,002.08819,00087.214,00098.606
100,08/13/2025,02:27,002.10208,00083.987,00098.573
101,08/13/2025,02:47,002.11597,00081.541,00098.504
102,08/13/2025,03:07,002.12986,00077.837,00098.432
103,08/13/2025,03:27,002.14375,00075.024,00098.349
104,08/13/2025,03:47,002.15764,00072.569,00098.250
105,08/13/2025,04:07,002.17153,00069.297,00098.151
106,08/13/2025,04:27,002.18542,00067.289,00097.992
107,08/13/2025,04:47,002.19931,00065.095,00097.824
108,08/13/2025,05:07,002.21319,00064.634,00097.606
109,08/13/2025,05:27,002.22708,00063.771,00097.378
110,08/13/2025,05:47,002.24097,00062.473,00097.116
111,08/13/2025,06:07,002.25486,00061.160,00096.834
112,08/13/2025,06:27,002.26875,00060.743,00096.533
113,08/13/2025,06:47,002.28264,00059.392,00096.238
114,08/13/2025,07:07,002.29653,00058.772,00095.926
115,08/13/2025,07:27,002.31042,00057.916,00095.611
116,08/13/2025,07:47,002.32431,00058.379,00095.270
117,08/13/2025,08:07,002.33819,00059.359,00094.922
118,08/13/2025,08:27,002.35208,00060.335,00094.557
119,08/13/2025,08:47,002.36597,00060.938,00094.204
120,08/13/2025,09:07,002.37986,00062.317,00093.835
121,08/13/2025,09:27,002.39375,00063.205,00093.490
122,08/13/2025,09:47,002.40764,00065.115,00093.129
123,08/13/2025,10:07,002.42153,00066.135,00092.798
124,08/13/2025,10:27,002.43542,00068.075,00092.474
125,08/13/2025,10:47,002.44931,00069.878,00092.176
126,08/13/2025,11:07,002.46319,00072.245,00091.869
127,08/13/2025,11:27,002.47708,00074.912,00091.578
128,08/13/2025,11:47,002.49097,00077.297,00091.321
129,08/13/2025,12:07,002.50486,00079.503,00091.091
130,08/13/2025,12:27,002.51875,00082.315,00090.872
131,08/13/2025,12:47,002.53264,00084.871,00090.661
132,08/13/2025,13:07,002.54653,00087.850,00090.459
133,08/13/2025,13:27,002.56042,00090.642,00090.282
134,08/13/2025,13:47,002.57431,00093.375,00090.122
135,08/13/2025,14:07,002.58819,00095.865,00090.006
136,08/13/2025,14:27,002.60208,00098.724,00089.901
137,08/13/2025,14:47,002.61597,00101.460,00089.810
138,08/13/2025,15:07,002.62986,00103.061,00089.732
139,08/13/2025,15:27,002.64375,00106.138,00089.651
140,08/13/2025,15:47,002.65764,00108.044,00089.603
141,08/13/2025,16:07,002.67153,00111.123,00089.549
142,08/13/2025,16:27,002.68542,00113.104,00089.538
143,08/13/2025,16:47,002.69931,00115.661,00089.523
144,08/13/2025,17:07,002.71319,00116.592,00089.543
145,08/13/2025,17:27,002.72708,00117.801,00089.551
146,08/13/2025,17:47,002.74097,00118.358,00089.565
147,08/13/2025,18:07,002.75486,00118.524,00089.593
148,08/13/2025,18:27,002.76875,00120.127,00089.613
149,08/13/2025,18:47,002.78264,00120.521,00089.651
150,08/13/2025,19:07,002.79653,00121.702,00089.698
151,08/13/2025,19:27,002.81042,00121.899,00089.774
152,08/13/2025,19:47,002.82431,00121.491,00089.879
153,08/13/2025,20:07,002.83819,00121.428,00089.982
154,08/13/2025,20:27,002.85208,00119.906,00090.092
155,08/13/2025,20:47,002.86597,00118.918,00090.187
156,08/13/2025,21:07,002.87986,00117.569,00090.290
157,08/13/2025,21:27,002.89375,00116.609,00090.387
158,08/13/2025,21:47,002.90764,00114.820,00090.497
159,08/13/2025,22:07,002.92153,00113.395,00090.604
160,08/13/2025,22:27,002.93542,00111.611,00090.720
161,08/13/2025,22:47,002.94931,00109.546,00090.848
162,08/13/2025,23:07,002.96319,00106.988,00090.973
163,08/13/2025,23:27,002.97708,00104.214,00091.100
164,08/13/2025,23:47,002.99097,00102.423,00091.200
165,08/14/2025,00:07,003.00486,00099.284,00091.330
166,08/14/2025,00:27,003.01875,00097.105,00091.453
167,08/14/2025,00:47,003.03264,00094.233,00091.586
168,08/14/2025,01:07,003.04653,00091.758,00091.720
169,08/14/2025,01:27,003.06042,00089.177,00091.843
170,08/14/2025,01:47,003.07431,00086.587,00091.955
171,08/14/2025,02:07,003.08819,00085.046,00092.048
172,08/14/2025,02:27,003.10208,00082.549,00092.162
173,08/14/2025,02:47,003.11597,00080.193,00092.274
