LumiCycle: 2D-1FL2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:05,000.71181,00079.648,00082.467
1,08/11/2025,17:25,000.72569,00073.260,00082.624
2,08/11/2025,17:45,000.73958,00068.076,00082.760
3,08/11/2025,18:05,000.75347,00063.942,00082.878
4,08/11/2025,18:25,000.76736,00064.023,00082.939
5,08/11/2025,18:45,000.78125,00067.775,00082.945
6,08/11/2025,19:05,000.79514,00072.759,00082.934
7,08/11/2025,19:25,000.80903,00077.993,00082.920
8,08/11/2025,19:45,000.82292,00083.703,00082.892
9,08/11/2025,20:05,000.83681,00087.650,00082.895
10,08/11/2025,20:25,000.85069,00089.957,00082.929
11,08/11/2025,20:45,000.86458,00091.371,00082.971
12,08/11/2025,21:05,000.87847,00091.915,00083.019
13,08/11/2025,21:25,000.89236,00092.356,00083.059
14,08/11/2025,21:45,000.90625,00092.427,00083.091
15,08/11/2025,22:05,000.92014,00092.062,00083.125
16,08/11/2025,22:25,000.93403,00092.238,00083.153
17,08/11/2025,22:45,000.94792,00092.323,00083.175
18,08/11/2025,23:05,000.96181,00092.035,00083.197
19,08/11/2025,23:25,000.97569,00091.354,00083.220
20,08/11/2025,23:45,000.98958,00091.817,00083.230
21,08/12/2025,00:05,001.00347,00091.416,00083.256
22,08/12/2025,00:25,001.01736,00091.027,00083.277
23,08/12/2025,00:45,001.03125,00089.694,00083.305
24,08/12/2025,01:05,001.04514,00089.349,00083.315
25,08/12/2025,01:25,001.05903,00089.530,00083.322
26,08/12/2025,01:45,001.07292,00089.412,00083.321
27,08/12/2025,02:05,001.08681,00089.034,00083.312
28,08/12/2025,02:25,001.10069,00088.002,00083.309
29,08/12/2025,02:45,001.11458,00087.740,00083.288
30,08/12/2025,03:05,001.12847,00086.539,00083.299
31,08/12/2025,03:25,001.14236,00085.424,00083.311
32,08/12/2025,03:45,001.15625,00084.934,00083.303
33,08/12/2025,04:05,001.17014,00084.266,00083.287
34,08/12/2025,04:25,001.18403,00085.256,00083.253
35,08/12/2025,04:45,001.19792,00084.462,00083.239
36,08/12/2025,05:05,001.21181,00085.180,00083.212
37,08/12/2025,05:25,001.22569,00084.543,00083.205
38,08/12/2025,05:45,001.23958,00084.248,00083.298
39,08/12/2025,06:05,001.25347,00083.994,00083.456
40,08/12/2025,06:25,001.26736,00084.137,00083.667
41,08/12/2025,06:45,001.28125,00083.868,00083.877
42,08/12/2025,07:05,001.29514,00083.810,00084.040
43,08/12/2025,07:25,001.30903,00083.890,00084.133
44,08/12/2025,07:45,001.32292,00083.355,00084.182
45,08/12/2025,08:05,001.33681,00083.822,00084.151
46,08/12/2025,08:25,001.35069,00084.405,00084.074
47,08/12/2025,08:45,001.36458,00084.029,00083.982
48,08/12/2025,09:05,001.37847,00083.699,00083.885
49,08/12/2025,09:25,001.39236,00082.946,00083.797
50,08/12/2025,09:45,001.40625,00082.028,00083.712
51,08/12/2025,10:05,001.42014,00081.754,00083.618
52,08/12/2025,10:25,001.43403,00081.801,00083.532
53,08/12/2025,10:45,001.44792,00081.308,00083.461
54,08/12/2025,11:05,001.46181,00080.961,00083.415
55,08/12/2025,11:25,001.47569,00080.603,00083.398
56,08/12/2025,11:45,001.48958,00080.875,00083.389
57,08/12/2025,12:05,001.50347,00081.131,00083.376
58,08/12/2025,12:25,001.51736,00080.730,00083.391
59,08/12/2025,12:45,001.53125,00080.351,00083.422
60,08/12/2025,13:05,001.54514,00079.993,00083.485
61,08/12/2025,13:25,001.55903,00080.320,00083.549
62,08/12/2025,13:45,001.57292,00079.484,00083.645
63,08/12/2025,14:05,001.58681,00078.619,00083.744
64,08/12/2025,14:25,001.60069,00078.430,00083.842
65,08/12/2025,14:45,001.61458,00077.851,00083.970
66,08/12/2025,15:05,001.62847,00079.276,00084.087
67,08/12/2025,15:25,001.64236,00079.398,00084.243
68,08/12/2025,15:45,001.65625,00078.517,00084.435
69,08/12/2025,16:05,001.67014,00077.896,00084.628
70,08/12/2025,16:25,001.68403,00078.181,00084.836
71,08/12/2025,16:45,001.69792,00077.842,00085.044
72,08/12/2025,17:05,001.71181,00078.430,00085.257
73,08/12/2025,17:25,001.72569,00078.484,00085.470
74,08/12/2025,17:45,001.73958,00079.666,00085.666
75,08/12/2025,18:05,001.75347,00079.155,00085.892
76,08/12/2025,18:25,001.76736,00079.347,00086.118
