LumiCycle: 3A-1FL4 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,16:55,000.70486,00072.389,00068.733
1,08/11/2025,17:15,000.71875,00063.784,00068.778
2,08/11/2025,17:35,000.73264,00057.905,00068.786
3,08/11/2025,17:55,000.74653,00052.132,00068.802
4,08/11/2025,18:15,000.76042,00052.228,00068.728
5,08/11/2025,18:35,000.77431,00054.214,00068.633
6,08/11/2025,18:55,000.78819,00056.276,00068.535
7,08/11/2025,19:15,000.80208,00058.440,00068.443
8,08/11/2025,19:35,000.81597,00060.972,00068.336
9,08/11/2025,19:55,000.82986,00061.761,00068.253
10,08/11/2025,20:15,000.84375,00064.122,00068.142
11,08/11/2025,20:35,000.85764,00065.139,00068.044
12,08/11/2025,20:55,000.87153,00066.652,00067.937
13,08/11/2025,21:15,000.88542,00067.367,00067.844
14,08/11/2025,21:35,000.89931,00066.833,00067.765
15,08/11/2025,21:55,000.91319,00067.252,00067.677
16,08/11/2025,22:15,000.92708,00067.721,00067.584
17,08/11/2025,22:35,000.94097,00068.071,00067.492
18,08/11/2025,22:55,000.95486,00068.340,00067.403
19,08/11/2025,23:15,000.96875,00068.418,00067.311
20,08/11/2025,23:35,000.98264,00068.920,00067.211
21,08/11/2025,23:55,000.99653,00068.366,00067.124
22,08/12/2025,00:15,001.01042,00068.376,00067.036
23,08/12/2025,00:35,001.02431,00067.889,00066.968
24,08/12/2025,00:55,001.03819,00068.027,00066.895
25,08/12/2025,01:15,001.05208,00067.354,00066.833
26,08/12/2025,01:35,001.06597,00067.967,00066.732
27,08/12/2025,01:55,001.07986,00067.991,00066.645
28,08/12/2025,02:15,001.09375,00068.136,00066.559
29,08/12/2025,02:35,001.10764,00068.594,00066.474
30,08/12/2025,02:55,001.12153,00068.211,00066.394
31,08/12/2025,03:15,001.13542,00068.021,00066.310
32,08/12/2025,03:35,001.14931,00067.634,00066.222
33,08/12/2025,03:55,001.16319,00067.525,00066.136
34,08/12/2025,04:15,001.17708,00067.407,00066.047
35,08/12/2025,04:35,001.19097,00067.355,00065.957
36,08/12/2025,04:55,001.20486,00067.322,00065.860
37,08/12/2025,05:15,001.21875,00067.064,00065.765
38,08/12/2025,05:35,001.23264,00067.060,00065.790
39,08/12/2025,05:55,001.24653,00067.814,00065.897
40,08/12/2025,06:15,001.26042,00067.167,00066.095
41,08/12/2025,06:35,001.27431,00067.477,00066.283
42,08/12/2025,06:55,001.28819,00067.388,00066.453
43,08/12/2025,07:15,001.30208,00067.926,00066.590
44,08/12/2025,07:35,001.31597,00067.247,00066.710
45,08/12/2025,07:55,001.32986,00067.183,00066.784
46,08/12/2025,08:15,001.34375,00066.767,00066.849
47,08/12/2025,08:35,001.35764,00066.357,00066.875
48,08/12/2025,08:55,001.37153,00066.242,00066.885
49,08/12/2025,09:15,001.38542,00066.376,00066.872
50,08/12/2025,09:35,001.39931,00066.154,00066.859
51,08/12/2025,09:55,001.41319,00066.475,00066.847
52,08/12/2025,10:15,001.42708,00066.168,00066.837
53,08/12/2025,10:35,001.44097,00066.097,00066.821
54,08/12/2025,10:55,001.45486,00066.285,00066.786
55,08/12/2025,11:15,001.46875,00065.861,00066.758
56,08/12/2025,11:35,001.48264,00065.696,00066.728
57,08/12/2025,11:55,001.49653,00065.568,00066.685
58,08/12/2025,12:15,001.51042,00066.054,00066.644
59,08/12/2025,12:35,001.52431,00067.017,00066.587
60,08/12/2025,12:55,001.53819,00067.270,00066.550
61,08/12/2025,13:15,001.55208,00067.195,00066.525
62,08/12/2025,13:35,001.56597,00065.786,00066.532
63,08/12/2025,13:55,001.57986,00066.146,00066.504
64,08/12/2025,14:15,001.59375,00066.298,00066.482
65,08/12/2025,14:35,001.60764,00066.778,00066.451
66,08/12/2025,14:55,001.62153,00066.227,00066.423
67,08/12/2025,15:15,001.63542,00066.173,00066.401
68,08/12/2025,15:35,001.64931,00065.636,00066.391
69,08/12/2025,15:55,001.66319,00066.115,00066.380
70,08/12/2025,16:15,001.67708,00065.805,00066.372
71,08/12/2025,16:35,001.69097,00065.905,00066.354
72,08/12/2025,16:55,001.70486,00065.369,00066.357
73,08/12/2025,17:15,001.71875,00065.298,00066.350
74,08/12/2025,17:35,001.73264,00065.547,00066.348
75,08/12/2025,17:55,001.74653,00066.408,00066.337
76,08/12/2025,18:15,001.76042,00065.737,00066.342
77,08/12/2025,18:35,001.77431,00066.021,00066.349
78,08/12/2025,18:55,001.78819,00066.414,00066.345
79,08/12/2025,19:15,001.80208,00066.673,00066.345
80,08/12/2025,19:35,001.81597,00066.384,00066.342
81,08/12/2025,19:55,001.82986,00066.242,00066.347
82,08/12/2025,20:15,001.84375,00066.010,00066.353
83,08/12/2025,20:35,001.85764,00065.552,00066.372
84,08/12/2025,20:55,001.87153,00065.776,00066.392
85,08/12/2025,21:15,001.88542,00065.858,00066.412
86,08/12/2025,21:35,001.89931,00066.231,00066.432
87,08/12/2025,21:55,001.91319,00066.296,00066.458
88,08/12/2025,22:15,001.92708,00066.209,00066.485
89,08/12/2025,22:35,001.94097,00066.457,00066.510
90,08/12/2025,22:55,001.95486,00065.748,00066.541
91,08/12/2025,23:15,001.96875,00065.879,00066.559
92,08/12/2025,23:35,001.98264,00066.125,00066.586
93,08/12/2025,23:55,001.99653,00065.688,00066.627
94,08/13/2025,00:15,002.01042,00065.887,00066.665
95,08/13/2025,00:35,002.02431,00065.271,00066.708
96,08/13/2025,00:55,002.03819,00065.485,00066.723
97,08/13/2025,01:15,002.05208,00066.157,00066.732
98,08/13/2025,01:35,002.06597,00066.440,00066.740
99,08/13/2025,01:55,002.07986,00066.325,00066.771
100,08/13/2025,02:15,002.09375,00066.512,00066.785
101,08/13/2025,02:35,002.10764,00066.430,00066.803
102,08/13/2025,02:55,002.12153,00065.963,00066.813
103,08/13/2025,03:15,002.13542,00066.584,00066.827
104,08/13/2025,03:35,002.14931,00066.792,00066.850
105,08/13/2025,03:55,002.16319,00067.310,00066.874
106,08/13/2025,04:15,002.17708,00066.670,00066.912
107,08/13/2025,04:35,002.19097,00066.222,00066.943
108,08/13/2025,04:55,002.20486,00067.028,00066.958
109,08/13/2025,05:15,002.21875,00066.737,00066.993
110,08/13/2025,05:35,002.23264,00067.173,00067.017
111,08/13/2025,05:55,002.24653,00067.121,00067.043
112,08/13/2025,06:15,002.26042,00067.474,00067.055
113,08/13/2025,06:35,002.27431,00067.990,00067.074
114,08/13/2025,06:55,002.28819,00067.549,00067.112
115,08/13/2025,07:15,002.30208,00067.637,00067.128
116,08/13/2025,07:35,002.31597,00067.434,00067.151
117,08/13/2025,07:55,002.32986,00067.497,00067.168
118,08/13/2025,08:15,002.34375,00067.363,00067.191
119,08/13/2025,08:35,002.35764,00067.680,00067.209
120,08/13/2025,08:55,002.37153,00068.005,00067.241
121,08/13/2025,09:15,002.38542,00067.765,00067.275
122,08/13/2025,09:35,002.39931,00068.235,00067.301
123,08/13/2025,09:55,002.41319,00068.071,00067.328
124,08/13/2025,10:15,002.42708,00068.316,00067.348
125,08/13/2025,10:35,002.44097,00068.221,00067.372
126,08/13/2025,10:55,002.45486,00067.614,00067.406
127,08/13/2025,11:15,002.46875,00067.739,00067.440
128,08/13/2025,11:35,002.48264,00068.046,00067.474
129,08/13/2025,11:55,002.49653,00068.221,00067.508
130,08/13/2025,12:15,002.51042,00068.485,00067.546
131,08/13/2025,12:35,002.52431,00068.522,00067.579
132,08/13/2025,12:55,002.53819,00068.280,00067.621
133,08/13/2025,13:15,002.55208,00068.597,00067.645
134,08/13/2025,13:35,002.56597,00068.042,00067.673
135,08/13/2025,13:55,002.57986,00067.927,00067.692
136,08/13/2025,14:15,002.59375,00067.371,00067.720
137,08/13/2025,14:35,002.60764,00067.485,00067.736
138,08/13/2025,14:55,002.62153,00067.049,00067.767
139,08/13/2025,15:15,002.63542,00067.815,00067.794
140,08/13/2025,15:35,002.64931,00068.055,00067.825
141,08/13/2025,15:55,002.66319,00067.930,00067.853
142,08/13/2025,16:15,002.67708,00068.153,00067.868
143,08/13/2025,16:35,002.69097,00067.620,00067.900
144,08/13/2025,16:55,002.70486,00067.786,00067.932
145,08/13/2025,17:15,002.71875,00067.594,00067.964
146,08/13/2025,17:35,002.73264,00067.480,00067.993
147,08/13/2025,17:55,002.74653,00067.371,00068.017
148,08/13/2025,18:15,002.76042,00067.613,00068.029
149,08/13/2025,18:35,002.77431,00067.627,00068.039
150,08/13/2025,18:55,002.78819,00068.277,00068.035
151,08/13/2025,19:15,002.80208,00067.704,00068.047
152,08/13/2025,19:35,002.81597,00068.128,00068.051
153,08/13/2025,19:55,002.82986,00067.635,00068.070
154,08/13/2025,20:15,002.84375,00067.770,00068.076
155,08/13/2025,20:35,002.85764,00067.610,00068.089
156,08/13/2025,20:55,002.87153,00068.172,00068.088
157,08/13/2025,21:15,002.88542,00067.984,00068.091
158,08/13/2025,21:35,002.89931,00068.258,00068.089
159,08/13/2025,21:55,002.91319,00067.992,00068.087
160,08/13/2025,22:15,002.92708,00067.962,00068.090
161,08/13/2025,22:35,002.94097,00067.875,00068.091
162,08/13/2025,22:55,002.95486,00068.290,00068.086
163,08/13/2025,23:15,002.96875,00068.292,00068.088
164,08/13/2025,23:35,002.98264,00068.647,00068.084
165,08/13/2025,23:55,002.99653,00068.748,00068.083
166,08/14/2025,00:15,003.01042,00068.722,00068.077
167,08/14/2025,00:35,003.02431,00068.232,00068.076
168,08/14/2025,00:55,003.03819,00068.114,00068.073
169,08/14/2025,01:15,003.05208,00067.499,00068.088
170,08/14/2025,01:35,003.06597,00067.586,00068.080
171,08/14/2025,01:55,003.07986,00067.704,00068.074
172,08/14/2025,02:15,003.09375,00067.798,00068.077
173,08/14/2025,02:35,003.10764,00067.804,00068.096
174,08/14/2025,02:55,003.12153,00068.215,00068.112
175,08/14/2025,03:15,003.13542,00068.646,00068.132
176,08/14/2025,03:35,003.14931,00069.105,00068.130
177,08/14/2025,03:55,003.16319,00068.686,00068.126
178,08/14/2025,04:15,003.17708,00068.554,00068.120
179,08/14/2025,04:35,003.19097,00068.445,00068.114
180,08/14/2025,04:55,003.20486,00068.705,00068.117
181,08/14/2025,05:15,003.21875,00069.115,00068.114
182,08/14/2025,05:35,003.23264,00068.754,00068.121
183,08/14/2025,05:55,003.24653,00068.803,00068.130
184,08/14/2025,06:15,003.26042,00068.242,00068.151
185,08/14/2025,06:35,003.27431,00068.199,00068.170
186,08/14/2025,06:55,003.28819,00068.298,00068.191
187,08/14/2025,07:15,003.30208,00067.884,00068.199
188,08/14/2025,07:35,003.31597,00068.355,00068.211
189,08/14/2025,07:55,003.32986,00068.322,00068.221
190,08/14/2025,08:15,003.34375,00068.027,00068.232
191,08/14/2025,08:35,003.35764,00068.159,00068.241
192,08/14/2025,08:55,003.37153,00068.182,00068.252
193,08/14/2025,09:15,003.38542,00067.976,00068.260
194,08/14/2025,09:35,003.39931,00067.941,00068.273
195,08/14/2025,09:55,003.41319,00067.832,00068.281
196,08/14/2025,10:15,003.42708,00068.242,00068.288
197,08/14/2025,10:35,003.44097,00068.293,00068.292
198,08/14/2025,10:55,003.45486,00068.311,00068.306
199,08/14/2025,11:15,003.46875,00067.747,00068.317
200,08/14/2025,11:35,003.48264,00067.765,00068.332
201,08/14/2025,11:55,003.49653,00068.108,00068.330
202,08/14/2025,12:15,003.51042,00067.725,00068.338
203,08/14/2025,12:35,003.52431,00067.932,00068.330
204,08/14/2025,12:55,003.53819,00068.229,00068.328
205,08/14/2025,13:15,003.55208,00068.754,00068.319
206,08/14/2025,13:35,003.56597,00068.048,00068.349
207,08/14/2025,13:55,003.57986,00067.773,00068.361
208,08/14/2025,14:15,003.59375,00068.224,00068.371
209,08/14/2025,14:35,003.60764,00068.769,00068.369
210,08/14/2025,14:55,003.62153,00069.039,00068.370
211,08/14/2025,15:15,003.63542,00068.887,00068.373
212,08/14/2025,15:35,003.64931,00068.120,00068.387
213,08/14/2025,15:55,003.66319,00067.354,00068.404
214,08/14/2025,16:15,003.67708,00067.367,00068.422
215,08/14/2025,16:35,003.69097,00067.638,00068.432
216,08/14/2025,16:55,003.70486,00068.113,00068.441
217,08/14/2025,17:15,003.71875,00067.979,00068.450
218,08/14/2025,17:35,003.73264,00067.740,00068.454
219,08/14/2025,17:55,003.74653,00068.140,00068.459
220,08/14/2025,18:15,003.76042,00068.352,00068.474
221,08/14/2025,18:35,003.77431,00068.887,00068.491
222,08/14/2025,18:55,003.78819,00069.288,00068.513
223,08/14/2025,19:15,003.80208,00068.379,00068.554
224,08/14/2025,19:35,003.81597,00069.041,00068.573
225,08/14/2025,19:55,003.82986,00068.838,00068.587
226,08/14/2025,20:15,003.84375,00068.175,00068.601
227,08/14/2025,20:35,003.85764,00068.502,00068.618
228,08/14/2025,20:55,003.87153,00068.403,00068.629
229,08/14/2025,21:15,003.88542,00068.612,00068.646
230,08/14/2025,21:35,003.89931,00068.868,00068.650
231,08/14/2025,21:55,003.91319,00068.703,00068.669
232,08/14/2025,22:15,003.92708,00068.925,00068.671
233,08/14/2025,22:35,003.94097,00068.283,00068.696
234,08/14/2025,22:55,003.95486,00068.888,00068.696
235,08/14/2025,23:15,003.96875,00068.507,00068.712
236,08/14/2025,23:35,003.98264,00069.441,00068.712
237,08/14/2025,23:55,003.99653,00068.809,00068.737
238,08/15/2025,00:15,004.01042,00068.945,00068.752
239,08/15/2025,00:35,004.02431,00068.384,00068.777
240,08/15/2025,00:55,004.03819,00068.377,00068.793
241,08/15/2025,01:15,004.05208,00067.995,00068.817
242,08/15/2025,01:35,004.06597,00068.915,00068.809
243,08/15/2025,01:55,004.07986,00068.209,00068.825
244,08/15/2025,02:15,004.09375,00068.846,00068.824
245,08/15/2025,02:35,004.10764,00068.191,00068.826
246,08/15/2025,02:55,004.12153,00068.176,00068.826
247,08/15/2025,03:15,004.13542,00068.295,00068.815
248,08/15/2025,03:35,004.14931,00068.875,00068.807
249,08/15/2025,03:55,004.16319,00069.586,00068.802
250,08/15/2025,04:15,004.17708,00069.945,00068.817
251,08/15/2025,04:35,004.19097,00069.546,00068.832
