LumiCycle: 3D-1FT10 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:07,000.71319,00077.613,00079.937
1,08/11/2025,17:27,000.72708,00071.748,00080.123
2,08/11/2025,17:47,000.74097,00067.167,00080.290
3,08/11/2025,18:07,000.75486,00062.680,00080.459
4,08/11/2025,18:27,000.76875,00063.031,00080.558
5,08/11/2025,18:47,000.78264,00066.274,00080.620
6,08/11/2025,19:07,000.79653,00069.680,00080.674
7,08/11/2025,19:27,000.81042,00073.709,00080.719
8,08/11/2025,19:47,000.82431,00077.866,00080.761
9,08/11/2025,20:07,000.83819,00081.455,00080.811
10,08/11/2025,20:27,000.85208,00083.770,00080.881
11,08/11/2025,20:47,000.86597,00085.229,00080.961
12,08/11/2025,21:07,000.87986,00086.176,00081.048
13,08/11/2025,21:27,000.89375,00086.886,00081.125
14,08/11/2025,21:47,000.90764,00087.268,00081.202
15,08/11/2025,22:07,000.92153,00087.877,00081.278
16,08/11/2025,22:27,000.93542,00087.720,00081.356
17,08/11/2025,22:47,000.94931,00088.306,00081.423
18,08/11/2025,23:07,000.96319,00087.434,00081.506
19,08/11/2025,23:27,000.97708,00087.582,00081.570
20,08/11/2025,23:47,000.99097,00086.673,00081.640
21,08/12/2025,00:07,001.00486,00086.588,00081.691
22,08/12/2025,00:27,001.01875,00086.638,00081.738
23,08/12/2025,00:47,001.03264,00085.840,00081.800
24,08/12/2025,01:07,001.04653,00086.355,00081.840
25,08/12/2025,01:27,001.06042,00086.127,00081.892
26,08/12/2025,01:47,001.07431,00086.280,00081.925
27,08/12/2025,02:07,001.08819,00085.674,00081.958
28,08/12/2025,02:27,001.10208,00085.517,00081.971
29,08/12/2025,02:47,001.11597,00085.642,00081.966
30,08/12/2025,03:07,001.12986,00085.529,00081.956
31,08/12/2025,03:27,001.14375,00086.092,00081.939
32,08/12/2025,03:47,001.15764,00085.735,00081.921
33,08/12/2025,04:07,001.17153,00085.026,00081.915
34,08/12/2025,04:27,001.18542,00085.381,00081.894
35,08/12/2025,04:47,001.19931,00084.600,00081.890
36,08/12/2025,05:07,001.21319,00085.820,00081.861
37,08/12/2025,05:27,001.22708,00085.152,00081.848
38,08/12/2025,05:47,001.24097,00085.093,00081.908
39,08/12/2025,06:07,001.25486,00085.249,00082.020
40,08/12/2025,06:27,001.26875,00085.098,00082.215
41,08/12/2025,06:47,001.28264,00085.358,00082.384
42,08/12/2025,07:07,001.29653,00084.860,00082.533
43,08/12/2025,07:27,001.31042,00084.937,00082.620
44,08/12/2025,07:47,001.32431,00084.784,00082.664
45,08/12/2025,08:07,001.33819,00084.766,00082.652
46,08/12/2025,08:27,001.35208,00084.968,00082.595
47,08/12/2025,08:47,001.36597,00084.876,00082.500
48,08/12/2025,09:07,001.37986,00084.789,00082.394
49,08/12/2025,09:27,001.39375,00083.874,00082.294
50,08/12/2025,09:47,001.40764,00083.575,00082.179
51,08/12/2025,10:07,001.42153,00083.661,00082.064
52,08/12/2025,10:27,001.43542,00083.106,00081.954
53,08/12/2025,10:47,001.44931,00082.973,00081.857
54,08/12/2025,11:07,001.46319,00082.725,00081.760
55,08/12/2025,11:27,001.47708,00082.353,00081.688
56,08/12/2025,11:47,001.49097,00081.796,00081.611
57,08/12/2025,12:07,001.50486,00081.178,00081.562
58,08/12/2025,12:27,001.51875,00081.020,00081.506
59,08/12/2025,12:47,001.53264,00081.321,00081.469
60,08/12/2025,13:07,001.54653,00081.019,00081.448
