LumiCycle: 4A-2MT10 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,16:57,000.70625,00074.919,00072.838
1,08/11/2025,17:17,000.72014,00067.690,00072.922
2,08/11/2025,17:37,000.73403,00060.931,00072.997
3,08/11/2025,17:57,000.74792,00056.212,00073.053
4,08/11/2025,18:17,000.76181,00055.711,00073.055
5,08/11/2025,18:37,000.77569,00057.867,00073.015
6,08/11/2025,18:57,000.78958,00060.175,00072.961
7,08/11/2025,19:17,000.80347,00063.372,00072.891
8,08/11/2025,19:37,000.81736,00065.700,00072.832
9,08/11/2025,19:57,000.83125,00068.111,00072.785
10,08/11/2025,20:17,000.84514,00069.720,00072.734
11,08/11/2025,20:37,000.85903,00071.205,00072.680
12,08/11/2025,20:57,000.87292,00072.178,00072.622
13,08/11/2025,21:17,000.88681,00073.046,00072.568
14,08/11/2025,21:37,000.90069,00073.847,00072.513
15,08/11/2025,21:57,000.91458,00073.873,00072.472
16,08/11/2025,22:17,000.92847,00073.848,00072.428
17,08/11/2025,22:37,000.94236,00073.889,00072.388
18,08/11/2025,22:57,000.95625,00074.638,00072.338
19,08/11/2025,23:17,000.97014,00074.675,00072.285
20,08/11/2025,23:37,000.98403,00074.588,00072.232
21,08/11/2025,23:57,000.99792,00074.117,00072.184
22,08/12/2025,00:17,001.01181,00073.845,00072.135
23,08/12/2025,00:37,001.02569,00074.733,00072.072
24,08/12/2025,00:57,001.03958,00074.264,00072.028
25,08/12/2025,01:17,001.05347,00074.625,00071.961
26,08/12/2025,01:37,001.06736,00074.252,00071.908
27,08/12/2025,01:57,001.08125,00073.998,00071.846
28,08/12/2025,02:17,001.09514,00073.774,00071.786
29,08/12/2025,02:37,001.10903,00073.979,00071.709
30,08/12/2025,02:57,001.12292,00074.097,00071.646
31,08/12/2025,03:17,001.13681,00074.040,00071.593
32,08/12/2025,03:37,001.15069,00074.146,00071.544
33,08/12/2025,03:57,001.16458,00074.400,00071.481
34,08/12/2025,04:17,001.17847,00074.000,00071.426
35,08/12/2025,04:37,001.19236,00073.858,00071.363
36,08/12/2025,04:57,001.20625,00073.841,00071.307
37,08/12/2025,05:17,001.22014,00073.763,00071.242
38,08/12/2025,05:37,001.23403,00073.559,00071.275
39,08/12/2025,05:57,001.24792,00074.233,00071.387
40,08/12/2025,06:17,001.26181,00074.505,00071.577
41,08/12/2025,06:37,001.27569,00074.255,00071.777
42,08/12/2025,06:57,001.28958,00073.349,00071.957
43,08/12/2025,07:17,001.30347,00073.019,00072.087
44,08/12/2025,07:37,001.31736,00073.037,00072.186
45,08/12/2025,07:57,001.33125,00073.929,00072.243
46,08/12/2025,08:17,001.34514,00072.849,00072.298
47,08/12/2025,08:37,001.35903,00072.515,00072.324
48,08/12/2025,08:57,001.37292,00071.756,00072.330
49,08/12/2025,09:17,001.38681,00071.837,00072.314
50,08/12/2025,09:37,001.40069,00071.790,00072.287
51,08/12/2025,09:57,001.41458,00071.975,00072.251
52,08/12/2025,10:17,001.42847,00071.727,00072.225
53,08/12/2025,10:37,001.44236,00072.102,00072.194
54,08/12/2025,10:57,001.45625,00072.040,00072.163
55,08/12/2025,11:17,001.47014,00071.197,00072.140
56,08/12/2025,11:37,001.48403,00071.009,00072.117
57,08/12/2025,11:57,001.49792,00070.988,00072.089
58,08/12/2025,12:17,001.51181,00071.132,00072.077
59,08/12/2025,12:37,001.52569,00071.275,00072.057
60,08/12/2025,12:57,001.53958,00071.252,00072.035
61,08/12/2025,13:17,001.55347,00070.458,00072.023
62,08/12/2025,13:37,001.56736,00070.755,00071.998
63,08/12/2025,13:57,001.58125,00070.165,00071.996
64,08/12/2025,14:17,001.59514,00070.398,00071.989
65,08/12/2025,14:37,001.60903,00069.546,00072.011
66,08/12/2025,14:57,001.62292,00070.526,00072.002
67,08/12/2025,15:17,001.63681,00071.054,00072.003
68,08/12/2025,15:37,001.65069,00071.478,00072.012
69,08/12/2025,15:57,001.66458,00070.664,00072.044
70,08/12/2025,16:17,001.67847,00070.526,00072.058
71,08/12/2025,16:37,001.69236,00070.212,00072.086
72,08/12/2025,16:57,001.70625,00070.883,00072.115
73,08/12/2025,17:17,001.72014,00070.202,00072.164
74,08/12/2025,17:37,001.73403,00069.816,00072.205
75,08/12/2025,17:57,001.74792,00069.684,00072.240
76,08/12/2025,18:17,001.76181,00070.150,00072.273
77,08/12/2025,18:37,001.77569,00069.854,00072.310
78,08/12/2025,18:57,001.78958,00069.938,00072.354
79,08/12/2025,19:17,001.80347,00069.238,00072.414
80,08/12/2025,19:37,001.81736,00070.467,00072.460
81,08/12/2025,19:57,001.83125,00070.727,00072.525
82,08/12/2025,20:17,001.84514,00070.984,00072.568
83,08/12/2025,20:37,001.85903,00071.301,00072.636
84,08/12/2025,20:57,001.87292,00070.874,00072.710
85,08/12/2025,21:17,001.88681,00071.113,00072.792
86,08/12/2025,21:37,001.90069,00070.994,00072.877
87,08/12/2025,21:57,001.91458,00071.444,00072.944
88,08/12/2025,22:17,001.92847,00071.781,00073.008
89,08/12/2025,22:37,001.94236,00071.981,00073.071
90,08/12/2025,22:57,001.95625,00071.613,00073.140
91,08/12/2025,23:17,001.97014,00072.133,00073.205
92,08/12/2025,23:37,001.98403,00072.853,00073.294
93,08/12/2025,23:57,001.99792,00072.545,00073.384
94,08/13/2025,00:17,002.01181,00073.368,00073.460
95,08/13/2025,00:37,002.02569,00072.544,00073.550
96,08/13/2025,00:57,002.03958,00073.173,00073.619
97,08/13/2025,01:17,002.05347,00072.602,00073.711
98,08/13/2025,01:37,002.06736,00073.119,00073.786
99,08/13/2025,01:57,002.08125,00073.460,00073.855
100,08/13/2025,02:17,002.09514,00073.727,00073.923
101,08/13/2025,02:37,002.10903,00074.529,00073.992
102,08/13/2025,02:57,002.12292,00074.311,00074.086
103,08/13/2025,03:17,002.13681,00074.712,00074.154
104,08/13/2025,03:37,002.15069,00075.070,00074.211
105,08/13/2025,03:57,002.16458,00075.639,00074.256
106,08/13/2025,04:17,002.17847,00075.274,00074.317
107,08/13/2025,04:37,002.19236,00075.725,00074.378
108,08/13/2025,04:57,002.20625,00076.649,00074.420
109,08/13/2025,05:17,002.22014,00076.691,00074.466
110,08/13/2025,05:37,002.23403,00076.275,00074.530
111,08/13/2025,05:57,002.24792,00076.002,00074.596
112,08/13/2025,06:17,002.26181,00077.048,00074.649
113,08/13/2025,06:37,002.27569,00076.835,00074.702
114,08/13/2025,06:57,002.28958,00077.516,00074.743
115,08/13/2025,07:17,002.30347,00076.989,00074.795
116,08/13/2025,07:37,002.31736,00077.548,00074.838
117,08/13/2025,07:57,002.33125,00077.970,00074.869
118,08/13/2025,08:17,002.34514,00077.278,00074.917
119,08/13/2025,08:37,002.35903,00078.053,00074.940
120,08/13/2025,08:57,002.37292,00077.420,00074.974
121,08/13/2025,09:17,002.38681,00077.953,00074.994
122,08/13/2025,09:37,002.40069,00077.786,00075.020
123,08/13/2025,09:57,002.41458,00077.098,00075.051
124,08/13/2025,10:17,002.42847,00076.923,00075.075
125,08/13/2025,10:37,002.44236,00076.474,00075.107
126,08/13/2025,10:57,002.45625,00076.660,00075.116
127,08/13/2025,11:17,002.47014,00077.259,00075.137
128,08/13/2025,11:37,002.48403,00078.361,00075.135
129,08/13/2025,11:57,002.49792,00077.166,00075.155
130,08/13/2025,12:17,002.51181,00077.264,00075.173
131,08/13/2025,12:37,002.52569,00076.814,00075.194
132,08/13/2025,12:57,002.53958,00076.875,00075.214
133,08/13/2025,13:17,002.55347,00077.257,00075.211
134,08/13/2025,13:37,002.56736,00076.418,00075.232
135,08/13/2025,13:57,002.58125,00076.067,00075.237
136,08/13/2025,14:17,002.59514,00075.319,00075.249
137,08/13/2025,14:37,002.60903,00076.138,00075.240
138,08/13/2025,14:57,002.62292,00076.099,00075.229
139,08/13/2025,15:17,002.63681,00075.868,00075.235
140,08/13/2025,15:37,002.65069,00075.465,00075.235
141,08/13/2025,15:57,002.66458,00075.295,00075.222
142,08/13/2025,16:17,002.67847,00074.729,00075.207
143,08/13/2025,16:37,002.69236,00075.341,00075.187
144,08/13/2025,16:57,002.70625,00074.150,00075.193
145,08/13/2025,17:17,002.72014,00074.234,00075.172
146,08/13/2025,17:37,002.73403,00074.385,00075.152
147,08/13/2025,17:57,002.74792,00074.313,00075.141
148,08/13/2025,18:17,002.76181,00074.548,00075.124
149,08/13/2025,18:37,002.77569,00073.759,00075.112
150,08/13/2025,18:57,002.78958,00073.483,00075.087
151,08/13/2025,19:17,002.80347,00073.159,00075.056
152,08/13/2025,19:37,002.81736,00072.894,00075.027
153,08/13/2025,19:57,002.83125,00073.104,00074.991
154,08/13/2025,20:17,002.84514,00073.504,00074.944
155,08/13/2025,20:37,002.85903,00073.425,00074.920
156,08/13/2025,20:57,002.87292,00073.137,00074.884
157,08/13/2025,21:17,002.88681,00072.817,00074.853
158,08/13/2025,21:37,002.90069,00072.801,00074.819
159,08/13/2025,21:57,002.91458,00072.533,00074.790
160,08/13/2025,22:17,002.92847,00073.001,00074.759
161,08/13/2025,22:37,002.94236,00073.631,00074.720
162,08/13/2025,22:57,002.95625,00072.868,00074.702
163,08/13/2025,23:17,002.97014,00073.713,00074.670
164,08/13/2025,23:37,002.98403,00073.057,00074.646
165,08/13/2025,23:57,002.99792,00073.085,00074.601
166,08/14/2025,00:17,003.01181,00073.996,00074.558
167,08/14/2025,00:37,003.02569,00074.371,00074.523
168,08/14/2025,00:57,003.03958,00074.095,00074.498
