LumiCycle: 4C-2MT5 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,16:55,000.70486,00050.647,00045.113
1,08/11/2025,17:15,000.71875,00044.166,00045.084
2,08/11/2025,17:35,000.73264,00038.024,00045.053
3,08/11/2025,17:55,000.74653,00032.827,00045.011
4,08/11/2025,18:15,000.76042,00030.715,00044.931
5,08/11/2025,18:35,000.77431,00030.760,00044.822
6,08/11/2025,18:55,000.78819,00031.447,00044.707
7,08/11/2025,19:15,000.80208,00032.290,00044.585
8,08/11/2025,19:35,000.81597,00033.964,00044.451
9,08/11/2025,19:55,000.82986,00035.435,00044.310
10,08/11/2025,20:15,000.84375,00036.546,00044.169
11,08/11/2025,20:35,000.85764,00037.218,00044.037
12,08/11/2025,20:55,000.87153,00038.673,00043.894
13,08/11/2025,21:15,000.88542,00039.149,00043.766
14,08/11/2025,21:35,000.89931,00040.105,00043.627
15,08/11/2025,21:55,000.91319,00040.338,00043.498
16,08/11/2025,22:15,000.92708,00040.629,00043.364
17,08/11/2025,22:35,000.94097,00041.142,00043.227
18,08/11/2025,22:55,000.95486,00041.342,00043.088
19,08/11/2025,23:15,000.96875,00041.505,00042.945
20,08/11/2025,23:35,000.98264,00041.321,00042.801
21,08/11/2025,23:55,000.99653,00041.373,00042.656
22,08/12/2025,00:15,001.01042,00041.029,00042.506
23,08/12/2025,00:35,001.02431,00041.819,00042.342
24,08/12/2025,00:55,001.03819,00042.050,00042.180
25,08/12/2025,01:15,001.05208,00042.796,00042.005
26,08/12/2025,01:35,001.06597,00042.795,00041.828
27,08/12/2025,01:55,001.07986,00042.726,00041.655
28,08/12/2025,02:15,001.09375,00042.603,00041.479
29,08/12/2025,02:35,001.10764,00042.254,00041.302
30,08/12/2025,02:55,001.12153,00043.112,00041.105
31,08/12/2025,03:15,001.13542,00043.162,00040.916
32,08/12/2025,03:35,001.14931,00043.297,00040.726
33,08/12/2025,03:55,001.16319,00042.042,00040.544
34,08/12/2025,04:15,001.17708,00042.110,00040.345
35,08/12/2025,04:35,001.19097,00041.894,00040.144
36,08/12/2025,04:55,001.20486,00042.148,00039.940
37,08/12/2025,05:15,001.21875,00042.143,00039.737
38,08/12/2025,05:35,001.23264,00042.253,00039.620
39,08/12/2025,05:55,001.24653,00042.442,00039.592
40,08/12/2025,06:15,001.26042,00042.750,00039.630
41,08/12/2025,06:35,001.27431,00042.850,00039.705
42,08/12/2025,06:55,001.28819,00043.027,00039.776
43,08/12/2025,07:15,001.30208,00042.758,00039.846
44,08/12/2025,07:35,001.31597,00042.636,00039.902
45,08/12/2025,07:55,001.32986,00041.945,00039.947
46,08/12/2025,08:15,001.34375,00041.611,00039.970
47,08/12/2025,08:35,001.35764,00041.831,00039.966
48,08/12/2025,08:55,001.37153,00041.779,00039.955
49,08/12/2025,09:15,001.38542,00041.961,00039.924
50,08/12/2025,09:35,001.39931,00041.539,00039.906
51,08/12/2025,09:55,001.41319,00041.597,00039.878
52,08/12/2025,10:15,001.42708,00041.324,00039.861
53,08/12/2025,10:35,001.44097,00041.312,00039.826
54,08/12/2025,10:55,001.45486,00040.845,00039.792
55,08/12/2025,11:15,001.46875,00040.476,00039.751
56,08/12/2025,11:35,001.48264,00040.132,00039.719
57,08/12/2025,11:55,001.49653,00040.201,00039.692
58,08/12/2025,12:15,001.51042,00039.518,00039.684
59,08/12/2025,12:35,001.52431,00039.661,00039.664
60,08/12/2025,12:55,001.53819,00039.200,00039.647
61,08/12/2025,13:15,001.55208,00038.783,00039.623
62,08/12/2025,13:35,001.56597,00037.914,00039.597
63,08/12/2025,13:55,001.57986,00038.141,00039.563
64,08/12/2025,14:15,001.59375,00037.821,00039.538
65,08/12/2025,14:35,001.60764,00037.570,00039.515
66,08/12/2025,14:55,001.62153,00037.291,00039.505
67,08/12/2025,15:15,001.63542,00037.083,00039.487
68,08/12/2025,15:35,001.64931,00037.096,00039.474
69,08/12/2025,15:55,001.66319,00036.311,00039.476
70,08/12/2025,16:15,001.67708,00036.417,00039.489
71,08/12/2025,16:35,001.69097,00035.964,00039.515
72,08/12/2025,16:55,001.70486,00036.173,00039.538
73,08/12/2025,17:15,001.71875,00036.076,00039.572
74,08/12/2025,17:35,001.73264,00035.810,00039.610
75,08/12/2025,17:55,001.74653,00036.187,00039.647
76,08/12/2025,18:15,001.76042,00035.880,00039.690
77,08/12/2025,18:35,001.77431,00036.213,00039.722
78,08/12/2025,18:55,001.78819,00036.044,00039.762
79,08/12/2025,19:15,001.80208,00036.205,00039.795
80,08/12/2025,19:35,001.81597,00036.233,00039.838
81,08/12/2025,19:55,001.82986,00036.487,00039.872
82,08/12/2025,20:15,001.84375,00036.756,00039.920
