LumiCycle: 5A-2ML2 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:00,000.70833,00067.244,00067.092
1,08/11/2025,17:20,000.72222,00060.806,00067.230
2,08/11/2025,17:40,000.73611,00056.139,00067.351
3,08/11/2025,18:00,000.75000,00053.118,00067.442
4,08/11/2025,18:20,000.76389,00053.297,00067.491
5,08/11/2025,18:40,000.77778,00054.807,00067.525
6,08/11/2025,19:00,000.79167,00057.446,00067.553
7,08/11/2025,19:20,000.80556,00060.261,00067.574
8,08/11/2025,19:40,000.81944,00062.925,00067.605
9,08/11/2025,20:00,000.83333,00064.517,00067.640
10,08/11/2025,20:20,000.84722,00065.744,00067.677
11,08/11/2025,20:40,000.86111,00066.290,00067.721
12,08/11/2025,21:00,000.87500,00067.345,00067.759
13,08/11/2025,21:20,000.88889,00068.603,00067.799
14,08/11/2025,21:40,000.90278,00069.590,00067.844
15,08/11/2025,22:00,000.91667,00069.740,00067.901
16,08/11/2025,22:20,000.93056,00069.743,00067.952
17,08/11/2025,22:40,000.94444,00070.317,00067.999
18,08/11/2025,23:00,000.95833,00070.048,00068.053
19,08/11/2025,23:20,000.97222,00070.253,00068.107
20,08/11/2025,23:40,000.98611,00070.633,00068.149
21,08/12/2025,00:00,001.00000,00070.395,00068.206
22,08/12/2025,00:20,001.01389,00070.637,00068.254
23,08/12/2025,00:40,001.02778,00070.201,00068.316
24,08/12/2025,01:00,001.04167,00070.573,00068.362
25,08/12/2025,01:20,001.05556,00070.295,00068.417
26,08/12/2025,01:40,001.06944,00070.793,00068.460
27,08/12/2025,02:00,001.08333,00070.193,00068.522
28,08/12/2025,02:20,001.09722,00070.628,00068.557
29,08/12/2025,02:40,001.11111,00070.695,00068.599
30,08/12/2025,03:00,001.12500,00070.600,00068.653
31,08/12/2025,03:20,001.13889,00070.449,00068.707
32,08/12/2025,03:40,001.15278,00069.809,00068.761
33,08/12/2025,04:00,001.16667,00070.885,00068.795
34,08/12/2025,04:20,001.18056,00070.760,00068.839
35,08/12/2025,04:40,001.19444,00070.506,00068.894
36,08/12/2025,05:00,001.20833,00070.819,00068.921
37,08/12/2025,05:20,001.22222,00070.740,00068.968
38,08/12/2025,05:40,001.23611,00071.277,00069.100
39,08/12/2025,06:00,001.25000,00070.768,00069.328
40,08/12/2025,06:20,001.26389,00071.005,00069.578
41,08/12/2025,06:40,001.27778,00071.194,00069.821
42,08/12/2025,07:00,001.29167,00071.860,00070.041
43,08/12/2025,07:20,001.30556,00071.611,00070.227
44,08/12/2025,07:40,001.31944,00072.129,00070.377
45,08/12/2025,08:00,001.33333,00071.330,00070.513
46,08/12/2025,08:20,001.34722,00071.135,00070.627
47,08/12/2025,08:40,001.36111,00070.974,00070.722
48,08/12/2025,09:00,001.37500,00071.032,00070.803
49,08/12/2025,09:20,001.38889,00071.380,00070.867
50,08/12/2025,09:40,001.40278,00071.452,00070.921
51,08/12/2025,10:00,001.41667,00071.485,00070.958
52,08/12/2025,10:20,001.43056,00070.909,00071.015
53,08/12/2025,10:40,001.44444,00071.220,00071.066
54,08/12/2025,11:00,001.45833,00070.851,00071.120
55,08/12/2025,11:20,001.47222,00071.350,00071.159
56,08/12/2025,11:40,001.48611,00070.676,00071.208
57,08/12/2025,12:00,001.50000,00071.081,00071.245
58,08/12/2025,12:20,001.51389,00070.976,00071.293
59,08/12/2025,12:40,001.52778,00071.271,00071.343
60,08/12/2025,13:00,001.54167,00070.880,00071.407
61,08/12/2025,13:20,001.55556,00070.961,00071.462
62,08/12/2025,13:40,001.56944,00070.819,00071.518
63,08/12/2025,14:00,001.58333,00071.110,00071.554
64,08/12/2025,14:20,001.59722,00070.205,00071.614
65,08/12/2025,14:40,001.61111,00070.312,00071.670
66,08/12/2025,15:00,001.62500,00071.095,00071.718
67,08/12/2025,15:20,001.63889,00070.930,00071.789
68,08/12/2025,15:40,001.65278,00070.474,00071.845
69,08/12/2025,16:00,001.66667,00070.769,00071.901
70,08/12/2025,16:20,001.68056,00070.286,00071.955
71,08/12/2025,16:40,001.69444,00070.988,00071.997
72,08/12/2025,17:00,001.70833,00069.490,00072.073
73,08/12/2025,17:20,001.72222,00070.541,00072.112
74,08/12/2025,17:40,001.73611,00070.835,00072.155
75,08/12/2025,18:00,001.75000,00072.054,00072.188
76,08/12/2025,18:20,001.76389,00071.374,00072.248
77,08/12/2025,18:40,001.77778,00070.962,00072.304
78,08/12/2025,19:00,001.79167,00071.343,00072.341
79,08/12/2025,19:20,001.80556,00070.595,00072.385
80,08/12/2025,19:40,001.81944,00071.556,00072.410
81,08/12/2025,20:00,001.83333,00071.900,00072.438
82,08/12/2025,20:20,001.84722,00072.556,00072.467
83,08/12/2025,20:40,001.86111,00072.430,00072.507
84,08/12/2025,21:00,001.87500,00072.186,00072.543
85,08/12/2025,21:20,001.88889,00072.273,00072.576
86,08/12/2025,21:40,001.90278,00072.567,00072.600
87,08/12/2025,22:00,001.91667,00072.314,00072.628
88,08/12/2025,22:20,001.93056,00073.279,00072.640
89,08/12/2025,22:40,001.94444,00073.675,00072.666
90,08/12/2025,23:00,001.95833,00073.828,00072.687
91,08/12/2025,23:20,001.97222,00073.372,00072.716
92,08/12/2025,23:40,001.98611,00073.136,00072.732
93,08/13/2025,00:00,002.00000,00073.649,00072.750
94,08/13/2025,00:20,002.01389,00073.776,00072.755
95,08/13/2025,00:40,002.02778,00074.517,00072.758
96,08/13/2025,01:00,002.04167,00074.447,00072.765
97,08/13/2025,01:20,002.05556,00074.596,00072.784
98,08/13/2025,01:40,002.06944,00074.184,00072.804
99,08/13/2025,02:00,002.08333,00073.694,00072.825
100,08/13/2025,02:20,002.09722,00073.626,00072.838
101,08/13/2025,02:40,002.11111,00074.745,00072.844
102,08/13/2025,03:00,002.12500,00074.951,00072.864
103,08/13/2025,03:20,002.13889,00075.529,00072.874
104,08/13/2025,03:40,002.15278,00074.030,00072.914
105,08/13/2025,04:00,002.16667,00074.143,00072.933
106,08/13/2025,04:20,002.18056,00074.286,00072.947
107,08/13/2025,04:40,002.19444,00074.510,00072.974
108,08/13/2025,05:00,002.20833,00074.451,00072.998
109,08/13/2025,05:20,002.22222,00074.700,00073.027
110,08/13/2025,05:40,002.23611,00074.097,00073.059
111,08/13/2025,06:00,002.25000,00074.898,00073.057
112,08/13/2025,06:20,002.26389,00074.380,00073.071
113,08/13/2025,06:40,002.27778,00074.617,00073.083
114,08/13/2025,07:00,002.29167,00074.236,00073.111
115,08/13/2025,07:20,002.30556,00074.293,00073.126
116,08/13/2025,07:40,002.31944,00074.351,00073.146
117,08/13/2025,08:00,002.33333,00074.490,00073.163
118,08/13/2025,08:20,002.34722,00074.098,00073.181
119,08/13/2025,08:40,002.36111,00073.878,00073.194
120,08/13/2025,09:00,002.37500,00073.357,00073.202
121,08/13/2025,09:20,002.38889,00073.504,00073.199
122,08/13/2025,09:40,002.40278,00073.360,00073.209
123,08/13/2025,10:00,002.41667,00073.229,00073.217
124,08/13/2025,10:20,002.43056,00073.279,00073.232
125,08/13/2025,10:40,002.44444,00073.188,00073.231
126,08/13/2025,11:00,002.45833,00072.894,00073.229
127,08/13/2025,11:20,002.47222,00072.473,00073.227
128,08/13/2025,11:40,002.48611,00072.269,00073.228
129,08/13/2025,12:00,002.50000,00072.519,00073.223
130,08/13/2025,12:20,002.51389,00071.585,00073.227
131,08/13/2025,12:40,002.52778,00071.918,00073.208
132,08/13/2025,13:00,002.54167,00071.698,00073.191
133,08/13/2025,13:20,002.55556,00072.383,00073.162
134,08/13/2025,13:40,002.56944,00072.012,00073.147
135,08/13/2025,14:00,002.58333,00071.823,00073.139
136,08/13/2025,14:20,002.59722,00072.007,00073.133
137,08/13/2025,14:40,002.61111,00071.749,00073.133
138,08/13/2025,15:00,002.62500,00071.898,00073.113
139,08/13/2025,15:20,002.63889,00072.396,00073.083
140,08/13/2025,15:40,002.65278,00072.370,00073.056
141,08/13/2025,16:00,002.66667,00071.950,00073.057
142,08/13/2025,16:20,002.68056,00071.894,00073.054
143,08/13/2025,16:40,002.69444,00072.425,00073.034
144,08/13/2025,17:00,002.70833,00072.676,00073.014
145,08/13/2025,17:20,002.72222,00071.853,00073.005
146,08/13/2025,17:40,002.73611,00072.217,00072.978
147,08/13/2025,18:00,002.75000,00071.494,00072.965
148,08/13/2025,18:20,002.76389,00072.575,00072.910
149,08/13/2025,18:40,002.77778,00072.419,00072.882
150,08/13/2025,19:00,002.79167,00072.638,00072.840
151,08/13/2025,19:20,002.80556,00072.443,00072.825
152,08/13/2025,19:40,002.81944,00072.154,00072.805
153,08/13/2025,20:00,002.83333,00072.884,00072.767
154,08/13/2025,20:20,002.84722,00072.811,00072.725
155,08/13/2025,20:40,002.86111,00073.283,00072.681
156,08/13/2025,21:00,002.87500,00072.464,00072.656
157,08/13/2025,21:20,002.88889,00072.095,00072.647
158,08/13/2025,21:40,002.90278,00072.854,00072.613
159,08/13/2025,22:00,002.91667,00073.049,00072.593
160,08/13/2025,22:20,002.93056,00073.407,00072.564
161,08/13/2025,22:40,002.94444,00073.107,00072.548
162,08/13/2025,23:00,002.95833,00073.281,00072.536
163,08/13/2025,23:20,002.97222,00073.281,00072.529
164,08/13/2025,23:40,002.98611,00073.182,00072.522
165,08/14/2025,00:00,003.00000,00073.063,00072.510
166,08/14/2025,00:20,003.01389,00073.011,00072.486
167,08/14/2025,00:40,003.02778,00072.709,00072.496
168,08/14/2025,01:00,003.04167,00073.125,00072.490
169,08/14/2025,01:20,003.05556,00073.025,00072.500
170,08/14/2025,01:40,003.06944,00073.131,00072.481
171,08/14/2025,02:00,003.08333,00073.394,00072.464
172,08/14/2025,02:20,003.09722,00073.477,00072.446
173,08/14/2025,02:40,003.11111,00073.334,00072.434
174,08/14/2025,03:00,003.12500,00073.469,00072.426
175,08/14/2025,03:20,003.13889,00073.282,00072.421
176,08/14/2025,03:40,003.15278,00073.586,00072.412
177,08/14/2025,04:00,003.16667,00073.675,00072.408
178,08/14/2025,04:20,003.18056,00073.849,00072.417
179,08/14/2025,04:40,003.19444,00073.430,00072.426
180,08/14/2025,05:00,003.20833,00073.323,00072.421
181,08/14/2025,05:20,003.22222,00072.958,00072.414
182,08/14/2025,05:40,003.23611,00073.104,00072.411
183,08/14/2025,06:00,003.25000,00072.432,00072.419
184,08/14/2025,06:20,003.26389,00072.038,00072.424
185,08/14/2025,06:40,003.27778,00072.181,00072.395
186,08/14/2025,07:00,003.29167,00071.822,00072.377
187,08/14/2025,07:20,003.30556,00072.956,00072.338
188,08/14/2025,07:40,003.31944,00072.578,00072.336
189,08/14/2025,08:00,003.33333,00072.339,00072.327
190,08/14/2025,08:20,003.34722,00071.407,00072.327
191,08/14/2025,08:40,003.36111,00071.382,00072.309
192,08/14/2025,09:00,003.37500,00071.294,00072.292
193,08/14/2025,09:20,003.38889,00072.319,00072.274
194,08/14/2025,09:40,003.40278,00071.826,00072.279
195,08/14/2025,10:00,003.41667,00072.082,00072.251
196,08/14/2025,10:20,003.43056,00071.524,00072.235
197,08/14/2025,10:40,003.44444,00071.796,00072.204
198,08/14/2025,11:00,003.45833,00072.511,00072.172
199,08/14/2025,11:20,003.47222,00072.380,00072.155
200,08/14/2025,11:40,003.48611,00071.871,00072.147
201,08/14/2025,12:00,003.50000,00071.298,00072.151
202,08/14/2025,12:20,003.51389,00070.723,00072.148
203,08/14/2025,12:40,003.52778,00072.035,00072.124
204,08/14/2025,13:00,003.54167,00071.921,00072.123
205,08/14/2025,13:20,003.55556,00072.280,00072.114
206,08/14/2025,13:40,003.56944,00071.136,00072.129
207,08/14/2025,14:00,003.58333,00071.014,00072.122
208,08/14/2025,14:20,003.59722,00070.677,00072.118
209,08/14/2025,14:40,003.61111,00070.953,00072.096
210,08/14/2025,15:00,003.62500,00071.355,00072.086
211,08/14/2025,15:20,003.63889,00071.325,00072.066
212,08/14/2025,15:40,003.65278,00072.018,00072.051
213,08/14/2025,16:00,003.66667,00072.197,00072.034
214,08/14/2025,16:20,003.68056,00072.780,00072.023
215,08/14/2025,16:40,003.69444,00072.112,00072.019
216,08/14/2025,17:00,003.70833,00071.987,00072.019
217,08/14/2025,17:20,003.72222,00071.812,00072.026
218,08/14/2025,17:40,003.73611,00071.734,00072.027
219,08/14/2025,18:00,003.75000,00072.161,00072.011
220,08/14/2025,18:20,003.76389,00071.420,00072.017
221,08/14/2025,18:40,003.77778,00070.641,00072.035
222,08/14/2025,19:00,003.79167,00070.801,00072.043
223,08/14/2025,19:20,003.80556,00070.930,00072.057
224,08/14/2025,19:40,003.81944,00071.938,00072.049
225,08/14/2025,20:00,003.83333,00071.283,00072.053
226,08/14/2025,20:20,003.84722,00071.896,00072.052
227,08/14/2025,20:40,003.86111,00071.538,00072.066
228,08/14/2025,21:00,003.87500,00071.981,00072.074
229,08/14/2025,21:20,003.88889,00072.150,00072.071
230,08/14/2025,21:40,003.90278,00071.981,00072.069
231,08/14/2025,22:00,003.91667,00071.117,00072.086
232,08/14/2025,22:20,003.93056,00071.295,00072.085
233,08/14/2025,22:40,003.94444,00071.446,00072.088
234,08/14/2025,23:00,003.95833,00071.535,00072.091
235,08/14/2025,23:20,003.97222,00071.912,00072.076
236,08/14/2025,23:40,003.98611,00072.229,00072.070
237,08/15/2025,00:00,004.00000,00072.861,00072.059
238,08/15/2025,00:20,004.01389,00072.314,00072.081
239,08/15/2025,00:40,004.02778,00072.544,00072.093
240,08/15/2025,01:00,004.04167,00072.509,00072.099
241,08/15/2025,01:20,004.05556,00072.858,00072.106
242,08/15/2025,01:40,004.06944,00073.001,00072.110
243,08/15/2025,02:00,004.08333,00072.503,00072.142
244,08/15/2025,02:20,004.09722,00072.762,00072.158
245,08/15/2025,02:40,004.11111,00072.119,00072.196
246,08/15/2025,03:00,004.12500,00073.047,00072.213
247,08/15/2025,03:20,004.13889,00071.989,00072.249
248,08/15/2025,03:40,004.15278,00072.940,00072.265
249,08/15/2025,04:00,004.16667,00072.541,00072.278
250,08/15/2025,04:20,004.18056,00073.440,00072.271
251,08/15/2025,04:40,004.19444,00072.872,00072.274
252,08/15/2025,05:00,004.20833,00073.344,00072.274
253,08/15/2025,05:20,004.22222,00073.604,00072.288
254,08/15/2025,05:40,004.23611,00073.002,00072.313
255,08/15/2025,06:00,004.25000,00072.377,00072.349
256,08/15/2025,06:20,004.26389,00072.064,00072.365
257,08/15/2025,06:40,004.27778,00072.588,00072.373
258,08/15/2025,07:00,004.29167,00072.901,00072.396
259,08/15/2025,07:20,004.30556,00072.940,00072.420
260,08/15/2025,07:40,004.31944,00073.424,00072.444
261,08/15/2025,08:00,004.33333,00072.178,00072.478
262,08/15/2025,08:20,004.34722,00072.885,00072.504
263,08/15/2025,08:40,004.36111,00072.071,00072.529
264,08/15/2025,09:00,004.37500,00072.382,00072.542
265,08/15/2025,09:20,004.38889,00071.288,00072.572
266,08/15/2025,09:40,004.40278,00071.986,00072.581
267,08/15/2025,10:00,004.41667,00072.208,00072.608
268,08/15/2025,10:20,004.43056,00072.156,00072.639
269,08/15/2025,10:40,004.44444,00071.876,00072.673
270,08/15/2025,11:00,004.45833,00072.137,00072.688
271,08/15/2025,11:20,004.47222,00071.813,00072.720
272,08/15/2025,11:40,004.48611,00072.264,00072.731
273,08/15/2025,12:00,004.50000,00071.695,00072.749
274,08/15/2025,12:20,004.51389,00072.330,00072.734
275,08/15/2025,12:40,004.52778,00071.836,00072.743
276,08/15/2025,13:00,004.54167,00072.444,00072.731
277,08/15/2025,13:20,004.55556,00072.785,00072.731
278,08/15/2025,13:40,004.56944,00072.655,00072.746
279,08/15/2025,14:00,004.58333,00072.984,00072.753
280,08/15/2025,14:20,004.59722,00072.405,00072.782
281,08/15/2025,14:40,004.61111,00072.796,00072.787
282,08/15/2025,15:00,004.62500,00073.088,00072.803
283,08/15/2025,15:20,004.63889,00072.889,00072.810
284,08/15/2025,15:40,004.65278,00073.446,00072.828
285,08/15/2025,16:00,004.66667,00072.544,00072.851
286,08/15/2025,16:20,004.68056,00072.556,00072.862
287,08/15/2025,16:40,004.69444,00072.483,00072.848
288,08/15/2025,17:00,004.70833,00072.534,00072.848
289,08/15/2025,17:20,004.72222,00073.245,00072.834
290,08/15/2025,17:40,004.73611,00073.071,00072.841
291,08/15/2025,18:00,004.75000,00073.672,00072.854
292,08/15/2025,18:20,004.76389,00073.002,00072.884
293,08/15/2025,18:40,004.77778,00072.487,00072.919
294,08/15/2025,19:00,004.79167,00072.627,00072.933
295,08/15/2025,19:20,004.80556,00072.557,00072.946
296,08/15/2025,19:40,004.81944,00073.189,00072.947
297,08/15/2025,20:00,004.83333,00073.139,00072.949
298,08/15/2025,20:20,004.84722,00073.862,00072.963
299,08/15/2025,20:40,004.86111,00072.887,00072.989
300,08/15/2025,21:00,004.87500,00072.759,00073.006
301,08/15/2025,21:20,004.88889,00073.031,00073.017
302,08/15/2025,21:40,004.90278,00073.516,00073.036
303,08/15/2025,22:00,004.91667,00074.135,00073.035
304,08/15/2025,22:20,004.93056,00073.332,00073.049
305,08/15/2025,22:40,004.94444,00073.453,00073.046
306,08/15/2025,23:00,004.95833,00072.798,00073.065
307,08/15/2025,23:20,004.97222,00073.523,00073.059
308,08/15/2025,23:40,004.98611,00073.159,00073.082
309,08/16/2025,00:00,005.00000,00072.942,00073.086
310,08/16/2025,00:20,005.01389,00072.384,00073.101
311,08/16/2025,00:40,005.02778,00072.469,00073.103
312,08/16/2025,01:00,005.04167,00072.304,00073.126
313,08/16/2025,01:20,005.05556,00072.858,00073.130
314,08/16/2025,01:40,005.06944,00073.813,00073.126
315,08/16/2025,02:00,005.08333,00073.809,00073.122
316,08/16/2025,02:20,005.09722,00074.054,00073.110
