LumiCycle: 5C-1FT7 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,16:57,000.70625,00046.874,00042.730
1,08/11/2025,17:17,000.72014,00040.302,00042.732
2,08/11/2025,17:37,000.73403,00035.420,00042.703
3,08/11/2025,17:57,000.74792,00030.696,00042.673
4,08/11/2025,18:17,000.76181,00029.487,00042.590
5,08/11/2025,18:37,000.77569,00029.799,00042.490
6,08/11/2025,18:57,000.78958,00031.729,00042.365
7,08/11/2025,19:17,000.80347,00033.163,00042.240
8,08/11/2025,19:37,000.81736,00035.702,00042.096
9,08/11/2025,19:57,000.83125,00036.233,00041.969
10,08/11/2025,20:17,000.84514,00038.168,00041.819
11,08/11/2025,20:37,000.85903,00038.637,00041.681
12,08/11/2025,20:57,000.87292,00039.300,00041.542
13,08/11/2025,21:17,000.88681,00039.156,00041.421
14,08/11/2025,21:37,000.90069,00039.738,00041.285
15,08/11/2025,21:57,000.91458,00039.165,00041.162
16,08/11/2025,22:17,000.92847,00039.901,00041.018
17,08/11/2025,22:37,000.94236,00040.264,00040.877
18,08/11/2025,22:57,000.95625,00040.579,00040.738
19,08/11/2025,23:17,000.97014,00040.681,00040.597
20,08/11/2025,23:37,000.98403,00040.598,00040.455
21,08/11/2025,23:57,000.99792,00040.305,00040.317
22,08/12/2025,00:17,001.01181,00040.321,00040.172
23,08/12/2025,00:37,001.02569,00040.300,00040.030
24,08/12/2025,00:57,001.03958,00040.468,00039.876
25,08/12/2025,01:17,001.05347,00040.709,00039.721
26,08/12/2025,01:37,001.06736,00040.750,00039.566
27,08/12/2025,01:57,001.08125,00041.046,00039.399
28,08/12/2025,02:17,001.09514,00040.734,00039.242
29,08/12/2025,02:37,001.10903,00040.174,00039.089
30,08/12/2025,02:57,001.12292,00040.613,00038.926
31,08/12/2025,03:17,001.13681,00040.773,00038.766
32,08/12/2025,03:37,001.15069,00041.314,00038.595
33,08/12/2025,03:57,001.16458,00040.729,00038.429
34,08/12/2025,04:17,001.17847,00040.923,00038.257
35,08/12/2025,04:37,001.19236,00040.594,00038.083
36,08/12/2025,04:57,001.20625,00040.598,00037.915
37,08/12/2025,05:17,001.22014,00040.480,00037.748
38,08/12/2025,05:37,001.23403,00039.930,00037.682
39,08/12/2025,05:57,001.24792,00039.931,00037.669
40,08/12/2025,06:17,001.26181,00039.705,00037.728
41,08/12/2025,06:37,001.27569,00040.022,00037.793
42,08/12/2025,06:57,001.28958,00039.809,00037.868
43,08/12/2025,07:17,001.30347,00039.257,00037.919
44,08/12/2025,07:37,001.31736,00039.039,00037.956
45,08/12/2025,07:57,001.33125,00038.296,00037.962
46,08/12/2025,08:17,001.34514,00038.028,00037.957
47,08/12/2025,08:37,001.35903,00037.360,00037.932
48,08/12/2025,08:57,001.37292,00037.573,00037.882
49,08/12/2025,09:17,001.38681,00037.966,00037.820
50,08/12/2025,09:37,001.40069,00037.720,00037.783
51,08/12/2025,09:57,001.41458,00037.455,00037.742
52,08/12/2025,10:17,001.42847,00037.194,00037.716
53,08/12/2025,10:37,001.44236,00037.087,00037.680
54,08/12/2025,10:57,001.45625,00037.218,00037.642
55,08/12/2025,11:17,001.47014,00036.800,00037.602
56,08/12/2025,11:37,001.48403,00036.550,00037.565
57,08/12/2025,11:57,001.49792,00036.640,00037.524
58,08/12/2025,12:17,001.51181,00036.502,00037.503
59,08/12/2025,12:37,001.52569,00036.573,00037.481
60,08/12/2025,12:57,001.53958,00036.011,00037.470
61,08/12/2025,13:17,001.55347,00035.920,00037.450
62,08/12/2025,13:37,001.56736,00035.769,00037.432
63,08/12/2025,13:57,001.58125,00035.151,00037.432
64,08/12/2025,14:17,001.59514,00035.251,00037.422
65,08/12/2025,14:37,001.60903,00035.270,00037.426
66,08/12/2025,14:57,001.62292,00035.628,00037.434
67,08/12/2025,15:17,001.63681,00035.491,00037.449
68,08/12/2025,15:37,001.65069,00035.104,00037.470
69,08/12/2025,15:57,001.66458,00034.352,00037.491
70,08/12/2025,16:17,001.67847,00034.670,00037.506
71,08/12/2025,16:37,001.69236,00033.971,00037.540
72,08/12/2025,16:57,001.70625,00034.843,00037.557
73,08/12/2025,17:17,001.72014,00034.729,00037.593
74,08/12/2025,17:37,001.73403,00034.982,00037.629
75,08/12/2025,17:57,001.74792,00034.502,00037.690
76,08/12/2025,18:17,001.76181,00034.686,00037.742
77,08/12/2025,18:37,001.77569,00034.511,00037.811
78,08/12/2025,18:57,001.78958,00034.955,00037.868
79,08/12/2025,19:17,001.80347,00034.838,00037.941
80,08/12/2025,19:37,001.81736,00035.618,00038.001
81,08/12/2025,19:57,001.83125,00035.395,00038.074
82,08/12/2025,20:17,001.84514,00035.629,00038.162
83,08/12/2025,20:37,001.85903,00035.658,00038.260
84,08/12/2025,20:57,001.87292,00035.278,00038.378
85,08/12/2025,21:17,001.88681,00035.243,00038.487
86,08/12/2025,21:37,001.90069,00036.210,00038.582
87,08/12/2025,21:57,001.91458,00036.535,00038.688
88,08/12/2025,22:17,001.92847,00037.030,00038.788
89,08/12/2025,22:37,001.94236,00037.193,00038.893
90,08/12/2025,22:57,001.95625,00037.679,00038.996
91,08/12/2025,23:17,001.97014,00037.250,00039.102
92,08/12/2025,23:37,001.98403,00037.779,00039.197
93,08/12/2025,23:57,001.99792,00037.755,00039.301
94,08/13/2025,00:17,002.01181,00038.667,00039.390
95,08/13/2025,00:37,002.02569,00038.784,00039.490
96,08/13/2025,00:57,002.03958,00038.980,00039.590
97,08/13/2025,01:17,002.05347,00038.902,00039.695
98,08/13/2025,01:37,002.06736,00039.284,00039.793
99,08/13/2025,01:57,002.08125,00040.087,00039.875
100,08/13/2025,02:17,002.09514,00040.461,00039.975
101,08/13/2025,02:37,002.10903,00041.007,00040.066
102,08/13/2025,02:57,002.12292,00041.146,00040.154
103,08/13/2025,03:17,002.13681,00041.523,00040.227
104,08/13/2025,03:37,002.15069,00041.893,00040.294
105,08/13/2025,03:57,002.16458,00042.096,00040.374
106,08/13/2025,04:17,002.17847,00042.153,00040.464
107,08/13/2025,04:37,002.19236,00042.652,00040.550
108,08/13/2025,04:57,002.20625,00042.668,00040.642
109,08/13/2025,05:17,002.22014,00043.107,00040.715
110,08/13/2025,05:37,002.23403,00043.319,00040.783
111,08/13/2025,05:57,002.24792,00043.819,00040.845
112,08/13/2025,06:17,002.26181,00043.905,00040.911
113,08/13/2025,06:37,002.27569,00044.465,00040.976
114,08/13/2025,06:57,002.28958,00044.581,00041.040
115,08/13/2025,07:17,002.30347,00044.916,00041.096
116,08/13/2025,07:37,002.31736,00044.413,00041.161
117,08/13/2025,07:57,002.33125,00044.079,00041.213
118,08/13/2025,08:17,002.34514,00044.823,00041.247
119,08/13/2025,08:37,002.35903,00045.153,00041.287
120,08/13/2025,08:57,002.37292,00045.456,00041.324
121,08/13/2025,09:17,002.38681,00045.384,00041.378
122,08/13/2025,09:37,002.40069,00045.770,00041.423
123,08/13/2025,09:57,002.41458,00045.648,00041.458
124,08/13/2025,10:17,002.42847,00045.171,00041.487
125,08/13/2025,10:37,002.44236,00044.953,00041.508
126,08/13/2025,10:57,002.45625,00044.932,00041.527
127,08/13/2025,11:17,002.47014,00044.451,00041.537
128,08/13/2025,11:37,002.48403,00044.165,00041.555
129,08/13/2025,11:57,002.49792,00044.022,00041.568
130,08/13/2025,12:17,002.51181,00043.918,00041.587
131,08/13/2025,12:37,002.52569,00043.860,00041.591
132,08/13/2025,12:57,002.53958,00043.940,00041.592
133,08/13/2025,13:17,002.55347,00043.545,00041.593
134,08/13/2025,13:37,002.56736,00043.324,00041.595
135,08/13/2025,13:57,002.58125,00042.477,00041.598
136,08/13/2025,14:17,002.59514,00042.731,00041.582
137,08/13/2025,14:37,002.60903,00042.357,00041.565
138,08/13/2025,14:57,002.62292,00041.703,00041.549
139,08/13/2025,15:17,002.63681,00041.270,00041.535
140,08/13/2025,15:37,002.65069,00040.732,00041.526
141,08/13/2025,15:57,002.66458,00041.063,00041.502
142,08/13/2025,16:17,002.67847,00040.870,00041.485
143,08/13/2025,16:37,002.69236,00041.338,00041.460
144,08/13/2025,16:57,002.70625,00040.635,00041.439
145,08/13/2025,17:17,002.72014,00040.554,00041.407
146,08/13/2025,17:37,002.73403,00039.850,00041.376
147,08/13/2025,17:57,002.74792,00039.890,00041.334
148,08/13/2025,18:17,002.76181,00039.381,00041.292
149,08/13/2025,18:37,002.77569,00039.898,00041.246
150,08/13/2025,18:57,002.78958,00039.226,00041.207
151,08/13/2025,19:17,002.80347,00039.310,00041.157
152,08/13/2025,19:37,002.81736,00039.021,00041.115
153,08/13/2025,19:57,002.83125,00039.051,00041.091
154,08/13/2025,20:17,002.84514,00038.592,00041.071
155,08/13/2025,20:37,002.85903,00038.808,00041.038
156,08/13/2025,20:57,002.87292,00038.649,00040.997
157,08/13/2025,21:17,002.88681,00039.128,00040.944
158,08/13/2025,21:37,002.90069,00038.858,00040.899
159,08/13/2025,21:57,002.91458,00038.583,00040.856
160,08/13/2025,22:17,002.92847,00038.154,00040.815
161,08/13/2025,22:37,002.94236,00038.321,00040.775
162,08/13/2025,22:57,002.95625,00038.527,00040.736
163,08/13/2025,23:17,002.97014,00037.968,00040.707
164,08/13/2025,23:37,002.98403,00038.250,00040.665
165,08/13/2025,23:57,002.99792,00038.575,00040.627
166,08/14/2025,00:17,003.01181,00038.959,00040.597
167,08/14/2025,00:37,003.02569,00038.938,00040.578
168,08/14/2025,00:57,003.03958,00038.898,00040.562
169,08/14/2025,01:17,003.05347,00038.713,00040.545
170,08/14/2025,01:37,003.06736,00038.810,00040.525
171,08/14/2025,01:57,003.08125,00038.616,00040.511
172,08/14/2025,02:17,003.09514,00039.237,00040.491
173,08/14/2025,02:37,003.10903,00038.840,00040.494
174,08/14/2025,02:57,003.12292,00039.231,00040.481
175,08/14/2025,03:17,003.13681,00039.708,00040.476
176,08/14/2025,03:37,003.15069,00040.333,00040.469
177,08/14/2025,03:57,003.16458,00040.475,00040.475
178,08/14/2025,04:17,003.17847,00040.681,00040.479
179,08/14/2025,04:37,003.19236,00040.809,00040.487
180,08/14/2025,04:57,003.20625,00040.432,00040.486
181,08/14/2025,05:17,003.22014,00040.284,00040.499
182,08/14/2025,05:37,003.23403,00040.146,00040.509
183,08/14/2025,05:57,003.24792,00040.354,00040.529
184,08/14/2025,06:17,003.26181,00040.326,00040.541
185,08/14/2025,06:37,003.27569,00041.052,00040.543
186,08/14/2025,06:57,003.28958,00040.995,00040.543
187,08/14/2025,07:17,003.30347,00041.116,00040.550
188,08/14/2025,07:37,003.31736,00041.582,00040.551
189,08/14/2025,07:57,003.33125,00042.703,00040.546
190,08/14/2025,08:17,003.34514,00042.204,00040.567
191,08/14/2025,08:37,003.35903,00042.623,00040.578
192,08/14/2025,08:57,003.37292,00042.040,00040.607
193,08/14/2025,09:17,003.38681,00042.129,00040.625
194,08/14/2025,09:37,003.40069,00041.911,00040.640
195,08/14/2025,09:57,003.41458,00042.378,00040.647
196,08/14/2025,10:17,003.42847,00042.252,00040.663
197,08/14/2025,10:37,003.44236,00042.482,00040.681
198,08/14/2025,10:57,003.45625,00042.364,00040.701
199,08/14/2025,11:17,003.47014,00042.254,00040.720
200,08/14/2025,11:37,003.48403,00041.733,00040.752
201,08/14/2025,11:57,003.49792,00041.757,00040.769
202,08/14/2025,12:17,003.51181,00042.214,00040.778
203,08/14/2025,12:37,003.52569,00042.507,00040.783
204,08/14/2025,12:57,003.53958,00042.714,00040.791
205,08/14/2025,13:17,003.55347,00042.491,00040.810
206,08/14/2025,13:37,003.56736,00042.203,00040.838
207,08/14/2025,13:57,003.58125,00042.109,00040.862
208,08/14/2025,14:17,003.59514,00041.703,00040.885
209,08/14/2025,14:37,003.60903,00042.511,00040.885
210,08/14/2025,14:57,003.62292,00041.869,00040.911
211,08/14/2025,15:17,003.63681,00041.821,00040.922
212,08/14/2025,15:37,003.65069,00041.347,00040.931
213,08/14/2025,15:57,003.66458,00041.352,00040.924
214,08/14/2025,16:17,003.67847,00041.554,00040.915
215,08/14/2025,16:37,003.69236,00041.535,00040.906
216,08/14/2025,16:57,003.70625,00040.909,00040.903
217,08/14/2025,17:17,003.72014,00041.444,00040.889
218,08/14/2025,17:37,003.73403,00041.072,00040.886
219,08/14/2025,17:57,003.74792,00041.534,00040.880
220,08/14/2025,18:17,003.76181,00040.691,00040.891
221,08/14/2025,18:37,003.77569,00040.262,00040.903
222,08/14/2025,18:57,003.78958,00039.878,00040.897
223,08/14/2025,19:17,003.80347,00039.805,00040.892
224,08/14/2025,19:37,003.81736,00039.909,00040.885
225,08/14/2025,19:57,003.83125,00039.781,00040.873
226,08/14/2025,20:17,003.84514,00040.008,00040.834
227,08/14/2025,20:37,003.85903,00039.800,00040.808
228,08/14/2025,20:57,003.87292,00040.326,00040.761
229,08/14/2025,21:17,003.88681,00040.054,00040.739
230,08/14/2025,21:37,003.90069,00039.966,00040.710
231,08/14/2025,21:57,003.91458,00039.840,00040.698
232,08/14/2025,22:17,003.92847,00039.646,00040.672
233,08/14/2025,22:37,003.94236,00039.665,00040.653
234,08/14/2025,22:57,003.95625,00039.648,00040.628
235,08/14/2025,23:17,003.97014,00039.788,00040.612
236,08/14/2025,23:37,003.98403,00039.769,00040.600
237,08/14/2025,23:57,003.99792,00039.428,00040.597
238,08/15/2025,00:17,004.01181,00039.700,00040.587
239,08/15/2025,00:37,004.02569,00039.622,00040.574
240,08/15/2025,00:57,004.03958,00039.758,00040.556
241,08/15/2025,01:17,004.05347,00040.016,00040.537
242,08/15/2025,01:37,004.06736,00040.403,00040.512
243,08/15/2025,01:57,004.08125,00040.502,00040.502
244,08/15/2025,02:17,004.09514,00039.860,00040.498
245,08/15/2025,02:37,004.10903,00040.016,00040.481
246,08/15/2025,02:57,004.12292,00040.098,00040.456
247,08/15/2025,03:17,004.13681,00039.954,00040.438
248,08/15/2025,03:37,004.15069,00039.861,00040.425
249,08/15/2025,03:57,004.16458,00039.881,00040.419
250,08/15/2025,04:17,004.17847,00040.032,00040.415
