LumiCycle: 6B-2ML3 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:12,000.71667,00092.162,00103.015
1,08/11/2025,17:32,000.73056,00087.113,00103.442
2,08/11/2025,17:52,000.74444,00083.042,00103.843
3,08/11/2025,18:12,000.75833,00081.589,00104.201
4,08/11/2025,18:32,000.77222,00085.578,00104.490
5,08/11/2025,18:52,000.78611,00091.606,00104.755
6,08/11/2025,19:12,000.80000,00098.761,00104.998
7,08/11/2025,19:32,000.81389,00105.004,00105.249
8,08/11/2025,19:52,000.82778,00109.947,00105.491
9,08/11/2025,20:12,000.84167,00114.237,00105.746
10,08/11/2025,20:32,000.85556,00117.171,00106.010
11,08/11/2025,20:52,000.86944,00119.357,00106.279
12,08/11/2025,21:12,000.88333,00119.914,00106.565
13,08/11/2025,21:32,000.89722,00121.100,00106.846
14,08/11/2025,21:52,000.91111,00121.324,00107.142
15,08/11/2025,22:12,000.92500,00121.278,00107.444
16,08/11/2025,22:32,000.93889,00120.854,00107.733
17,08/11/2025,22:52,000.95278,00121.729,00108.001
18,08/11/2025,23:12,000.96667,00121.147,00108.279
19,08/11/2025,23:32,000.98056,00120.887,00108.545
20,08/11/2025,23:52,000.99444,00121.176,00108.799
21,08/12/2025,00:12,001.00833,00120.924,00109.069
22,08/12/2025,00:32,001.02222,00121.525,00109.313
23,08/12/2025,00:52,001.03611,00121.540,00109.563
24,08/12/2025,01:12,001.05000,00120.947,00109.822
25,08/12/2025,01:32,001.06389,00120.425,00110.064
26,08/12/2025,01:52,001.07778,00120.695,00110.311
27,08/12/2025,02:12,001.09167,00119.831,00110.559
28,08/12/2025,02:32,001.10556,00120.361,00110.795
29,08/12/2025,02:52,001.11944,00119.541,00111.045
30,08/12/2025,03:12,001.13333,00119.288,00111.287
31,08/12/2025,03:32,001.14722,00118.929,00111.520
32,08/12/2025,03:52,001.16111,00117.927,00111.757
33,08/12/2025,04:12,001.17500,00118.985,00111.970
34,08/12/2025,04:32,001.18889,00118.254,00112.210
35,08/12/2025,04:52,001.20278,00119.082,00112.425
36,08/12/2025,05:12,001.21667,00118.201,00112.667
37,08/12/2025,05:32,001.23056,00117.835,00112.906
38,08/12/2025,05:52,001.24444,00116.979,00113.225
39,08/12/2025,06:12,001.25833,00116.452,00113.605
