LumiCycle: 7D-2MT12 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,16:57,000.70625,00083.471,00086.605
1,08/11/2025,17:17,000.72014,00075.220,00086.843
2,08/11/2025,17:37,000.73403,00068.380,00087.065
3,08/11/2025,17:57,000.74792,00062.468,00087.271
4,08/11/2025,18:17,000.76181,00062.735,00087.395
5,08/11/2025,18:37,000.77569,00065.948,00087.481
6,08/11/2025,18:57,000.78958,00071.143,00087.531
7,08/11/2025,19:17,000.80347,00077.546,00087.567
8,08/11/2025,19:37,000.81736,00083.198,00087.603
9,08/11/2025,19:57,000.83125,00088.583,00087.632
10,08/11/2025,20:17,000.84514,00091.931,00087.683
11,08/11/2025,20:37,000.85903,00094.473,00087.757
12,08/11/2025,20:57,000.87292,00096.018,00087.847
13,08/11/2025,21:17,000.88681,00096.252,00087.944
14,08/11/2025,21:37,000.90069,00097.231,00088.015
15,08/11/2025,21:57,000.91458,00097.233,00088.088
16,08/11/2025,22:17,000.92847,00098.088,00088.149
17,08/11/2025,22:37,000.94236,00097.747,00088.228
18,08/11/2025,22:57,000.95625,00098.219,00088.295
19,08/11/2025,23:17,000.97014,00097.247,00088.374
20,08/11/2025,23:37,000.98403,00096.798,00088.433
21,08/11/2025,23:57,000.99792,00096.494,00088.486
22,08/12/2025,00:17,001.01181,00096.141,00088.542
23,08/12/2025,00:37,001.02569,00096.208,00088.588
24,08/12/2025,00:57,001.03958,00095.750,00088.633
25,08/12/2025,01:17,001.05347,00095.906,00088.659
26,08/12/2025,01:37,001.06736,00096.141,00088.675
27,08/12/2025,01:57,001.08125,00095.760,00088.693
28,08/12/2025,02:17,001.09514,00094.977,00088.711
29,08/12/2025,02:37,001.10903,00094.867,00088.706
30,08/12/2025,02:57,001.12292,00094.384,00088.705
31,08/12/2025,03:17,001.13681,00093.896,00088.694
32,08/12/2025,03:37,001.15069,00093.105,00088.683
33,08/12/2025,03:57,001.16458,00092.442,00088.679
34,08/12/2025,04:17,001.17847,00092.519,00088.657
35,08/12/2025,04:37,001.19236,00092.449,00088.634
36,08/12/2025,04:57,001.20625,00093.117,00088.600
37,08/12/2025,05:17,001.22014,00092.360,00088.582
38,08/12/2025,05:37,001.23403,00092.618,00088.672
39,08/12/2025,05:57,001.24792,00092.359,00088.858
40,08/12/2025,06:17,001.26181,00092.649,00089.123
41,08/12/2025,06:37,001.27569,00092.879,00089.388
42,08/12/2025,06:57,001.28958,00092.264,00089.625
43,08/12/2025,07:17,001.30347,00092.473,00089.779
44,08/12/2025,07:37,001.31736,00091.706,00089.863
45,08/12/2025,07:57,001.33125,00090.986,00089.879
46,08/12/2025,08:17,001.34514,00090.472,00089.823
47,08/12/2025,08:37,001.35903,00091.375,00089.712
48,08/12/2025,08:57,001.37292,00091.445,00089.581
49,08/12/2025,09:17,001.38681,00090.690,00089.464
50,08/12/2025,09:37,001.40069,00089.555,00089.352
51,08/12/2025,09:57,001.41458,00088.778,00089.246
52,08/12/2025,10:17,001.42847,00088.684,00089.141
53,08/12/2025,10:37,001.44236,00088.827,00089.039
54,08/12/2025,10:57,001.45625,00088.791,00088.960
55,08/12/2025,11:17,001.47014,00088.197,00088.897
56,08/12/2025,11:37,001.48403,00087.234,00088.866
57,08/12/2025,11:57,001.49792,00086.996,00088.826
58,08/12/2025,12:17,001.51181,00087.142,00088.808
59,08/12/2025,12:37,001.52569,00086.833,00088.825
60,08/12/2025,12:57,001.53958,00086.245,00088.868
61,08/12/2025,13:17,001.55347,00085.492,00088.941
62,08/12/2025,13:37,001.56736,00084.861,00089.011
63,08/12/2025,13:57,001.58125,00084.451,00089.089
64,08/12/2025,14:17,001.59514,00083.970,00089.189
65,08/12/2025,14:37,001.60903,00083.014,00089.329
66,08/12/2025,14:57,001.62292,00082.876,00089.465
67,08/12/2025,15:17,001.63681,00082.231,00089.632
68,08/12/2025,15:37,001.65069,00081.845,00089.814
69,08/12/2025,15:57,001.66458,00082.547,00090.010
70,08/12/2025,16:17,001.67847,00081.932,00090.241
71,08/12/2025,16:37,001.69236,00081.764,00090.477
72,08/12/2025,16:57,001.70625,00081.700,00090.723
73,08/12/2025,17:17,001.72014,00081.387,00090.960
74,08/12/2025,17:37,001.73403,00081.957,00091.206
75,08/12/2025,17:57,001.74792,00081.522,00091.474
76,08/12/2025,18:17,001.76181,00081.861,00091.740
77,08/12/2025,18:37,001.77569,00082.022,00092.016
78,08/12/2025,18:57,001.78958,00082.438,00092.279
79,08/12/2025,19:17,001.80347,00082.408,00092.557
80,08/12/2025,19:37,001.81736,00082.818,00092.819
