LumiCycle: 8A-1FT5 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:07,000.71319,00063.202,00065.268
1,08/11/2025,17:27,000.72708,00059.190,00065.433
2,08/11/2025,17:47,000.74097,00055.699,00065.588
3,08/11/2025,18:07,000.75486,00053.516,00065.725
4,08/11/2025,18:27,000.76875,00054.516,00065.816
5,08/11/2025,18:47,000.78264,00056.805,00065.885
6,08/11/2025,19:07,000.79653,00059.648,00065.946
7,08/11/2025,19:27,000.81042,00061.685,00066.017
8,08/11/2025,19:47,000.82431,00064.134,00066.091
9,08/11/2025,20:07,000.83819,00064.771,00066.194
10,08/11/2025,20:27,000.85208,00066.084,00066.276
11,08/11/2025,20:47,000.86597,00067.236,00066.367
12,08/11/2025,21:07,000.87986,00068.600,00066.445
13,08/11/2025,21:27,000.89375,00069.305,00066.536
14,08/11/2025,21:47,000.90764,00070.074,00066.613
15,08/11/2025,22:07,000.92153,00070.431,00066.684
16,08/11/2025,22:27,000.93542,00069.999,00066.769
17,08/11/2025,22:47,000.94931,00069.987,00066.852
18,08/11/2025,23:07,000.96319,00069.969,00066.943
19,08/11/2025,23:27,000.97708,00070.499,00067.032
20,08/11/2025,23:47,000.99097,00070.631,00067.127
21,08/12/2025,00:07,001.00486,00070.539,00067.234
22,08/12/2025,00:27,001.01875,00070.845,00067.328
23,08/12/2025,00:47,001.03264,00070.445,00067.429
24,08/12/2025,01:07,001.04653,00070.775,00067.516
25,08/12/2025,01:27,001.06042,00070.750,00067.617
26,08/12/2025,01:47,001.07431,00070.970,00067.708
27,08/12/2025,02:07,001.08819,00070.720,00067.813
28,08/12/2025,02:27,001.10208,00071.036,00067.897
29,08/12/2025,02:47,001.11597,00070.350,00068.001
30,08/12/2025,03:07,001.12986,00071.364,00068.074
31,08/12/2025,03:27,001.14375,00070.624,00068.180
32,08/12/2025,03:47,001.15764,00070.404,00068.273
33,08/12/2025,04:07,001.17153,00069.957,00068.376
34,08/12/2025,04:27,001.18542,00070.389,00068.459
35,08/12/2025,04:47,001.19931,00070.801,00068.544
36,08/12/2025,05:07,001.21319,00071.225,00068.625
37,08/12/2025,05:27,001.22708,00071.081,00068.724
38,08/12/2025,05:47,001.24097,00070.918,00068.893
39,08/12/2025,06:07,001.25486,00070.878,00069.101
40,08/12/2025,06:27,001.26875,00070.705,00069.350
41,08/12/2025,06:47,001.28264,00070.490,00069.573
