LumiCycle: 8C-2ML4 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,08/11/2025,17:05,000.71181,00067.735,00085.836
1,08/11/2025,17:25,000.72569,00062.235,00086.337
2,08/11/2025,17:45,000.73958,00057.404,00086.834
3,08/11/2025,18:05,000.75347,00053.804,00087.295
4,08/11/2025,18:25,000.76736,00056.342,00087.658
5,08/11/2025,18:45,000.78125,00064.785,00087.923
6,08/11/2025,19:05,000.79514,00077.793,00088.118
7,08/11/2025,19:25,000.80903,00092.600,00088.274
8,08/11/2025,19:45,000.82292,00104.379,00088.462
9,08/11/2025,20:05,000.83681,00114.242,00088.641
10,08/11/2025,20:25,000.85069,00119.812,00088.872
11,08/11/2025,20:45,000.86458,00122.785,00089.114
12,08/11/2025,21:05,000.87847,00123.701,00089.381
13,08/11/2025,21:25,000.89236,00123.195,00089.652
14,08/11/2025,21:45,000.90625,00122.391,00089.920
15,08/11/2025,22:05,000.92014,00121.456,00090.174
16,08/11/2025,22:25,000.93403,00120.475,00090.420
17,08/11/2025,22:45,000.94792,00120.227,00090.638
18,08/11/2025,23:05,000.96181,00119.137,00090.856
19,08/11/2025,23:25,000.97569,00118.320,00091.042
20,08/11/2025,23:45,000.98958,00116.808,00091.221
21,08/12/2025,00:05,001.00347,00115.773,00091.372
22,08/12/2025,00:25,001.01736,00114.827,00091.512
23,08/12/2025,00:45,001.03125,00113.407,00091.635
24,08/12/2025,01:05,001.04514,00113.545,00091.736
25,08/12/2025,01:25,001.05903,00111.735,00091.840
26,08/12/2025,01:45,001.07292,00111.147,00091.927
27,08/12/2025,02:05,001.08681,00109.441,00092.020
28,08/12/2025,02:25,001.10069,00109.273,00092.095
29,08/12/2025,02:45,001.11458,00109.007,00092.160
30,08/12/2025,03:05,001.12847,00107.825,00092.234
31,08/12/2025,03:25,001.14236,00105.883,00092.305
32,08/12/2025,03:45,001.15625,00104.539,00092.370
33,08/12/2025,04:05,001.17014,00102.856,00092.422
34,08/12/2025,04:25,001.18403,00101.506,00092.475
35,08/12/2025,04:45,001.19792,00100.144,00092.531
36,08/12/2025,05:05,001.21181,00098.910,00092.589
37,08/12/2025,05:25,001.22569,00098.334,00092.648
38,08/12/2025,05:45,001.23958,00098.707,00092.758
39,08/12/2025,06:05,001.25347,00097.303,00092.982
40,08/12/2025,06:25,001.26736,00096.390,00093.256
41,08/12/2025,06:45,001.28125,00095.299,00093.518
42,08/12/2025,07:05,001.29514,00094.764,00093.656
43,08/12/2025,07:25,001.30903,00093.786,00093.636
44,08/12/2025,07:45,001.32292,00093.065,00093.427
45,08/12/2025,08:05,001.33681,00090.451,00093.101
46,08/12/2025,08:25,001.35069,00089.977,00092.626
47,08/12/2025,08:45,001.36458,00088.130,00092.125
48,08/12/2025,09:05,001.37847,00087.837,00091.582
49,08/12/2025,09:25,001.39236,00086.771,00091.052
50,08/12/2025,09:45,001.40625,00086.189,00090.566
51,08/12/2025,10:05,001.42014,00085.136,00090.128
52,08/12/2025,10:25,001.43403,00084.419,00089.726
53,08/12/2025,10:45,001.44792,00083.187,00089.364
54,08/12/2025,11:05,001.46181,00082.359,00089.031
55,08/12/2025,11:25,001.47569,00080.316,00088.761
56,08/12/2025,11:45,001.48958,00079.124,00088.512
57,08/12/2025,12:05,001.50347,00077.553,00088.313
58,08/12/2025,12:25,001.51736,00076.892,00088.137
59,08/12/2025,12:45,001.53125,00075.147,00088.027
60,08/12/2025,13:05,001.54514,00075.129,00087.941
61,08/12/2025,13:25,001.55903,00073.401,00087.898
62,08/12/2025,13:45,001.57292,00073.457,00087.878
63,08/12/2025,14:05,001.58681,00072.692,00087.913
64,08/12/2025,14:25,001.60069,00072.998,00087.996
65,08/12/2025,14:45,001.61458,00072.115,00088.131
66,08/12/2025,15:05,001.62847,00071.913,00088.283
67,08/12/2025,15:25,001.64236,00070.873,00088.488
68,08/12/2025,15:45,001.65625,00071.080,00088.716
69,08/12/2025,16:05,001.67014,00069.824,00089.014
70,08/12/2025,16:25,001.68403,00070.185,00089.333
71,08/12/2025,16:45,001.69792,00070.415,00089.704
72,08/12/2025,17:05,001.71181,00070.652,00090.118
73,08/12/2025,17:25,001.72569,00071.407,00090.547
74,08/12/2025,17:45,001.73958,00070.501,00091.032
75,08/12/2025,18:05,001.75347,00072.132,00091.489
76,08/12/2025,18:25,001.76736,00072.661,00092.010
77,08/12/2025,18:45,001.78125,00074.070,00092.536
78,08/12/2025,19:05,001.79514,00074.182,00093.097
79,08/12/2025,19:25,001.80903,00075.393,00093.662
80,08/12/2025,19:45,001.82292,00076.833,00094.238
81,08/12/2025,20:05,001.83681,00078.299,00094.830
82,08/12/2025,20:25,001.85069,00079.586,00095.453
83,08/12/2025,20:45,001.86458,00081.881,00096.060
84,08/12/2025,21:05,001.87847,00083.397,00096.698
85,08/12/2025,21:25,001.89236,00084.444,00097.343
86,08/12/2025,21:45,001.90625,00087.676,00097.979
87,08/12/2025,22:05,001.92014,00089.793,00098.615
88,08/12/2025,22:25,001.93403,00091.766,00099.268
89,08/12/2025,22:45,001.94792,00093.223,00099.905
90,08/12/2025,23:05,001.96181,00095.401,00100.543
91,08/12/2025,23:25,001.97569,00097.634,00101.169
92,08/12/2025,23:45,001.98958,00099.207,00101.817
93,08/13/2025,00:05,002.00347,00100.913,00102.467
94,08/13/2025,00:25,002.01736,00102.417,00103.107
95,08/13/2025,00:45,002.03125,00105.216,00103.732
96,08/13/2025,01:05,002.04514,00107.193,00104.371
97,08/13/2025,01:25,002.05903,00108.700,00105.005
98,08/13/2025,01:45,002.07292,00110.363,00105.637
99,08/13/2025,02:05,002.08681,00112.918,00106.234
100,08/13/2025,02:25,002.10069,00115.723,00106.830
101,08/13/2025,02:45,002.11458,00118.047,00107.399
102,08/13/2025,03:05,002.12847,00119.759,00107.967
103,08/13/2025,03:25,002.14236,00121.591,00108.529
104,08/13/2025,03:45,002.15625,00122.475,00109.103
105,08/13/2025,04:05,002.17014,00124.772,00109.640
106,08/13/2025,04:25,002.18403,00126.149,00110.193
107,08/13/2025,04:45,002.19792,00128.434,00110.712
108,08/13/2025,05:05,002.21181,00130.184,00111.235
109,08/13/2025,05:25,002.22569,00130.543,00111.775
110,08/13/2025,05:45,002.23958,00132.413,00112.278
111,08/13/2025,06:05,002.25347,00133.177,00112.804
112,08/13/2025,06:25,002.26736,00135.409,00113.288
113,08/13/2025,06:45,002.28125,00135.611,00113.798
114,08/13/2025,07:05,002.29514,00135.813,00114.289
115,08/13/2025,07:25,002.30903,00136.675,00114.755
116,08/13/2025,07:45,002.32292,00136.689,00115.225
117,08/13/2025,08:05,002.33681,00137.180,00115.681
118,08/13/2025,08:25,002.35069,00136.554,00116.162
119,08/13/2025,08:45,002.36458,00135.976,00116.638
120,08/13/2025,09:05,002.37847,00135.603,00117.102
121,08/13/2025,09:25,002.39236,00135.336,00117.544
122,08/13/2025,09:45,002.40625,00135.807,00117.989
123,08/13/2025,10:05,002.42014,00134.095,00118.427
124,08/13/2025,10:25,002.43403,00134.100,00118.841
125,08/13/2025,10:45,002.44792,00131.774,00119.280
126,08/13/2025,11:05,002.46181,00131.242,00119.691
127,08/13/2025,11:25,002.47569,00129.673,00120.106
128,08/13/2025,11:45,002.48958,00128.600,00120.512
129,08/13/2025,12:05,002.50347,00127.597,00120.918
130,08/13/2025,12:25,002.51736,00125.155,00121.339
131,08/13/2025,12:45,002.53125,00124.672,00121.730
132,08/13/2025,13:05,002.54514,00123.105,00122.124
133,08/13/2025,13:25,002.55903,00122.319,00122.494
134,08/13/2025,13:45,002.57292,00120.559,00122.875
135,08/13/2025,14:05,002.58681,00118.996,00123.243
136,08/13/2025,14:25,002.60069,00118.418,00123.587
137,08/13/2025,14:45,002.61458,00116.284,00123.937
138,08/13/2025,15:05,002.62847,00114.736,00124.256
139,08/13/2025,15:25,002.64236,00114.213,00124.557
140,08/13/2025,15:45,002.65625,00113.034,00124.841
141,08/13/2025,16:05,002.67014,00112.086,00125.126
142,08/13/2025,16:25,002.68403,00110.989,00125.385
143,08/13/2025,16:45,002.69792,00109.885,00125.644
144,08/13/2025,17:05,002.71181,00109.777,00125.864
145,08/13/2025,17:25,002.72569,00109.924,00126.064
146,08/13/2025,17:45,002.73958,00109.455,00126.249
147,08/13/2025,18:05,002.75347,00109.186,00126.424
148,08/13/2025,18:25,002.76736,00109.206,00126.564
149,08/13/2025,18:45,002.78125,00109.525,00126.688
150,08/13/2025,19:05,002.79514,00109.632,00126.802
151,08/13/2025,19:25,002.80903,00108.587,00126.936
152,08/13/2025,19:45,002.82292,00109.270,00127.025
153,08/13/2025,20:05,002.83681,00110.155,00127.111
154,08/13/2025,20:25,002.85069,00112.331,00127.146
155,08/13/2025,20:45,002.86458,00113.259,00127.211
156,08/13/2025,21:05,002.87847,00114.901,00127.242
157,08/13/2025,21:25,002.89236,00115.010,00127.295
158,08/13/2025,21:45,002.90625,00116.946,00127.302
159,08/13/2025,22:05,002.92014,00117.500,00127.316
160,08/13/2025,22:25,002.93403,00119.580,00127.303
161,08/13/2025,22:45,002.94792,00121.017,00127.293
162,08/13/2025,23:05,002.96181,00122.327,00127.295
163,08/13/2025,23:25,002.97569,00123.669,00127.295
164,08/13/2025,23:45,002.98958,00125.814,00127.282
165,08/14/2025,00:05,003.00347,00127.414,00127.268
166,08/14/2025,00:25,003.01736,00128.785,00127.245
167,08/14/2025,00:45,003.03125,00130.135,00127.253
168,08/14/2025,01:05,003.04514,00131.992,00127.233
169,08/14/2025,01:25,003.05903,00133.040,00127.241
170,08/14/2025,01:45,003.07292,00134.393,00127.236
171,08/14/2025,02:05,003.08681,00135.291,00127.262
172,08/14/2025,02:25,003.10069,00137.104,00127.277
173,08/14/2025,02:45,003.11458,00138.827,00127.284
174,08/14/2025,03:05,003.12847,00139.398,00127.323
175,08/14/2025,03:25,003.14236,00140.965,00127.352
176,08/14/2025,03:45,003.15625,00140.805,00127.404
177,08/14/2025,04:05,003.17014,00142.095,00127.453
178,08/14/2025,04:25,003.18403,00142.308,00127.525
179,08/14/2025,04:45,003.19792,00143.669,00127.598
180,08/14/2025,05:05,003.21181,00144.207,00127.681
181,08/14/2025,05:25,003.22569,00144.742,00127.777
182,08/14/2025,05:45,003.23958,00143.339,00127.899
183,08/14/2025,06:05,003.25347,00144.787,00127.989
184,08/14/2025,06:25,003.26736,00143.235,00128.141
185,08/14/2025,06:45,003.28125,00144.655,00128.249
186,08/14/2025,07:05,003.29514,00143.939,00128.391
187,08/14/2025,07:25,003.30903,00144.415,00128.514
188,08/14/2025,07:45,003.32292,00143.800,00128.667
189,08/14/2025,08:05,003.33681,00143.741,00128.810
190,08/14/2025,08:25,003.35069,00141.856,00128.981
191,08/14/2025,08:45,003.36458,00142.164,00129.122
192,08/14/2025,09:05,003.37847,00139.909,00129.292
193,08/14/2025,09:25,003.39236,00139.458,00129.435
194,08/14/2025,09:45,003.40625,00137.817,00129.591
195,08/14/2025,10:05,003.42014,00137.372,00129.711
196,08/14/2025,10:25,003.43403,00135.192,00129.855
197,08/14/2025,10:45,003.44792,00134.832,00129.969
198,08/14/2025,11:05,003.46181,00133.255,00130.099
199,08/14/2025,11:25,003.47569,00132.545,00130.191
200,08/14/2025,11:45,003.48958,00130.885,00130.301
201,08/14/2025,12:05,003.50347,00129.254,00130.385
202,08/14/2025,12:25,003.51736,00127.311,00130.478
203,08/14/2025,12:45,003.53125,00127.047,00130.526
204,08/14/2025,13:05,003.54514,00125.078,00130.609
205,08/14/2025,13:25,003.55903,00124.751,00130.642
206,08/14/2025,13:45,003.57292,00123.293,00130.696
207,08/14/2025,14:05,003.58681,00123.367,00130.712
208,08/14/2025,14:25,003.60069,00121.845,00130.731
209,08/14/2025,14:45,003.61458,00120.677,00130.730
210,08/14/2025,15:05,003.62847,00119.633,00130.699
211,08/14/2025,15:25,003.64236,00118.436,00130.673
212,08/14/2025,15:45,003.65625,00117.792,00130.625
213,08/14/2025,16:05,003.67014,00117.846,00130.573
214,08/14/2025,16:25,003.68403,00117.486,00130.514
215,08/14/2025,16:45,003.69792,00117.582,00130.438
216,08/14/2025,17:05,003.71181,00116.410,00130.363
217,08/14/2025,17:25,003.72569,00117.187,00130.255
218,08/14/2025,17:45,003.73958,00117.316,00130.148
219,08/14/2025,18:05,003.75347,00117.366,00130.049
220,08/14/2025,18:25,003.76736,00118.588,00129.906
221,08/14/2025,18:45,003.78125,00118.457,00129.797
222,08/14/2025,19:05,003.79514,00119.031,00129.647
223,08/14/2025,19:25,003.80903,00118.944,00129.512
224,08/14/2025,19:45,003.82292,00118.995,00129.366
225,08/14/2025,20:05,003.83681,00119.480,00129.221
226,08/14/2025,20:25,003.85069,00120.613,00129.062
227,08/14/2025,20:45,003.86458,00122.749,00128.904
228,08/14/2025,21:05,003.87847,00123.284,00128.751
229,08/14/2025,21:25,003.89236,00124.763,00128.606
230,08/14/2025,21:45,003.90625,00124.574,00128.487
231,08/14/2025,22:05,003.92014,00125.110,00128.371
232,08/14/2025,22:25,003.93403,00125.707,00128.256
233,08/14/2025,22:45,003.94792,00127.463,00128.137
234,08/14/2025,23:05,003.96181,00128.768,00128.022
235,08/14/2025,23:25,003.97569,00128.265,00127.950
236,08/14/2025,23:45,003.98958,00129.884,00127.842
237,08/15/2025,00:05,004.00347,00130.247,00127.765
238,08/15/2025,00:25,004.01736,00132.186,00127.690
239,08/15/2025,00:45,004.03125,00131.979,00127.667
240,08/15/2025,01:05,004.04514,00134.157,00127.613
241,08/15/2025,01:25,004.05903,00134.004,00127.619
242,08/15/2025,01:45,004.07292,00135.480,00127.615
243,08/15/2025,02:05,004.08681,00135.631,00127.631
244,08/15/2025,02:25,004.10069,00135.103,00127.646
245,08/15/2025,02:45,004.11458,00135.906,00127.669
246,08/15/2025,03:05,004.12847,00135.505,00127.722
247,08/15/2025,03:25,004.14236,00136.352,00127.780
248,08/15/2025,03:45,004.15625,00136.874,00127.859
249,08/15/2025,04:05,004.17014,00137.087,00127.958
250,08/15/2025,04:25,004.18403,00137.490,00128.049
251,08/15/2025,04:45,004.19792,00136.971,00128.150
252,08/15/2025,05:05,004.21181,00137.052,00128.253
253,08/15/2025,05:25,004.22569,00137.243,00128.369
254,08/15/2025,05:45,004.23958,00137.120,00128.495
255,08/15/2025,06:05,004.25347,00136.278,00128.634
256,08/15/2025,06:25,004.26736,00135.764,00128.787
257,08/15/2025,06:45,004.28125,00135.198,00128.924
258,08/15/2025,07:05,004.29514,00134.479,00129.074
259,08/15/2025,07:25,004.30903,00134.099,00129.207
260,08/15/2025,07:45,004.32292,00133.975,00129.331
261,08/15/2025,08:05,004.33681,00133.839,00129.460
262,08/15/2025,08:25,004.35069,00133.433,00129.612
263,08/15/2025,08:45,004.36458,00132.579,00129.757
264,08/15/2025,09:05,004.37847,00131.711,00129.882
265,08/15/2025,09:25,004.39236,00130.953,00129.990
266,08/15/2025,09:45,004.40625,00130.705,00130.064
267,08/15/2025,10:05,004.42014,00129.959,00130.147
268,08/15/2025,10:25,004.43403,00129.705,00130.238
269,08/15/2025,10:45,004.44792,00128.418,00130.348
270,08/15/2025,11:05,004.46181,00127.835,00130.438
271,08/15/2025,11:25,004.47569,00127.585,00130.498
272,08/15/2025,11:45,004.48958,00126.362,00130.587
273,08/15/2025,12:05,004.50347,00125.728,00130.650
274,08/15/2025,12:25,004.51736,00125.780,00130.708
275,08/15/2025,12:45,004.53125,00125.420,00130.740
276,08/15/2025,13:05,004.54514,00125.325,00130.778
277,08/15/2025,13:25,004.55903,00125.424,00130.777
278,08/15/2025,13:45,004.57292,00125.879,00130.770
279,08/15/2025,14:05,004.58681,00124.652,00130.764
280,08/15/2025,14:25,004.60069,00123.866,00130.762
281,08/15/2025,14:45,004.61458,00124.325,00130.738
282,08/15/2025,15:05,004.62847,00124.083,00130.711
283,08/15/2025,15:25,004.64236,00124.687,00130.687
284,08/15/2025,15:45,004.65625,00124.598,00130.643
285,08/15/2025,16:05,004.67014,00125.131,00130.594
286,08/15/2025,16:25,004.68403,00124.807,00130.541
287,08/15/2025,16:45,004.69792,00124.254,00130.488
288,08/15/2025,17:05,004.71181,00125.085,00130.410
289,08/15/2025,17:25,004.72569,00124.959,00130.339
290,08/15/2025,17:45,004.73958,00126.101,00130.221
291,08/15/2025,18:05,004.75347,00126.521,00130.106
292,08/15/2025,18:25,004.76736,00127.880,00129.994
293,08/15/2025,18:45,004.78125,00127.866,00129.896
294,08/15/2025,19:05,004.79514,00128.557,00129.799
295,08/15/2025,19:25,004.80903,00128.245,00129.718
296,08/15/2025,19:45,004.82292,00127.713,00129.647
297,08/15/2025,20:05,004.83681,00128.165,00129.547
298,08/15/2025,20:25,004.85069,00130.001,00129.421
299,08/15/2025,20:45,004.86458,00130.170,00129.318
300,08/15/2025,21:05,004.87847,00130.940,00129.231
301,08/15/2025,21:25,004.89236,00130.246,00129.163
302,08/15/2025,21:45,004.90625,00129.906,00129.103
303,08/15/2025,22:05,004.92014,00129.783,00129.039
304,08/15/2025,22:25,004.93403,00131.414,00128.959
305,08/15/2025,22:45,004.94792,00132.353,00128.873
306,08/15/2025,23:05,004.96181,00133.334,00128.805
307,08/15/2025,23:25,004.97569,00132.854,00128.755
308,08/15/2025,23:45,004.98958,00133.456,00128.703
309,08/16/2025,00:05,005.00347,00133.776,00128.649
310,08/16/2025,00:25,005.01736,00134.447,00128.601
311,08/16/2025,00:45,005.03125,00134.114,00128.567
312,08/16/2025,01:05,005.04514,00134.640,00128.529
313,08/16/2025,01:25,005.05903,00134.199,00128.518
314,08/16/2025,01:45,005.07292,00133.971,00128.516
315,08/16/2025,02:05,005.08681,00133.830,00128.516
316,08/16/2025,02:25,005.10069,00134.659,00128.513
317,08/16/2025,02:45,005.11458,00133.829,00128.549
318,08/16/2025,03:05,005.12847,00133.753,00128.564
319,08/16/2025,03:25,005.14236,00134.336,00128.578
320,08/16/2025,03:45,005.15625,00133.107,00128.617
321,08/16/2025,04:05,005.17014,00133.871,00128.635
322,08/16/2025,04:25,005.18403,00132.973,00128.666
323,08/16/2025,04:45,005.19792,00133.127,00128.697
324,08/16/2025,05:05,005.21181,00132.144,00128.739
325,08/16/2025,05:25,005.22569,00131.829,00128.778
326,08/16/2025,05:45,005.23958,00129.934,00128.837
327,08/16/2025,06:05,005.25347,00129.215,00128.883
328,08/16/2025,06:25,005.26736,00129.600,00128.905
329,08/16/2025,06:45,005.28125,00128.649,00128.939
330,08/16/2025,07:05,005.29514,00128.915,00128.954
331,08/16/2025,07:25,005.30903,00128.359,00128.991
332,08/16/2025,07:45,005.32292,00128.428,00129.031
333,08/16/2025,08:05,005.33681,00127.244,00129.097
334,08/16/2025,08:25,005.35069,00126.633,00129.149
335,08/16/2025,08:45,005.36458,00126.192,00129.177
336,08/16/2025,09:05,005.37847,00127.028,00129.187
337,08/16/2025,09:25,005.39236,00126.181,00129.230
338,08/16/2025,09:45,005.40625,00126.290,00129.271
339,08/16/2025,10:05,005.42014,00125.934,00129.311
340,08/16/2025,10:25,005.43403,00125.826,00129.367
341,08/16/2025,10:45,005.44792,00124.487,00129.406
342,08/16/2025,11:05,005.46181,00124.511,00129.422
343,08/16/2025,11:25,005.47569,00123.746,00129.420
344,08/16/2025,11:45,005.48958,00124.444,00129.425
345,08/16/2025,12:05,005.50347,00122.792,00129.441
346,08/16/2025,12:25,005.51736,00122.918,00129.432
347,08/16/2025,12:45,005.53125,00122.985,00129.414
348,08/16/2025,13:05,005.54514,00123.220,00129.403
349,08/16/2025,13:25,005.55903,00124.128,00129.369
350,08/16/2025,13:45,005.57292,00125.059,00129.347
351,08/16/2025,14:05,005.58681,00125.717,00129.336
352,08/16/2025,14:25,005.60069,00125.268,00129.343
353,08/16/2025,14:45,005.61458,00125.649,00129.330
354,08/16/2025,15:05,005.62847,00125.261,00129.336
355,08/16/2025,15:25,005.64236,00125.740,00129.326
356,08/16/2025,15:45,005.65625,00126.245,00129.297
357,08/16/2025,16:05,005.67014,00126.673,00129.276
358,08/16/2025,16:25,005.68403,00126.430,00129.261
359,08/16/2025,16:45,005.69792,00127.167,00129.239
360,08/16/2025,17:05,005.71181,00126.351,00129.238
361,08/16/2025,17:25,005.72569,00127.537,00129.215
362,08/16/2025,17:45,005.73958,00127.310,00129.218
363,08/16/2025,18:05,005.75347,00128.729,00129.232
364,08/16/2025,18:25,005.76736,00128.504,00129.270
365,08/16/2025,18:45,005.78125,00129.313,00129.280
366,08/16/2025,19:05,005.79514,00129.260,00129.308
367,08/16/2025,19:25,005.80903,00130.682,00129.310
368,08/16/2025,19:45,005.82292,00131.141,00129.334
369,08/16/2025,20:05,005.83681,00131.302,00129.360
370,08/16/2025,20:25,005.85069,00131.302,00129.398
371,08/16/2025,20:45,005.86458,00131.558,00129.448
372,08/16/2025,21:05,005.87847,00131.741,00129.500
373,08/16/2025,21:25,005.89236,00133.193,00129.532
374,08/16/2025,21:45,005.90625,00133.315,00129.582
375,08/16/2025,22:05,005.92014,00132.393,00129.632
376,08/16/2025,22:25,005.93403,00133.717,00129.671
377,08/16/2025,22:45,005.94792,00132.861,00129.735
378,08/16/2025,23:05,005.96181,00133.598,00129.813
379,08/16/2025,23:25,005.97569,00132.418,00129.910
380,08/16/2025,23:45,005.98958,00133.918,00129.975
381,08/17/2025,00:05,006.00347,00132.954,00130.070
382,08/17/2025,00:25,006.01736,00133.224,00130.178
383,08/17/2025,00:45,006.03125,00133.215,00130.285
384,08/17/2025,01:05,006.04514,00133.553,00130.406
385,08/17/2025,01:25,006.05903,00133.100,00130.538
386,08/17/2025,01:45,006.07292,00133.555,00130.655
387,08/17/2025,02:05,006.08681,00133.811,00130.764
388,08/17/2025,02:25,006.10069,00133.921,00130.868
389,08/17/2025,02:45,006.11458,00134.064,00130.966
390,08/17/2025,03:05,006.12847,00133.884,00131.057
391,08/17/2025,03:25,006.14236,00133.547,00131.164
392,08/17/2025,03:45,006.15625,00132.727,00131.269
393,08/17/2025,04:05,006.17014,00132.056,00131.370
394,08/17/2025,04:25,006.18403,00132.526,00131.448
395,08/17/2025,04:45,006.19792,00132.140,00131.538
396,08/17/2025,05:05,006.21181,00132.226,00131.615
397,08/17/2025,05:25,006.22569,00131.639,00131.718
398,08/17/2025,05:45,006.23958,00131.829,00131.793
399,08/17/2025,06:05,006.25347,00132.383,00131.874
400,08/17/2025,06:25,006.26736,00131.722,00131.942
401,08/17/2025,06:45,006.28125,00131.114,00132.014
402,08/17/2025,07:05,006.29514,00130.625,00132.081
403,08/17/2025,07:25,006.30903,00130.521,00132.139
404,08/17/2025,07:45,006.32292,00130.505,00132.186
405,08/17/2025,08:05,006.33681,00130.482,00132.225
406,08/17/2025,08:25,006.35069,00129.999,00132.277
407,08/17/2025,08:45,006.36458,00130.424,00132.302
408,08/17/2025,09:05,006.37847,00130.143,00132.343
409,08/17/2025,09:25,006.39236,00130.815,00132.353
410,08/17/2025,09:45,006.40625,00129.853,00132.375
411,08/17/2025,10:05,006.42014,00128.989,00132.395
