LumiCycle: 2A- M1SCn (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,10/03/2025,16:52,000.70278,00117.728,00108.956
1,10/03/2025,17:12,000.71667,00113.270,00108.434
2,10/03/2025,17:32,000.73056,00110.278,00107.893
3,10/03/2025,17:52,000.74444,00108.530,00107.332
4,10/03/2025,18:12,000.75833,00109.983,00106.721
5,10/03/2025,18:32,000.77222,00112.142,00106.093
6,10/03/2025,18:52,000.78611,00113.520,00105.473
7,10/03/2025,19:12,000.80000,00115.177,00104.858
8,10/03/2025,19:32,000.81389,00117.134,00104.252
9,10/03/2025,19:52,000.82778,00118.922,00103.654
10,10/03/2025,20:12,000.84167,00118.259,00103.097
11,10/03/2025,20:32,000.85556,00117.749,00102.522
12,10/03/2025,20:52,000.86944,00117.574,00101.959
13,10/03/2025,21:12,000.88333,00116.079,00101.422
14,10/03/2025,21:32,000.89722,00115.210,00100.885
15,10/03/2025,21:52,000.91111,00112.058,00100.385
16,10/03/2025,22:12,000.92500,00109.562,00099.890
17,10/03/2025,22:32,000.93889,00105.830,00099.427
18,10/03/2025,22:52,000.95278,00103.392,00098.960
19,10/03/2025,23:12,000.96667,00101.197,00098.506
20,10/03/2025,23:32,000.98056,00099.637,00098.057
21,10/03/2025,23:52,000.99444,00096.805,00097.636
22,10/04/2025,00:12,001.00833,00094.151,00097.226
23,10/04/2025,00:32,001.02222,00091.641,00096.841
24,10/04/2025,00:52,001.03611,00090.122,00096.460
25,10/04/2025,01:12,001.05000,00088.284,00096.106
26,10/04/2025,01:32,001.06389,00086.720,00095.761
27,10/04/2025,01:52,001.07778,00085.334,00095.434
28,10/04/2025,02:12,001.09167,00084.175,00095.129
29,10/04/2025,02:32,001.10556,00081.407,00094.858
30,10/04/2025,02:52,001.11944,00080.665,00094.585
31,10/04/2025,03:12,001.13333,00079.673,00094.332
32,10/04/2025,03:32,001.14722,00079.484,00094.089
33,10/04/2025,03:52,001.16111,00077.994,00093.870
34,10/04/2025,04:12,001.17500,00077.655,00093.648
35,10/04/2025,04:32,001.18889,00076.813,00093.446
36,10/04/2025,04:52,001.20278,00076.727,00093.243
37,10/04/2025,05:12,001.21667,00076.841,00093.097
38,10/04/2025,05:32,001.23056,00076.772,00093.000
39,10/04/2025,05:52,001.24444,00076.388,00092.923
40,10/04/2025,06:12,001.25833,00075.956,00092.840
41,10/04/2025,06:32,001.27222,00075.650,00092.733
42,10/04/2025,06:52,001.28611,00076.341,00092.591
43,10/04/2025,07:12,001.30000,00077.253,00092.421
44,10/04/2025,07:32,001.31389,00077.662,00092.208
45,10/04/2025,07:52,001.32778,00078.091,00091.981
46,10/04/2025,08:12,001.34167,00076.982,00091.757
47,10/04/2025,08:32,001.35556,00078.134,00091.505
48,10/04/2025,08:52,001.36944,00078.655,00091.239
49,10/04/2025,09:12,001.38333,00079.284,00090.993
50,10/04/2025,09:32,001.39722,00079.578,00090.738
51,10/04/2025,09:52,001.41111,00080.592,00090.500
52,10/04/2025,10:12,001.42500,00081.529,00090.273
53,10/04/2025,10:32,001.43889,00082.606,00090.089
54,10/04/2025,10:52,001.45278,00083.771,00089.924
55,10/04/2025,11:12,001.46667,00084.731,00089.774
56,10/04/2025,11:32,001.48056,00085.440,00089.625
57,10/04/2025,11:52,001.49444,00086.400,00089.500
58,10/04/2025,12:12,001.50833,00088.263,00089.375
59,10/04/2025,12:32,001.52222,00089.505,00089.280
60,10/04/2025,12:52,001.53611,00091.130,00089.185
61,10/04/2025,13:12,001.55000,00092.009,00089.107
62,10/04/2025,13:32,001.56389,00093.446,00089.030
63,10/04/2025,13:52,001.57778,00095.227,00088.961
64,10/04/2025,14:12,001.59167,00095.987,00088.914
65,10/04/2025,14:32,001.60556,00097.844,00088.870
66,10/04/2025,14:52,001.61944,00099.027,00088.845
67,10/04/2025,15:12,001.63333,00100.547,00088.815
68,10/04/2025,15:32,001.64722,00100.893,00088.799
69,10/04/2025,15:52,001.66111,00101.899,00088.785
70,10/04/2025,16:12,001.67500,00102.737,00088.780
71,10/04/2025,16:32,001.68889,00103.378,00088.784
72,10/04/2025,16:52,001.70278,00103.200,00088.786
73,10/04/2025,17:12,001.71667,00103.440,00088.786
74,10/04/2025,17:32,001.73056,00102.748,00088.796
75,10/04/2025,17:52,001.74444,00103.714,00088.797
76,10/04/2025,18:12,001.75833,00104.346,00088.799
77,10/04/2025,18:32,001.77222,00104.253,00088.821
78,10/04/2025,18:52,001.78611,00104.232,00088.827
79,10/04/2025,19:12,001.80000,00102.652,00088.851
80,10/04/2025,19:32,001.81389,00103.409,00088.837
81,10/04/2025,19:52,001.82778,00101.515,00088.858
82,10/04/2025,20:12,001.84167,00101.228,00088.885
83,10/04/2025,20:32,001.85556,00099.460,00088.914
84,10/04/2025,20:52,001.86944,00099.485,00088.930
85,10/04/2025,21:12,001.88333,00097.657,00088.963
86,10/04/2025,21:32,001.89722,00096.414,00089.001
87,10/04/2025,21:52,001.91111,00094.664,00089.045
88,10/04/2025,22:12,001.92500,00093.996,00089.068
89,10/04/2025,22:32,001.93889,00092.977,00089.088
90,10/04/2025,22:52,001.95278,00091.668,00089.107
91,10/04/2025,23:12,001.96667,00089.940,00089.135
92,10/04/2025,23:32,001.98056,00089.028,00089.154
93,10/04/2025,23:52,001.99444,00087.274,00089.189
94,10/05/2025,00:12,002.00833,00086.172,00089.202
95,10/05/2025,00:32,002.02222,00085.099,00089.227
96,10/05/2025,00:52,002.03611,00083.755,00089.246
97,10/05/2025,01:12,002.05000,00082.779,00089.273
98,10/05/2025,01:32,002.06389,00082.250,00089.277
99,10/05/2025,01:52,002.07778,00081.621,00089.275
100,10/05/2025,02:12,002.09167,00080.199,00089.290
101,10/05/2025,02:32,002.10556,00080.086,00089.270
102,10/05/2025,02:52,002.11944,00079.107,00089.258
103,10/05/2025,03:12,002.13333,00078.705,00089.235
104,10/05/2025,03:32,002.14722,00078.042,00089.214
105,10/05/2025,03:52,002.16111,00078.132,00089.180
106,10/05/2025,04:12,002.17500,00077.724,00089.141
107,10/05/2025,04:32,002.18889,00076.715,00089.100
108,10/05/2025,04:52,002.20278,00077.068,00089.051
109,10/05/2025,05:12,002.21667,00076.753,00089.002
110,10/05/2025,05:32,002.23056,00077.432,00088.966
111,10/05/2025,05:52,002.24444,00076.727,00088.932
112,10/05/2025,06:12,002.25833,00077.106,00088.882
113,10/05/2025,06:32,002.27222,00076.786,00088.847
114,10/05/2025,06:52,002.28611,00077.305,00088.802
115,10/05/2025,07:12,002.30000,00077.444,00088.778
116,10/05/2025,07:32,002.31389,00077.653,00088.730
117,10/05/2025,07:52,002.32778,00078.591,00088.705
118,10/05/2025,08:12,002.34167,00078.389,00088.686
119,10/05/2025,08:32,002.35556,00079.837,00088.662
120,10/05/2025,08:52,002.36944,00079.737,00088.648
121,10/05/2025,09:12,002.38333,00081.016,00088.616
122,10/05/2025,09:32,002.39722,00081.892,00088.603
123,10/05/2025,09:52,002.41111,00082.521,00088.602
124,10/05/2025,10:12,002.42500,00082.960,00088.603
125,10/05/2025,10:32,002.43889,00083.819,00088.594
126,10/05/2025,10:52,002.45278,00084.922,00088.580
127,10/05/2025,11:12,002.46667,00085.887,00088.576
128,10/05/2025,11:32,002.48056,00087.107,00088.567
129,10/05/2025,11:52,002.49444,00088.015,00088.579
130,10/05/2025,12:12,002.50833,00090.182,00088.567
131,10/05/2025,12:32,002.52222,00091.179,00088.577
132,10/05/2025,12:52,002.53611,00092.882,00088.581
133,10/05/2025,13:12,002.55000,00093.175,00088.615
134,10/05/2025,13:32,002.56389,00094.478,00088.621
135,10/05/2025,13:52,002.57778,00095.594,00088.632
136,10/05/2025,14:12,002.59167,00096.373,00088.664
137,10/05/2025,14:32,002.60556,00097.197,00088.683
138,10/05/2025,14:52,002.61944,00098.567,00088.706
139,10/05/2025,15:12,002.63333,00098.761,00088.746
140,10/05/2025,15:32,002.64722,00099.566,00088.781
141,10/05/2025,15:52,002.66111,00099.619,00088.817
142,10/05/2025,16:12,002.67500,00099.464,00088.859
143,10/05/2025,16:32,002.68889,00100.137,00088.897
144,10/05/2025,16:52,002.70278,00099.739,00088.943
145,10/05/2025,17:12,002.71667,00100.850,00088.974
146,10/05/2025,17:32,002.73056,00100.620,00089.015
147,10/05/2025,17:52,002.74444,00101.264,00089.063
148,10/05/2025,18:12,002.75833,00101.507,00089.118
149,10/05/2025,18:32,002.77222,00101.541,00089.180
150,10/05/2025,18:52,002.78611,00101.119,00089.234
151,10/05/2025,19:12,002.80000,00100.308,00089.295
152,10/05/2025,19:32,002.81389,00100.684,00089.343
153,10/05/2025,19:52,002.82778,00099.666,00089.390
154,10/05/2025,20:12,002.84167,00099.240,00089.441
155,10/05/2025,20:32,002.85556,00098.426,00089.473
156,10/05/2025,20:52,002.86944,00096.686,00089.541
157,10/05/2025,21:12,002.88333,00096.352,00089.568
158,10/05/2025,21:32,002.89722,00095.223,00089.609
159,10/05/2025,21:52,002.91111,00094.524,00089.642
160,10/05/2025,22:12,002.92500,00093.178,00089.684
161,10/05/2025,22:32,002.93889,00091.853,00089.723
162,10/05/2025,22:52,002.95278,00090.602,00089.763
163,10/05/2025,23:12,002.96667,00089.585,00089.799
164,10/05/2025,23:32,002.98056,00089.046,00089.826
165,10/05/2025,23:52,002.99444,00087.511,00089.856
166,10/06/2025,00:12,003.00833,00086.768,00089.863
167,10/06/2025,00:32,003.02222,00085.734,00089.865
168,10/06/2025,00:52,003.03611,00085.447,00089.845
169,10/06/2025,01:12,003.05000,00084.009,00089.842
170,10/06/2025,01:32,003.06389,00083.519,00089.823
171,10/06/2025,01:52,003.07778,00083.189,00089.796
172,10/06/2025,02:12,003.09167,00082.217,00089.773
173,10/06/2025,02:32,003.10556,00082.111,00089.733
174,10/06/2025,02:52,003.11944,00081.678,00089.684
175,10/06/2025,03:12,003.13333,00081.317,00089.647
176,10/06/2025,03:32,003.14722,00080.715,00089.608
177,10/06/2025,03:52,003.16111,00080.511,00089.578
178,10/06/2025,04:12,003.17500,00080.010,00089.561
179,10/06/2025,04:32,003.18889,00079.908,00089.532
180,10/06/2025,04:52,003.20278,00080.022,00089.509
181,10/06/2025,05:12,003.21667,00080.119,00089.469
182,10/06/2025,05:32,003.23056,00080.687,00089.428
183,10/06/2025,05:52,003.24444,00081.197,00089.385
184,10/06/2025,06:12,003.25833,00081.166,00089.357
185,10/06/2025,06:32,003.27222,00080.718,00089.337
186,10/06/2025,06:52,003.28611,00080.855,00089.312
187,10/06/2025,07:12,003.30000,00081.428,00089.284
188,10/06/2025,07:32,003.31389,00080.858,00089.250
189,10/06/2025,07:52,003.32778,00081.521,00089.208
190,10/06/2025,08:12,003.34167,00081.281,00089.190
191,10/06/2025,08:32,003.35556,00082.708,00089.158
192,10/06/2025,08:52,003.36944,00082.609,00089.173
193,10/06/2025,09:12,003.38333,00083.590,00089.164
194,10/06/2025,09:32,003.39722,00084.128,00089.177
195,10/06/2025,09:52,003.41111,00084.583,00089.186
196,10/06/2025,10:12,003.42500,00085.200,00089.200
197,10/06/2025,10:32,003.43889,00086.528,00089.215
198,10/06/2025,10:52,003.45278,00087.364,00089.237
199,10/06/2025,11:12,003.46667,00088.462,00089.279
200,10/06/2025,11:32,003.48056,00088.554,00089.336
201,10/06/2025,11:52,003.49444,00089.956,00089.388
202,10/06/2025,12:12,003.50833,00090.255,00089.456
203,10/06/2025,12:32,003.52222,00091.224,00089.517
204,10/06/2025,12:52,003.53611,00091.498,00089.579
205,10/06/2025,13:12,003.55000,00092.712,00089.634
206,10/06/2025,13:32,003.56389,00093.315,00089.693
207,10/06/2025,13:52,003.57778,00093.792,00089.749
208,10/06/2025,14:12,003.59167,00094.346,00089.809
209,10/06/2025,14:32,003.60556,00094.686,00089.869
210,10/06/2025,14:52,003.61944,00095.809,00089.919
211,10/06/2025,15:12,003.63333,00096.239,00089.983
212,10/06/2025,15:32,003.64722,00097.269,00090.026
213,10/06/2025,15:52,003.66111,00097.802,00090.082
214,10/06/2025,16:12,003.67500,00097.989,00090.146
215,10/06/2025,16:32,003.68889,00098.294,00090.208
216,10/06/2025,16:52,003.70278,00098.100,00090.271
217,10/06/2025,17:12,003.71667,00098.353,00090.328
218,10/06/2025,17:32,003.73056,00098.725,00090.367
219,10/06/2025,17:52,003.74444,00099.523,00090.396
220,10/06/2025,18:12,003.75833,00099.690,00090.432
221,10/06/2025,18:32,003.77222,00099.548,00090.480
222,10/06/2025,18:52,003.78611,00098.875,00090.533
223,10/06/2025,19:12,003.80000,00097.785,00090.577
224,10/06/2025,19:32,003.81389,00097.382,00090.620
225,10/06/2025,19:52,003.82778,00097.747,00090.633
226,10/06/2025,20:12,003.84167,00097.575,00090.672
227,10/06/2025,20:32,003.85556,00097.626,00090.676
228,10/06/2025,20:52,003.86944,00096.735,00090.708
229,10/06/2025,21:12,003.88333,00096.624,00090.709
230,10/06/2025,21:32,003.89722,00095.671,00090.712
231,10/06/2025,21:52,003.91111,00094.776,00090.718
232,10/06/2025,22:12,003.92500,00094.208,00090.725
233,10/06/2025,22:32,003.93889,00092.970,00090.735
234,10/06/2025,22:52,003.95278,00093.591,00090.717
235,10/06/2025,23:12,003.96667,00093.192,00090.691
236,10/06/2025,23:32,003.98056,00092.501,00090.669
237,10/06/2025,23:52,003.99444,00091.870,00090.635
238,10/07/2025,00:12,004.00833,00090.926,00090.603
239,10/07/2025,00:32,004.02222,00090.078,00090.582
240,10/07/2025,00:52,004.03611,00089.047,00090.548
241,10/07/2025,01:12,004.05000,00088.301,00090.507
242,10/07/2025,01:32,004.06389,00087.582,00090.463
243,10/07/2025,01:52,004.07778,00086.949,00090.417
244,10/07/2025,02:12,004.09167,00086.662,00090.361
245,10/07/2025,02:32,004.10556,00086.334,00090.312
246,10/07/2025,02:52,004.11944,00086.161,00090.254
247,10/07/2025,03:12,004.13333,00084.797,00090.220
248,10/07/2025,03:32,004.14722,00084.969,00090.151
249,10/07/2025,03:52,004.16111,00084.654,00090.089
250,10/07/2025,04:12,004.17500,00084.554,00090.015
251,10/07/2025,04:32,004.18889,00084.235,00089.946
252,10/07/2025,04:52,004.20278,00084.367,00089.862
253,10/07/2025,05:12,004.21667,00083.773,00089.795
254,10/07/2025,05:32,004.23056,00084.050,00089.714
255,10/07/2025,05:52,004.24444,00083.849,00089.647
256,10/07/2025,06:12,004.25833,00083.926,00089.568
257,10/07/2025,06:32,004.27222,00083.887,00089.485
258,10/07/2025,06:52,004.28611,00083.463,00089.414
259,10/07/2025,07:12,004.30000,00083.462,00089.363
260,10/07/2025,07:32,004.31389,00082.802,00089.311
261,10/07/2025,07:52,004.32778,00083.840,00089.229
262,10/07/2025,08:12,004.34167,00083.019,00089.174
263,10/07/2025,08:32,004.35556,00083.960,00089.102
264,10/07/2025,08:52,004.36944,00083.518,00089.060
265,10/07/2025,09:12,004.38333,00083.382,00089.021
266,10/07/2025,09:32,004.39722,00084.147,00088.972
267,10/07/2025,09:52,004.41111,00085.074,00088.928
268,10/07/2025,10:12,004.42500,00086.000,00088.888
269,10/07/2025,10:32,004.43889,00086.770,00088.873
270,10/07/2025,10:52,004.45278,00086.241,00088.857
271,10/07/2025,11:12,004.46667,00086.314,00088.828
272,10/07/2025,11:32,004.48056,00086.938,00088.789
273,10/07/2025,11:52,004.49444,00087.033,00088.761
274,10/07/2025,12:12,004.50833,00088.909,00088.720
275,10/07/2025,12:32,004.52222,00088.140,00088.717
276,10/07/2025,12:52,004.53611,00089.094,00088.711
277,10/07/2025,13:12,004.55000,00089.461,00088.727
278,10/07/2025,13:32,004.56389,00089.989,00088.737
279,10/07/2025,13:52,004.57778,00090.085,00088.763
280,10/07/2025,14:12,004.59167,00090.944,00088.777
281,10/07/2025,14:32,004.60556,00091.591,00088.797
282,10/07/2025,14:52,004.61944,00092.475,00088.806
283,10/07/2025,15:12,004.63333,00092.668,00088.833
284,10/07/2025,15:32,004.64722,00093.135,00088.851
285,10/07/2025,15:52,004.66111,00092.680,00088.872
286,10/07/2025,16:12,004.67500,00093.137,00088.883
287,10/07/2025,16:32,004.68889,00092.355,00088.911
288,10/07/2025,16:52,004.70278,00093.097,00088.918
289,10/07/2025,17:12,004.71667,00093.348,00088.942
290,10/07/2025,17:32,004.73056,00094.570,00088.945
291,10/07/2025,17:52,004.74444,00094.249,00088.963
292,10/07/2025,18:12,004.75833,00093.723,00088.986
293,10/07/2025,18:32,004.77222,00093.507,00088.996
294,10/07/2025,18:52,004.78611,00094.210,00089.007
295,10/07/2025,19:12,004.80000,00093.073,00089.034
296,10/07/2025,19:32,004.81389,00093.047,00089.051
297,10/07/2025,19:52,004.82778,00092.852,00089.054
298,10/07/2025,20:12,004.84167,00093.523,00089.053
299,10/07/2025,20:32,004.85556,00093.411,00089.053
300,10/07/2025,20:52,004.86944,00093.744,00089.051
301,10/07/2025,21:12,004.88333,00092.979,00089.067
302,10/07/2025,21:32,004.89722,00092.626,00089.066
303,10/07/2025,21:52,004.91111,00092.322,00089.053
304,10/07/2025,22:12,004.92500,00092.749,00089.032
305,10/07/2025,22:32,004.93889,00091.912,00089.030
306,10/07/2025,22:52,004.95278,00091.252,00089.044
307,10/07/2025,23:12,004.96667,00090.397,00089.054
308,10/07/2025,23:32,004.98056,00089.979,00089.055
309,10/07/2025,23:52,004.99444,00089.954,00089.049
310,10/08/2025,00:12,005.00833,00089.085,00089.027
311,10/08/2025,00:32,005.02222,00089.595,00089.018
312,10/08/2025,00:52,005.03611,00089.759,00089.013
313,10/08/2025,01:12,005.05000,00088.810,00089.010
314,10/08/2025,01:32,005.06389,00088.894,00088.992
315,10/08/2025,01:52,005.07778,00088.474,00088.984
316,10/08/2025,02:12,005.09167,00088.371,00088.975
317,10/08/2025,02:32,005.10556,00087.716,00088.980
318,10/08/2025,02:52,005.11944,00086.884,00088.966
319,10/08/2025,03:12,005.13333,00086.654,00088.942
320,10/08/2025,03:32,005.14722,00085.691,00088.931
321,10/08/2025,03:52,005.16111,00085.805,00088.918
322,10/08/2025,04:12,005.17500,00085.420,00088.908
323,10/08/2025,04:32,005.18889,00085.561,00088.893
324,10/08/2025,04:52,005.20278,00085.729,00088.872
325,10/08/2025,05:12,005.21667,00085.451,00088.862
326,10/08/2025,05:32,005.23056,00084.823,00088.841
327,10/08/2025,05:52,005.24444,00084.996,00088.813
328,10/08/2025,06:12,005.25833,00084.396,00088.819
329,10/08/2025,06:32,005.27222,00084.924,00088.819
330,10/08/2025,06:52,005.28611,00084.160,00088.840
331,10/08/2025,07:12,005.30000,00083.969,00088.858
332,10/08/2025,07:32,005.31389,00083.889,00088.872
333,10/08/2025,07:52,005.32778,00083.612,00088.883
334,10/08/2025,08:12,005.34167,00083.841,00088.873
335,10/08/2025,08:32,005.35556,00083.728,00088.866
336,10/08/2025,08:52,005.36944,00083.730,00088.844
337,10/08/2025,09:12,005.38333,00083.723,00088.839
338,10/08/2025,09:32,005.39722,00083.868,00088.835
339,10/08/2025,09:52,005.41111,00084.982,00088.816
340,10/08/2025,10:12,005.42500,00085.765,00088.801
341,10/08/2025,10:32,005.43889,00086.566,00088.774
342,10/08/2025,10:52,005.45278,00086.114,00088.792
343,10/08/2025,11:12,005.46667,00086.642,00088.796
344,10/08/2025,11:32,005.48056,00086.567,00088.812
345,10/08/2025,11:52,005.49444,00086.491,00088.831
346,10/08/2025,12:12,005.50833,00088.012,00088.841
347,10/08/2025,12:32,005.52222,00088.945,00088.849
348,10/08/2025,12:52,005.53611,00088.258,00088.871
349,10/08/2025,13:12,005.55000,00088.828,00088.888
350,10/08/2025,13:32,005.56389,00089.141,00088.899
351,10/08/2025,13:52,005.57778,00090.186,00088.899
352,10/08/2025,14:12,005.59167,00091.310,00088.898
353,10/08/2025,14:32,005.60556,00090.649,00088.928
354,10/08/2025,14:52,005.61944,00090.762,00088.958
355,10/08/2025,15:12,005.63333,00091.372,00088.965
356,10/08/2025,15:32,005.64722,00091.883,00088.987
357,10/08/2025,15:52,005.66111,00092.037,00089.013
358,10/08/2025,16:12,005.67500,00091.513,00089.043
359,10/08/2025,16:32,005.68889,00091.784,00089.067
360,10/08/2025,16:52,005.70278,00092.318,00089.070
361,10/08/2025,17:12,005.71667,00092.480,00089.093
362,10/08/2025,17:32,005.73056,00092.499,00089.114
363,10/08/2025,17:52,005.74444,00093.521,00089.116
364,10/08/2025,18:12,005.75833,00094.055,00089.129
365,10/08/2025,18:32,005.77222,00094.876,00089.127
366,10/08/2025,18:52,005.78611,00094.141,00089.162
