LumiCycle: 2B- 1MT7 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,10/03/2025,17:02,000.70972,00070.214,00082.810
1,10/03/2025,17:22,000.72361,00068.313,00083.300
2,10/03/2025,17:42,000.73750,00068.327,00083.774
3,10/03/2025,18:02,000.75139,00069.169,00084.235
4,10/03/2025,18:22,000.76528,00072.437,00084.668
5,10/03/2025,18:42,000.77917,00076.111,00085.099
6,10/03/2025,19:02,000.79306,00080.349,00085.527
7,10/03/2025,19:22,000.80694,00083.654,00085.955
8,10/03/2025,19:42,000.82083,00087.032,00086.390
9,10/03/2025,20:02,000.83472,00089.295,00086.826
10,10/03/2025,20:22,000.84861,00091.723,00087.267
11,10/03/2025,20:42,000.86250,00092.932,00087.714
12,10/03/2025,21:02,000.87639,00094.672,00088.164
13,10/03/2025,21:22,000.89028,00096.827,00088.610
14,10/03/2025,21:42,000.90417,00097.826,00089.078
15,10/03/2025,22:02,000.91806,00099.023,00089.545
16,10/03/2025,22:22,000.93194,00100.055,00090.000
17,10/03/2025,22:42,000.94583,00101.518,00090.447
18,10/03/2025,23:02,000.95972,00102.023,00090.897
19,10/03/2025,23:22,000.97361,00102.222,00091.345
20,10/03/2025,23:42,000.98750,00102.638,00091.794
21,10/04/2025,00:02,001.00139,00102.589,00092.248
22,10/04/2025,00:22,001.01528,00102.882,00092.693
23,10/04/2025,00:42,001.02917,00103.184,00093.156
24,10/04/2025,01:02,001.04306,00102.797,00093.628
25,10/04/2025,01:22,001.05694,00102.941,00094.096
26,10/04/2025,01:42,001.07083,00103.233,00094.559
27,10/04/2025,02:02,001.08472,00104.084,00095.009
28,10/04/2025,02:22,001.09861,00104.548,00095.469
29,10/04/2025,02:42,001.11250,00103.759,00095.940
30,10/04/2025,03:02,001.12639,00103.857,00096.407
31,10/04/2025,03:22,001.14028,00103.318,00096.882
32,10/04/2025,03:42,001.15417,00104.276,00097.331
33,10/04/2025,04:02,001.16806,00103.800,00097.805
34,10/04/2025,04:22,001.18194,00104.560,00098.257
35,10/04/2025,04:42,001.19583,00103.984,00098.729
36,10/04/2025,05:02,001.20972,00104.614,00099.196
37,10/04/2025,05:22,001.22361,00103.587,00099.685
38,10/04/2025,05:42,001.23750,00104.357,00100.194
39,10/04/2025,06:02,001.25139,00104.270,00100.706
40,10/04/2025,06:22,001.26528,00104.636,00101.214
41,10/04/2025,06:42,001.27917,00104.945,00101.672
42,10/04/2025,07:02,001.29306,00105.290,00102.080
43,10/04/2025,07:22,001.30694,00104.337,00102.444
44,10/04/2025,07:42,001.32083,00104.908,00102.739
45,10/04/2025,08:02,001.33472,00103.890,00103.002
46,10/04/2025,08:22,001.34861,00104.362,00103.219
47,10/04/2025,08:42,001.36250,00103.603,00103.420
48,10/04/2025,09:02,001.37639,00104.372,00103.594
49,10/04/2025,09:22,001.39028,00104.472,00103.757
50,10/04/2025,09:42,001.40417,00104.919,00103.888
51,10/04/2025,10:02,001.41806,00105.015,00104.002
52,10/04/2025,10:22,001.43194,00104.021,00104.127
53,10/04/2025,10:42,001.44583,00103.845,00104.228
54,10/04/2025,11:02,001.45972,00103.107,00104.316
55,10/04/2025,11:22,001.47361,00102.716,00104.395
56,10/04/2025,11:42,001.48750,00102.917,00104.455
57,10/04/2025,12:02,001.50139,00102.862,00104.506
58,10/04/2025,12:22,001.51528,00102.576,00104.569
59,10/04/2025,12:42,001.52917,00103.825,00104.593
60,10/04/2025,13:02,001.54306,00103.811,00104.638
61,10/04/2025,13:22,001.55694,00104.094,00104.698
62,10/04/2025,13:42,001.57083,00103.840,00104.757
63,10/04/2025,14:02,001.58472,00103.466,00104.825
64,10/04/2025,14:22,001.59861,00103.747,00104.866
65,10/04/2025,14:42,001.61250,00103.381,00104.912
66,10/04/2025,15:02,001.62639,00103.907,00104.947
67,10/04/2025,15:22,001.64028,00103.888,00104.988
68,10/04/2025,15:42,001.65417,00103.527,00105.029
69,10/04/2025,16:02,001.66806,00103.858,00105.042
70,10/04/2025,16:22,001.68194,00103.473,00105.071
71,10/04/2025,16:42,001.69583,00103.637,00105.083
72,10/04/2025,17:02,001.70972,00104.509,00105.101
73,10/04/2025,17:22,001.72361,00104.374,00105.116
74,10/04/2025,17:42,001.73750,00105.682,00105.126
75,10/04/2025,18:02,001.75139,00105.147,00105.158
76,10/04/2025,18:22,001.76528,00106.112,00105.164
77,10/04/2025,18:42,001.77917,00105.696,00105.184
78,10/04/2025,19:02,001.79306,00105.871,00105.188
79,10/04/2025,19:22,001.80694,00105.560,00105.195
80,10/04/2025,19:42,001.82083,00105.463,00105.214
81,10/04/2025,20:02,001.83472,00104.940,00105.231
82,10/04/2025,20:22,001.84861,00105.443,00105.246
83,10/04/2025,20:42,001.86250,00105.452,00105.275
84,10/04/2025,21:02,001.87639,00106.219,00105.305
85,10/04/2025,21:22,001.89028,00106.483,00105.324
86,10/04/2025,21:42,001.90417,00106.734,00105.333
87,10/04/2025,22:02,001.91806,00106.134,00105.345
88,10/04/2025,22:22,001.93194,00106.980,00105.330
89,10/04/2025,22:42,001.94583,00107.187,00105.337
90,10/04/2025,23:02,001.95972,00107.078,00105.361
91,10/04/2025,23:22,001.97361,00107.323,00105.390
92,10/04/2025,23:42,001.98750,00106.762,00105.429
93,10/05/2025,00:02,002.00139,00106.275,00105.467
94,10/05/2025,00:22,002.01528,00106.839,00105.499
95,10/05/2025,00:42,002.02917,00105.825,00105.555
96,10/05/2025,01:02,002.04306,00106.415,00105.567
97,10/05/2025,01:22,002.05694,00107.414,00105.571
98,10/05/2025,01:42,002.07083,00106.947,00105.591
99,10/05/2025,02:02,002.08472,00107.751,00105.584
100,10/05/2025,02:22,002.09861,00107.300,00105.604
101,10/05/2025,02:42,002.11250,00107.473,00105.599
102,10/05/2025,03:02,002.12639,00106.856,00105.628
103,10/05/2025,03:22,002.14028,00106.797,00105.638
104,10/05/2025,03:42,002.15417,00105.905,00105.672
105,10/05/2025,04:02,002.16806,00105.547,00105.696
106,10/05/2025,04:22,002.18194,00105.448,00105.719
107,10/05/2025,04:42,002.19583,00105.596,00105.733
108,10/05/2025,05:02,002.20972,00106.142,00105.735
109,10/05/2025,05:22,002.22361,00105.606,00105.750
110,10/05/2025,05:42,002.23750,00105.601,00105.749
111,10/05/2025,06:02,002.25139,00106.100,00105.724
112,10/05/2025,06:22,002.26528,00105.666,00105.716
113,10/05/2025,06:42,002.27917,00105.698,00105.680
114,10/05/2025,07:02,002.29306,00105.380,00105.658
