LumiCycle: 2C- M1L1 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,10/03/2025,16:50,000.70139,00075.708,00071.806
1,10/03/2025,17:10,000.71528,00077.051,00071.648
2,10/03/2025,17:30,000.72917,00077.381,00071.514
3,10/03/2025,17:50,000.74306,00077.435,00071.388
4,10/03/2025,18:10,000.75694,00076.704,00071.269
5,10/03/2025,18:30,000.77083,00075.138,00071.152
6,10/03/2025,18:50,000.78472,00073.321,00071.035
7,10/03/2025,19:10,000.79861,00072.314,00070.896
8,10/03/2025,19:30,000.81250,00070.578,00070.782
9,10/03/2025,19:50,000.82639,00069.075,00070.648
10,10/03/2025,20:10,000.84028,00067.617,00070.502
11,10/03/2025,20:30,000.85417,00066.597,00070.343
12,10/03/2025,20:50,000.86806,00066.429,00070.165
13,10/03/2025,21:10,000.88194,00065.148,00069.998
14,10/03/2025,21:30,000.89583,00064.958,00069.805
15,10/03/2025,21:50,000.90972,00063.857,00069.629
16,10/03/2025,22:10,000.92361,00064.095,00069.425
17,10/03/2025,22:30,000.93750,00064.201,00069.219
18,10/03/2025,22:50,000.95139,00063.877,00069.008
19,10/03/2025,23:10,000.96528,00064.074,00068.784
20,10/03/2025,23:30,000.97917,00064.134,00068.564
21,10/03/2025,23:50,000.99306,00064.902,00068.337
22,10/04/2025,00:10,001.00694,00065.312,00068.114
23,10/04/2025,00:30,001.02083,00065.732,00067.899
24,10/04/2025,00:50,001.03472,00066.118,00067.681
25,10/04/2025,01:10,001.04861,00065.582,00067.480
26,10/04/2025,01:30,001.06250,00066.453,00067.261
27,10/04/2025,01:50,001.07639,00066.320,00067.068
28,10/04/2025,02:10,001.09028,00067.425,00066.870
29,10/04/2025,02:30,001.10417,00067.103,00066.703
30,10/04/2025,02:50,001.11806,00067.789,00066.531
31,10/04/2025,03:10,001.13194,00066.895,00066.387
32,10/04/2025,03:30,001.14583,00066.774,00066.235
33,10/04/2025,03:50,001.15972,00065.275,00066.109
34,10/04/2025,04:10,001.17361,00065.344,00065.965
35,10/04/2025,04:30,001.18750,00065.628,00065.824
36,10/04/2025,04:50,001.20139,00066.005,00065.697
37,10/04/2025,05:10,001.21528,00066.690,00065.566
38,10/04/2025,05:30,001.22917,00066.924,00065.459
39,10/04/2025,05:50,001.24306,00066.654,00065.360
40,10/04/2025,06:10,001.25694,00065.941,00065.293
41,10/04/2025,06:30,001.27083,00065.719,00065.253
42,10/04/2025,06:50,001.28472,00064.973,00065.264
43,10/04/2025,07:10,001.29861,00065.930,00065.276
44,10/04/2025,07:30,001.31250,00064.872,00065.356
45,10/04/2025,07:50,001.32639,00064.020,00065.473
46,10/04/2025,08:10,001.34028,00063.531,00065.625
47,10/04/2025,08:30,001.35417,00063.132,00065.791
48,10/04/2025,08:50,001.36806,00062.684,00065.980
49,10/04/2025,09:10,001.38194,00062.016,00066.194
50,10/04/2025,09:30,001.39583,00062.271,00066.414
51,10/04/2025,09:50,001.40972,00061.722,00066.684
52,10/04/2025,10:10,001.42361,00061.354,00066.963
53,10/04/2025,10:30,001.43750,00060.654,00067.261
54,10/04/2025,10:50,001.45139,00060.207,00067.592
55,10/04/2025,11:10,001.46528,00060.380,00067.919
56,10/04/2025,11:30,001.47917,00060.579,00068.250
57,10/04/2025,11:50,001.49306,00060.484,00068.580
58,10/04/2025,12:10,001.50694,00061.067,00068.893
59,10/04/2025,12:30,001.52083,00060.881,00069.229
60,10/04/2025,12:50,001.53472,00061.095,00069.558
61,10/04/2025,13:10,001.54861,00061.261,00069.905
62,10/04/2025,13:30,001.56250,00062.009,00070.241
63,10/04/2025,13:50,001.57639,00062.966,00070.577
64,10/04/2025,14:10,001.59028,00063.690,00070.911
65,10/04/2025,14:30,001.60417,00064.334,00071.255
66,10/04/2025,14:50,001.61806,00064.741,00071.604
67,10/04/2025,15:10,001.63194,00064.965,00071.967
68,10/04/2025,15:30,001.64583,00065.388,00072.314
69,10/04/2025,15:50,001.65972,00065.740,00072.673
70,10/04/2025,16:10,001.67361,00066.079,00073.024
71,10/04/2025,16:30,001.68750,00067.172,00073.363
72,10/04/2025,16:50,001.70139,00068.594,00073.690
73,10/04/2025,17:10,001.71528,00070.124,00074.005
74,10/04/2025,17:30,001.72917,00070.270,00074.325
75,10/04/2025,17:50,001.74306,00071.260,00074.633
76,10/04/2025,18:10,001.75694,00072.100,00074.945
77,10/04/2025,18:30,001.77083,00073.385,00075.246
78,10/04/2025,18:50,001.78472,00074.092,00075.552
79,10/04/2025,19:10,001.79861,00075.093,00075.835
80,10/04/2025,19:30,001.81250,00076.440,00076.118
81,10/04/2025,19:50,001.82639,00077.805,00076.405
82,10/04/2025,20:10,001.84028,00077.816,00076.712
83,10/04/2025,20:30,001.85417,00079.197,00077.009
84,10/04/2025,20:50,001.86806,00079.441,00077.316
85,10/04/2025,21:10,001.88194,00080.631,00077.604
