LumiCycle: 2D- M1L4 (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,10/03/2025,16:45,000.69792,00498.030,00418.272
1,10/03/2025,17:05,000.71181,00526.484,00414.459
2,10/03/2025,17:25,000.72569,00528.063,00410.977
3,10/03/2025,17:45,000.73958,00518.850,00407.613
4,10/03/2025,18:05,000.75347,00485.668,00404.558
5,10/03/2025,18:25,000.76736,00453.140,00401.454
6,10/03/2025,18:45,000.78125,00422.370,00398.260
7,10/03/2025,19:05,000.79514,00398.670,00394.923
8,10/03/2025,19:25,000.80903,00381.020,00391.439
9,10/03/2025,19:45,000.82292,00365.259,00387.904
10,10/03/2025,20:05,000.83681,00350.577,00384.310
11,10/03/2025,20:25,000.85069,00341.686,00380.603
12,10/03/2025,20:45,000.86458,00331.631,00376.893
13,10/03/2025,21:05,000.87847,00327.260,00373.089
14,10/03/2025,21:25,000.89236,00320.177,00369.317
15,10/03/2025,21:45,000.90625,00316.958,00365.480
16,10/03/2025,22:05,000.92014,00313.621,00361.643
17,10/03/2025,22:25,000.93403,00310.050,00357.779
18,10/03/2025,22:45,000.94792,00307.521,00353.896
19,10/03/2025,23:05,000.96181,00303.246,00350.034
20,10/03/2025,23:25,000.97569,00301.224,00346.173
21,10/03/2025,23:45,000.98958,00297.607,00342.348
22,10/04/2025,00:05,001.00347,00294.400,00338.535
23,10/04/2025,00:25,001.01736,00293.381,00334.700
24,10/04/2025,00:45,001.03125,00291.867,00330.901
25,10/04/2025,01:05,001.04514,00291.977,00327.119
26,10/04/2025,01:25,001.05903,00289.251,00323.422
27,10/04/2025,01:45,001.07292,00287.548,00319.775
28,10/04/2025,02:05,001.08681,00284.337,00316.209
29,10/04/2025,02:25,001.10069,00282.818,00312.681
30,10/04/2025,02:45,001.11458,00279.793,00309.235
31,10/04/2025,03:05,001.12847,00278.374,00305.833
32,10/04/2025,03:25,001.14236,00274.199,00302.544
33,10/04/2025,03:45,001.15625,00270.584,00299.343
34,10/04/2025,04:05,001.17014,00266.854,00296.252
35,10/04/2025,04:25,001.18403,00261.487,00293.279
36,10/04/2025,04:45,001.19792,00259.599,00290.353
37,10/04/2025,05:05,001.21181,00255.842,00287.157
38,10/04/2025,05:25,001.22569,00253.379,00284.026
39,10/04/2025,05:45,001.23958,00250.973,00281.127
40,10/04/2025,06:05,001.25347,00248.216,00278.837
41,10/04/2025,06:25,001.26736,00243.686,00277.144
42,10/04/2025,06:45,001.28125,00240.727,00275.983
43,10/04/2025,07:05,001.29514,00236.546,00275.288
44,10/04/2025,07:25,001.30903,00234.808,00274.916
45,10/04/2025,07:45,001.32292,00231.737,00274.883
46,10/04/2025,08:05,001.33681,00229.644,00275.159
47,10/04/2025,08:25,001.35069,00228.283,00275.640
48,10/04/2025,08:45,001.36458,00227.403,00276.376
49,10/04/2025,09:05,001.37847,00226.886,00277.254
50,10/04/2025,09:25,001.39236,00226.220,00278.353
51,10/04/2025,09:45,001.40625,00226.158,00279.573
52,10/04/2025,10:05,001.42014,00223.978,00280.966
53,10/04/2025,10:25,001.43403,00223.684,00282.444
54,10/04/2025,10:45,001.44792,00223.386,00284.037
55,10/04/2025,11:05,001.46181,00225.710,00285.711
56,10/04/2025,11:25,001.47569,00226.702,00287.500
57,10/04/2025,11:45,001.48958,00227.877,00289.416
58,10/04/2025,12:05,001.50347,00228.570,00291.413
59,10/04/2025,12:25,001.51736,00230.613,00293.445
60,10/04/2025,12:45,001.53125,00233.374,00295.505
61,10/04/2025,13:05,001.54514,00236.503,00297.585
62,10/04/2025,13:25,001.55903,00241.072,00299.692
63,10/04/2025,13:45,001.57292,00245.184,00301.829
64,10/04/2025,14:05,001.58681,00249.589,00304.003
65,10/04/2025,14:25,001.60069,00253.731,00306.203
66,10/04/2025,14:45,001.61458,00258.504,00308.429
67,10/04/2025,15:05,001.62847,00263.635,00310.660
68,10/04/2025,15:25,001.64236,00270.296,00312.924
69,10/04/2025,15:45,001.65625,00277.973,00315.212
70,10/04/2025,16:05,001.67014,00284.551,00317.552
71,10/04/2025,16:25,001.68403,00291.323,00319.916
72,10/04/2025,16:45,001.69792,00298.993,00322.257
