LumiCycle: 4A- M2SCN (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,10/03/2025,16:57,000.70625,00090.386,00085.407
1,10/03/2025,17:17,000.72014,00086.638,00085.214
2,10/03/2025,17:37,000.73403,00083.510,00085.007
3,10/03/2025,17:57,000.74792,00080.989,00084.787
4,10/03/2025,18:17,000.76181,00081.508,00084.531
5,10/03/2025,18:37,000.77569,00082.643,00084.261
6,10/03/2025,18:57,000.78958,00084.102,00083.992
7,10/03/2025,19:17,000.80347,00084.850,00083.730
8,10/03/2025,19:37,000.81736,00084.770,00083.473
9,10/03/2025,19:57,000.83125,00085.381,00083.209
10,10/03/2025,20:17,000.84514,00085.322,00082.946
11,10/03/2025,20:37,000.85903,00086.906,00082.667
12,10/03/2025,20:57,000.87292,00086.519,00082.411
13,10/03/2025,21:17,000.88681,00086.228,00082.153
14,10/03/2025,21:37,000.90069,00085.525,00081.903
15,10/03/2025,21:57,000.91458,00084.514,00081.658
16,10/03/2025,22:17,000.92847,00084.965,00081.391
17,10/03/2025,22:37,000.94236,00083.353,00081.159
18,10/03/2025,22:57,000.95625,00083.123,00080.902
19,10/03/2025,23:17,000.97014,00082.727,00080.644
20,10/03/2025,23:37,000.98403,00081.989,00080.381
21,10/03/2025,23:57,000.99792,00080.689,00080.134
22,10/04/2025,00:17,001.01181,00079.554,00079.891
23,10/04/2025,00:37,001.02569,00078.029,00079.652
24,10/04/2025,00:57,001.03958,00077.776,00079.396
25,10/04/2025,01:17,001.05347,00077.409,00079.138
26,10/04/2025,01:37,001.06736,00076.449,00078.894
27,10/04/2025,01:57,001.08125,00076.412,00078.635
28,10/04/2025,02:17,001.09514,00075.026,00078.390
29,10/04/2025,02:37,001.10903,00075.134,00078.126
30,10/04/2025,02:57,001.12292,00073.997,00077.875
31,10/04/2025,03:17,001.13681,00073.615,00077.621
32,10/04/2025,03:37,001.15069,00073.539,00077.351
33,10/04/2025,03:57,001.16458,00073.507,00077.095
34,10/04/2025,04:17,001.17847,00073.256,00076.839
35,10/04/2025,04:37,001.19236,00073.097,00076.583
36,10/04/2025,04:57,001.20625,00072.368,00076.333
37,10/04/2025,05:17,001.22014,00072.697,00076.065
38,10/04/2025,05:37,001.23403,00072.393,00075.865
39,10/04/2025,05:57,001.24792,00072.024,00075.707
40,10/04/2025,06:17,001.26181,00072.442,00075.581
41,10/04/2025,06:37,001.27569,00072.115,00075.463
42,10/04/2025,06:57,001.28958,00072.427,00075.314
43,10/04/2025,07:17,001.30347,00072.330,00075.144
44,10/04/2025,07:37,001.31736,00071.779,00074.973
45,10/04/2025,07:57,001.33125,00072.008,00074.768
46,10/04/2025,08:17,001.34514,00071.375,00074.582
47,10/04/2025,08:37,001.35903,00071.861,00074.382
48,10/04/2025,08:57,001.37292,00071.554,00074.182
49,10/04/2025,09:17,001.38681,00071.519,00073.970
50,10/04/2025,09:37,001.40069,00071.710,00073.764
51,10/04/2025,09:57,001.41458,00071.768,00073.570
52,10/04/2025,10:17,001.42847,00071.576,00073.392
53,10/04/2025,10:37,001.44236,00072.081,00073.194
54,10/04/2025,10:57,001.45625,00071.666,00073.031
55,10/04/2025,11:17,001.47014,00071.393,00072.864
56,10/04/2025,11:37,001.48403,00070.713,00072.710
57,10/04/2025,11:57,001.49792,00071.328,00072.545
58,10/04/2025,12:17,001.51181,00071.738,00072.407
59,10/04/2025,12:37,001.52569,00071.634,00072.293
60,10/04/2025,12:57,001.53958,00071.696,00072.183
61,10/04/2025,13:17,001.55347,00071.449,00072.084
62,10/04/2025,13:37,001.56736,00071.849,00071.970
63,10/04/2025,13:57,001.58125,00071.733,00071.880
64,10/04/2025,14:17,001.59514,00071.345,00071.797
65,10/04/2025,14:37,001.60903,00071.461,00071.725
66,10/04/2025,14:57,001.62292,00071.242,00071.654
67,10/04/2025,15:17,001.63681,00071.688,00071.588
68,10/04/2025,15:37,001.65069,00070.871,00071.557
69,10/04/2025,15:57,001.66458,00071.883,00071.501
70,10/04/2025,16:17,001.67847,00071.764,00071.470
71,10/04/2025,16:37,001.69236,00071.776,00071.429
72,10/04/2025,16:57,001.70625,00071.676,00071.391
73,10/04/2025,17:17,001.72014,00071.399,00071.361
74,10/04/2025,17:37,001.73403,00071.953,00071.317
75,10/04/2025,17:57,001.74792,00071.738,00071.295
76,10/04/2025,18:17,001.76181,00072.375,00071.269
77,10/04/2025,18:37,001.77569,00072.619,00071.235
78,10/04/2025,18:57,001.78958,00072.286,00071.223
79,10/04/2025,19:17,001.80347,00071.725,00071.201
80,10/04/2025,19:37,001.81736,00071.981,00071.164
81,10/04/2025,19:57,001.83125,00070.241,00071.170
82,10/04/2025,20:17,001.84514,00071.383,00071.129
83,10/04/2025,20:37,001.85903,00071.364,00071.121
84,10/04/2025,20:57,001.87292,00072.207,00071.096
85,10/04/2025,21:17,001.88681,00071.236,00071.096
86,10/04/2025,21:37,001.90069,00071.601,00071.077
87,10/04/2025,21:57,001.91458,00071.639,00071.064
88,10/04/2025,22:17,001.92847,00071.454,00071.055
89,10/04/2025,22:37,001.94236,00071.238,00071.044
90,10/04/2025,22:57,001.95625,00071.188,00071.020
91,10/04/2025,23:17,001.97014,00070.821,00071.016
92,10/04/2025,23:37,001.98403,00070.975,00071.007
93,10/04/2025,23:57,001.99792,00070.692,00071.014
94,10/05/2025,00:17,002.01181,00071.167,00071.008
95,10/05/2025,00:37,002.02569,00071.303,00071.002
96,10/05/2025,00:57,002.03958,00070.155,00071.016
97,10/05/2025,01:17,002.05347,00070.357,00070.999
98,10/05/2025,01:37,002.06736,00069.613,00070.997
99,10/05/2025,01:57,002.08125,00069.877,00070.973
100,10/05/2025,02:17,002.09514,00070.013,00070.956
101,10/05/2025,02:37,002.10903,00070.015,00070.942
102,10/05/2025,02:57,002.12292,00069.741,00070.940
103,10/05/2025,03:17,002.13681,00069.736,00070.935
104,10/05/2025,03:37,002.15069,00070.529,00070.919
105,10/05/2025,03:57,002.16458,00070.560,00070.923
106,10/05/2025,04:17,002.17847,00071.117,00070.903
107,10/05/2025,04:37,002.19236,00070.331,00070.897
108,10/05/2025,04:57,002.20625,00070.264,00070.885
109,10/05/2025,05:17,002.22014,00069.950,00070.875
110,10/05/2025,05:37,002.23403,00070.061,00070.865
111,10/05/2025,05:57,002.24792,00070.587,00070.840
112,10/05/2025,06:17,002.26181,00070.772,00070.816
113,10/05/2025,06:37,002.27569,00070.270,00070.801
114,10/05/2025,06:57,002.28958,00070.911,00070.770
115,10/05/2025,07:17,002.30347,00070.260,00070.755
116,10/05/2025,07:37,002.31736,00069.927,00070.740
117,10/05/2025,07:57,002.33125,00070.478,00070.720
118,10/05/2025,08:17,002.34514,00070.214,00070.726
119,10/05/2025,08:37,002.35903,00070.744,00070.714
120,10/05/2025,08:57,002.37292,00070.942,00070.689
121,10/05/2025,09:17,002.38681,00070.607,00070.673
122,10/05/2025,09:37,002.40069,00070.516,00070.660
123,10/05/2025,09:57,002.41458,00070.795,00070.653
124,10/05/2025,10:17,002.42847,00070.923,00070.641
125,10/05/2025,10:37,002.44236,00070.586,00070.636
126,10/05/2025,10:57,002.45625,00070.305,00070.634
127,10/05/2025,11:17,002.47014,00070.990,00070.629
128,10/05/2025,11:37,002.48403,00070.906,00070.641
129,10/05/2025,11:57,002.49792,00070.906,00070.653
130,10/05/2025,12:17,002.51181,00071.414,00070.651
131,10/05/2025,12:37,002.52569,00071.433,00070.651
