LumiCycle: 4B-M3SCN (Raw)
,Date,Time (hr:min),Time (days),counts/sec, Baseline
0,10/03/2025,16:47,000.69931,00109.148,00105.963
1,10/03/2025,17:07,000.71319,00097.997,00106.017
2,10/03/2025,17:27,000.72708,00090.174,00106.008
3,10/03/2025,17:47,000.74097,00084.933,00105.970
4,10/03/2025,18:07,000.75486,00085.975,00105.833
5,10/03/2025,18:27,000.76875,00090.081,00105.654
6,10/03/2025,18:47,000.78264,00093.527,00105.478
7,10/03/2025,19:07,000.79653,00097.078,00105.306
8,10/03/2025,19:27,000.81042,00100.236,00105.141
9,10/03/2025,19:47,000.82431,00103.067,00104.981
10,10/03/2025,20:07,000.83819,00105.251,00104.833
11,10/03/2025,20:27,000.85208,00106.603,00104.687
12,10/03/2025,20:47,000.86597,00108.377,00104.553
13,10/03/2025,21:07,000.87986,00109.571,00104.428
14,10/03/2025,21:27,000.89375,00110.700,00104.307
15,10/03/2025,21:47,000.90764,00110.106,00104.213
16,10/03/2025,22:07,000.92153,00109.958,00104.111
17,10/03/2025,22:27,000.93542,00109.466,00104.014
18,10/03/2025,22:47,000.94931,00108.871,00103.927
19,10/03/2025,23:07,000.96319,00108.145,00103.847
20,10/03/2025,23:27,000.97708,00107.754,00103.762
21,10/03/2025,23:47,000.99097,00107.850,00103.680
22,10/04/2025,00:07,001.00486,00107.923,00103.601
23,10/04/2025,00:27,001.01875,00106.625,00103.560
24,10/04/2025,00:47,001.03264,00105.297,00103.507
25,10/04/2025,01:07,001.04653,00105.073,00103.438
26,10/04/2025,01:27,001.06042,00104.280,00103.374
27,10/04/2025,01:47,001.07431,00104.119,00103.313
28,10/04/2025,02:07,001.08819,00103.213,00103.255
29,10/04/2025,02:27,001.10208,00103.343,00103.186
30,10/04/2025,02:47,001.11597,00103.305,00103.127
31,10/04/2025,03:07,001.12986,00102.688,00103.088
32,10/04/2025,03:27,001.14375,00102.339,00103.054
33,10/04/2025,03:47,001.15764,00100.548,00103.050
34,10/04/2025,04:07,001.17153,00101.546,00103.003
35,10/04/2025,04:27,001.18542,00101.187,00102.993
36,10/04/2025,04:47,001.19931,00101.823,00102.969
37,10/04/2025,05:07,001.21319,00100.655,00103.139
38,10/04/2025,05:27,001.22708,00101.273,00103.382
39,10/04/2025,05:47,001.24097,00100.612,00103.732
40,10/04/2025,06:07,001.25486,00100.667,00104.055
41,10/04/2025,06:27,001.26875,00100.302,00104.322
42,10/04/2025,06:47,001.28264,00100.645,00104.531
43,10/04/2025,07:07,001.29653,00100.755,00104.683
44,10/04/2025,07:27,001.31042,00100.811,00104.792
45,10/04/2025,07:47,001.32431,00100.924,00104.853
46,10/04/2025,08:07,001.33819,00100.310,00104.889
47,10/04/2025,08:27,001.35208,00101.522,00104.874
48,10/04/2025,08:47,001.36597,00101.641,00104.864
49,10/04/2025,09:07,001.37986,00101.760,00104.826
50,10/04/2025,09:27,001.39375,00101.983,00104.762
51,10/04/2025,09:47,001.40764,00101.847,00104.701
52,10/04/2025,10:07,001.42153,00101.892,00104.642
53,10/04/2025,10:27,001.43542,00102.473,00104.586
54,10/04/2025,10:47,001.44931,00102.846,00104.543
55,10/04/2025,11:07,001.46319,00102.785,00104.506
56,10/04/2025,11:27,001.47708,00103.478,00104.462
57,10/04/2025,11:47,001.49097,00103.715,00104.410
58,10/04/2025,12:07,001.50486,00104.954,00104.342
59,10/04/2025,12:27,001.51875,00104.163,00104.305
60,10/04/2025,12:47,001.53264,00104.069,00104.277
61,10/04/2025,13:07,001.54653,00103.901,00104.242
62,10/04/2025,13:27,001.56042,00104.679,00104.216
63,10/04/2025,13:47,001.57431,00104.208,00104.196
64,10/04/2025,14:07,001.58819,00104.436,00104.183
65,10/04/2025,14:27,001.60208,00104.967,00104.155
66,10/04/2025,14:47,001.61597,00105.813,00104.129
67,10/04/2025,15:07,001.62986,00106.442,00104.117
68,10/04/2025,15:27,001.64375,00107.058,00104.099
69,10/04/2025,15:47,001.65764,00106.843,00104.117
70,10/04/2025,16:07,001.67153,00108.072,00104.091
71,10/04/2025,16:27,001.68542,00108.153,00104.096
72,10/04/2025,16:47,001.69931,00108.733,00104.086
73,10/04/2025,17:07,001.71319,00107.776,00104.106
74,10/04/2025,17:27,001.72708,00108.796,00104.085
75,10/04/2025,17:47,001.74097,00108.633,00104.089
76,10/04/2025,18:07,001.75486,00108.373,00104.101
77,10/04/2025,18:27,001.76875,00108.521,00104.110
78,10/04/2025,18:47,001.78264,00107.808,00104.133
79,10/04/2025,19:07,001.79653,00107.937,00104.140
