recording_uid,path,batch,file,recording_id,position,sample_code,tissue,scn_region,spinal_region,level,min_time_days,max_time_days,n_points,median_sampling_interval_min,n_time_gaps,n_duplicate_times,n_missing_time,n_missing_counts,min_counts,max_counts,mean_counts,median_counts,recording_duration_days,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
250625 to 250728::1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2_Raw.csv,1B-L1m2,1B,L1m2,DRG,,lumbar,L1,0.69444,14.0,956,20.00159999999994,1,0,0,0,69.366,133.951,112.93562552301255,108.1375,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::1C-SCN_Raw.csv,data/raw/All/250625 to 250728/1C-SCN_Raw.csv,250625 to 250728,1C-SCN_Raw.csv,1C-SCN,1C,SCN,SCN,whole_or_unspecified,,,0.64583,14.00486,961,20.00159999999994,1,0,0,0,35.485,133.753,65.8343361082206,66.368,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::1D-L2m2_Raw.csv,data/raw/All/250625 to 250728/1D-L2m2_Raw.csv,250625 to 250728,1D-L2m2_Raw.csv,1D-L2m2,1D,L2m2,DRG,,lumbar,L2,0.68194,14.00139,957,20.00159999999994,1,0,0,0,37.164,60.105,56.453446185997905,56.835,13.31945,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::2A-SCNm4m_Raw.csv,data/raw/All/250625 to 250728/2A-SCNm4m_Raw.csv,250625 to 250728,2A-SCNm4m_Raw.csv,2A-SCNm4m,2A,SCNm4m,SCN,medial,,,0.64722,8.56389,569,20.00159999999994,1,0,0,0,73.127,141.059,86.43868892794376,84.913,7.916670000000001,not_administered,,,,,,,,
250625 to 250728::2B-SCNm4r_Raw.csv,data/raw/All/250625 to 250728/2B-SCNm4r_Raw.csv,250625 to 250728,2B-SCNm4r_Raw.csv,2B-SCNm4r,2B,SCNm4r,SCN,medial,,,0.75139,8.55694,561,20.00159999999994,1,0,0,0,90.601,124.449,103.86020320855616,104.771,7.805550000000001,not_administered,,,,,,,,
250625 to 250728::2C-L3m2_Raw.csv,data/raw/All/250625 to 250728/2C-L3m2_Raw.csv,250625 to 250728,2C-L3m2_Raw.csv,2C-L3m2,2C,L3m2,DRG,,lumbar,L3,0.6875,13.99306,957,20.00159999999994,1,0,0,0,32.552,143.588,81.07257262277952,54.739,13.30556,administered_estimated,2025-07-10 17:20:00,False,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::2D-L4m2_Raw.csv,data/raw/All/250625 to 250728/2D-L4m2_Raw.csv,250625 to 250728,2D-L4m2_Raw.csv,2D-L4m2,2D,L4m2,DRG,,lumbar,L4,0.68403,14.00347,958,20.00159999999994,1,0,0,0,48.32,203.965,116.69586325678497,74.0395,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::3A-L5m2_Raw.csv,data/raw/All/250625 to 250728/3A-L5m2_Raw.csv,250625 to 250728,3A-L5m2_Raw.csv,3A-L5m2,3A,L5m2,DRG,,lumbar,L5,0.69097,13.99653,957,20.00159999999994,1,0,0,0,46.834,87.007,74.67313270637408,74.404,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::3B-T10m2_Raw.csv,data/raw/All/250625 to 250728/3B-T10m2_Raw.csv,250625 to 250728,3B-T10m2_Raw.csv,3B-T10m2,3B,T10m2,DRG,,thoracic,T10,0.68403,14.00347,958,20.00159999999994,1,0,0,0,74.163,262.074,155.52162108559497,129.5275,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::4B-T12m2_Raw.csv,data/raw/All/250625 to 250728/4B-T12m2_Raw.csv,250625 to 250728,4B-T12m2_Raw.csv,4B-T12m2,4B,T12m2,DRG,,thoracic,T12,0.68542,14.00486,958,20.00159999999994,1,0,0,0,74.302,372.181,188.1246356993737,139.9455,13.31944,administered_estimated,2025-07-10 17:20:00,False,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
