recording_uid,path,batch,file,recording_id,recording_start_datetime,recording_end_datetime,min_time_days,max_time_days,recording_duration_days,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
250625 to 250728::1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B-L1m2_Raw.csv,1B-L1m2,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::1C-SCN_Raw.csv,data/raw/All/250625 to 250728/1C-SCN_Raw.csv,250625 to 250728,1C-SCN_Raw.csv,1C-SCN,2025-06-26 15:30:00,2025-07-10 00:07:00,0.64583,14.00486,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::1D-L2m2_Raw.csv,data/raw/All/250625 to 250728/1D-L2m2_Raw.csv,250625 to 250728,1D-L2m2_Raw.csv,1D-L2m2,2025-07-03 16:22:00,2025-07-17 00:02:00,0.68194,14.00139,13.31945,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::2A-SCNm4m_Raw.csv,data/raw/All/250625 to 250728/2A-SCNm4m_Raw.csv,250625 to 250728,2A-SCNm4m_Raw.csv,2A-SCNm4m,2025-07-10 15:32:00,2025-07-18 13:32:00,0.64722,8.56389,7.916670000000001,not_administered,,,,,,,,
250625 to 250728::2B-SCNm4r_Raw.csv,data/raw/All/250625 to 250728/2B-SCNm4r_Raw.csv,250625 to 250728,2B-SCNm4r_Raw.csv,2B-SCNm4r,2025-07-10 18:02:00,2025-07-18 13:22:00,0.75139,8.55694,7.805550000000001,not_administered,,,,,,,,
250625 to 250728::2C-L3m2_Raw.csv,data/raw/All/250625 to 250728/2C-L3m2_Raw.csv,250625 to 250728,2C-L3m2_Raw.csv,2C-L3m2,2025-07-03 16:30:00,2025-07-16 23:50:00,0.6875,13.99306,13.30556,administered_estimated,2025-07-10 17:20:00,False,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::2D-L4m2_Raw.csv,data/raw/All/250625 to 250728/2D-L4m2_Raw.csv,250625 to 250728,2D-L4m2_Raw.csv,2D-L4m2,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::3A-L5m2_Raw.csv,data/raw/All/250625 to 250728/3A-L5m2_Raw.csv,250625 to 250728,3A-L5m2_Raw.csv,3A-L5m2,2025-07-03 16:35:00,2025-07-16 23:55:00,0.69097,13.99653,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::3B-T10m2_Raw.csv,data/raw/All/250625 to 250728/3B-T10m2_Raw.csv,250625 to 250728,3B-T10m2_Raw.csv,3B-T10m2,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::4B-T12m2_Raw.csv,data/raw/All/250625 to 250728/4B-T12m2_Raw.csv,250625 to 250728,4B-T12m2_Raw.csv,4B-T12m2,2025-07-03 16:27:00,2025-07-17 00:07:00,0.68542,14.00486,13.31944,administered_estimated,2025-07-10 17:20:00,False,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::4C-T5m1_Raw.csv,data/raw/All/250625 to 250728/4C-T5m1_Raw.csv,250625 to 250728,4C-T5m1_Raw.csv,4C-T5m1,2025-07-03 16:35:00,2025-07-16 23:55:00,0.69097,13.99653,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::4D-T7m1_Raw.csv,data/raw/All/250625 to 250728/4D-T7m1_Raw.csv,250625 to 250728,4D-T7m1_Raw.csv,4D-T7m1,2025-07-03 16:30:00,2025-07-16 23:50:00,0.6875,13.99306,13.30556,administered_estimated,2025-07-10 17:20:00,False,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::5A-T10m1_Raw.csv,data/raw/All/250625 to 250728/5A-T10m1_Raw.csv,250625 to 250728,5A-T10m1_Raw.csv,5A-T10m1,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::5B-T12m2_Raw.csv,data/raw/All/250625 to 250728/5B-T12m2_Raw.csv,250625 to 250728,5B-T12m2_Raw.csv,5B-T12m2,2025-07-03 16:30:00,2025-07-16 23:50:00,0.6875,13.99306,13.30556,administered_estimated,2025-07-10 17:20:00,False,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::5C-SCNm5_Raw.csv,data/raw/All/250625 to 250728/5C-SCNm5_Raw.csv,250625 to 250728,5C-SCNm5_Raw.csv,5C-SCNm5,2025-07-10 17:57:00,2025-07-18 13:17:00,0.74792,8.55347,7.805550000000001,not_administered,,,,,,,,
250625 to 250728::5C-T12_Raw.csv,data/raw/All/250625 to 250728/5C-T12_Raw.csv,250625 to 250728,5C-T12_Raw.csv,5C-T12,2025-06-26 15:20:00,2025-07-09 23:57:00,0.63889,13.99792,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::5D-T10_Raw.csv,data/raw/All/250625 to 250728/5D-T10_Raw.csv,250625 to 250728,5D-T10_Raw.csv,5D-T10,2025-06-26 15:35:00,2025-07-09 23:52:00,0.64931,13.99444,13.345130000000001,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::6A-T7_Raw.csv,data/raw/All/250625 to 250728/6A-T7_Raw.csv,250625 to 250728,6A-T7_Raw.csv,6A-T7,2025-06-26 15:25:00,2025-07-10 00:02:00,0.64236,14.00139,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::6B-T5_Raw.csv,data/raw/All/250625 to 250728/6B-T5_Raw.csv,250625 to 250728,6B-T5_Raw.csv,6B-T5,2025-06-26 15:35:00,2025-07-09 23:52:00,0.64931,13.99444,13.345130000000001,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::6C-SCNmm1_Raw.csv,data/raw/All/250625 to 250728/6C-SCNmm1_Raw.csv,250625 to 250728,6C-SCNmm1_Raw.csv,6C-SCNmm1,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::6D-SCNcm1_Raw.csv,data/raw/All/250625 to 250728/6D-SCNcm1_Raw.csv,250625 to 250728,6D-SCNcm1_Raw.csv,6D-SCNcm1,2025-07-03 16:35:00,2025-07-10 14:35:00,0.69097,7.60764,6.91667,not_administered,,,,,,,,
250625 to 250728::7A-SCNmm2_Raw.csv,data/raw/All/250625 to 250728/7A-SCNmm2_Raw.csv,250625 to 250728,7A-SCNmm2_Raw.csv,7A-SCNmm2,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::7B-SCNcm2_Raw.csv,data/raw/All/250625 to 250728/7B-SCNcm2_Raw.csv,250625 to 250728,7B-SCNcm2_Raw.csv,7B-SCNcm2,2025-07-03 16:35:00,2025-07-16 23:55:00,0.69097,13.99653,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::7C-L1_Raw.csv,data/raw/All/250625 to 250728/7C-L1_Raw.csv,250625 to 250728,7C-L1_Raw.csv,7C-L1,2025-06-26 15:25:00,2025-07-10 00:02:00,0.64236,14.00139,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::7C-SCNm6_Raw.csv,data/raw/All/250625 to 250728/7C-SCNm6_Raw.csv,250625 to 250728,7C-SCNm6_Raw.csv,7C-SCNm6,2025-07-10 15:42:00,2025-07-18 13:22:00,0.65417,8.55694,7.902770000000001,not_administered,,,,,,,,
250625 to 250728::7D-L2_Raw.csv,data/raw/All/250625 to 250728/7D-L2_Raw.csv,250625 to 250728,7D-L2_Raw.csv,7D-L2,2025-06-26 15:20:00,2025-07-09 23:57:00,0.63889,13.99792,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::8A-L3_Raw.csv,data/raw/All/250625 to 250728/8A-L3_Raw.csv,250625 to 250728,8A-L3_Raw.csv,8A-L3,2025-06-26 15:30:00,2025-07-10 00:07:00,0.64583,14.00486,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::8B-L2m1_Raw.csv,data/raw/All/250625 to 250728/8B-L2m1_Raw.csv,250625 to 250728,8B-L2m1_Raw.csv,8B-L2m1,2025-07-03 16:37:00,2025-07-16 23:57:00,0.69236,13.99792,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::8B-L4_Raw.csv,data/raw/All/250625 to 250728/8B-L4_Raw.csv,250625 to 250728,8B-L4_Raw.csv,8B-L4,2025-06-26 15:20:00,2025-07-03 15:20:00,0.63889,7.63889,7.0,not_administered,,,,,,,,
250625 to 250728::8C-L3m1_Raw.csv,data/raw/All/250625 to 250728/8C-L3m1_Raw.csv,250625 to 250728,8C-L3m1_Raw.csv,8C-L3m1,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::8D-L4-1m1_Raw.csv,data/raw/All/250625 to 250728/8D-L4-1m1_Raw.csv,250625 to 250728,8D-L4-1m1_Raw.csv,8D-L4-1m1,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250728::6A-SCNrM1_Raw.csv,data/raw/All/250728/6A-SCNrM1_Raw.csv,250728,6A-SCNrM1_Raw.csv,6A-SCNrM1,2025-07-28 15:41:00,2025-08-11 00:02:00,0.65347,14.00139,13.34792,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:00:00,2025-08-04 17:20:00,2025-08-04 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250728::6B-SCNrM2_Raw.csv,data/raw/All/250728/6B-SCNrM2_Raw.csv,250728,6B-SCNrM2_Raw.csv,6B-SCNrM2,2025-07-28 15:52:00,2025-08-10 23:52:00,0.66111,13.99444,13.33333,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:10:00,2025-08-04 17:30:00,2025-08-04 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250728::7A-SCNcM1_Raw.csv,data/raw/All/250728/7A-SCNcM1_Raw.csv,250728,7A-SCNcM1_Raw.csv,7A-SCNcM1,2025-07-28 15:42:00,2025-08-11 00:05:00,0.65417,14.00347,13.3493,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:00:00,2025-08-04 17:20:00,2025-08-04 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250728::7B-SCNcM2_Raw.csv,data/raw/All/250728/7B-SCNcM2_Raw.csv,250728,7B-SCNcM2_Raw.csv,7B-SCNcM2,2025-07-28 15:55:00,2025-08-10 23:55:00,0.66319,13.99653,13.33334,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:00:00,2025-08-04 17:20:00,2025-08-04 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250811::1A-1FSCN_Raw.csv,data/raw/All/250811/1A-1FSCN_Raw.csv,250811,1A-1FSCN_Raw.csv,1A-1FSCN,2025-08-11 17:10:00,2025-08-23 17:10:00,0.71528,12.71528,12.0,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::1B-2MSCN_Raw.csv,data/raw/All/250811/1B-2MSCN_Raw.csv,250811,1B-2MSCN_Raw.csv,1B-2MSCN,2025-08-11 17:00:00,2025-08-23 17:20:00,0.70833,12.72222,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::1C-3FSCN_Raw.csv,data/raw/All/250811/1C-3FSCN_Raw.csv,250811,1C-3FSCN_Raw.csv,1C-3FSCN,2025-08-11 17:07:00,2025-08-23 17:27:00,0.71319,12.72708,12.01389,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::1D-4FSCN_Raw.csv,data/raw/All/250811/1D-4FSCN_Raw.csv,250811,1D-4FSCN_Raw.csv,1D-4FSCN,2025-08-11 17:02:00,2025-08-23 17:22:00,0.70972,12.72361,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::2C-2ML1_Raw.csv,data/raw/All/250811/2C-2ML1_Raw.csv,250811,2C-2ML1_Raw.csv,2C-2ML1,2025-08-11 17:10:00,2025-08-23 17:10:00,0.71528,12.71528,12.0,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::2D-1FL2_Raw.csv,data/raw/All/250811/2D-1FL2_Raw.csv,250811,2D-1FL2_Raw.csv,2D-1FL2,2025-08-11 17:05:00,2025-08-23 17:25:00,0.71181,12.72569,12.01388,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::3A-1FL4_Raw.csv,data/raw/All/250811/3A-1FL4_Raw.csv,250811,3A-1FL4_Raw.csv,3A-1FL4,2025-08-11 16:55:00,2025-08-23 17:15:00,0.70486,12.71875,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::3D-1FT10_Raw.csv,data/raw/All/250811/3D-1FT10_Raw.csv,250811,3D-1FT10_Raw.csv,3D-1FT10,2025-08-11 17:07:00,2025-08-23 17:27:00,0.71319,12.72708,12.01389,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::4A-2MT10_Raw.csv,data/raw/All/250811/4A-2MT10_Raw.csv,250811,4A-2MT10_Raw.csv,4A-2MT10,2025-08-11 16:57:00,2025-08-23 17:17:00,0.70625,12.72014,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::4C-2MT5_Raw.csv,data/raw/All/250811/4C-2MT5_Raw.csv,250811,4C-2MT5_Raw.csv,4C-2MT5,2025-08-11 16:55:00,2025-08-23 17:15:00,0.70486,12.71875,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::4D-1FL4_Raw.csv,data/raw/All/250811/4D-1FL4_Raw.csv,250811,4D-1FL4_Raw.csv,4D-1FL4,2025-08-11 17:10:00,2025-08-23 17:10:00,0.71528,12.71528,12.0,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::5A-2ML2_Raw.csv,data/raw/All/250811/5A-2ML2_Raw.csv,250811,5A-2ML2_Raw.csv,5A-2ML2,2025-08-11 17:00:00,2025-08-23 17:20:00,0.70833,12.72222,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
250811::5C-1FT7_Raw.csv,data/raw/All/250811/5C-1FT7_Raw.csv,250811,5C-1FT7_Raw.csv,5C-1FT7,2025-08-11 16:57:00,2025-08-23 17:17:00,0.70625,12.72014,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
