recording_uid,recording_id,file,path,batch,position,sample_code,tissue,scn_region,spinal_region,level,recording_start_datetime,recording_end_datetime,min_time_days,max_time_days,recording_duration_days,n_raw_observations,n_analysis_observations,forskolin_status,experiment_start_date,scheduled_forskolin_date,reported_restart_datetime,forskolin_interval_start_datetime,forskolin_interval_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_assignment_reason,median_sampling_interval_min,maximum_sampling_interval_min,n_sampling_gaps,n_excluded_observations
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,1B,L1m2,DRG,,lumbar,L1,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,956,956,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715275,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
250625 to 250728::1C-SCN_Raw.csv,1C-SCN,1C-SCN_Raw.csv,data/raw/All/250625 to 250728/1C-SCN_Raw.csv,250625 to 250728,1C,SCN,SCN,whole_or_unspecified,,,2025-06-26 15:30:00,2025-07-10 00:07:00,0.64583,14.00486,13.35903,961,961,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:07:00,2025-07-03 17:27:00,2025-07-03 17:17:00,7.720135,midpoint_of_actual_observations_bracketing_restart,20.0,57.0,1,0
250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,1D-L2m2_Raw.csv,data/raw/All/250625 to 250728/1D-L2m2_Raw.csv,250625 to 250728,1D,L2m2,DRG,,lumbar,L2,2025-07-03 16:22:00,2025-07-17 00:02:00,0.68194,14.00139,13.31945,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:02:00,2025-07-10 17:22:00,2025-07-10 17:12:00,7.716665,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
250625 to 250728::2A-SCNm4m_Raw.csv,2A-SCNm4m,2A-SCNm4m_Raw.csv,data/raw/All/250625 to 250728/2A-SCNm4m_Raw.csv,250625 to 250728,2A,SCNm4m,SCN,medial,,,2025-07-10 15:32:00,2025-07-18 13:32:00,0.64722,8.56389,7.916670000000001,569,569,not_administered,,,,,,,,no_scheduled_treatment_for_recording_start_date,20.0,60.0,1,0
250625 to 250728::2B-SCNm4r_Raw.csv,2B-SCNm4r,2B-SCNm4r_Raw.csv,data/raw/All/250625 to 250728/2B-SCNm4r_Raw.csv,250625 to 250728,2B,SCNm4r,SCN,medial,,,2025-07-10 18:02:00,2025-07-18 13:22:00,0.75139,8.55694,7.805550000000001,561,561,not_administered,,,,,,,,no_scheduled_treatment_for_recording_start_date,20.0,60.0,1,0
250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,2C-L3m2_Raw.csv,data/raw/All/250625 to 250728/2C-L3m2_Raw.csv,250625 to 250728,2C,L3m2,DRG,,lumbar,L3,2025-07-03 16:30:00,2025-07-16 23:50:00,0.6875,13.99306,13.30556,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722225,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::2D-L4m2_Raw.csv,2D-L4m2,2D-L4m2_Raw.csv,data/raw/All/250625 to 250728/2D-L4m2_Raw.csv,250625 to 250728,2D,L4m2,DRG,,lumbar,L4,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,958,958,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:05:00,2025-07-10 17:25:00,2025-07-10 17:15:00,7.71875,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,3A-L5m2_Raw.csv,data/raw/All/250625 to 250728/3A-L5m2_Raw.csv,250625 to 250728,3A,L5m2,DRG,,lumbar,L5,2025-07-03 16:35:00,2025-07-16 23:55:00,0.69097,13.99653,13.30556,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:15:00,2025-07-10 17:35:00,2025-07-10 17:25:00,7.725695,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,3B-T10m2_Raw.csv,data/raw/All/250625 to 250728/3B-T10m2_Raw.csv,250625 to 250728,3B,T10m2,DRG,,thoracic,T10,2025-07-03 16:25:00,2025-07-17 00:05:00,0.68403,14.00347,13.31944,958,958,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:05:00,2025-07-10 17:25:00,2025-07-10 17:15:00,7.71875,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,4B-T12m2_Raw.csv,data/raw/All/250625 to 250728/4B-T12m2_Raw.csv,250625 to 250728,4B,T12m2,DRG,,thoracic,T12,2025-07-03 16:27:00,2025-07-17 00:07:00,0.68542,14.00486,13.31944,958,958,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:07:00,2025-07-10 17:27:00,2025-07-10 17:17:00,7.720135,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
