recording_uid,recording_id,file,path,batch,forskolin_status,previous_observation_datetime,next_observation_datetime,interval_minutes,previous_time_days,next_time_days,previous_hours_from_forskolin,next_hours_from_forskolin
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,1B-L1m2_Raw.csv,data/raw/All/250625 to 250728/1B-L1m2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:20:00,2025-07-10 15:40:00,80.0,7.59722,7.65278,-2.8333200000000005,-1.4998800000000045
250625 to 250728::1C-SCN_Raw.csv,1C-SCN,1C-SCN_Raw.csv,data/raw/All/250625 to 250728/1C-SCN_Raw.csv,250625 to 250728,administered_estimated,2025-07-03 15:30:00,2025-07-03 16:27:00,57.0,7.64583,7.68542,-1.7833199999999962,-0.8331600000000066
250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,1D-L2m2_Raw.csv,data/raw/All/250625 to 250728/1D-L2m2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:22:00,2025-07-10 15:42:00,80.0,7.59861,7.65417,-2.8333200000000005,-1.4998800000000045
250625 to 250728::2A-SCNm4m_Raw.csv,2A-SCNm4m,2A-SCNm4m_Raw.csv,data/raw/All/250625 to 250728/2A-SCNm4m_Raw.csv,250625 to 250728,not_administered,2025-07-17 14:32:00,2025-07-17 15:32:00,60.0,7.60556,7.64722,,
250625 to 250728::2B-SCNm4r_Raw.csv,2B-SCNm4r,2B-SCNm4r_Raw.csv,data/raw/All/250625 to 250728/2B-SCNm4r_Raw.csv,250625 to 250728,not_administered,2025-07-17 14:42:00,2025-07-17 15:42:00,60.0,7.6125,7.65417,,
250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,2C-L3m2_Raw.csv,data/raw/All/250625 to 250728/2C-L3m2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:30:00,2025-07-10 15:30:00,60.0,7.60417,7.64583,-2.8333200000000005,-1.8334799999999944
250625 to 250728::2D-L4m2_Raw.csv,2D-L4m2,2D-L4m2_Raw.csv,data/raw/All/250625 to 250728/2D-L4m2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:25:00,2025-07-10 15:25:00,60.0,7.60069,7.64236,-2.833439999999996,-1.833359999999999
250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,3A-L5m2_Raw.csv,data/raw/All/250625 to 250728/3A-L5m2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:35:00,2025-07-10 15:35:00,60.0,7.60764,7.64931,-2.8333200000000005,-1.8332400000000035
250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,3B-T10m2_Raw.csv,data/raw/All/250625 to 250728/3B-T10m2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:25:00,2025-07-10 15:25:00,60.0,7.60069,7.64236,-2.833439999999996,-1.833359999999999
250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,4B-T12m2_Raw.csv,data/raw/All/250625 to 250728/4B-T12m2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:27:00,2025-07-10 15:27:00,60.0,7.60208,7.64375,-2.8333200000000005,-1.8332400000000035
