recording_uid,recording_id,file,batch,position,sample_code,tissue,scn_region,spinal_region,level,forskolin_status,forskolin_time_days,post_pre_amplitude_proxy_ratio,pre_period_proxy_hours,post_period_proxy_hours,pre_envelope_log_rate_per_day,post_envelope_log_rate_per_day,baseline_step_to_pre_amplitude,pre_amplitude_proxy,pre_drift_slope_per_day,post_drift_slope_per_day
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,1B-L1m2_Raw.csv,250625 to 250728,1B,L1m2,DRG,,lumbar,L1,administered_estimated,7.715275,2.216219951058009,22.38095238095238,24.166666666666668,-0.4588381841493895,-0.4685850296784741,4.1111595594532195,4.341875000000002,-0.2876397328305498,1.7712286835158575
250625 to 250728::1C-SCN_Raw.csv,1C-SCN,1C-SCN_Raw.csv,250625 to 250728,1C,SCN,SCN,whole_or_unspecified,,,administered_estimated,7.720135,0.4454527080815539,26.333333333333332,24.166666666666668,-0.4053741392256731,-0.49039367087023533,0.20799741329127144,18.183074999999995,1.5521494342206068,1.090326871540648
250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,1D-L2m2_Raw.csv,250625 to 250728,1D,L2m2,DRG,,lumbar,L2,administered_estimated,7.716665,1.057077922077922,26.166666666666664,24.166666666666668,-0.15863201635454155,-0.29781177691801625,-1.7616553527088954,2.3099999999999987,0.4021105784766817,0.05180918334048566
250625 to 250728::2A-SCNm4m_Raw.csv,2A-SCNm4m,2A-SCNm4m_Raw.csv,250625 to 250728,2A,SCNm4m,SCN,medial,,,not_administered,,,,,,,,,,
250625 to 250728::2B-SCNm4r_Raw.csv,2B-SCNm4r,2B-SCNm4r_Raw.csv,250625 to 250728,2B,SCNm4r,SCN,medial,,,not_administered,,,,,,,,,,
250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,2C-L3m2_Raw.csv,250625 to 250728,2C,L3m2,DRG,,lumbar,L3,administered_estimated,7.722225,4.049444560016642,26.166666666666664,24.11111111111111,-0.48714560860415596,-0.5238485798393334,10.303836131325427,6.008749999999999,0.4554768790333231,2.4349079768777435
250625 to 250728::2D-L4m2_Raw.csv,2D-L4m2,2D-L4m2_Raw.csv,250625 to 250728,2D,L4m2,DRG,,lumbar,L4,administered_estimated,7.71875,9.238603174603153,26.166666666666664,24.166666666666668,-0.1160635945039391,-0.44011495774938886,13.43663758864918,4.7250000000000085,0.5266520758945716,11.471285459531593
250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,3A-L5m2_Raw.csv,250625 to 250728,3A,L5m2,DRG,,lumbar,L5,administered_estimated,7.725695,1.758944099378877,22.428571428571427,24.11111111111111,-0.30902827924216114,-0.584939751738535,0.9583794442473742,2.8175000000000026,0.2665151679067786,0.226989710870138
250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,3B-T10m2_Raw.csv,250625 to 250728,3B,T10m2,DRG,,thoracic,T10,administered_estimated,7.71875,2.675132597165462,22.428571428571427,24.166666666666668,-0.36753833648866924,-0.6244962856696166,5.461964858172157,11.500999999999998,2.409081897058658,-0.7692991218642997
250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,4B-T12m2_Raw.csv,250625 to 250728,4B,T12m2,DRG,,thoracic,T12,administered_estimated,7.720135,3.1835386768800094,22.428571428571427,24.166666666666668,-0.30513805910018255,-0.477844965630223,9.733433979381179,16.253249999999994,5.322436579983565,-9.626611542553995
250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,4C-T5m1_Raw.csv,250625 to 250728,4C,T5m1,DRG,,thoracic,T5,administered_estimated,7.725695,1.965418014643281,26.166666666666664,24.11111111111111,-0.4265550215882852,-0.3966448772172939,2.6188654881291673,4.4047500000000035,-0.47735985951334364,0.6883111631249481
250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,4D-T7m1_Raw.csv,250625 to 250728,4D,T7m1,DRG,,thoracic,T7,administered_estimated,7.722225,1.3534402945817987,26.166666666666664,24.11111111111111,-0.22715866915581248,-0.6092956871553449,0.9248238497160148,4.752499999999998,0.6397530552563928,1.2923256328986528
250625 to 250728::5A-T10m1_Raw.csv,5A-T10m1,5A-T10m1_Raw.csv,250625 to 250728,5A,T10m1,DRG,,thoracic,T10,administered_estimated,7.715275,0.6701411822985488,22.38095238095238,24.166666666666668,-0.22043588710337406,-0.428472948575886,-1.3571930470762734,2.422399999999996,0.19470185529133197,0.30703459562546204
250625 to 250728::5B-T12m2_Raw.csv,5B-T12m2,5B-T12m2_Raw.csv,250625 to 250728,5B,T12m2,DRG,,thoracic,T12,administered_estimated,7.722225,2.3150252525252477,22.428571428571427,24.11111111111111,-0.2701090184377522,-0.7789288976013606,4.091074083046513,2.574000000000005,-0.18572198480795094,-0.3174253506693176
250625 to 250728::5C-SCNm5_Raw.csv,5C-SCNm5,5C-SCNm5_Raw.csv,250625 to 250728,5C,SCNm5,SCN,medial,,,not_administered,,,,,,,,,,
250625 to 250728::5C-T12_Raw.csv,5C-T12,5C-T12_Raw.csv,250625 to 250728,5C,T12,DRG,,thoracic,T12,administered_estimated,7.727085,2.992056537769361,26.388888888888886,24.11111111111111,-0.6247516882027159,-0.43147303280788935,6.65886530557506,7.418049999999997,-0.7192218138538213,4.443308115652494
250625 to 250728::5D-T10_Raw.csv,5D-T10,5D-T10_Raw.csv,250625 to 250728,5D,T10,DRG,,thoracic,T10,administered_estimated,7.723615,1.9909293924466305,22.571428571428573,24.11111111111111,-0.6658456388138239,-0.5683940481578025,2.6105335002929673,7.612500000000004,0.5551509184602433,-1.0450459956014497
250625 to 250728::6A-T7_Raw.csv,6A-T7,6A-T7_Raw.csv,250625 to 250728,6A,T7,DRG,,thoracic,T7,administered_estimated,7.730555,0.8613943072661937,22.619047619047617,24.11111111111111,-0.38386278966655213,-0.4265392643429385,1.3417239820041227,3.3937999999999917,-0.46043635493153956,0.03931971433672936
250625 to 250728::6B-T5_Raw.csv,6B-T5,6B-T5_Raw.csv,250625 to 250728,6B,T5,DRG,,thoracic,T5,administered_estimated,7.723615,1.8045252366050095,22.571428571428573,24.11111111111111,-0.2685936746602267,-0.46549871635125045,3.1546201234412017,3.2992750000000015,0.16760115886807125,1.1984408219400817
250625 to 250728::6C-SCNmm1_Raw.csv,6C-SCNmm1,6C-SCNmm1_Raw.csv,250625 to 250728,6C,SCNmm1,SCN,medial,,,administered_estimated,7.715275,0.3186116231571321,26.11111111111111,24.166666666666668,-0.38218526979385326,-0.7254354740315361,-0.5844879552483724,37.67564999999999,6.415244473847975,-0.871143936004696
250625 to 250728::6D-SCNcm1_Raw.csv,6D-SCNcm1,6D-SCNcm1_Raw.csv,250625 to 250728,6D,SCNcm1,SCN,caudal,,,not_administered,,,,,,,,,,
250625 to 250728::7A-SCNmm2_Raw.csv,7A-SCNmm2,7A-SCNmm2_Raw.csv,250625 to 250728,7A,SCNmm2,SCN,medial,,,administered_estimated,7.71875,0.6003920171062006,26.166666666666664,29.0,-0.5080599116896154,-0.888366328854384,0.21095629427654497,9.820999999999998,2.296840721709,-1.3207730219881921
250625 to 250728::7B-SCNcm2_Raw.csv,7B-SCNcm2,7B-SCNcm2_Raw.csv,250625 to 250728,7B,SCNcm2,SCN,caudal,,,administered_estimated,7.725695,0.4223955439493277,26.166666666666664,24.11111111111111,-0.47439474850129143,-0.4134406514546879,-0.061224054547419644,17.997999999999998,1.1635607023354064,-0.3237300909651426
250625 to 250728::7C-L1_Raw.csv,7C-L1,7C-L1_Raw.csv,250625 to 250728,7C,L1,DRG,,lumbar,L1,administered_estimated,7.730555,1.6915404381931305,22.619047619047617,24.11111111111111,-0.4578235607444673,-0.4681097289991366,1.2280514918765375,2.9575999999999976,-0.3213497686300463,-0.20183089493378886
250625 to 250728::7C-SCNm6_Raw.csv,7C-SCNm6,7C-SCNm6_Raw.csv,250625 to 250728,7C,SCNm6,SCN,medial,,,not_administered,,,,,,,,,,
250625 to 250728::7D-L2_Raw.csv,7D-L2,7D-L2_Raw.csv,250625 to 250728,7D,L2,DRG,,lumbar,L2,administered_estimated,7.727085,2.0677962849247766,22.619047619047617,24.11111111111111,-0.438169670262259,-0.43307675944034596,2.5048747894821606,7.816800000000001,-0.23059955694912754,3.849588178655533
250625 to 250728::8A-L3_Raw.csv,8A-L3,8A-L3_Raw.csv,250625 to 250728,8A,L3,DRG,,lumbar,L3,administered_estimated,7.720135,1.090055915717032,22.571428571428573,24.166666666666668,-0.2238097341142754,-0.2701631428445242,-0.04999196651686111,9.648450000000004,-0.5991525633616914,2.348557179468399
250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,8B-L2m1_Raw.csv,250625 to 250728,8B,L2m1,DRG,,lumbar,L2,administered_estimated,7.727085,4.479832872746416,22.428571428571427,24.11111111111111,-0.2802589232343631,-0.7459639718005175,8.908256642417909,3.7994999999999948,-0.7746942842759421,3.340195111522615
250625 to 250728::8B-L4_Raw.csv,8B-L4,8B-L4_Raw.csv,250625 to 250728,8B,L4,DRG,,lumbar,L4,not_administered,,,,,,,,,,
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,8C-L3m1_Raw.csv,250625 to 250728,8C,L3m1,DRG,,lumbar,L3,administered_estimated,7.71875,0.47083787285415624,22.428571428571427,24.166666666666668,-0.4696512763394199,-0.7591601602750573,-0.6871966592072467,67.922,1.1225804554987135,4.649506645726779
250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,8D-L4-1m1_Raw.csv,250625 to 250728,8D,L4-1m1,DRG,,lumbar,L4,administered_estimated,7.715275,1.38181458346218,22.38095238095238,24.166666666666668,-0.3745335538751545,-0.3502560559016313,7.397710462958113,10.105624999999996,-0.1416218645225959,1.4265327940422166
250728::6A-SCNrM1_Raw.csv,6A-SCNrM1,6A-SCNrM1_Raw.csv,250728,6A,SCNrM1,SCN,rostral,,,administered_estimated,7.716665,0.45631078209224096,26.27777777777778,24.166666666666668,-0.5175179960341634,-0.36363167947467073,-1.1044889904868134,28.4212,2.519023498138958,3.7897435846673666
250728::6B-SCNrM2_Raw.csv,6B-SCNrM2,6B-SCNrM2_Raw.csv,250728,6B,SCNrM2,SCN,rostral,,,administered_estimated,7.723615,0.5023698461347293,26.27777777777778,24.11111111111111,-0.5254428967583057,-0.46017545218927625,0.2081096978520318,38.63119999999998,2.247116388810742,-1.525382660130427
250728::7A-SCNcM1_Raw.csv,7A-SCNcM1,7A-SCNcM1_Raw.csv,250728,7A,SCNcM1,SCN,caudal,,,administered_estimated,7.71875,0.6854930756353662,26.27777777777778,24.166666666666668,-0.3756287143381509,-0.2190815403094812,0.2661549479096093,5.2568000000000055,0.4171618541479405,0.47490347291603724
250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,7B-SCNcM2_Raw.csv,250728,7B,SCNcM2,SCN,caudal,,,administered_estimated,7.725695,0.3754613917709035,26.27777777777778,24.11111111111111,-0.523350838503379,-0.45058309459282947,0.08972946455865267,15.469499999999982,-0.06814606850275935,0.5421080180426227
250811::1A-1FSCN_Raw.csv,1A-1FSCN,1A-1FSCN_Raw.csv,250811,1A,1FSCN,SCN,whole_or_unspecified,,,administered_estimated,7.680555,0.5127014132685205,25.888888888888886,23.0,-0.46676646760555884,-0.5432635782831295,0.3633205395012869,5.554500000000004,1.0349697448443118,0.5990986557287318
250811::1B-2MSCN_Raw.csv,1B-2MSCN,1B-2MSCN_Raw.csv,250811,1B,2MSCN,SCN,whole_or_unspecified,,,administered_estimated,7.6875,1.0585061726695977,25.94444444444444,23.0,-0.534814236343182,-0.4938132865306796,1.27285496731993,3.632949999999994,0.7622334534350877,0.6191582308900068
250811::1C-3FSCN_Raw.csv,1C-3FSCN,1C-3FSCN_Raw.csv,250811,1C,3FSCN,SCN,whole_or_unspecified,,,administered_estimated,7.692365,0.43297632559966015,25.94444444444444,28.75,-0.34565057564072954,-0.4528229332146861,-0.9164147453875651,37.17939999999999,3.6128378256013303,4.39018628486343
