recording_uid,recording_id,tissue,model_spec_version,fit_procedure_version,raw_pre_baseline,raw_pre_amplitude_proxy,recording_start_day_original,fit_start_day_original,duration_days,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,reference_window_start_day_original,reference_window_end_day_original,reference_window_n_points,profiled_initial_phase_radians,n_parameter_starts,selected_parameter_start,n_profiled_starts,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_phase_shift_hours,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,active_bound_count,boundary_hit_parameters,sse,rmse,mae,nrmse_q95_q05,r_squared
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,102.3005,4.341875000000002,0.69444,0.94444,13.05556,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,18,period_24_21,22,1.4084505459037677,2.009637355792351,24.57107264291958,24.879722583683055,-0.31600187618937675,-0.16844340234957428,4.670904381578673,2.0271117613015335,8.026816941030543,0.10368138730203796,-0.07434127984383365,0,none,574.7188340478001,0.7827558023460425,0.5912348355201053,0.10683175219207376,0.9222124927589517
250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,59.4105,18.183074999999995,0.64583,0.89583,13.10903,7.720135,6.824305,4.180555,3.284725,0.89583,7.470135,474,0.10581015507266356,17,period_27_21,19,1.9783209606251377,1.0521000707830233,24.280517506096064,25.541174853060205,-0.37053674632157274,-0.49891644487482034,0.36439707346916655,-0.5113842595702649,-2.0787791784307377,0.03864070551999985,1.7239838663551195,0,none,44.64203061124577,0.21757857300479166,0.13284986468752424,0.1061609625625992,0.8874372844791117
250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,58.146,2.3099999999999987,0.68194,0.93194,13.06945,7.716665,6.784725,4.19583,3.26389,0.93194,7.466665,471,1.2959302295943198,18,period_29_29,22,1.7052810363822255,2.005206886939565,29.997202650807182,25.30036900234005,-0.8562372925960673,-0.4029704772569354,-1.3819993992378976,0.7257000451575228,2.922160978846233,0.04602904539230519,-2.556215919419509,1,fit_pre_period_hours,315.4937688084585,0.5796456712185148,0.33371113426741095,0.22386502717093024,0.5796717173787649
250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,46.684,6.008749999999999,0.6875,0.9375,13.05556,7.722225,6.784725,4.20139,3.26389,0.9375,7.472225,471,-0.9618488342217333,18,empirical,22,0.9711584302874242,5.61230019016966,25.99389975836706,24.433149715349057,-0.33302027955878216,-0.31672163916563506,9.999999999995238,-2.7542905672282676,-10.710490061747032,0.2913003870970173,4.773301882760652,1,fit_baseline_step,652.2833696301004,0.8334611422522404,0.6486657889979679,0.054166365321264474,0.9817134979416777
250625 to 250728::2D-L4m2_Raw.csv,2D-L4m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,68.501,4.7250000000000085,0.68403,0.93403,13.06944,7.71875,6.78472,4.19792,3.26389,0.93403,7.46875,471,-0.6544980666132489,18,period_29_21,22,2.7732945329000875,6.958924797366066,29.98793599728092,24.42031841429387,-0.7617587461463434,-0.441142069533884,9.999999999,2.175068529037289,8.453652638782858,0.9999999999,2.8162970815622317,2,fit_baseline_step;fit_linear_drift_slope_per_day,16477.501730287837,4.186795571780485,3.4002471982858506,0.15362323300602357,0.8641420261334261
250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,73.015,2.8175000000000026,0.69097,0.94097,13.05556,7.725695,6.784725,4.20486,3.26389,0.94097,7.475695,471,-1.5047393256992414,17,period_21_21,19,1.2565342196856206,3.764097487345372,24.55443766155443,24.13441265541922,-0.16615998166359,-0.5422136943322643,1.2002408679013652,2.020471588959687,7.760855792488551,0.055285586430588535,0.8735961467817567,0,none,135.8255281579016,0.3803276544885979,0.2632599044625598,0.10319066739740645,0.9000074811988126
250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,125.449,11.500999999999998,0.68403,0.93403,13.06944,7.71875,6.78472,4.19792,3.26389,0.93403,7.46875,471,-0.033815430419286585,18,period_29_29,22,1.0696536505730154,6.383575626718868,29.290148296703542,23.70831715469863,-0.4290559159883753,-0.5042816769516165,5.151561582237419,0.3344879035764601,1.2621218243140875,0.10382384388263921,5.086813884186203,0,none,271.64606778566394,0.5375734168421902,0.42237112993524895,0.06192087184232351,0.9739510605567253
250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,113.966,16.253249999999994,0.68542,0.93542,13.06944,7.720135,6.784715,4.19931,3.2638899999999995,0.93542,7.470135,471,1.0411209561362158,18,period_29_27,22,0.8770672402987418,5.28571589051065,29.56040205885333,24.122268125044098,-0.4753397691046854,-0.47386260486893694,9.523936337009234,-0.1743032241993614,-0.669181140398999,-0.05793766663989133,5.971214728215172,0,none,1078.812425112649,1.071294913958351,0.828439872719785,0.081652250898345,0.9497016043051009
250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,33.961,4.404750000000004,0.69097,0.94097,13.05556,7.725695,6.784725,4.20486,3.26389,0.94097,7.475695,471,-1.3917517793457,18,period_27_21,22,1.0748298750306695,2.711404896115604,26.31480857225468,25.326275398346862,-0.34893012472842094,-0.26815313098023735,3.0120824916145232,-1.0358597227261606,-4.175345358960002,-0.013474980777392901,0.5737131270082417,0,none,179.18911507756937,0.43684062141370655,0.31931866574935946,0.09328648714866927,0.9296408119557364
250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,63.924,4.752499999999998,0.6875,0.9375,13.05556,7.722225,6.784725,4.20139,3.26389,0.9375,7.472225,471,-0.19014429919411668,17,period_29_27,19,1.0591577016916534,2.4031528410776923,29.949104345513344,24.379183907198207,-0.4305888438872208,-0.46003770786171516,1.1662862356754724,1.826890370884084,7.088458186834061,0.17640443374236475,1.2769616939710005,0,none,129.2106100309055,0.37095078315861657,0.2884632328371553,0.09383099220061873,0.9265616026159557
