anchor_recording_uid,anchor_recording_id,tissue,fit_r_squared,fit_nrmse_q95_q05,fit_active_bound_count,target_boundary_hit_parameters,pre_duration_days,post_duration_days,pre_n_cycles,post_n_cycles,pre_residual_robust_sd,post_residual_robust_sd,pre_rhythmic_rms,post_rhythmic_rms,pre_rhythm_to_residual_ratio,post_rhythm_to_residual_ratio,pre_envelope_median,post_envelope_median,pre_envelope_p10,post_envelope_p10,pre_period_status,pre_period_reason,post_period_status,post_period_reason,pre_amplitude_envelope_status,pre_amplitude_envelope_reason,post_amplitude_envelope_status,post_amplitude_envelope_reason,phase_shift_status,phase_shift_reason
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,0.9222124927589516,0.1068317521920737,0,none,6.76389,6.27778,6.606685933459975,6.055803857668905,0.3836306864372258,1.219706251530932,0.4872147462441175,0.9056644900667424,1.2700098388084533,0.7425267263572557,0.4869323732236501,1.1610716196646296,0.20818667915309325,0.7641760653118206,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::1C-SCN_Raw.csv,1C-SCN,SCN,0.8874372844791117,0.1061609625625992,0,none,6.81736,6.277780000000001,6.738597723830271,5.898973749907513,0.18190922606783308,0.0855941397633441,0.6212754664978036,0.2841277706616076,3.415304874454982,3.3194769110032696,0.5621256623782123,0.2159776218759021,0.20542879206800496,0.0625648409569184,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,DRG,0.5796717173787649,0.2238650271709302,1,fit_pre_period_hours,6.77778,6.27778,5.422729642279589,5.955119468260116,0.35698959210938236,0.36661072136224404,0.33484764967514996,0.6146136287963933,0.9379759440509177,1.6764747809682856,0.09535857753707135,0.5488590223601457,0.009493050646607,0.20177044027348465,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60,difficult,fit_r_squared_below_0.60;fit_pre_period_hours_at_bound
250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,DRG,0.9817134979416776,0.0541663653212644,1,none,6.77778,6.26389,6.257880560905061,6.1528440561864866,0.6792387023115067,0.9731264238386471,0.3306998889619959,1.9145979320919262,0.4868684423260869,1.9674709114767428,0.3156222772494297,2.0226656508666916,0.1284314523855827,0.9227928020309389,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,DRG,0.9000074811988126,0.1031906673974064,0,none,6.77778,6.26389,6.624738152920188,6.229004291357539,0.34159458057253944,0.2686417464648556,0.5606468376023157,0.9847130794984007,1.6412638533744517,3.6655251555521855,0.7171769860654578,0.6716642098441219,0.4579180986806213,0.17640280411137158,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,DRG,0.9739510605567252,0.0619208718423235,0,none,6.77778,6.27778,5.553632516715775,6.355015373587582,0.4081965349897685,0.6787019244017359,0.31729345094623834,1.6638422934024772,0.7773055960756535,2.4515066682168696,0.2513952665311348,1.2703927004799878,0.07893158549698984,0.3631392791359828,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,DRG,0.9497016043051008,0.081652250898345,0,none,6.77777,6.27778,5.502850728354064,6.245959924621499,0.6883774969272227,0.7314244932870859,0.2342295367664803,1.4492524035625869,0.3402632099567946,1.9814108180183019,0.1763220124483398,1.159497467157513,0.048857196848392036,0.3574470618121129,difficult,pre_rhythm_to_residual_below_0.35,eligible,none,difficult,pre_rhythm_to_residual_below_0.35,eligible,none,difficult,pre_rhythm_to_residual_below_0.35
250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,DRG,0.9296408119557364,0.0932864871486692,0,none,6.77778,6.26389,6.181565773254741,5.9358653270355255,0.3552633500791746,0.36984128449846526,0.3513617029039902,1.0102894238378268,0.9890175916701939,2.7316837416024584,0.3310530059222537,1.1427301467195248,0.12904586564730589,0.5880141676939015,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,DRG,0.9265616026159555,0.0938309922006187,0,none,6.77778,6.26389,5.43143855400033,6.166464003563815,0.43479466032790726,0.2446750911981082,0.31746007172671814,0.6823559693712591,0.7301379264577459,2.788824829000554,0.247643918540614,0.5527904996152968,0.07743261209216677,0.1768152551716445,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none
250625 to 250728::5A-T10m1_Raw.csv,5A-T10m1,DRG,0.3546230579896243,0.3376594401699883,1,fit_post_envelope_log_rate_per_day,6.76389,6.27778,5.436378254299776,5.398110280425643,0.42818634206009903,0.31092799632599505,0.2655782202251213,0.31796037542195615,0.6202398211660975,1.0226173878809806,0.1722746131031051,0.0247155204412394,0.044740971054299,0.0007351096794641201,ineligible,fit_r_squared_below_0.40,ineligible,fit_r_squared_below_0.40,ineligible,fit_r_squared_below_0.40,ineligible,fit_r_squared_below_0.40;fit_post_envelope_log_rate_per_day_at_bound,ineligible,fit_r_squared_below_0.40
