synthetic_id,model_spec_version,global_synthetic_number,anchor_index,variant_number,variant_type,is_exact_anchor_fit,anchor_recording_uid,anchor_recording_id,tissue,source_neighbour_recording_uid,interpolation_fraction,random_seed,residual_noise_added,n_time_points,duration_days,fit_start_day_original,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,reference_window_start_day_original,reference_window_end_day_original,reference_window_n_points,profiled_initial_phase_radians,transition_duration_days,acute_transient_shape,acute_transient_sigma_hours,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,fit_phase_shift_hours,derived_pre_envelope_final_fraction,derived_post_envelope_final_fraction,pre_period_status,pre_period_reason,post_period_status,post_period_reason,pre_amplitude_envelope_status,pre_amplitude_envelope_reason,post_amplitude_envelope_status,post_amplitude_envelope_reason,phase_shift_status,phase_shift_reason,variant_pre_envelope_median,variant_pre_envelope_p10,variant_pre_median_envelope_to_anchor_residual,variant_pre_observable_fraction,variant_post_envelope_median,variant_post_envelope_p10,variant_post_median_envelope_to_anchor_residual,variant_post_observable_fraction,variant_transition_envelope_to_anchor_residual,variant_acute_transient_to_transition_envelope
SYN_A001_1B-L1m2_V000,msc_x10_causal_angle_halfgaussian_v1,1,1,0,anchor_exact_fit,True,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::1B-L1m2_Raw.csv,0.0,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.4084505459037675,2.009637355792351,24.57107264291958,24.87972258368305,-0.3160018761893767,-0.1684434023495742,4.670904381578673,2.027111761301533,0.1036813873020379,-0.0743412798438336,8.02681694103054,0.11770231887140871,0.346934089170237,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.48693237322364996,0.20818667915309336,1.269273784497757,0.6123711340206186,1.1610716196646298,0.7641760653118209,0.951927251506085,0.45253863134657835,0.1815408484903295,0.3357379411275865
SYN_A001_1B-L1m2_V001,msc_x10_causal_angle_halfgaussian_v1,2,1,1,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::6B-T5_Raw.csv,0.19444444444444445,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.2558189046134036,2.0903826942318133,24.566829259281374,25.02649746058964,-0.28729567324614497,-0.19561057119433461,4.4259644199510095,2.095561338379053,0.11850925903903382,-0.7033150288117362,8.346811043998104,0.14295411136548594,0.29248010051575235,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.4781420763316695,0.2208326315983041,1.2463603492519588,0.6144329896907217,1.1084596130522595,0.6819530421799954,0.908792269992025,0.4194260485651214,0.19443912281723405,2.965589223220527
SYN_A001_1B-L1m2_V002,msc_x10_causal_angle_halfgaussian_v1,3,1,2,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::4C-T5m1_Raw.csv,0.11666666666666667,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.3695281343019061,2.0915102354967305,24.77450850134201,24.931820412060496,-0.3198435051855985,-0.18007620402315155,4.477375161082856,1.6697650881649686,0.09001314435943764,0.00126506762224185,6.6256653708570115,0.11468023377927566,0.3224750786199099,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.46740173299264226,0.19778279139147625,1.2183637793248432,0.5917525773195876,1.1640300916488873,0.7457987493937175,0.9543528125627281,0.45916114790286977,0.17662207484099077,0.005872371315684462
SYN_A001_1B-L1m2_V003,msc_x10_causal_angle_halfgaussian_v1,4,1,3,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::5D-T10_Raw.csv,0.35,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.3441082888721776,2.399445017085607,24.823630908591763,24.96547878232986,-0.3352753666626969,-0.23016865898432876,3.9532963245529587,2.609744222555703,0.0645880227934218,1.4911216847401678,10.369503815377463,0.1033024498524845,0.23538172397588217,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.4355394377150541,0.17680923514099836,1.1353091739347139,0.5567010309278351,1.1374487858146378,0.6442929340976169,0.9325596096494155,0.45253863134657835,0.16970424291964836,7.203857868193403
SYN_A001_1B-L1m2_V004,msc_x10_causal_angle_halfgaussian_v1,5,1,4,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::7D-L2_Raw.csv,0.3111111111111111,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.2991444028452948,2.045424446718016,26.253354501330673,24.93784658259153,-0.4250474801756085,-0.19254905876031203,4.088265791524133,2.142618843993449,0.13290027845856492,0.4654694968526278,8.504014668391674,0.056251287153258576,0.2981621290172123,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.31132132823599495,0.09927823912052908,0.8115131016427097,0.4268041237113402,1.0954422177929495,0.679087754513618,0.898119704164826,0.4083885209713024,0.10870240425908226,3.510725117633851
SYN_A001_1B-L1m2_V005,msc_x10_causal_angle_halfgaussian_v1,6,1,5,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::6A-T7_Raw.csv,0.23333333333333334,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.3745007896486006,1.8777053073507117,24.74466686203343,24.963238470228607,-0.34649236060305333,-0.21644268158887875,3.944800427382218,2.2877387924368904,0.06056100233106827,-0.2069012717709885,9.089238378492187,0.09574732368296457,0.2565882209837079,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.4289084440565742,0.16894420203217425,1.1180243375206567,0.5484536082474227,0.9306378473045797,0.5436857750594399,0.7630016211989371,0.2980132450331126,0.15106014360443593,1.1229437884258218
SYN_A001_1B-L1m2_V006,msc_x10_causal_angle_halfgaussian_v1,7,1,6,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::7D-L2_Raw.csv,0.27222222222222225,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.3128076707276037,2.040951060352308,26.043069269029285,24.930581082727972,-0.41141677967732954,-0.1895358517089698,4.16109561528095,2.12818045865696,0.12924791706399905,0.39799314976557015,8.44424808267207,0.06168989539445551,0.30386228027574697,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.32934380867057667,0.10894619541688635,0.8584918264208455,0.44536082474226807,1.1009626858850519,0.6893959103538476,0.9026457677847946,0.41501103752759383,0.11488234345921056,2.840318622461972
SYN_A001_1B-L1m2_V007,msc_x10_causal_angle_halfgaussian_v1,8,1,7,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::6B-T5_Raw.csv,0.07777777777777778,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.347397889387622,2.041935491168136,24.569375289464297,24.938432534445685,-0.304519395012084,-0.17931026988747836,4.572928396927607,2.054491592132541,0.10961253599683626,-0.32593077943099463,8.154430827376336,0.12721832449880444,0.32403111432976517,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.48415460771202756,0.2134898118193147,1.2620330563448048,0.6144329896907217,1.1415478001044197,0.731321773802036,0.9359202665982809,0.4392935982339956,0.1868094856655122,1.4304451208638416
SYN_A001_1B-L1m2_V008,msc_x10_causal_angle_halfgaussian_v1,9,1,8,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::4C-T5m1_Raw.csv,0.03888888888888889,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.395476408703147,2.0369283156938107,24.638884595727056,24.89708852647553,-0.3172824191881173,-0.17232100290743332,4.6063946414134005,1.9079962035893452,0.09912530632117114,-0.04913916402180844,7.560424858815232,0.1166862104885008,0.3385816125844078,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.480374910603294,0.20467709146689028,1.2521806195029153,0.6061855670103092,1.1620700222124025,0.7593187022709744,0.9527458113408974,0.45474613686534215,0.17987088055780687,0.22398124444336392
SYN_A001_1B-L1m2_V009,msc_x10_causal_angle_halfgaussian_v1,10,1,9,local_same_tissue_variant,False,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,250625 to 250728::5D-T10_Raw.csv,0.15555555555555556,123,False,938,13.05556,0.94444,7.715275,6.770835,4.201385,3.256945,0.94444,7.465275,470,-1.2032777771125425,0.2,causal_half_gaussian,3.0,1.3798539872230609,2.1828852052560204,24.683320760996107,24.9178364497483,-0.3245678719552968,-0.19587684974279845,4.351967467345022,2.2860595218589417,0.08630655863154185,0.621420037749056,9.066047632715915,0.1110699043124217,0.2919910480637255,eligible,none,eligible,none,eligible,none,eligible,none,eligible,none,0.46350695969059824,0.1936589228768747,1.2082113764026088,0.5855670103092784,1.1565114387429936,0.7110454297491481,0.9481884980841752,0.45474613686534215,0.1758462775307757,2.8973223995941937
