method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,tissue,anchor_recording_uid,anchor_recording_id,method_applicable,primary_metric_name,primary_metric_unit,n_variants,processing_success_fraction,valid_fraction,median_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.07668662700706541,0.0,,,,,,,,0.2929213381732536,0.0,0.00051916404209275,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.04310507269284414,0.0,,,,,,,,0.1646492493936389,0.0,0.00014312889148425,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250625 to 250728::5C-T12_Raw.csv,5C-T12,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.14028612251254202,0.0,,,,,,,,0.5358535162815908,0.0,0.0062381302959622995,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250625 to 250728::8A-L3_Raw.csv,8A-L3,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.11819712569396401,0.0,,,,,,,,0.45147976352276264,0.0,0.005477780876592,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250811::2C-2ML1_Raw.csv,2C-2ML1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.21165788795267515,0.0,,,,,,,,0.8084735786894106,0.0,0.02141008211914305,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250811::5A-2ML2_Raw.csv,5A-2ML2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.16643788817832794,0.0,,,,,,,,0.6357459029125686,0.0,0.0239750161939781,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250811::7C-1FT12_Raw.csv,7C-1FT12,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.252474973483396,0.0,,,,,,,,0.9643833608850643,0.0,0.02125115421553605,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,250811::8A-1FT5_Raw.csv,8A-1FT5,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1372870567612663,0.0,,,,,,,,0.5243979289462354,0.0,0.02587536224893685,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,251003::2C- M1L1_Raw.csv,2C- M1L1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.08157740293400462,0.0,,,,,,,,0.31160272611710693,0.0,0.0038726926705446,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,DRG,251003::2D- M1L4_Raw.csv,2D- M1L4,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.10174183213340982,0.0,,,,,,,,0.3886251720781922,0.0,0.0011959628965354501,0.0
