method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,point_estimate,ci_lower_95,ci_upper_95,n_anchors_valid,bootstrap_replicates,bootstrap_seed
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,primary_error,0.11819712569396401,0.07668662700706541,0.16643788817832794,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.0,0.0,0.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.45147976352276264,0.2929213381732536,0.6357459029125686,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.0,0.0,0.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,ratio_log_error,0.005477780876592,0.00051916404209275,0.02141008211914305,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.0,0.0,0.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,True,circular_absolute_error_radians,radians,primary_error,0.10719239896632105,0.08844898631480702,0.1220199402672244,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.0,0.0,0.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.4094448037768456,0.3378502412032546,0.4660818395833577,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.0,0.0,0.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.00440533298208135,0.0025266147960906,0.00733784216282885,41,2000,20260902
