scenario_family,scenario_level_number,scenario_level,added_component,target_status,n_scenarios,n_source_traces,n_anchors
phase_shift_hours,0,S0_target_only,target_only,difficult,110,110,11
phase_shift_hours,0,S0_target_only,target_only,eligible,410,410,41
phase_shift_hours,0,S0_target_only,target_only,ineligible,10,10,1
phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,110,110,11
phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,410,410,41
phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,10,10,1
phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,110,110,11
phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,410,410,41
phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,10,10,1
phase_shift_hours,3,S3_pre_period,pre_period,difficult,110,110,11
phase_shift_hours,3,S3_pre_period,pre_period,eligible,410,410,41
phase_shift_hours,3,S3_pre_period,pre_period,ineligible,10,10,1
phase_shift_hours,4,S4_post_period,post_period,difficult,110,110,11
phase_shift_hours,4,S4_post_period,post_period,eligible,410,410,41
phase_shift_hours,4,S4_post_period,post_period,ineligible,10,10,1
phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,110,110,11
phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,410,410,41
phase_shift_hours,5,S5_pre_envelope,pre_envelope,ineligible,10,10,1
phase_shift_hours,6,S6_post_envelope,post_envelope,difficult,110,110,11
phase_shift_hours,6,S6_post_envelope,post_envelope,eligible,410,410,41
phase_shift_hours,6,S6_post_envelope,post_envelope,ineligible,10,10,1
phase_shift_hours,7,S7_linear_drift,linear_drift,difficult,110,110,11
phase_shift_hours,7,S7_linear_drift,linear_drift,eligible,410,410,41
phase_shift_hours,7,S7_linear_drift,linear_drift,ineligible,10,10,1
phase_shift_hours,8,S8_baseline_step,baseline_step,difficult,110,110,11
phase_shift_hours,8,S8_baseline_step,baseline_step,eligible,410,410,41
phase_shift_hours,8,S8_baseline_step,baseline_step,ineligible,10,10,1
phase_shift_hours,9,S9_acute_treatment_transient,acute_treatment_transient,difficult,110,110,11
phase_shift_hours,9,S9_acute_treatment_transient,acute_treatment_transient,eligible,410,410,41
phase_shift_hours,9,S9_acute_treatment_transient,acute_treatment_transient,ineligible,10,10,1
post_amplitude_trajectory,0,S0_target_only,target_only,difficult,100,100,10
post_amplitude_trajectory,0,S0_target_only,target_only,eligible,420,420,42
post_amplitude_trajectory,0,S0_target_only,target_only,ineligible,10,10,1
post_amplitude_trajectory,1,S1_post_period,post_period,difficult,100,100,10
post_amplitude_trajectory,1,S1_post_period,post_period,eligible,420,420,42
post_amplitude_trajectory,1,S1_post_period,post_period,ineligible,10,10,1
post_amplitude_trajectory,2,S2_linear_drift,linear_drift,difficult,100,100,10
post_amplitude_trajectory,2,S2_linear_drift,linear_drift,eligible,420,420,42
post_amplitude_trajectory,2,S2_linear_drift,linear_drift,ineligible,10,10,1
post_amplitude_trajectory,3,S3_baseline_step,baseline_step,difficult,100,100,10
post_amplitude_trajectory,3,S3_baseline_step,baseline_step,eligible,420,420,42
post_amplitude_trajectory,3,S3_baseline_step,baseline_step,ineligible,10,10,1
post_amplitude_trajectory,4,S4_acute_treatment_transient,acute_treatment_transient,difficult,100,100,10
post_amplitude_trajectory,4,S4_acute_treatment_transient,acute_treatment_transient,eligible,420,420,42
post_amplitude_trajectory,4,S4_acute_treatment_transient,acute_treatment_transient,ineligible,10,10,1
post_period_hours,0,S0_target_only,target_only,difficult,30,30,3
post_period_hours,0,S0_target_only,target_only,eligible,490,490,49
post_period_hours,0,S0_target_only,target_only,ineligible,10,10,1
post_period_hours,1,S1_post_amplitude,post_amplitude,difficult,30,30,3
post_period_hours,1,S1_post_amplitude,post_amplitude,eligible,490,490,49
post_period_hours,1,S1_post_amplitude,post_amplitude,ineligible,10,10,1
post_period_hours,2,S2_post_envelope,post_envelope,difficult,30,30,3
post_period_hours,2,S2_post_envelope,post_envelope,eligible,490,490,49
post_period_hours,2,S2_post_envelope,post_envelope,ineligible,10,10,1
post_period_hours,3,S3_linear_drift,linear_drift,difficult,30,30,3
post_period_hours,3,S3_linear_drift,linear_drift,eligible,490,490,49
post_period_hours,3,S3_linear_drift,linear_drift,ineligible,10,10,1
post_period_hours,4,S4_baseline_step,baseline_step,difficult,30,30,3
post_period_hours,4,S4_baseline_step,baseline_step,eligible,490,490,49
post_period_hours,4,S4_baseline_step,baseline_step,ineligible,10,10,1
post_period_hours,5,S5_acute_treatment_transient,acute_treatment_transient,difficult,30,30,3
post_period_hours,5,S5_acute_treatment_transient,acute_treatment_transient,eligible,490,490,49
post_period_hours,5,S5_acute_treatment_transient,acute_treatment_transient,ineligible,10,10,1
pre_amplitude_trajectory,0,S0_target_only,target_only,difficult,110,110,11
pre_amplitude_trajectory,0,S0_target_only,target_only,eligible,410,410,41
pre_amplitude_trajectory,0,S0_target_only,target_only,ineligible,10,10,1
pre_amplitude_trajectory,1,S1_pre_period,pre_period,difficult,110,110,11
pre_amplitude_trajectory,1,S1_pre_period,pre_period,eligible,410,410,41
pre_amplitude_trajectory,1,S1_pre_period,pre_period,ineligible,10,10,1
pre_amplitude_trajectory,2,S2_linear_drift,linear_drift,difficult,110,110,11
pre_amplitude_trajectory,2,S2_linear_drift,linear_drift,eligible,410,410,41
pre_amplitude_trajectory,2,S2_linear_drift,linear_drift,ineligible,10,10,1
pre_period_hours,0,S0_target_only,target_only,difficult,100,100,10
pre_period_hours,0,S0_target_only,target_only,eligible,420,420,42
pre_period_hours,0,S0_target_only,target_only,ineligible,10,10,1
pre_period_hours,1,S1_pre_amplitude,pre_amplitude,difficult,100,100,10
pre_period_hours,1,S1_pre_amplitude,pre_amplitude,eligible,420,420,42
pre_period_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,10,10,1
pre_period_hours,2,S2_pre_envelope,pre_envelope,difficult,100,100,10
pre_period_hours,2,S2_pre_envelope,pre_envelope,eligible,420,420,42
pre_period_hours,2,S2_pre_envelope,pre_envelope,ineligible,10,10,1
pre_period_hours,3,S3_linear_drift,linear_drift,difficult,100,100,10
pre_period_hours,3,S3_linear_drift,linear_drift,eligible,420,420,42
pre_period_hours,3,S3_linear_drift,linear_drift,ineligible,10,10,1
