method,scenario_family,target_status,method_applicable,n_rows,n_applicable,processing_success_fraction,target_metric_valid_fraction
CWT_pyBOAT,phase_shift_hours,difficult,True,1100,1100,1.0,1.0
CWT_pyBOAT,phase_shift_hours,eligible,True,4100,4100,1.0,1.0
CWT_pyBOAT,phase_shift_hours,ineligible,True,100,100,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,difficult,True,500,500,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,eligible,True,2100,2100,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,ineligible,True,50,50,1.0,1.0
CWT_pyBOAT,post_period_hours,difficult,True,180,180,1.0,1.0
CWT_pyBOAT,post_period_hours,eligible,True,2940,2940,1.0,1.0
CWT_pyBOAT,post_period_hours,ineligible,True,60,60,1.0,1.0
CWT_pyBOAT,pre_amplitude_trajectory,difficult,True,330,330,1.0,1.0
CWT_pyBOAT,pre_amplitude_trajectory,eligible,True,1230,1230,1.0,1.0
CWT_pyBOAT,pre_amplitude_trajectory,ineligible,True,30,30,1.0,1.0
CWT_pyBOAT,pre_period_hours,difficult,True,400,400,1.0,1.0
CWT_pyBOAT,pre_period_hours,eligible,True,1680,1680,1.0,1.0
CWT_pyBOAT,pre_period_hours,ineligible,True,40,40,1.0,1.0
Hilbert,phase_shift_hours,difficult,True,1100,1100,1.0,1.0
Hilbert,phase_shift_hours,eligible,True,4100,4100,1.0,1.0
Hilbert,phase_shift_hours,ineligible,True,100,100,1.0,1.0
Hilbert,post_amplitude_trajectory,difficult,True,500,500,1.0,1.0
Hilbert,post_amplitude_trajectory,eligible,True,2100,2100,1.0,1.0
Hilbert,post_amplitude_trajectory,ineligible,True,50,50,1.0,1.0
Hilbert,post_period_hours,difficult,True,180,180,1.0,1.0
Hilbert,post_period_hours,eligible,True,2940,2940,1.0,1.0
Hilbert,post_period_hours,ineligible,True,60,60,1.0,1.0
Hilbert,pre_amplitude_trajectory,difficult,True,330,330,1.0,1.0
Hilbert,pre_amplitude_trajectory,eligible,True,1230,1230,1.0,1.0
Hilbert,pre_amplitude_trajectory,ineligible,True,30,30,1.0,1.0
Hilbert,pre_period_hours,difficult,True,400,400,1.0,1.0
Hilbert,pre_period_hours,eligible,True,1680,1680,1.0,1.0
Hilbert,pre_period_hours,ineligible,True,40,40,1.0,1.0
STFT,phase_shift_hours,difficult,False,1100,0,,
STFT,phase_shift_hours,eligible,False,4100,0,,
STFT,phase_shift_hours,ineligible,False,100,0,,
STFT,post_amplitude_trajectory,difficult,True,500,500,1.0,1.0
STFT,post_amplitude_trajectory,eligible,True,2100,2100,1.0,1.0
STFT,post_amplitude_trajectory,ineligible,True,50,50,1.0,1.0
STFT,post_period_hours,difficult,True,180,180,1.0,1.0
STFT,post_period_hours,eligible,True,2940,2940,1.0,1.0
STFT,post_period_hours,ineligible,True,60,60,1.0,1.0
STFT,pre_amplitude_trajectory,difficult,True,330,330,1.0,1.0
STFT,pre_amplitude_trajectory,eligible,True,1230,1230,1.0,1.0
STFT,pre_amplitude_trajectory,ineligible,True,30,30,1.0,1.0
STFT,pre_period_hours,difficult,True,400,400,1.0,1.0
STFT,pre_period_hours,eligible,True,1680,1680,1.0,1.0
STFT,pre_period_hours,ineligible,True,40,40,1.0,1.0
