synthetic_id,model_spec_version,source_synthetic_id,anchor_index,variant_number,anchor_recording_uid,anchor_recording_id,tissue,scenario_family,scenario_level_number,scenario_level,target_parameters,added_parameter,added_component,target_status,target_status_reason,duration_days,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,profiled_initial_phase_radians,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,fit_phase_shift_hours
SYN_A001_1B-L1m2_V000__pre_period_hours__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,0,S0_target_only,fit_pre_period_hours,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.57107264291958,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__pre_period_hours__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,1,S1_pre_amplitude,fit_pre_period_hours,fit_pre_amplitude,pre_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,1.4084505459037675,2.0,24.57107264291958,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__pre_period_hours__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,2,S2_pre_envelope,fit_pre_period_hours,fit_pre_envelope_log_rate_per_day,pre_envelope,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.57107264291958,24.0,-0.3160018761893767,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__pre_period_hours__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,pre_period_hours,3,S3_linear_drift,fit_pre_period_hours,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.57107264291958,24.0,0.0,0.0,0.0,0.0,0.1036813873020379,0.0,0.0
SYN_A001_1B-L1m2_V000__post_period_hours__S00,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,0,S0_target_only,fit_post_period_hours,none,target_only,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.87972258368305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__post_period_hours__S01,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,1,S1_post_amplitude,fit_post_period_hours,fit_post_amplitude,post_amplitude,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.009637355792351,24.0,24.87972258368305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__post_period_hours__S02,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,2,S2_post_envelope,fit_post_period_hours,fit_post_envelope_log_rate_per_day,post_envelope,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.87972258368305,0.0,-0.1684434023495742,0.0,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__post_period_hours__S03,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,3,S3_linear_drift,fit_post_period_hours,fit_linear_drift_slope_per_day,linear_drift,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.87972258368305,0.0,0.0,0.0,0.0,0.1036813873020379,0.0,0.0
SYN_A001_1B-L1m2_V000__post_period_hours__S04,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,4,S4_baseline_step,fit_post_period_hours,fit_baseline_step,baseline_step,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.87972258368305,0.0,0.0,4.670904381578673,0.0,0.0,0.0,0.0
SYN_A001_1B-L1m2_V000__post_period_hours__S05,msc_x10_causal_angle_halfgaussian_v1,SYN_A001_1B-L1m2_V000,1,0,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,post_period_hours,5,S5_acute_treatment_transient,fit_post_period_hours,fit_signed_acute_transient_amplitude,acute_treatment_transient,eligible,none,13.05556,7.715275,6.770835,4.201385,3.256945,-1.2032777771125425,2.0,2.0,24.0,24.87972258368305,0.0,0.0,0.0,0.0,0.0,-0.0743412798438336,0.0
