method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,n_anchors_total,n_anchors_valid,median_processing_success_fraction,median_valid_fraction,median_primary_error,q25_primary_error,q75_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,q25_envelope_log_rate_absolute_error_per_day,q75_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,difficult,True,circular_absolute_error_radians,radians,11,11,1.0,1.0,0.11819712569396401,0.07913201497053501,0.15336200534543498,0.0,,,,,,,,,,0.45147976352276264,0.0,0.005477780876592,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,True,circular_absolute_error_radians,radians,41,41,1.0,1.0,0.10719239896632105,0.07221066509732443,0.13452087753982234,0.0,,,,,,,,,,0.4094448037768456,0.0,0.00440533298208135,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,ineligible,True,circular_absolute_error_radians,radians,1,1,1.0,1.0,0.060746659276013304,0.060746659276013304,0.060746659276013304,0.0,,,,,,,,,,0.2320351464023197,0.0,0.01006986547469,0.0
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,difficult,True,circular_absolute_error_radians,radians,11,11,1.0,1.0,0.1413721535498207,0.08889328552001796,0.20853414160903982,-0.00045257574972978887,,,,,,,,,,0.5400018492720097,-0.0017287120246324006,0.01119756100454385,0.004428659824409471
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,41,41,1.0,1.0,0.10401159757717893,0.07794316622424002,0.16070203967506425,0.00018600491624098936,,,,,,,,,,0.3972950374390327,0.0007104864446195319,0.009715275373811949,0.0012816142935683002
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,1,1,1.0,1.0,0.11112121577225587,0.11112121577225587,0.11112121577225587,0.02860611251537981,,,,,,,,,,0.4244517785408545,0.10926730102717509,0.007435412039604,-0.0030386425002617494
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,11,11,1.0,1.0,0.12455809601634704,0.07974467313604694,0.1495009345484808,-0.0004919898634909714,,,,,,,,,,0.47577688039479715,-0.0018792628494166685,0.0115749033228878,0.0011343614944605
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,41,41,1.0,1.0,0.10596744341425435,0.07992930739324122,0.15163098338487258,0.00021213690054366907,,,,,,,,,,0.40476581822854296,0.0008103032720092329,0.00920778513668465,5.361055124940284e-05
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,1,1,1.0,1.0,0.05999216919436279,0.05999216919436279,0.05999216919436279,3.4848469905313095e-05,,,,,,,,,,0.229153206578116,0.00013311134987087359,0.00939560584629245,-0.0003290132486479516
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,11,11,1.0,1.0,0.15734895981054065,0.13018308916438093,0.23881863692412786,0.0259641669523063,,,,,,,,,,0.6010287538611726,0.09917581232934666,0.0241151302216011,0.005181867991561052
