method,scenario_family,challenge_type,target_status,method_applicable,n_rows,n_applicable,processing_success_fraction,target_metric_valid_fraction
CWT_pyBOAT,phase_shift_hours,gaussian_noise,difficult,True,110,110,1.0,1.0
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,True,410,410,1.0,1.0
CWT_pyBOAT,phase_shift_hours,gaussian_noise,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,phase_shift_hours,missing_block_6h,difficult,True,110,110,1.0,1.0
CWT_pyBOAT,phase_shift_hours,missing_block_6h,eligible,True,410,410,1.0,1.0
CWT_pyBOAT,phase_shift_hours,missing_block_6h,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,phase_shift_hours,transient_artifact,difficult,True,110,110,1.0,1.0
CWT_pyBOAT,phase_shift_hours,transient_artifact,eligible,True,410,410,1.0,1.0
CWT_pyBOAT,phase_shift_hours,transient_artifact,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,difficult,True,100,100,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,eligible,True,420,420,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,difficult,True,100,100,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,eligible,True,420,420,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,transient_artifact,difficult,True,100,100,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,transient_artifact,eligible,True,420,420,1.0,1.0
CWT_pyBOAT,post_amplitude_trajectory,transient_artifact,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,post_period_hours,gaussian_noise,difficult,True,30,30,1.0,1.0
CWT_pyBOAT,post_period_hours,gaussian_noise,eligible,True,490,490,1.0,1.0
CWT_pyBOAT,post_period_hours,gaussian_noise,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,post_period_hours,missing_block_6h,difficult,True,30,30,1.0,1.0
CWT_pyBOAT,post_period_hours,missing_block_6h,eligible,True,490,490,1.0,1.0
CWT_pyBOAT,post_period_hours,missing_block_6h,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,post_period_hours,transient_artifact,difficult,True,30,30,1.0,1.0
CWT_pyBOAT,post_period_hours,transient_artifact,eligible,True,490,490,1.0,1.0
CWT_pyBOAT,post_period_hours,transient_artifact,ineligible,True,10,10,1.0,1.0
CWT_pyBOAT,pre_amplitude_trajectory,gaussian_noise,difficult,True,110,110,1.0,1.0
CWT_pyBOAT,pre_amplitude_trajectory,gaussian_noise,eligible,True,410,410,1.0,1.0
CWT_pyBOAT,pre_amplitude_trajectory,gaussian_noise,ineligible,True,10,10,1.0,1.0
